State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population
Colorado,Creating Bethesda PsycHealth,https://www.asylumprojects.org/index.php?title=Bethesda_PsycHealth&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
What is the primary background color of the circle in our logo?",,,,
Colorado,Colorado Psychiatric Hospital,https://www.asylumprojects.org/index.php?title=Colorado_Psychiatric_Hospital,1919,,1925,Active,Single Building,,Colorado Psychopathic Hospital,"In 1919 the State Legislature established the University of Colorado Health Science Center and authorized the construction of the Colorado Psychiatric Hospital. In 1923 the psychiatry training program in psychiatry was created by an act of the Colorado Legislature to ""train physicians in the art and science of neuropsychiatry and to treat citizens who suffer from mental disease"".
The Colorado Psychiatric Hospital was created in 1919 in order to serve as the laboratory for the study, research and treatment of psychopathology. The chairman of the Department of Psychiatry served as superintendent for the Colorado Psychiatric Hospital (CPH). Seventy-three years later, on July 1, 2002, the Colorado Psychiatric Hospital formally became part of the University of Colorado Hospital.
When the Colorado Psychiatric Hospital opened in 1925, it offered one of the first psychiatric residency programs in the United States with a planned curriculum of formal courses and supervised clinical assignments. Over twenty chairman of departments of psychiatry, four presidents of the American Psychiatric Association, and two directors of the National Institute of Mental Health have come from the University of Colorado Program.
As one of the largest departments of psychiatry in the United States, there are now over 150 regular faculty and more than 300 clinical faculty members. The department maintains training programs in psychiatry, psychology, and social work at the predoctoral and postdoctoral levels. Dr. Robert Freedman has led the department of psychiatry as chairman since December of 2000. His professional experience includes research in the molecular neurobiology of schizophrenia, clinical practice, and the editorship of the American Journal of Psychiatry.[1]",,"Denver, CO",,
Colorado,Colorado State Hospital,https://www.asylumprojects.org/index.php?title=Colorado_State_Hospital,1877,,1879,Active,Cottage Plan,,Colorado Mental Health Institute at Pueblo | Colorado State Insane Asylum,"The Colorado Mental Health Institute at Pueblo opened as the Colorado State Insane Asylum on October 23, 1879 on 40 acres of land in northwest Pueblo donated by George M. Chilcott, Colorado's first United States senator. On that date, 11 patients were admitted, nine males and two females from 12 different counties of the state. In 1917, the insane asylum was renamed the Colorado State Hospital. By 1923, the census the hospital climbed to 2,422 and continued to grow until 1961 when the hospital had nearly 6,000 patients. Like many state psychiatric hospitals at that time, it was a self-contained city, providing all the patients' needs within 300 acres of land on the main grounds and 5,000 acres at the dairy farm.
By 2005, however, the patient census declined to less than 450 patients, a result of the development of medications specifically for mental disorders, and a change in the philosophy and treatment of the mentally ill. The sign at the entrance still reads ""Colorado State Hospital"" although in 1991 the Colorado Department of Human Services psychiatric facilities names were changed to Colorado Mental Health Institute at Pueblo and Colorado Mental Health Institute at Fort Logan.
Main Image Gallery: Colorado State Hospital
""The 13th Street Review: A Pictorial History of the Colorado State Hospital - Now CMHIP"" By Nell Mitchell
Colorado Mental Health Institute at Pueblo Museum is located in the former Superintendent's Residence at 13th and Francisco Streets in Pueblo, Colorado. CMHIP Museum is open on Tuesdays from 10 a.m. to 4 p.m. for tours and research purposes or by appointment by calling the Museum at 719 543-2012. Museum Website
Extensive history with photos",,"Pueblo, CO",,"5,800 in 1962"
Colorado,Fort Logan Mental Health Center,https://www.asylumprojects.org/index.php?title=Fort_Logan_Mental_Health_Center,,1961,,Active,Cottage Plan,,Colorado Mental Health Institute at Fort Logan,"In 1960 part of the Fort land was deeded to the State of Colorado to establish a state hospital, Fort Logan Mental Health Center.  New facilities for psychiatric inpatient and support services were built in the 1960s as a new era for the military post began.  Offices of the Colorado Department of Human Services and other service agencies also were located on the grounds.  The name changed in 1991 to Colorado Mental Health Institute at Fort Logan. Currently the old buildings of the fort are being restored as a historical landmark.",,"Fort Logan, CO",,
Colorado,Grand Junction Regional Center,https://www.asylumprojects.org/index.php?title=Grand_Junction_Regional_Center,,,1921,Active,Cottage Plan,,"Teller Institute | State Home for Mental Defectives, Grand Junction | State Home and Training School","The 160 acre parcel of land on which the Grand Junction Regional Center campus is located was formerly owned by the United States Government. In 1885, construction began on the Teller Institute, an Indian boarding school. By 1900, the school had an enrollment of about 200 students, including members of the Ute, Navajo, Papago, Moquis, Shoshone, and Pima tribes. With the Federal Government’s decision to return Native American students to their homes for their education, the Teller Institute was closed in July 1911. Shortly after that, its assets were liquidated, and it was discovered that groundwater was seeping into the basements of some buildings because of uncontrolled irrigation water. The buildings and land were given to the State of Colorado later that year.
After the buildings had been vacant for several years, the State opened a training school in 1921, known as the State Home for Mental Defectives, to serve “handicapped and retarded students.” The name was later changed to the State Home and Training School. By the 1960’s upwards of 800 people lived at the State Home, where some went to school and others worked on a dairy farm within the plot of land owned by the State. The name of the facility was changed to the Grand Junction Regional Center in the late 1970’s.
Ten community homes were built in the mid 1980's, each with the capability of serving eight people. With the national movement to return people with developmental disabilities to their communities and away from large, congregate settings, the number of people served on the Regional Center campus has gradually decreased. Another Personal Care Alternative (PCA) home was opened in the mid 1990's and two additional leased homes were opened in 2001.
Only three of the buildings on the campus that were built prior to 1911 remain standing. Over the years, the State of Colorado has erected other buildings, some of which have since been torn down, as well. In 1999, the State of Colorado deeded twenty-five acres of vacant land on the east side of the campus to the Department of Veterans Affairs to be used as a Veterans' cemetery. The new Veteran's Memorial Cemetery of Western Colorado was dedicated on July 17, 2002 and is now serving Colorado Veterans and their families.",,"Grand Junction, CO",,
Colorado,Pueblo Regional Center,https://www.asylumprojects.org/index.php?title=Pueblo_Regional_Center,,,1969,Active,Cottage Plan,,Colorado State Regional Center,"In 1969, what was previously known as the Colorado State Regional Center, now known as Pueblo Regional Center (PRC) was part of the larger Colorado State hospital. The hospital served over 500 individuals with developmental disabilities and mental health diagnoses. In the 1980's progress was made to change the living arrangements, and the remaining 160 individuals were transferred to new residential home throughout the Pueblo West community. Today, PRC can serve up to 88 individuals with developmental disabilities until they can be stabilized and transitioned to a less restrictive setting the the community of their choice.",,"Pueblo, CO",,
Colorado,State Home and Training School for Mental Defectives,https://www.asylumprojects.org/index.php?title=State_Home_and_Training_School_for_Mental_Defectives,1909,,1910,Demolished,Cottage Plan,,Colorado State Home for Mental Defectives | Ridge Home | Wheat Ridge Regional Center,"The Wheat Ridge Regional Center officially opened on July 1, 1912. When the facility was first opened there were 43 boys and 37 girls admitted with 80 technicians charged to care for them. There was a restriction that only children between five and fourteen could be admitted. During the 30's the institution grew to 200 with a waiting list of fifty.
In 1951 the census for WRRC grew to a population of 350, ranging from three months to 70 years of age. The administration of the school included a physical plant, farm and dairy with assets of $1,500,00.00. Ridge was no longer a ""retention home"" for the mentally retarded but was seen as a rehabilitation and training facility. Also during the 1950's the facility grew. There was actually a principal and 12 staff, including 2 speech therapist, 8 teachers, 1 recreational supervisor and an aide. A full maintenance department and many employees were needed to run the dairy and farm. Between 1957 - 1958, twelve individuals were discharged and 9 returned to community living with their families. Ridge also had several residents who had full or part time jobs in the community.
During the 60's and 70's the institution continued to grow and change. The census at the end of 1963 was 929. The agency had a barbershop, beauty shop, canteen and sewing room. Many community groups helped out so that the facility was able to raise money for camps and other needs.
In the 80's the philosophy of services for people with developmental disabilities had changed to looking at more community based services. Ridge was given funds to build 14 new group homes off the main campus in the community. Also, Ridge began to downsize it's population in the 80's and 90's. The downsizing was a direct link to many of the Community Center Boards offering smaller, more individualized settings for the developmentally disabled.",1991,"Arvada, CO",,
Colorado,Creating Colorado State Home and Industrial School for Girls,https://www.asylumprojects.org/index.php?title=Colorado_State_Home_and_Industrial_School_for_Girls&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the toolbox menu to the left what is the second word in the third link from top?",,,,
Colorado,Colorado State Industrial School for Boys,https://www.asylumprojects.org/index.php?title=Colorado_State_Industrial_School_for_Boys,,,1881,Active,Cottage Plan,,Lookout Mountain School for Boys | Lookout Mountain Youth Services Center (Current),"Lookout Mountain Youth Services Center (“LMYSC”), known to all who reside or work there as “The Hill,” has served the state of Colorado as a forward thinking youth corrections program for more than a century. On February 12, 1881, Governor Pitkin 
enacted enabling legislation to create a humane and progressive rehabilitative school for incorrigible young men between the ages of 7 and 16. Thus, the Colorado State Industrial School was launched on the original Golden, Colorado campus of the College of Mines. In 1968 the facility was renamed Lookout Mountain School for Boys. In the 1980’s it was reconfigured to meet Colorado’s needs as a maximum-security corrections facility for male offenders ages 15-21 (mean age=17.4 years) and
became Lookout Mountain Youth Services Center.",,"Golden, CO",,
Colorado,Creating Ignacio Boarding School,https://www.asylumprojects.org/index.php?title=Ignacio_Boarding_School&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the locations menu to the left, what is the sixth country up from the bottom?",,,,
