State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population
Michigan,Ann Arbor State Psychopathic Hospital,https://www.asylumprojects.org/index.php?title=Ann_Arbor_State_Psychopathic_Hospital,,,1906,Active,Single Building,,State Psychopathic Hospital,"In the late 1890s, U-M Professor of Nervous Diseases and Electrotherapeutics William J. Herdman (M.D. 1875) set the wheels in motion to build, at the University, a psychopathic hospital for the care and study of mental illness. In 1901 the Michigan state legislature allocated the funding for the facility, and in 1906 the State Psychopathic Hospital opened its doors. The hospital was among the first of its kind in the nation — one intended to provide diagnosis and research on mental diseases rather than custodial care. It contained state-of-the-art research equipment, including a laboratory in which psychiatrists trained in pathological examination studied brain tissue sent from hospitals all over Michigan.
Albert M. Barrett, M.D., the hospital’s first director, oversaw both psychiatry and neurology within what was originally called the Department of Nervous and Mental Diseases until 1920, then continued as chair of the newly formed Department of Psychiatry until his death in 1936.
Shortly after the hospital’s opening, an article in a University publication stated, “For the treatment of the nervous system, the hospital is furnished with apparatus for generating all kinds of electric current. Attendants especially skilled in the application of electricity and massage are put in charge of these cases.”
Michigan’s groundbreaking experiment — looking at mental illness through a lens of scientific scrutiny coupled with humane compassion — was proving successful; by the 1930s, the need for more beds, more physicians trained in psychiatry and more opportunities for residents interested in the field made expansion a priority. The Neuropsychiatric Institute was opened in 1939, adjacent to the University of Michigan Hospital (Old Main), a proximity which signaled a new relationship between medicine and psychiatry. New director Raymond Waggoner (M.D. 1924) immediately set up a three-room psychiatric consultation unit — one of the first such units in a general hospital in the country. Institute faculty and staff fostered increasing ties with medical departments through consultation and outpatient clinics.
Throughout his long tenure (1937-70), Waggoner embodied much of the change that was taking place in the treatment of the mentally ill. Originally trained as a neurologist, he embraced both psychoanalysis and biological theories in psychiatry. His openness to new ideas and his willingness to see each patient as a total person with emotional and physical forces at play helped to forge the bio psychosocial model that is the foundation of psychiatry today.
Since taking the helm of the department in 1985, John Greden, M.D., has worked tirelessly to integrate and translate neuroscience and behavioral science advances, and to battle stigmas that, even today, keep people from seeking help. His work in depression, for example, has brought Michigan national recognition — and given hope to hundreds of thousands of people who suffer from this disease. The new University of Michigan Depression Center is a place where behavioral scientists, neuroscientists, clinical investigators and multidisciplinary leaders from other schools and departments across campus, such as Nursing, Public Health, Pharmacy, Social Work and Psychology, come together to share information, collaborate on research, and offer patients the most up-to-date and comprehensive treatments available.
A century ago, in a simple brick and wood edifice that cost $50,000 to build, several U-M faculty members and nurses strived to care for an unending stream of desperate patients while knowing virtually nothing about what caused psychiatric disorders, and with no way to evaluate underlying brain functions. Today, several hundred U-M faculty and hundreds of nurses, social workers, therapists, and trainees of all kinds make powerful, tangible differences in the lives of thousands of patients in the Department of Psychiatry and the Depression Center in the recently-opened Rachel Upjohn Building.",,"Ann Arbor, MI",,
Michigan,Caro State Hospital,https://www.asylumprojects.org/index.php?title=Caro_State_Hospital,1913,,1914,Active,Cottage Plan,,Michigan Farm Colony for Epileptics at Wahjamega | Wahjamega Farm Colony for Epileptics | Caro State Hospital for Epileptics | Caro State Home & Training School | Caro Regional Mental Health Center  | Caro Psychiatric Hospital,"In the spring of 1913 Judge Henry S Hulbert and Tracy W McGregor, members of an organization of Detroit businessmen called the Thursday Noon Group, helped to lead a campaign aimed at social reform of the Detroit area prison and mental health programs of the time.  The work of this organization culminated in the creation and passage of the 1921 Act 392 of the public acts, which provided that the state should have the power to ""care, custody, and maintenance of feeble-minded persons within such county"".[1]
Prior to the passage of this act Hulbert, McGregor, and Fred M. Butzel began to focus on juvenile delinquents, the mentally ill, and persons who were diagnosed with the newly assigned medical condition of Epilepsy.  All three men felt that improper care was being given to some of these people, and that segregated institutions that provided more treatment specific care for each persons disorder were more essential to treatment and as such a facility devoted to the treatment of epilepsy was established in 1914 in Wahjamega, a small unincorporated community in the Township of Indianfields, Michigan[2]. Much of the original population of the facility was moved from the then overcrowded Lapeer State Home for Epileptics.  By 1928 funding shortfalls had lead to overcrowding here too, and the governor pushed for an expansion of services, which resulted in the state passing a 120 million dollar expansion bill in 1930-32.
This facility gained some fame later on as it was one of several facilities that was involved in forced sterilizations that took place under Michigan laws from 1914 to the mid 1960's[3].  The facility has operated under several names over the years and is currently still in operation as the Caro Regional Mental Health Center. In October 2019, lawmakers authorized construction of a $63 million, 100-bed state psychiatric hospital to replace the current Caro Regional Mental Health Center on the Caro site. There was a groundbreaking in 2017 to build a $115 million, 200-bed, 225,000-square foot hospital; but just as construction was to start, Gov. Whitmer, and Department of Health and Human Services Director Robert Gordon halted the project and hired a consulting firm to review it.
In 2023 a new 130,000-square-foot, 100-bed center opened to will help provide access to physical and mental health resources in mid-Michigan.The new state-of-the-art hospital offers four separate patient neighborhoods/units, each decorated with therapeutic colors reflecting seasonal color schemes for each respective season. Rooms are mostly single-bed suites with private bedrooms for geriatric patients. There are also spaces for patients offering a hair-care salon, exercise room, greenhouse and recreation room. The facility includes an updated HVAC system, modernized spaces for treatment consultations, staff meetings and breakroom spaces.",,"Caro, MI",,
Michigan,Hawthorn Center,https://www.asylumprojects.org/index.php?title=Hawthorn_Center,1955,,1958,Active,Cottage Plan,,,"Hawthorn Center, located in Northville, Michigan, provides intensive inpatient psychiatric services to children and adolescents. At present, Hawthorn Center has capacity for 118 patients. An agency of the Michigan Department of Community Health, Hawthorn Center has been one of the Midwest's finest psychiatric treatment facilities for children for over forty years. More than 30,000 children and their families have received services since the hospital opened in 1956.
A new hospital is being made possible by a $325 million FY23 budget allocation by Gov. Gretchen Whitmer and the legislature. It will care for patients currently served at both Hawthorn Center and Walter P. Reuther Psychiatric Hospital in Westland. The two facilities serve nearly 200 patients and are among the state’s five inpatient psychiatric hospitals for individuals who have severe mental illness or intellectual and developmental disabilities. Hawthorn Center opened its doors in 1956, while Walter Reuther began operations in 1979, and need to be replaced due to aging infrastructure. During construction of the new facility in Northville Township, staff and patients currently being cared for at Hawthorn Center will be moved to a separate unit at Walter P. Reuther Psychiatric Hospital to allow for the demolition of the current Hawthorn facility. Construction is expected to begin fall of 2023 and anticipated completion is in 2026.",,"Northville, MI",,
Michigan,Ionia State Hospital,https://www.asylumprojects.org/index.php?title=Ionia_State_Hospital,1883,,1885,Demolished,Cottage Plan,,Michigan Asylum for Insane Criminals | Ionia Asylum   | Ionia State Hospital for the Criminally Insane,"The building of the Ionia State Hospital was authorized in 1883 and was opened under the name of the Michigan Asylum for Insane Criminals in 1885. It was found that this name was objectionable as not all of the patients in the hospital were criminals, so the name was changed by legislative action to Ionia State Hospital. The patients committed to this hospital were insane felons, criminal sexual psychopaths, insane convicts from other prisons, patients transferred from other state institutions that had developed dangerous or homicidal tendencies and persons charged with a crime but acquitted on the grounds of insanity. Initially the hospital patients were housed at the site of the Michigan Reformatory.
The hospital was called the North Branch and the farm located on Riverside Drive was called the South Branch. When a large fire broke out at the hospital, all of the rooms were needed to house prisoners, so all of the hospital patients were sent to the South Branch farm. Since that time, the hospital has been located on the grounds of the Riverside Correctional Facility. The hospital was used to treat the mentally ill as well as the criminally insane until 1972, when civilians were removed from the hospital. In 1977, the Legislature transferred the operation to the Department of Corrections when it began operation as a correctional facility. The facility was closed with the reopening of the Michigan Reformatory.
Main Image Gallery: Ionia State Hospital",1977,"Ionia, MI",,
Michigan,Kalamazoo State Hospital,https://www.asylumprojects.org/index.php?title=Kalamazoo_State_Hospital,,1854,1859,Active,Kirkbride Plan (Demolished),,Western Michigan Asylum | Michigan Asylum for the Insane | Kalamazoo Regional Psychiatric Hospital | Kalamazoo Psychiatric Hospital,"The choice of Kalamazoo as the location for the Michigan Asylum at Kalamazoo was helped by the fact that the governor was Epaphroditus Ransom, who once resided in Kalamazoo. Although the asylum was originally planned for a site in what is now the Stuart neighborhood, it was decided that this location was too close to downtown. So planners instead chose to place the hospital far out in the country, where they would never be bothered by these people. That location was on what is now Oakland Drive, where the hospital is still located.
The asylum was on the cutting edge of many forms of treatment. Through its close proximity to town, it was able to establish an innovative outpatient clinic in 1916 as well as a unique ""family-care"" program that placed patients in certified homes. The hospital also made use of colony farms, adjunct properties on which patients with milder illnesses — and those who today might be considered developmentally delayed — lived in familial farm settings. (One of these was near Kalamazoo's Asylum Lake.) They often raised livestock and produce for use at the hospital. The farms are examples of the limited treatment options for the mentally ill that were available before the 1950s. Electroshock therapy, insulin-induced comas and some barbiturate drugs resulted in limited reversals in thoughts and behavior of patients, he said.
Narcoleptic or anti psychotic drugs, such as Thorazine, that would revolutionize psychiatric treatment and the role of psychiatric hospitals in society. Patients who had been in the hospital for decades were suddenly responsive, able to care for themselves, and moving back to live with their families. By 1987, the number of patients had dropped to 550.By 1959 the State Hospital had a patient load of 3,500 and 900 staff that included doctors, nurses, attendants and service personnel. It became almost a city in its own right with a power plant, water system, bakery, laundry, library, canteen, garage, cannery, general kitchen and greenhouse. For many years the hospital was one of the largest employers in Kalamazoo.
Increased budget cuts by the state and improved treatment methods and medication for patients led to an inevitable decline in patient population. The hospital began to shrink, dropping steadily from a high of 3,500 patients in 1954-1955. Then in 1973, new treatment measures, such as rapid screening and intensive treatment, and early release into the community for other local agencies to take over, shrank the patient population even more. In 1980, the facility started laying off 88 employees and releasing 160 patients in response to the bare bones budget provided by the state. Finally, in 2000, then-Governor John Engler's administration decimated the state-run psychiatric hospitals in favor of community-based care at private agencies and hospitals.
Just a ghost of its former self, the Kalamazoo Psychiatric Hospital now has turned over most of its holdings on Oakland Drive to Western Michigan University, which has developed it as a health care corridor and research facilities, as well as the home of its current School of Nursing. Today (2008) there are only 2 original buildings still standing on the campus. The water tower was constructed in 1895 and quickly became a local landmark. It played prominently in the history of the city. The other is the ""gate cottage"" situated near Oakland Drive at the entrance to the hospital grounds. The gatehouse is ""carpenter gothic"" in style, featuring board and batten siding, a steep roof and ""gingerbread"" ornamentation. The house has been furnished with Victorian furniture and serves as a museum. When first built, it was used as the porter's residence and later housed a dozen women patients for a time.
1854 — Construction of the Michigan Asylum at Kalamazoo begins.
1859 — The Michigan Asylum formally opens on Aug. 29.
1888 — The Colony Farm System for the mentally ill is established, with Brook Farm on Douglas Avenue the first farm colony in America.
1910 — Mechanical restraints are abolished, and occupational therapy is recognized as a treatment program.
1911 — The name is changed to Kalamazoo State Hospital.
1916 — An outpatient clinic is established at Vine Street School.
1931 — Public Act 281 of 1929 directs the sterilization of patients as a measure for preventing mental illness. Sterilizations are performed that year.
1939 — The Male Department Kirkbride is demolished
1958 — Farming operations are discontinued, and patients are transferred to the main hospital buildings.
1960 — The number of patients begins a rapid decline because of the introduction of narcoleptic drugs and the move toward community care and treatment.
1969 — The Female Department Kirkbride is demolished
1974 — Michigan Mental Health Code is enacted.
1976 — Name of hospital is changed to Kalamazoo Regional Psychiatric Hospital.
1995 — Name of hospital is changed to Kalamazoo Psychiatric Hospital.
2007 — All but about 100 acres of the nearly 1,500 acres of land once owned by the hospital's main campus and Brook Colony Farm are transferred to Western Michigan University
Main Image Gallery: Kalamazoo State Hospital
The Architecture of Madness: Insane Asylums in the United States by Carla Yanni. Minneapolis : University of Minnesota Press, 2007. Search WorldCat for library copy
Asylum for the Insane: A History of the Kalamazoo State Hospital by William A. Decker. Traverse City, MI : Arbutus Press, 2008. Search WorldCat for library copy
Kalamazoo Historic Preservation coordinator Sharon Ferraro reveals the secrets of this historic landmark and talks about its future. This program is part of the ""This Old Building"" series. www.kpl.gov",,"Kalamazoo, MI",,
Michigan,Lafayette Center,https://www.asylumprojects.org/index.php?title=Lafayette_Center,1915,,,Closed,Single Building,,"Lafayette Clinic | Detroit Psychiatric Institute | Wayne State Medical School, Shapero Hall",,1992,"Detroit, MI",,
Michigan,Newberry State Hospital,https://www.asylumprojects.org/index.php?title=Newberry_State_Hospital,,1893,1895,Closed,Pavilion Plan,,Upper Peninsula Asylum for the Insane (1895) | Newberry State Hospital (1911) | Newberry Regional Psychiatric Hospital (1977) | Newberry Correctional Facility (1995),"The hospital was established under Act No. 210,Public Acts of 1893. It appropriated funds for only 2 cottages & 1 industrial building. The first patients were received November, 1895. Plans for a completed institution were prepared and closely adhered to. They provided for 20 buildings arranged in a quadrangle, 17 designed for care and reception of patients, 1 as an administration building, another as an assembly hall and the other as a kitchen/dining hall. These cottages which are all now erected, are arranged around a hollow square containing about 11 acres. All the buildings are connected by a covered walkway, which runs around the interior of the quadrangle. Outside of the original quadrangle, there have been built- a cottage for tuberculosis patients, a home for nurses & various industrial buildings. The hospital is located on a farm of about 720 acres.
The number of patients in the institution on June 30, 1920 was 1,037, which shows an overcrowding of 52 patients. The institution is modern in having equipment having both male and female receiving wards which are fitted with their own kitchens & dining rooms. The nurses' training school has been in successful operation since 1908. The school has a curriculum of three years. The inventory of the institution, lands, buildings, equipment etc. $1,078,942.
From the 1920 Michigan State Board of Corrections and Charities
""Upper Peninsula Hospital: A History of the Newberry State Hospital"" by William A. Decker. Traverse City, Mich. : Arbutus Press, 2012.
Search WorldCat for library copy
Main Image Gallery: Newberry State Hospital",1992 (As a psych facility),"Newberry, MI",,
Michigan,Northville State Hospital,https://www.asylumprojects.org/index.php?title=Northville_State_Hospital,1946,,1952,Demolished,Cottage Plan,,Northville Regional Psychiatric Hospital,"Consisting of 20 buildings spread out over 453 of wooded, sometimes swampy land, Northville State Hospital was lauded as one of the best psychiatric facilities in the country when it opened. The first patients moved into the main building on January 1, 1952. and Dr. Philip Brown was selected as the first superintendent. One of the buildings on its campus later housed the Northville Residential Training Center, a separate institution. Not long after, the state was considering the small wooded piece of land between this institution and Hawthorne Center to place the Maxey Boys Training School, but the plan was rejected, and Maxey was built in Whitmore Lake.
The hospital was almost completely self-sufficient with its own laundry, kitchen, gymnasium, movie theater, swimming pool, and bowling alley, powered by a steam plant that supplied electricity and heat through a network of underground tunnels. In the 1970s, the state began to trim the mental health budget, closing some hospitals and reducing programs offered as doctors began relying on medicine and drugs to treat symptoms. Crowding became an issue at Northville, as the facility was regularly treating over 1,000 patients, but had only been designed for 650. Some patients had to sleep in the gymnasium until more rooms could be arranged.
In May 2003, the remaining 239 patients were transferred to other state facilities. The last patient left on May 16th, 2003, after which a skeleton staff began winding down operations. Detroit-based Adamo Group demolition company began what was expected to be a four-month demolition process in April, 2018 & was completed early 2019.
Main Image Gallery: Northville State Hospital",2003,"Northville, MI",,"2,200 in 1964"
Michigan,Pontiac State Hospital,https://www.asylumprojects.org/index.php?title=Pontiac_State_Hospital,1873,1874,1878,Demolished,Kirkbride Plan,"Original building: Elijah E. Myers
Additional wings: Charles Anderson 

Other: Robert O. Derrick, Smith, Hinchman and Grylls",Eastern Michigan Asylum | Eastern Asylum for the Insane | Clinton Valley Center,"Additional wings: Charles Anderson
To supplement the rapidly overcrowding asylum at Kalamazoo, the Michigan state legislature established the new Eastern Asylum for the Insane in 1873 (renamed to the Eastern Michigan Asylum before it even opened), to be located in an eastern part of the state near the growing population center of Detroit, where many of Kalamazoo's patients where coming from. Members for a locating board were selected, and after considering potential sites at Detroit, which did not meet all of the requirements of the propositions, and at Holly, which had the advantage of railway lines running both North/South and East/West. But Holly was felt by the board to being too close in proximity to Flint, the location of the Asylum for the Deaf and Dumb, since it was a policy of the state to distribute its institutions. the Board selected the site at Pontiac known as the ""Woodward farm"" in June, 1874. This site had the advantages of good soil for farming, a raised elevation that insured pleasant views, fresh air, and good drainage, wells would be able to supply ample fresh water, and it was adjacent to a primary railway line.
Dr. E.H. VanDeusen, Medical Superintendent of the Kalamazoo asylum, supplied the ground plans for the new asylum building, and architect Elijah E. Myers, of Detroit (who was also the architect for the new State Capital building in Lansing), prepared the elevation and working drawings. On December 16th, 1874, the Board of Trustees approved the plans and bids for the construction of the new asylum were called for.
The center building serves to divide the sexes. The longitudinal divisions are the wards proper, consisting of a central corridor with rooms on each side, each room occupied by a single patient, and belonging to him exclusively. These rooms vary in size from nine by twelve feet, to eleven feet eight inches by twelve feet eight inches, the larger size predominating, and the clear space between floor and ceiling is in every case thirteen feet.
The corridors are used as day-rooms, while the large bay-window in the centre of each main corridor affords the opportunity for the inmates in common to enjoy the sunshine and to look without. The large rooms in the front of the transverse division can either be used as day-rooms or parlors, or as associated dormitories for a special class of patients.
In the four main transverse divisions are grouped the dining-rooms, bath-rooms, clothes-rooms, lavatories, water-closets, and shafts, and it will be seen that each ward has a group of these auxiliary rooms readily accessible. The long, narrow wards render it possible to admit light and sunshine into each patient's room, while the transverse divisions perfect the classification by dividing the wards, and serve to break the view, so that patients in the different wards cannot shout across and annoy each other.
Each story of the centre building and wings is a counterpart of the one shown. A basement, nine feet clear space, is excavated beneath the entire main building. The divisions in the basement corresponding to the corridors and passages in the first story are made tight, and afford continuous air-passages for the supply and distribution of fresh air. From these basement corridors a great number of flues start, and lead within the walls to the corridors of each story. Constant and regulated ventilation is secured by means of a large fan, situated in the shop building, and driven by steam-power. The air from the fan-room is forced by the fan through large underground air-ducts or tunnels, six feet by eight feet, into the basement, and thence a constant stream passes up each flue, and is distributed to every portion of the building.
In addition to these supply-flues, each single room has a separate and distinct ventilating flue of it's own for the exit of vitiated air, leading within the brick walls directly to the attic, and the larger rooms have two or more such flues. The air forced into the corridors finds no egress except up these flues to the attics, and out through the large ventilators placed on the roof.
Steam will be used for heating, --mainly, indirect radiation. Beneath the chapel is a large pipe-duct, designed to conduct steam- and water-pipes from the boilers and pumps at the shops forward to the main building. These steam-pipes on reaching the centre building branch right and left, and extend within the air-passages through the basement to the extreme divisions. In the basement, at the base of the supply-flues, radiators or coils of pipe are placed, each connected with the steam-main. The air in its passage to the flue is forced to contact with the hot surface of the iron, and is warmed. In addition to this indirect radiation, a system of summer pipes, to be used in chilly or damp weather, when the main apparatus is not in operation, will extend through the building, connected with direct radiators at various points. Within the pipe-shafts, accessible at all times, will be the pipes for distributing hot and cold water, and the waste- and soil-pipes leading from the bath-rooms, lavatories, and water-closets to the sewers.
The sweepings on the various wards will be passed through an opening in the base-board into a dust-shaft, and will fall directly to the basement. Soiled clothes will be similarly dropped to the basement through shafts provided for the purpose, whence they will be taken to the laundry. There are also drying-shafts for drying dish-clothes and towels, and for thoroughly ventilating the sinks connected with each dining-room. Other shafts are divided at each story by means of lattice or open floor. Inside of some are placed boots and shoes, or brooms; in others pails, mops, etc. A current of air driven up through these shafts removes at once all obnoxious scents from the building.
A car track, for the distribution of food, leads from the general kitchen both North and South through the basement. Connecting with each dining-room on each floor is a dumb-waiter, which raises the food from the car in the basement to the dining-rooms where needed. Thus, one kitchen will supply sixteen dining-rooms within the wards, besides preparing food for the domestics and shop help.
A four inch brick arch forms the ceiling of each inmate's room, and of the corridors. This arched ceiling receives the plastering, and serves both as a deafening and as a protection in case of fire. The floor-joists are above the arches, but not in contact. In rooms too large to be arched, and in the centre building, the same end is attained by laying two sets of joist, but disconnected, the upper set carrying the floor, the lower set the ceiling and the mortar deafening.
Iron sash will be used throughout the wards, but they are made the same in form as wood sash, and are painted white to make the resemblance more perfect.
Exterior walls rest on concrete two feet deep, and from three feet two inches to four feet six inches wide; the interior walls rest on one foot two inches of concrete. With few exceptions all walls are carried up to the roof, which they support. The frame-work for the roof can therefore be made comparatively light. The roof covering is slate, except the tin deck-roof of the centre building.
In stone ornamentation the main building is rich, and the great variety in the forms of the stone-work is a noticeable feature. Cornices of wood; ventilators of galvanized iron. A central tower, a tower at each end, peaks ascending from bay projections in front, and from ventilators on the roof, break the monotonous lines necessary in so extensive a building, and give a pleasing effect.
The Eastern Michigan Asylum Historic District is comprised of forty-four randomly located structures. Many of the buildings are extensions of the original main building, which, as a result, has grown into a vast, spiderlike megastructure. The rambling, three and one-half story, main building built in 1875 to 1878 originally consisted of a center building containing offices and staff quarters with two identical wings, one for men and one for women. Large extensions were added to each of the patients' wings in several stages between 1882 and 1895 to match the original building. These buildings, designed by Elijah E. Myers, are picturesque structures in the High Victorian style made of red brick with elaborate steeply pitched, hipped, patterned slate roofs with multiple towers and pinnacles. Shallow buttresses accent the exterior design, reinforcing the vertical massing of the towers and bay windows. Cornices are made of wood and metal and the roof ventilators are of galvanized iron. Further, hipped-roofed, brick additions were made to the 1880s wings in 1906 and 1914. In 1938 extensive additions of Tudor design were made in front of the original building connected to the older structure by a narrow passage. In addition to the main building complex, architecturally significant buildings in the complex include the Sawyer and Vinton buildings, which were constructed in 1917 and 1893 respectively, and the Italian Renaissance style chapel built in 1907 designed by Smith, Hinchman and Grylls of Detroit.
Main Image Gallery: Pontiac State Hospital
Asylum: Pontiac's Grand Monument from the Gilded Age, by Bruce J. Annett, Jr.",1997,"Pontiac, MI","Gothic, Late Victorian","3,100 in 1955"
Michigan,Traverse City State Hospital,https://www.asylumprojects.org/index.php?title=Traverse_City_State_Hospital,,,1885,Preserved,Kirkbride Plan,Gordon W. Lloyd,Northern Michigan Asylum for the Insane | Traverse City Regional Psychiatric Hospital,"Northern Michigan Asylum for the Insane was established in 1885 as the demand for a third psychiatric hospital, in addition to those established in Kalamazoo and Pontiac, Michigan, began to grow. Lumber baron Perry Hannah, “the father of Traverse City,” used his political influence to secure its location in his home town. Under the supervision of prominent architect Gordon W. Lloyd, the first building, known as Building 50, was constructed with Victorian-Italianate? style according to the Kirkbride Plan.
Under Dr. James Decker Munson (1848-1929), the first superintendent from 1885 to 1924, the institution expanded. 12 housing cottages and 2 infirmaries were built between 1887 and 1903 to meet the specific needs of more male and female patients. The institution became the city’s largest employer and contributed to its growth.
Long before the advent of drug therapy in the 1950s, Dr. Munson was a firm believer in the “beauty is therapy” philosophy. Patients were treated through kindness, comfort, pleasantry, and exposure to the asylum’s plentiful arrangements of flora provided year round by its own greenhouses and the variety of trees Dr. Munson planted on the grounds. Restraints, such as the straitjacket were forbidden. Also, as part of the “work is therapy” philosophy, the asylum provided opportunities for patients to gain a sense of purpose through farming, furniture construction, fruit canning, and other trades that kept the institution fully self-sufficient.
While the hospital was established for the care of the mentally ill, its reach expanded during outbreaks of tuberculosis, epilepsy, typhoid, diphtheria, influenza, and polio. It also cared for the elderly, and was used to trained nurses. After Munson’s retirement, James Decker Munson Hospital was honorably established on the grounds in 1926, which was operated by the state well after his death and into the 1950s. It was then replaced by Munson Medical Center, the largest hospital in northern Michigan.
With the gradual success in drug therapies in the 1970s, many patients were cured and/or improved, leaving many of the buildings empty. This, in addition to changes in mental health care philosophy, the decline of institutionalization, and cuts in funding, the Traverse City Regional Psychiatric Hospital was forced to shut down in 1989.
Starting in 2000, The Minervini Group began negotiating with the Grand Traverse Commons Redevelopment Corporation and secured an agreement to renovate the historic buildings. Their efforts have led to the gradual, but successful preservation and development of the Building 50 as part of The Village at Grand Traverse Commons, offering an array of residential and commercial opportunities. By 2005, the southernmost wing and Hall 20 (Phase One) were fully completed and in use. The 100,000 square foot Mercato Phase of the former Building 50 is currently under reconstruction and will be occupied by Fall 2007. Also on the site, other buildings are being renovated for new uses. These include an urban winery, a fair trade coffee roaster, and a brick oven bakery that will all be open for Summer 2007.
Main Image Gallery: Traverse City State Hospital
From Ex-Mental Hospital to a New Mixed-Use Life",1989,"Traverse City, MI",,
