State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population
New York,Binghamton State Hospital,https://www.asylumprojects.org/index.php?title=Binghamton_State_Hospital,,,1858,Preserved,Cottage Plan,Isaac G. Perry,Greater Binghamton Health Center (Current) | New York State Inebriate Asylum | Binghamton Asylum for the Chronic Insane | Binghamton State Hospital | Binghamton Inebriate Asylum | Binghamton Psychiatric Center,"Built in 1858, the castle originally served as the country's first inebriate asylum. Founder J. Edward Turner belonged to a school of thought that alcoholism wasn't just a vice, but could be cured medically. The well-lit rooms and extensive grounds are an important marker in New York State's view of addiction. The asylum was the first of its kind in the country, but only served its original purpose for 15 years, at which point Turner's inebriate asylum was converted into a hospital for the chronically insane. The asylum faced financial woes for a decade after a great fire broke out in March 1870. Gov. Lucius Robinson deemed it a “complete failure” in 1879, suggesting that the asylum be closed down and renovated to house the insane. In 1881, its doors were reopened as the Binghamton Asylum for the Chronic Insane, later renamed the Binghamton State Hospital. Hundreds of patients were transferred to Binghamton from Utica, Poughkeepsie and Middletown; those patients lived, suffered and died in the palatial asylum. Treatment methods only worsened with the turn of the century.
The hospital fell into steep decline in the late 1900s with the introduction of modern medicinal treatments, until it finally closed its doors in 1993. The building was declared a National Historic Landmark in 1997.
Main Image Gallery: Binghamton State Hospital",1993,"Binghamton, NY",Gothic Revival,
New York,Bronx State Hospital,https://www.asylumprojects.org/index.php?title=Bronx_State_Hospital,,,1963,Active,Single Building,,Bronx Psychiatric Center (Current) | Bronx Children’s Hospital | New York City Children’s Center,"Bronx State Hospital opened in 1963 and then later in 1969 opened the Bronx Children’s Hospital on the campus. The Campus was renamed as the Bronx Psychiatric Center while the children's hospital became the New York City Children’s Center. Along with the two main buildings, the institution grew to include numerous out-patient programs along with associated buildings.
In 2008, the center began construction on a set of new buildings to replace the outdated main structures. This new 436,310-square-foot facility features modern amenities for the 156-bed Bronx Psychiatric Center, the 86-bed New York City Children’s Center- Bronx Campus, and an expanded 188-bed residential village providing transitional and supported housing to adults with behavioral health issues. Its doors opened up in 2015. [1]",,"Syracuse, NY",,
New York,Brooklyn State Hospital,https://www.asylumprojects.org/index.php?title=Brooklyn_State_Hospital,,1852,1856,Active,Kirkbride Plan (Original),,Flatbush Insane Asylum | Kings County Asylum | Kings County Lunatic Asylum | Long Island State Hospital | Kingsboro State Hospital | Kingsboro Psychiatric Center,"The main building of Kings County Lunatic Asylum, located in Flatbush, was funded by Chapter 278 of the Laws of 1852, which authorized Kings County to negotiate a loan for the extension of hospital accommodations for care of the insane in connection with its almshouse. A further authorization, made by Chapter 255 of the Laws of 1853, provided for a loan to complete the institution under construction. This amount proved insufficient and an additional loan was authorized by Chapter 927 of the Laws of 1855.
The building as originally planned was to consist of an administration building and four wings, but when it opened only two wings had been erected. The institution received its first patients in April 1854; by the end of the first month of operation it was caring for 178 patients. The demand for more room for patients necessitated an enlargement, and four additional wings were built, two on either side of the original main building. The first two were occupied by patients on June 1, 1861, and the latter two on July 1, 1869. To make room for more patients, a building originally erected on the almshouse grounds as a nursery was remodeled for asylum use; 267 patients were subsequently transferred there. Known as the ""Hospital for Incurables,"" it functioned as a separate institution until May 1884, when it became part of the main asylum.
In February 1882, a fire occurred in the main building and destroyed the rear portion of the easterly end of the men's wards. After repair the building was used without extensive modifications until 1911, when the electric wiring and plumbing were renewed and fireproof stairways and steel ceilings were installed.
In 1885, a farm was purchased at St. Johnland (on the northern side of Long Island about 40 miles from the city of Brooklyn) as a site for a branch institution to relieve the overcrowding at Flatbush. This branch later developed into the Kings Park State Hospital. Transfer of patients to the branch began in the fall of 1885. The two institutions were under one management until 1900.
Kings County Lunatic Asylum became the Long Island State Hospital and was transferred to the state by the county on July 1, 1895. In 1900, the St. Johnland branch was given separate management and became Long Island State Hospital at Kings Park; the main part of the institution became Long Island State Hospital at Flatbush (Laws of 1900, Chapter 634). In 1916, Long Island State Hospital at Kings Park was renamed Kings Park State Hospital; Long Island State Hospital at Flatbush was renamed Brooklyn State Hospital.
In May 1916, ground was broken on the Brooklyn site for a reception hospital for 150 patients, and for a building for continued treatment cases to accommodate 400 people. These buildings were completed and open to use in 1919. That same year a contract was let for the construction of another building for continued treatment cases with a capacity of 400 people. The building was completed and occupied in 1921. In 1974, Brooklyn State Hospital was renamed Brooklyn Psychiatric Center. In 1975, it was renamed again to Kingsboro Psychiatric Center.
Brooklyn State Hospital is under the jurisdiction of the State Department of Mental Hygiene. It takes nervous and mental cases from Kings County. The institution has 2,725 beds with complete facilities for observation care, and treatment. The Brooklyn State Hospital was opened in 1895, taking over some of the functions handled by the Kings County Hospital. During the past twenty years all the old buildings have been replaced by fireproof modern structures. The hospital grounds cover twenty-eight acres, and around the nineteen-story central building, opened in 1935, are grouped a number of ward and service buildings. Additions now being constructed will increase the bed capacity to 3,250.
Main Image Gallery: Brooklyn State Hospital",,"Flatbush, Brooklyn, NY",,
New York,Buffalo State Hospital,https://www.asylumprojects.org/index.php?title=Buffalo_State_Hospital,,1870,1880,Active and Preserved,Kirkbride Plan,Henry Hobson Richardson,"Buffalo Psychiatric Center,  | Buffalo State Lunatic Asylum,  | H.H. Richardson Complex,  | Buffalo State Asylum for the Insane,  | Richardson Olmsted Complex","The Henry Hobson Richardson Complex, or the Buffalo State Asylum for the Insane, as it was originally called, started construction in 1870 and was completed almost 20 years later. It was a state-of-the-art facility when it was built, incorporating the most modern ideas in psychiatric treatment. The design of the buildings as well as the restorative grounds, designed by famed landscape designer Frederick Law Olmsted, were intended to complement the innovations in psychiatric care practiced at this facility.
At the time Richardson was commissioned to design the complex he was still relatively unknown, but he was later to become the first American architect to achieve international fame. The complex was ultimately the largest building of his career and the first to display his characteristic style - what came to be known as Richardsonian Romanesque – and is internationally regarded as one of the best examples of its kind. Among many others, his genius also yielded the New York State Capital, the Albany City Hall, Trinity Church in Boston, and the Glessner House in Chicago.
The complex and grounds were originally built on 203 acres of largely undeveloped farmland. The V-shaped design consisted of the central tower building with five buildings flanking on each side, connected by curved corridors, branching out in a “flock of geese” formation. This design was representative of what was then known as the Kirkbride system, named after the physician who developed it. As a stage of development in the classification and treatment of mental illnesses, Kirkbride’s system was designed with a central administration building flanked by patient wards in a V-formation. This enabled patients to be gathered according to the type and level of their illness. Rooms were arranged along both sides of the corridor and the buildings were designed for maximum light, ventilation, and privacy, and a home like atmosphere.
The central tower building and adjacent buildings were constructed using Medina Sandstone quarried in nearby Orleans County. The wings were constructed with brick.
A plan for laying out the grounds was prepared by Olmsted and partially completed. Olmsted’s paths and arrangement of spaces were designed to facilitate the activities and philosophy underlying the Kirkbride system. Calvert Vaux, also a landscape architect and collaborator with Olmsted, contributed to the final layout.
The final landscape design laid out the front side of the grounds as a park-style open space, ringed by winding walkways. It was thought that the park-like setting with spacious tree-shaded lawns would have a calming and therapeutic effect on the patients. The grounds behind the hospital buildings were the site of a large, 100-acre farm which extended to the rear boundary of the grounds at the Scajaquada Creek. These farmlands served to provide patients with constructive outdoor physical work in the form of farming, believing that purposeful physical labor would contribute to increasing the patients’ healing and general well-being.
Treatment for people with mental illness continued in the Complex until the late 1990’s. The new Strozzi Building of the Buffalo Psychiatric Center was built east of the historic complex in 1965. Over time services and administrative offices were moved out of the historic complex and into the new facilities, where they continue. In 1997, after completing an extensive statewide Master Plan, the NYS Office of Mental Health announced its intention to divest itself of several psychiatric hospital sites, including the old Buffalo Psychiatric Hospital.
Sections of the Richardson Complex were demolished and the buildings gradually deteriorated. In 1969 the three brick buildings on the east wing were demolished to make room for an adolescent treatment facility. The entire complex of buildings was abandoned and, left uncared for by the State of NY, allowed to deteriorate.
In previous studies, as well as the most recent one, numerous reuse options were evaluated but none were implemented. Among the options studied were: research incubator educational park; office or residential uses; arts center with various galleries, studios, etc.; and senior assisted living housing and the consolidation of Buffalo Public School’s Olmsted Schools.
The complex is internationally regarded as one of architecture’s great treasures. In 1973 it was added to the State and National Registers of Historic Places, and in 1986 it was registered as a National Historic Landmark – one of only seven such sites in Western New York - and is listed on the National Trust’s list of twelve nationwide ""sites to save"" and the Preservation League’s statewide list of seven ""sites to save."" [1]
The Architecture of Madness-Insane Asylums in the United States, Yanni, Carla, University of Minnesota Press (2007)",,"Buffalo, NY",,
New York,Central Islip State Hospital,https://www.asylumprojects.org/index.php?title=Central_Islip_State_Hospital,,,1887/1896,Closed,Cottage Plan,William E. Hauugaard,Manhattan State Hospital | Central Islip Psychiatric Center,"The Central Islip Psychiatric Center started out as a Farm Colony for New York City in 1889. The patients were transferred from the crowded city asylums on Wards, Hart, and Blackwell Island.
Eventually the asylum was taken over by the state and was renamed the Manhattan State Hospital. The campus consisted of 1000 acres and was the largest asylum by land area. Over 100 buildings were built, 2 of which were quite unique. One being several ward groups connected by corridors that stretched approximately one mile long. The elegant architecture and length of the building led to its name as the ""String of Pearls."" The other complex with a unique layout was called the ""Sunburst,"" which resembled a spoked wheel - the spokes were treatment wards connected to a central hub, with a curved, circular corridor connecting them all. A fire department with 10 employees was created in 1907, and a large medical building and a secure unit were constructed in the middle of the century.
Therapy consisted in working in the farms or one of the many shops. The center had two rail spurs to serve the main power plant (north colony) and the string of pearls (south colony) and even had its own steam engine. Visitors would also arrive by train and the hospital had its own passenger station. The hospital, later renamed to Central Islip State Hospital and finally known as Central Islip Psychiatric Center, began to become severely overcrowded through the 1950s. It reached its peak population of about 10,000 patients in 1955. Lobotomies, various types of shock treatments, and finally drug therapy replaced the long-gone treatments from the 19th century. The population dwindled in the 1970s and 1980s as de-institutionalization took hold, until it finally closed in 1996. The beautiful String of Pearls was demolished for the shopping mall that now stands in its place, the large 1953 power plant was imploded for condominiums in 2006, and the large secure treatment building called Corcoran together with the wooden 1907 firehouse were demolished in 2008. A few buildings have survived, as some of the campus was sold to the New York Institute of Technology and the structures have found a new use by the college. In May of 2017, the remaining NYIT-affiliated program(s) officially left the Central Islip campus, rendering the majority of the buildings unoccupied.
The Central Islip State Hospital (CISH) Power plant was constructed in 1953 by the Titusville Iron Works Co. and The Interboro Co.
It was constructed to meet the rising electrical demands of the expanding psychiatric facility located in Central Islip Long Island New York.
The Power plant utilized 3 large turbine generators driven by steam created in water tube boilers heated by coal, then eventually oil. Both fuels were delivered by freight train. The steam that spun the generators was then funneled through a system of pipes housed in underground cement corridors to the various buildings on the psychiatric grounds for heating.
The power plant was known as Building number 101 and technically referred to as The Powerhouse. It was the last of 3 power plants constructed on the psychiatric facilities grounds and by far, the largest.
In the mid 1970's, a famous World War II Sherman Tank was discovered buried south of the Power plant.
As de-institutionalization progressed across the United States and commercial power plants on Long Island emerged, The CISH Power plant was eventually relegated to the role of an electrical distribution hub for externally supplied electricity to the few remaining psychiatric buildings still in use.
In 1996, The Central Islip State Hospital was closed down and the property and buildings were sold to New York Tech.
New York Tech sold off the property on which the CISH Powerplant resided, and in 2006, it was demolished to make room for Condominiums.[1][2][3]
Main Image Gallery: Central Islip State Hospital",1996,"Central Islip, Long Island, NY",Tudor Revival & Colonial Revival,"10,000 est."
New York,Central New York Psychiatric Center,https://www.asylumprojects.org/index.php?title=Central_New_York_Psychiatric_Center,1910,1919,1923,Active,Cottage Plan,Lewis L. Pilcher,"Utica State Hospital, Marcy Division | Marcy State Hospital | Marcy State Psychiatric Hospital | Marcy Correctional Facility","Beginning with the Utica State Hospital in 1843, convicted state prisoners with mental illness and violent pasts have been shuffled between two agencies: correction and mental health. Class-action lawsuits brought on behalf of the inmates in the mid-1970s forced the closure of two correction-run psychiatric facilities and the opening of CNYPC under the state Office of Mental Health in 1977.
The Central New York Psychiatric Center (CNYPC) organization is a comprehensive mental health service delivery system providing a full range of care and treatment to persons incarcerated in the New York State and County Correctional Systems. CNYPC consists of a 220 bed maximum security inpatient facility located in Marcy, NY. CNYPC is the only state facility where male and female patients may be involuntarily hospitalized pursuant to Section 402 of the NYS Corrections Law.
The inpatient facility also includes the Northeast Central Regional Forensic Unit which provides inpatient services for pre-trial detainees from 25 upstate county jails including evaluations for competency to stand trial, NGRI and commitment under Section 508 of the NYS Corrections Law. CNYPC's ""corrections based component"" consists of a statewide network of mental health units located in designated NYS Department of Corrections and Community Supervision (DOCCS) facilities. There are a total of 28 outpatient clinics with 15 full Satellite Units providing a total of 205 crisis beds, 781 Intermediate Care Program beds, and clinic services to approximately 8,500 inmate/patients of the DOCCS 57,000 inmate population.
In addition to its Forensic and Outpatient Programs, CNYPC has a 225 bed, state of the art, Sex Offender Treatment Program (SOTP). The SOTP's mission is to balance individual treatment needs and community safety. The treatment model promotes positive changes for individuals participating in the program in an effort to reduce the risk of future sexual re-offense. The CNYPC inpatient/outpatient system is fully accredited by The Joint Commission and is the only statewide Correctional/Mental Health system in the United States to have obtained such distinction. [1]
NOTE:This facility originally opened around 1912 as a farm colony to Utica State Hospital, later became independent.
Main Image Gallery: Central New York Psychiatric Center",,"Marcy, NY",,
New York,Creedmoor State Hospital,https://www.asylumprojects.org/index.php?title=Creedmoor_State_Hospital,,1912,1912,Active,Cottage Plan,,Brooklyn State Hospital-Creedmoor Division | Creedmoor Psychiatric Center,"Creedmoor Psychiatric Center in Queens Village, Queens, New York, provides inpatient, outpatient and residential services for severely mentally ill patients. The history of the hospital and its campus, which occupies more than 300 acres (1.2 km²) and includes more than 50 buildings, reflects both the urbanization of the borough of Queens, New York, and a series of changes in psychiatric care.
The hospital’s name derives from the Creeds, a family that previously farmed the site. The local railroad station on a line that ran from Long Island City to Bethpage took the name Creedmoor, apparently from the phrase “Creed’s Moor,” describing the local geography. In the early 1870s, New York State purchased land from the Creeds for use by the National Guard and by the National Rifle Association (NRA) as a firing range. The Creedmoor rifle range hosted prestigious international shooting competitions, which became the forerunner of the Palma Trophy competition. In 1892, as a result of declining public interest and mounting noise complaints from the growing neighborhood, the NRA deeded its land back to the state.
Creedmoor State Hospital opened as the farm colony for Brooklyn State Hospital (now Kingsboro), with 32 patients who worked the farmland as part of their treatment, and to ease the expense of their room and board. This was a time when fresh air, physical labor, and rural living were thought to be the best cures for diseases as wide ranging as hysteria and dementia. A self-sustaining community was developed, and to this day many lament the cessation of such programs.
By 1918, Creedmoor’s own census had swollen to 150, housed in the abandoned National Guard barracks. By 1959, the hospital housed 7,000 inpatients. Strange anecdotes regarding Creedmoor and the surrounding areas populated the New York Times’ archives far before deinstitutionalization. The hospital came under scrutiny in the 1940s after a dysentery outbreak due to unsanitary living conditions in the wards. One article tells of a 26-year-old German man with a foot-long beard caught living as a hermit in the woods near Creedmoor in 1931 (police prepared him a steak dinner after arrest). A 1953 article reported two mentally deranged patients overpowering an attendant and escaping Creedmoor, avoiding capture despite a 13-state police alarm. Creedmoor is described as an overcrowded, understaffed, depressing institution in Susan Sheehan's Is There No Place On Earth For Me? (1982), a biography of a patient pseudonymously called Sylvia Frumkin.
By 1974, the hospital was completely out of control, with on-campus crime reaching horrifying numbers: three rapes, 22 assaults, 52 fires, 130 burglaries, six suicides, a shooting, a riot, and an attempted murder occurred within 20 months of each other. And then, in 1984, a patient died after being restrained in a straitjacket and beaten by a staff member with a blackjack.
Staff members reported terrible conditions during this time: being locked in the violent ward, outnumbered by men committed for violent abuse moved to Creedmoor straight from prison, and having to sneak weapons into work for self-defense. A 1977 article tells of one patient who, despite being committed due to stabbing his wife 60 times in the chest and strangling his child with an electric cord, was allowed to freely wander the grounds until the day he casually escaped. Furthermore, this was not an infrequent problem, as Creedmoor maintains an open gate policy despite its solid population of criminals convicted for violent crimes.
The hospital's census had declined by the early sixties, however, as the introduction of new medications, along with other factors, led to the deinstitutionalization of many psychiatric patients around the world. By 2006, parts of the Creedmoor campus had been sold and the inpatient census was down to 470. Today Creedmoor is divided into two sections by Union Turnpike, with the state Office of Mental Health’s psychiatric center in the north. The south campus is home to a number of different programs — some run by various state offices, others by independent nonprofits — many of which provide outpatient services to people with substance-abuse, psychiatric and/or developmental-disability issues.
The hospital’s notable ventures include The Living Museum, which showcases artistic works by patients and is the first museum of its kind in the U.S. In addition, Creedmoor is home to a self-appointed Chassidic Rebbe known as the Admou""r meCreedmoor. The Admou""r is suspected of taking advantage of his diagnosis of multiple personality syndrome in order to defraud Federal and State entitlement programs.
Between the years of 1961 and 1966 LSD-25 was tested on a group of schizophrenic children in the hospital's Children's Unit.
Main Image Gallery: Creedmoor State Hospital",,"Jamaica, Queens, NY",,
New York,Dannemora State Hospital,https://www.asylumprojects.org/index.php?title=Dannemora_State_Hospital,1896,,1900,Preserved,Cottage Plan,,Dannemora State Hospital for Insane Convicts  | Adirondack Correctional Treatment and Evaluation Center | Clinton Correctional Facility Annex,"Four years after the opening of the Matteawan State Hospital it had become evident that that institution would soon be overcrowded. The conditions were such that Governor Morton, in his annual message in 1896, recommended the erection of a building on state land at Dannemora, where convict labor from Clinton Prison would be available. The Legislature, acting upon this recommendation, appropriated $25,000 from the prison capital fund and work was begun. After some delay, due to insufficient appropriations, a comparatively small section of the institution as planned was, in 1900, made ready for the reception of patients. At this time there had been completed at Dannemora a block with two wards for patients, connecting with a central loggia on the first floor and a small infirmary on the second, an employees’ dining room, the main kitchen and the power house. There were no office rooms nor staff quarters and the superintendent and his
assistants were obliged to appropriate for such use the operating room, pharmacy and three or four small guard rooms.
Dannemora State Hospital for Insane Convicts opened in 1900. Dannemora confined and cared for male inmates who were declared insane while serving sentences. Matteawan State Hospital transferred to Dannemora all male inmates who had at least six months left to serve on their sentences. Males serving sentences for felonies in State prisons, reformatories, or penitentiaries, and who were declared insane, were also transferred to Dannemora. In 1912, the name of the institution was changed to the Dannemora State Hospital. In 1972, Dannemora closed and all inmates were transferred to Matteawan.
When Dannemora State Hospital closed, the site became the Adirondack Correctional Treatment and Evaluation Center. This facility offered programs for the rehabilitation of persistent offenders and included a diagnostic team of specialists in psychiatry and psychology. In 1975, the Center closed and the site was converted into the Clinton Annex, a medium security facility for male inmates. Camp Adirondack, a medium security work camp, was also established at the site in 1975. The following year, Camp Adirondack was transferred to Ray Brook and was renamed the Adirondack Correctional Facility.
ACTEC's staffing did not survive budget cutbacks. It closed in 1975, and its grounds and buildings were then annexed to Clinton. Clinton Annex maintained the DSH/ACTEC site's treatment tradition. The Merle Cooper program was introduced in 1977 for inmates who have trouble adjusting to incarceration and to deal with inmates' real or imagined fears of other inmates, and to transition them into the general population. In 2013 the Merle Cooper Program was eliminated and a Special Needs Unit in the main portion of Clinton Correctional was established as an alternative method of programming. Late December the Cuomo administration announced that the Watertown and Gowanda Correctional facilities and the Clinton Annex, part of the Clinton Correctional Facility, will be closed by March 30th.",1975 (as a psychiatric facility),"Dannemora, NY",,
New York,Edgewood State Hospital,https://www.asylumprojects.org/index.php?title=Edgewood_State_Hospital,,1940,,Demolished,Cottage Plan,,Mason General Hospital,"Edgewood State Hospital was a tubercular/psychiatric hospital complex that formerly stood in Deer Park, New York, on Long Island, New York, USA. It was one of four state mental asylums built on Long Island (the others being Kings Park, Central Islip, and Pilgrim), and was the last one of the four to be built.
The hospital was built in the early 1940s, believed to be a Works Progress Administration-funded project. It consisted only of ten buildings (including its massive, prominent 13-story main building), making it the smallest of the four as well (although it was planned to be a larger complex, those plans never made it past paper). The facility was commandeered by the War Department after the United States entered World War II. The War Department completed its construction for use as a psychiatric facility for battle-traumatized soldiers. Its entire campus (in addition to three buildings from nearby Pilgrim State Hospital and numerous temporary structures) was used as ""Mason General Hospital"" by the department.
When the war ended, the hospital was transferred back to New York State, where it essentially operated as the tubercular division of Pilgrim for a few years. In 1946 film director John Huston was assigned by the U.S government to film a documentary film about recovering soldiers in the hospital for propaganda purposes, the film was called ""Let There Be Light"".
Advancements in medicine throughout the 1950s and 1960s that offered alternatives to institutionalization led to decentralization, and the hospital closed in 1971. In the 80’s, there were huge fires that seemed to burn on an annual basis. These fires took their toll on the Hospital, destroying the trademark French style château roof, exposing the metal support pillars. The buildings became home to vagrants, vandals, and partying teenagers, while the land became a dumping ground for old tires, stolen cars, mattresses and other garbage. In May of 1988, City Construction Development Inc. of Jersey City bid $4.9 million to demolish the former Deer Park hospital's four main buildings. On August 16, 1989, to the delight of local citizens and politicians, the tallest building in Long Island, was crumbled to dust. For a few seconds, it looked like the northwest wing of the main building was not going to collapse. However, it finally succumbed to it’s fate, about 5 seconds after the rest of the building. On this day, the main building (102), the nurses dormitory (140), the remnants of the gym, church, movie theater, and kitchen (building 105) were demolished. The final bill for demolition on this day was estimated to be between 11 and $13 million, and it was the largest demolition of state-owned property ever. The final remaining structures were disposed of around 1990–91. Today, the site sits as an open, state-protected oak-brush plains preserve, but one can still find remnants of the former hospital, such as the old rail spur, fire hydrants, etc., scattered about.[1][2]
Let There Be Light was a 1946  American documentary film directed by John Huston.
The film was the final entry in a John Huston trilogy of films produced by the request of the U.S. This documentary film follows 75 U.S. soldiers who have sustained debilitating emotional trauma and depression. A series of scenes chronicle their entry into a psychiatric hospital, their treatment and eventual recovery.
Much of the filming was shot at Edgewood State Hospital.
The film was controversial in its extremely effective portrayal of shell-shocked soldiers from the war. It was subsequently banned after its release despite the fact that the movie was commissioned by the US Army itself, due to the potentially demoralizing effects the film might have on the soldiers.",,"Deer Park, NY",,
New York,Gowanda State Hospital,https://www.asylumprojects.org/index.php?title=Gowanda_State_Hospital,1894,,1898,Closed,Echelon Plan,Esenwein & Johnson,Gowanda State Homeopathic Hospital | Gowanda Correctional Facility (Current),"Gowanda State Hospital was built by the architectural firm of Esenwein and Johnson who had an architectural practice in Buffalo, New York. The firm was administered by August Carl Esenwein (1856 – 1926) and James Addison Johnson (1865 –1939). They were the architects for Gowanda State Hospital from 1896 to 1912. Gowanda Osteopathic Hospital opened its first building in 1896 upon the 500 acre tract removed from the Taylor Farm by the state of New York. Taylor had previously bequested this acreage to his many nieces and nephews.
Gowanda State Homeopathic Hospital West Group was described in the 1930s as having 1,254 beds, having treated 1,429 patients that
year by 6 house staff, with the result of a history of 4.1% deaths. There are also 10 homeopathic physicians working as consultants from the western New York area. Patients were treated under strict Homeopathic auspices. The medical complex consisted of two-story wings projecting from the main building, two three-story pavilion style buildings, two pavilions for patients with tuberculosis (TB), power house, laundry, kitchen, main dining room building, and smaller dining rooms in several buildings, farm, workshops, nurses home, store room, amusement hall/auditorium, main staff house, and superintendent’s resident -- all built prior to 1946.
GSH also had a Hospital Nursing School, which trained employees for the facility. A graduate program was held every year on the hospital grounds in September. It included an overture, processional, invocation, solo by a singer, address, presentation of new nurses, the
administration of the Nurses’ oath, and a benediction in the program. Nurse uniforms were the traditional nurses’ white cap and a seersucker dress with a white apron. The average class was coed. Many of the orderlies at GSH were Seneca Indians who lived on the Cattaraugus Indian Reservation property that abutted the state hospital property. The hospital maintained an archery range, a three-hole full sized golf course, a pond stocked with fish, and a recreational center with movies shown in two showings on Saturdays.
Admissions to the hospital usually occurred during the day. New patients would come in usually by court order. They would be isolated from other patients for thirty days for observation and testing. Mentally ill patients are frequently disoriented by their previous
experiences and thirty days of a more peaceful environment would improve their demeanor or reveal problems they had. Patients were disoriented for various reasons ranging from mental disease, experiences of war, loss of family, homelessness, job loss and other traumatic events
of life. Patients judged to be criminally insane were then sent to Matteawan State Hospital for the Criminally Insane or Dannemora State Hospital and not kept at GSH.
GSH had open and closed wards. Some wards were like dorm rooms where patients could not leave. Other wards were two-to-a-room. And other wards in other buildings had patients who could leave during the day and then had to return at night. Curfew times would vary according to the ward. The overall issue was everyone’s safety at all times and that all patients had things to do. Idle patients meant nothing but trouble for the  hospital, the ward, staff, and the group of patients involved. Patients with assigned work duties would go to work.
By the 1970s, because of the Rockefeller Drug Laws, the prison population began exploding in numbers, forcing officials to look wherever they could for housing facilities. Gowanda Psychiatric was one of these facilities. When it was discovered that drugs were much cheaper than hospital asylums,Gowanda closed very slowly over a period of time. In 1979 GSH lost its farm program and more of its general population who worked on the farm. The signs of change that would happen in the care of the mentally ill led to attempts at reducing costs. In 1982 the state took over 40 percent of the hospital grounds and began to convert the area to a medium security prison. The rest of Gowanda Psychiatric Center (then the new name for Gowanda State Hospital) had been scheduled to shut down by the beginning of 1991, but it remained open for a couple of more years. In 1993 the state spent $2.9 million to keep the staff and only 14 patients on the premises as part of their plan to keep the facility available for future use. This plan failed when the issue became a fiscal red herring. The closing of the state hospital stretched over many years and was met by protests first against job losses and later against having a prison in the area, despite the additional new job possibilities.
In 1982 the state converted 40 percent of Gowanda State Hospital into a medium security prison and named it Collins Correctional Institution (two separate prisons I and II). In 1994, the Department of Corrections of the State of New York opened a second prison which is located on the state hospital grounds adjacent to Collins Correctional Institution and named it Gowanda Correctional Institution. Gowanda houses 2,300 male prisoners. The ratio of employees to prisoner is 1 employee for every 2.3 prisoners. Staff correctional officers typically work for a range of 12 to 25 years for the institution and live locally. The prisons are separated by a fence and are administered as separate entities that share only heat, water, and power from the old Gowanda State Hospital power plant.
Collins Correctional Institution was founded in 1982 and is divided into two separate compounds (Collins I and Collins II), each with its own secured perimeter fence. Many of the new employees had been employees of the former Gowanda State Hospital. Each compound has a mess hall, library, reception area, commissary, recreational areas, and visiting rooms. There are multiple occupancy rooms in the compounds as well as single and double cells for prisoners. Collins also has a maximum security S-Block. These are 100 cells of double occupancy for inmates who have a tendency to assault staff or not to respond to orders that are used to segregate them from the general population.
Gowanda Correctional Institution opened in 1994 with the transfer of inmates to the new facility. It was located across the road from Collins Correctional Institution to the north and covered additional buildings and grounds of the former state hospital on 40 acres. 2 towers of six stories, known as A and B buildings, were built in 1957. They were built parallel, are identical in appearance and are connected by a four story crossover that contains offices, classrooms and a large kitchen which delivers meals to the entire facility. Gowanda has 33 cafeterias to receive food. Underground tunnels from the old state hospital are used to deliver food. East of the towers is a one-story brick building in the shape of a cross that was built in 1933. It has classrooms, a commissary, and maintenance areas. West of the towers is a one story building built in 1985, which is used for a gymnasium, a library, and an employee cafeteria. South of the towers are two identical three-story brick buildings, built in 1933. Each has a long wing jutting out of the four corners. The buildings are named C and D and are used to house inmates, special inmates such as sex offenders.
The Cuomo administration announced Dec. 21, 2020, that it would close Gowanda Correctional Facility, along with one in Watertown and the annex at Clinton Correctional, a maximum-security state prison in Dannemora. The state gave the facilities 90 days before closing each of them at the end of March 2021.
Main Image Gallery: Gowanda State Hospital
A small cemetery used between 1898 & 1994 contains around 500 graves.",2021,"Gowanda, NY",,"4,000 1946-52"
