State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population
Virginia,Catawba Sanatorium,https://www.asylumprojects.org/index.php?title=Catawba_Hospital,,,1908 (state owned),Active,Cottage Plan,,Catawba Hospital,"The land on which Catawba Hospital stands has a history of healing dating back to 1857. That was the year several businessmen from Salem, VA discovered the potential of sulphur and limestone springs on Catawba mountain.  In June of 1858, they opened Roanoke Red Sulphur Springs Resort.  The 700 acre resort extended up the mountain from the Catawba Valley.  It lies ten miles north of Salem on the northern border of Roanoke County, VA.  Joe Chapman later bought the Roanoke Red Sulphur Springs resort.
Chapman catered to people who wanted to escape to the mountains for the good, clean, healthful air and the peace and quiet that this remote resort offered. Chapman advertised his water as being valuable in the treatment of lung diseases.  He shipped the spring water around the country and dubbed it, ""Catawba Iron or All Healing"". At the height of its popularity, the main hotel accommodated 300 guests. Residents of Roanoke were repeat guests at the resorts which  continued to operate until 1908.
By the early 1900s, the resort attracted many tuberculosis victims. In 1908, the Commonwealth of Virginia purchased the property from the Chapman family.  The Commonwealth appropriated $40,000 to establish the first Tuberculosis Sanatorium. Initially wooden pavilions housed TB patients.  Patients in 1909 were treated to fresh air (cold or hot), plenty of sunshine, rest and as much food as they could handle. These were the only known treatments for Tuberculosis until the advent of thoracic surgery around 1920. Tuberculosis was eventually brought under control with the invention of Streptomycin and Isonicotinic Hydrazide (INH) in the late 1940s and 1950s.
In 1972, Catawba Hospital became part of the Department of Mental Health and Mental Retardation (in 2009, renamed to Department of Behavioral Health and Developmental Services) as a treatment and rehabilitation center for the psychiatric needs of geriatric patients.  In 1981, a unit for acute, short-term psychiatric treatment of patients ages 18-64 was opened.  In 1985, Catawba Hospital received accreditation from the Joint Commission on Accreditation of Healthcare Organizations.  Part of the Commonwealth of Virginia public behavioral health system, Catawba Hospital specializes in serving adults including geriatric individuals who are in need of mental health care.",,"Catawba, VA",,
Virginia,Central Lunatic Asylum,https://www.asylumprojects.org/index.php?title=Central_Lunatic_Asylum,1882,1885,1885,Active,Kirkbride Plan(Demolished)/ Cottage Plan,,Central Lunatic Asylum for Colored Insane | Central State Hospital (Current),"The origin of Central State Hospital dates back to the close of the Civil War when in April 1865, Congress created the Freedman's Bureau to establish hospitals, schools and other facilities for the African-American population.
In December 1869, a former Confederate Facility, known as Howard's Grove Hospital, was designated as a mental health hospital for African-Americans. The name was later changed to Central Lunatic Asylum. In June 1870, the General Assembly passed an act incorporating the Central Lunatic Asylum as an organized state institution. When the Commonwealth of Virginia assumed ownership, there were ""123 insane persons and 100 paupers, not insane"" housed at the asylum. Many patients arrived at Howard's Grove by way of civil commitments made by local judges at the request of friends and family. Other patients were removed from local jails and criminally committed. The asylum was overseen by a superintendent who answered to the Court of Directors. As with other state institutions, physicians, nurses and matrons were employed to care for patients. The buildings at Howard's Grove during the period of 1870 to 1885 were described as being of plain, if not crude, wood construction. They were divided into sections according to the patient's particular ailment or behavior. Residents were fed in their cells, as no dining facility existed at that time. There was no sewage system, and light was supplied by kerosene lamps and candles.
In 1882, the Mayfield Farm in Dinwiddie County was purchased by the City of Petersburg for $15,000 and presented to the Commonwealth for the development of a new mental health hospital. The first patients (a total of 373) were transferred to the present site of the hospital on March 22, 1885. Ten years later, the population had doubled and by the end of 1950, there were 4,043 inpatients with 691 on parole or escape status. Construction of the new facility near Petersburg was completed in early spring 1885. Additional tracts of land were purchased and new buildings were constructed regularly thereafter, as the number of patients increased. The new construction later included a special building to house the criminally insane apart from the rest of the hospital population. This section of the campus would later be referred to as the Forensic Mental Health Unit. An early institutional history notes that treatment at Central Lunatic Asylum during the 1890s was humane and emphasized the value of work and the benefits of recreation. However, practices at the facility also included seclusion, mechanical restraints, and the administering of hypnotics.
By 1894, Central Lunatic Asylum was officially renamed Central State Hospital. This piece of legislation also altered the names of the other mental health facilities in Virginia in and attempt to inspire a more positive image of the institutions, and of mental health treatment in general. It is important to note that another state institution located in Staunton, Virginia went by the name Central Lunatic Asylum between the years of 1861 and 1865. Its name was later changed to Western Lunatic Asylum, and is a separate facility with no connection to the Richmond/Petersburg hospital for African Americans.
During the 1950's, a Maximum Security Forensic Unit was built for the evaluation and treatment of patients referred by the courts. Within a few years, the average inpatient population had reached 4,800 and overcrowding in the old unsafe ward buildings had become a major problem. A geriatric treatment center was also erected for the care of the chronically ill and bedridden. This was the first in a series of five treatment buildings constructed specifically for geriatric services. With the improvement in community services, the Barrow Geriatric Center was closed in the summer of 1985.
The years between 1962 and 1968 brought many changes to CSH. Hospital services and facilities were upgraded and four adult treatment buildings were erected. The early sixties also saw the beginning of treatment for adolescents and the first alcohol abuse treatment program. From its founding until the passage of the Civil Rights Act of 1964, Central State Hospital served and treated only African-American Mentally Ill, Mentally Retarded, Geriatric, and Criminally Insane from the entire state of Virginia. In 1967 the Hospital opened its doors to accept patients regardless of race or national origin and only from the Central Virginia area.
In 1971, Mentally Retarded patients at Central State Hospital were transferred to a new and separate facility constructed on the campus specifically for the the treatment of the Mentally Retarded. Central State Hospital still operates as a state-run institution in the same general location as it did in 1885. Though its clientele, medical practices, and appearance have changed over time, the mission of Central State Hospital remains much the same: ""to provide state of the art mental health care and treatment to forensic and civilly committed patients"" in central Virginia. Southside Virginia Training Center continues to treat nearly 600 severely and profoundly retarded patients.
Main Image Gallery: Central Lunatic Asylum",,"Petersburg, VA",,"4,855 in 1958"
Virginia,Eastern State Hospital,https://www.asylumprojects.org/index.php?title=Eastern_State_Hospital,1771,1773/1935(Current location),,Active,Pre-1854 Plans (Original)Cottage Plan,,Public Hospital For Persons of Insane and Disordered Minds | Eastern Lunatic Asylum,"In 1771, contractor Benjamin Powell was appointed to began construction on the public hospital. The public hospital was a two-story brick building south of Francis Street. A fire in 1885 destroyed the original 1773 hospital building, which included a central hall leading to the keeper's quarters and the patient cells. A central staircase led to the room in which the court of directors held their meetings, as well as to more patient accommodations. Before he was finished, Powell was also directed to add outdoor ""yards for patients to walk and take the Air in"" and to ""put a fence around the lot."" The first patient was admitted to the public hospital on October 12th, 1773. The hospital's maximum capacity was 24 patients, a number that was not reached until the early 1800s.
The public hospital showed aspects of both jail and infirmary in its design, expressing the increasing fear of social deviants occurring at that time. There were three people originally staffing the public hospital: a keeper, a matron (for female patients), a physician, and a few slaves to care for the daily upkeep of the hospital and its patients. The keeper of the hospital was James Galt, and his wife was the hospital matron.
In 1841, the name of the public hospital was changed from The Public Hospital For Persons of Insane and Disordered Minds to Eastern Lunatic Asylum, carrying with it the connotations of a sanctuary for the mentally ill. Also in that year, a third story was added onto the main building. The gaol-like positions of superintendent and matron were replaced with the position of superintendent. The superintendent was a resident, full-time doctor and head administrator to the hospital. The superintendent in 1841 was John Minson Galt II, who made sweeping changes in the management and care of patients. At his death in May of 1862, the hospital housed between 200 and 300 patients in its 7 buildings.
In the 1850s, Superintendent Galt suggested a day-patient approach similar to the town of Geel (present-day Germany), where patients went into town and interacted with the community during the day and returned to the hospital at night to sleep. The Court of Directors rejected this proposal. The idea was a century ahead of its time and re-emerged as de-institutionalization in the 1900s. However, Dr. Galt did carry out an experiment with de-institutionalization in Williamsburg that lasted for a decade. Convalescing patients who behaved well and had good self-control (approximately half of the 280 patients at the time), had the freedom of the town at all times during the day. The townspeople were also encouraged to visit and socialize with patients still confined to the hospital grounds. Many of these changes were a part of a new era called ""moral management,"" brought about due to a change in social perception of mental illness.
Many changes to Eastern State Asylum occurred at this time. The asylum, as well as the surrounding area, was captured by Union troops on May 6th of 1862. John Minson Galt II, superintendent for 21 years, also died that month. With the capture of the city, all but one of the white attendants had fled. The 252 patients had been left, locked in their apartments to starve. The remaining attendant, Sommersett Moore, handed the keys to the hospital to the Union army and saved the lives of the patients.
A great many changes occurred during the next 23 years, to both the administration of the hospital, and to the size of its population. Superintendents did not always have the full support of their staff or the Court of Directors, and the hospital did not always receive adequate financial support. In 1876, fire destroyed one of the asylum buildings. One superintendent, Dr. Harvey Black, was inspired by Dr. Galt's manuscripts to try and deinstitutionalize some of the 400+ patients at the hospital in the late 1880s. He was fired by the court of Directors and replaced by Dr. Richard Wise, whose goal was to find space within Eastern State Asylum for as many ""unfortunates"" as possible. Under his supervision, the population of the hospital rose from 323 to 447 patients. At this time, there were 10 buildings on the Eastern State Asylum property. A few of the therapeutic activities introduce by Galt still continued, but for the most part the hospital became a long-term care facility for the chronically ill.
After the Civil War, there was an increasing lack of confidence in the ability of science to cure mental illness. Though mental illness was believed to be hereditary or of physical nature, the problem of its cure defied scientific solution. The hospital became crowded with the chronically mentally ill, and the number of patients successfully cured declined. Admission to the hospital was on a first-come, first-serve basis, regardless of chances for successful treatment. During the era of custodial care, the goal became not to cure mental illness, but to provide a comfortable environment for the mentally ill, separate from society. Recreational activities such as dances, steamboat excursions, and tea parties were offered to patients, as well as magic lanterns, a stereopticon viewer, and checkerboards. The use of restraints, in the forms of straight-jackets and Utica cribs (mesh boxes to confine the violent and unruly), were also reintroduced during this time.
On June 7th in 1885 on a Sunday evening, a fire destroyed the original 1773 hospital building. The nearest fire engine at the time was in Richmond, some 50 miles away. Students from the nearby College of William and Mary came to the assistance of the hospital staff to help put out the fire. By the time the fire was out, five other buildings in the asylum complex had burned down. The fire left two patients missing (presumed dead) and 224 other patients displaced. Electrical wiring for lighting, one of the improvements made to Eastern State Asylum during the superintendence of James D. Moncure, was suspected of sparking the blaze.
In 1894 the hospital was renamed from Eastern Lunatic Asylum to Eastern State Hospital. By 1935 Eastern State Hospital housed some 2000 patients with no more land for expansion. The restoration of Colonial Williamsburg and the Williamsburg Inn surrounded the facility with a thriving tourist trade. A proposal was made to move the hospital to Dunbar Farms, located west of the city on Ironbound Road. The first care buildings at Dunbar were constructed and inhabited in 1937. The Dunbar Farm land is where Eastern State Hospital stands to this day.
Treatment of patients also changed during this time, as effective psychiatric drugs for the treatment of mental illness became available after World War II. The idea of community-based care, a version of which was proposed by Dr. Galt a century prior, was carried out in the 1960s under the name of deinstitutionalization. To learn more about the current treatments available at Eastern State Hospital, click here or return to the homepage to browse.
When the move from Francis Street to Dunbar Farms was completed in 1960, the old asylum complex was razed. In 1972 the original public hospital building was excavated. The debris from the 1885 fire had merely been shoveled into the remaining foundations, and various small items such as glass were recovered. In 1979, Colonial Williamsburg received approval to reconstruct the old hospital building, which was opened to the public in June of 1985. Today, the reconstructed building houses a public hospital exhibit, staff offices, and serves as an entrance to the DeWitt? Wallace Decorative Arts Museum.[1]
Main Image Gallery: Eastern State Hospital
The Eastern State Hospital Cemetery is but a short distance from the original Hospital location. Patients who died were buried here, but all were laid to rest on unmarked graves, thus the cemetery for the most part is just a piece of well kept land. It has wrought fence on the front of the cemetery, and immediately upon entering the gate there is a monument area that was erected in 1986, consisting of five granite stones with the theme ""CELEBRATING THEIR DIGNITY"".
The following words are inscribed in one of them:""We erect this monument in memory of those persons whom we have known, loved and served through the years. While living they knew the suffering of inner pain, confusion and despair. Now they are at peace in the hands of God where no torment will ever touch them again"".
On the other four stones, the names of all laid to rest are inscribed, over 1,200. They are not alphabetized nor does it show any dates. There are only about half a dozen old stone markers in the cemetery, and on the last few years, simple stones with names and dates are noted by the fence area.",,,,
Virginia,Northern Virginia Mental Health Institute,https://www.asylumprojects.org/index.php?title=Northern_Virginia_Mental_Health_Institute,1968,,1969,Active,Single Building,,,"The Institute was established in January 1968 as a short-term hospital to provide intensive treatment to individuals with acute mental health needs living in Northern Virginia. The hospital's physical plant encompasses a one-story brick structure with a basement area under approximately one-third of the building. All patient areas, as well as most of the clinical and administrative offices are located on the ground level, with a few additional staff offices and supply rooms located in the basement level.
Currently, the Institute has five co-ed patient care units. The Admissions units, F1 and F2, each has 20 beds. Intermediate Care unit, I1, has 27 beds and Intermediate Care unit, I2, with 28 beds has intermediate and forensic patients. Unit K, the psychosocial rehabilitation unit, has 34 beds.",,"Falls Church, VA",,
Virginia,Southwestern State Hospital,https://www.asylumprojects.org/index.php?title=Southwestern_State_Hospital,1884,,1887,Active,Cottage Plan,Harry and Kenneth McDonald,Southwestern Lunatic Asylum | Southwestern Virginia Mental Health Institute,"In March 1884 the Virginia General Assembly appointed a board of commissioners to select a site for a new lunatic asylum for white citizens to be built west of New River. The board selected a 208-acre site in Smyth County and in August 1884 the General Assembly gave the board the power to purchase the land for thirty thousand dollars and granted the county the right to issue bonds as well. In November 1884 the General Assembly formally established the Southwestern Lunatic Asylum, near Marion, Virginia. Dr. Harvey Black, J. Hoge Tyler, Thomas J. Boyd, D.D. Hull, Dr. John S. Apperson, N.L. Look and F.B. Hurt were appointed to the building committee which was tasked with overseeing the construction of the hospital.
An article in The Conservative Democrat of Richmond, Virginia, dated February 3, 1887, stated that the
Southwestern Lunatic Asylum, as it was then named,was considered “the most modernized and convenient institution, as well as the most economical in cost that
had been built.” When it opened, the building could accommodate 280 patients, but it was expected that 800 patients would be housed when the wings were
expanded at a future date. The original building included six patient wards that were attached to the rear (south) of the current Henderson Building; Wards
A, B and C were for women, and Wards 1, 2 and 3 were for men. An additional ward called Ward D was located on the third floor of the Central Building. The building
also housed a kitchen, laundry, bakery, two dining rooms (one for men and one for women), a sewing room, elevator, and patient and attendants’ rooms.
Dr. Harvey Black became the first superintendent of Southwestern Lunatic Asylum when it opened in May 1887. Dr. Robert J. Preston and Dr. John S. Apperson served as assistant physicians, and Mr. C.W. White was appointed as steward to oversee the day-to-day business operations of the hospital. The hospital received its first two patients on May 17, 1887, both of whom were from Washington County, Virginia. Adam Surratt, a 27-year-old laborer, died on June 17, 1903 with a diagnosis of
“abscess of the brain” and is buried on the grounds of Southwestern Virginia Mental Health Institute. The second patient was Elizabeth Barker, a 53-year-old woman who was discharged on September 30,1890 as “recovered.” The patient population grew steadily and over time several buildings were added to the hospital's campus including a tuberculosis treatment building, a building for the criminally insane, the Davis Clinic, and the Harmon Building. For much of its early history, the hospital was mostly self-sufficient through the utilization of its own farm for meat, milk, and vegetables. Other early hospital superintendents include Dr. Robert J. Preston (1888-1906), Dr. Daniel Trigg (1906-1908), Dr. J.C. King (1908-1915), Dr. E.H. Henderson (1915-1927), and Dr. George A. Wright (1927-1937).
Eight acres of land was bought that bordered the front lawn and was within 300 feet of the main building in 1910. Three dwelling houses,each containing seven rooms, were built near the hospital to be rented to employees. A complete brick plant with the capacity for 25,000 bricks per day was also built in preparation for building the new Criminal Insane Building. It was anticipated the new building would accommodate 100 to 125 individuals and work was begun on this building in early July 1910. The transfer of 30 epileptics to the Virginia State Epileptic Colony in 1911 gave temporary relief of the overcrowded conditions in the male department; their places, however, were quickly filled with new admissions. The Criminal Insane Building was completed and received its first patients on January 6,1913.
A new Power Plant was built in 1923, along with a tunnel 7 x 5 feet and 556 feet long extending from the
power plant to the main hospital building. This tunnel carried all the steam, hot water, electric and
telephone lines. A brick garage was also built at that time that could accommodate 14 cars. It was
steam heated and the spaces were rented to employees at a nominal fee.
The old Power Plant and kitchen were subsequently torn down and a new wing, four stories high, was
added to the extreme southern end of the main building. This addition
contained bed space for 150 patients on Wards D and L, along with a new
kitchen, sewing room, laundry, storeroom, refrigeration plant, bakery,
employee’s dining room, and dumbwaiters to each patient floor, and was
ready for occupancy on June 15, 1927. The attic of this new addition was
built to provide attractive, comfortable living quarters for nurses and
attendants. Following these renovations the building was named after Dr. E. H. Henderson, who served
as Superintendent from November 10, 1915 until his death on February 25, 1927.
By 1931, the average census for patients actually in the hospital was 988.03 and the facility employed a
total of 166 employees. A front porch was built extending across the entire width of the Henderson
Building of the colonial type of architecture, two stories high. The old clock tower was removed as it
was considered too dangerous; however, the dome over the rotunda situated directly behind the old
tower was left intact. A paved driveway from the Henderson Building was constructed from the
intersection of the main hospital entrance with Main Street, and concrete curbing was laid. A sunken
garden was added to the grounds with a water pool and stocked with rainbow trout. A sun porch and
additional bathroom was constructed and installed in the home occupied by the superintendent, and a
10-stall garage was also built to store the fire hose and accessory equipment. A Craft Shop was
established at the facility and it was determined there was a need for the establishment of a
standardized occupational therapy department for the entire institution.
One of the hospital's most influential superintendents, Dr. Joseph R. Blalock, served from 1938 to 1971 and was the force behind many changes in treatment including the use of psycho-surgery, drug therapy, and vocational rehabilitation. On July 26, 1951, 12 patients underwent the first operations of prefrontal lobotomy. This new
procedure had necessitated the purchase of additional surgical instruments so that the facilities for brain surgery, as well as other types of surgery, were greatly improved. The first trans-orbital lobotomies were performed in 1953, with a total of 26 being performed that year. The cases for transorbital lobotomy were very carefully selected based on the following criteria: duration of mental illness for at least two years, a trial of other therapies, and the approval of the staff and the Commission of the Department of Mental Hygiene and Hospitals. Fortunately, this practice was soon discontinued. Serpasil and Thorazine were also tried on an experimental basis that year.
A survey on April 3, 1961, showed that 26.5% of the hospital’s patients were 65 years or older.
Providing for an increasing geriatric population led to approval for remodeling the old Criminal Insane
Building (“C” Building) after the “criminally insane” patients were relocated to the Finley Gayle Building.
This remodeling project was completed in March, 1961, at a cost of $158,308.72. The building
contained four wards with a total bed capacity of 152 patients on the first and second floors, an elevator
and adequate provision for food service. At this time the building was designated the Geriatric Building.
The completion of this building gave the opportunity to vacate the Davis Clinic Building, which was
eventually torn down to provide room for additional parking space.[1]
By the mid-1970s, deinstitutionalization had greatly diminished the patient population as mental health treatment became more community-focused. In 1981, the Virginia Department of Corrections took over the care and treatment of adjudicated criminally insane patients at the hospital. This institution is adjacent to the hospital and is known as the Marion Correctional Treatment Center. In 1986, the General Assembly passed legislation providing for the demolition and reconstruction of much of Southwestern State Hospital. The new Bagley Building was constructed to house 177 patients in an integrated care design with living and treatment areas in one place. All adult patients were moved to the new complex in March 1990.
The hospital has gone through two name changes in its history. In 1935 the General Assembly passed legislation changing the name from Southwestern Lunatic Asylum to Southwestern State Hospital. In 1988, the name was changed to Southwestern Virginia Mental Health Institute.
Main Image Gallery: Southwestern State Hospital
The original hospital cemetery was located directly in the proposed path of the new interstate being
built through Southwest Virginia necessitating the Virginia Department of Transportation to relocate the
cemetery to its present site in 1961 so that construction of Interstate 81 could commence across the
property. The current cemetery sits on a hill above the hospital and is a place of panoramic views and
quiet solitude. Graves in the cemetery date back to the late 1880’s when the hospital was opened. The
cemetery also contains the graves of several confederate veterans from the Civil War. Very few patients
have been buried in the cemetery in recent years, but there are presently approximately 1,210 grave
sites located at the cemetery. The identity and location of each person buried in the cemetery is known and has
been plotted on a grid. Anyone wishing to visit the cemetery should contact the hospital to arrange a
date and time to visit as all visitors must be escorted to the cemetery.",,"Marion, VA",,"1,583 in 1968"
Virginia,Creating Tidewater Psychiatric Hospital,https://www.asylumprojects.org/index.php?title=Tidewater_Psychiatric_Hospital&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the navigation menu to the left what is the second word of the fourth link from the top?",,,,
Virginia,Western State Hospital,https://www.asylumprojects.org/index.php?title=Western_State_Hospital,1825,1826,1828,Preserved(Original)Active,Pre-1854 Plans,,Western State Lunatic Asylum,"Western State Hospital was founded in January 1825 by an Act of the General Assembly becoming the second mental health facility for the Commonwealth of Virginia. A Court of Directors was commissioned by the Governor to select and purchase ""a site near the town of Staunton in Augusta County to the West of the Blue Ridge Mountains and to thereupon construct an appropriate asylum for the receipt of patients.""
The original building (which is still standing and registered as a National Historical Landmark) was opened on July 24, 1828, with Mr. Samuel Woodward designated as Keeper, and his wife, Mary Woodward assigned as Matron. A visiting physician, Dr. William Boyes of Staunton, provided care for patients admitted during the early years of the hospital.
The first patient was admitted the morning of July 24, 1828. He was a teacher whose diagnosis was ""hard study."" A second patient was admitted that afternoon from Goochland County, Virginia, but remained only a few months at the facility before he escaped. The first woman arrived on July 25, and was admitted with a diagnosis of ""Religious Excitement.""
Shortly after the facility opened, it was filled with patients and the Court of Directors implemented an admissions screening process to limit admissions to only those patients ""who were either dangerous to society from their violence, or those who were offensive to its moral sense by their indecency and to those cases of derangement where there is reasonable ground to hope that the afflicted may be restored.""
The first director of the hospital, Dr. Francis T. Stribling, was appointed in 1840. He served the hospital until his death in 1874. Dr. Stribling embraced the concept of ""Moral Therapy"" and was one of the thirteen founders of the American Psychiatric Association. In 1905, a physician who began working at Western State in 1889 as a medical intern was appointed Director of the facility. Dr. Joseph DeJarnette served as Director from 1905 until 1943, 38 years, which represents the longest tenure of any of the sixteen facility directors serving the facility since its opening.
The facility’s name was changed in 1894 from Western Lunatic Asylum to Western State Hospital. The facility continued to increase in size through the 1950’s and 1960’s with the opening of a second site in 1949-1950. The facility’s patient population eventually increased to above 3,000 at two sites.
Western State was listed on the National Register of Historic Places on November 25, 1969. In the 1970s, the Virginia Department of Mental Health and Mental Retardation built a new hospital a few miles to the East and abandoned the historic old site. The property was subsequently transferred to the Virginia Department of Corrections and the campus became the Staunton Correctional Center, a medium security prison. The Department of Corrections abandoned the complex in 2003. It is currently in the first stages of redevelopment: condos, hotel/spa and shops.
Beginning with the Commonwealth’s move toward de-institutionalization in the early 1970’s, the population declined substantially until, by the late 1970’s, it stood at approximately 1,350. Further reductions were realized over the last fifteen years as hospital programs were related to sister facilities and the communities. A more restrictive criteria for admissions and improved prescreening programs have also been implemented. Substantial improvements in psychopharmacology and community treatment modalities along with earlier intervention have also contributed to reduced census.
In 1978 the University of Virginia (UVA) expanded its affiliation with the hospital providing for joint faculty appointments and the assignment of psychiatric residents and medical students to the facility for training. This program continued to expand with particular highlights in 1985 with the appointment of Dr. Spradlin as the Facility Director at Western State. In 1990, the hospital received the first National Award from the American Psychiatric Association as the exemplary program in Collaborative Services between a public mental health facility and a university.
Western State Hospital has extensive affiliations with colleges and universities involved in all of the major professional groups including. Various staff at Western State Hospital had joint faculty appointments with a number of institutions of higher education; staff with the Department of Psychiatric Medicine interdigitate with hospital programs for the provision of services and educational supervision.[1]
Main Image Gallery: Western State Hospital
The two cemeteries are located on the north side of Statler Blvd. They are south of the main campus, which is on the southeast corner of the intersection of US 11 (Greenville Ave) and US 250 (Richmond Ave). It's cemetery contains more than two thousand unmarked headstones. In a few cases, the plot numbers appear and, even less frequently, a name. Other information is provided only on those occasional stones that were purchased by family members.",1977,"Staunton, VA",,
Virginia,Creating Gosnold Sanitarium,https://www.asylumprojects.org/index.php?title=Gosnold_Sanitarium&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the navigation menu to the left what is the second word of the fourth link from the top?",,,,
Virginia,Gundry Home and Framingham Feeble-Minded School,https://www.asylumprojects.org/index.php?title=Gundry_Home_and_Framingham_Feeble-Minded_School,,,1893,,Cottage Plan,,,,,"Falls CHurch, VA",,
Virginia,Creating Parker Sanitarium,https://www.asylumprojects.org/index.php?title=Parker_Sanitarium&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the toolbox menu to the left what is the second word in the third link from top?",,,,
