State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population
Wisconsin,Mendota Mental Health Institute,https://www.asylumprojects.org/index.php?title=Mendota_Mental_Health_Institute,,,1860,Active,Kirkbride Plan (Demolished),,Wisconsin State Hospital for the Insane | Mendota Asylum for the Insane | Mendota State Hospital,"Mendota opened on July 14, 1860 when it admitted a patient who had been brought all the way from Oconto County...a long trip by horse and wagon. Even though the hospital was not yet ready to open, that Saturday it was decided that, because of the distance the patient had been brought, he should be received. Thus began Mendota's ready response to the needs of patients and communities, which has been its tradition.
Mendota has gone through many changes since then, some of them dramatized in the changes in its name. It opened as an ""Asylum"", appropriate in an era when little could be done for the mentally ill except to house and care for them...i.e. to give them asylum...when their families and communities could no longer cope with their needs.
In a later era, when patients were recognized as having an illness...mental illness...the name was changed to Mendota State Hospital, reflecting its responsibility for providing treatment.
In more recent times, with the discovery of psychiatric medications and with new approaches (some of which resulted from research at Mendota itself) it became possible for the mentally ill to be treated in community hospitals and clinics. But there remained a need for a place for those who required more specialized treatment than most community hospitals and clinics could provide, and where the tradition of research, education, and consultation that Mendota had already established could continue. Mendota was then changed to its present name of Mendota Mental Health Institute.
Mendota has a distinguished history as one of the most progressive psychiatric facilities in the country. It is well-known for its advanced programs. The methods for community treatment developed in Mendota's PACT program have been adopted throughout Wisconsin and many other states, as well as abroad. Agencies throughout the country contact Mendota's Home and Community Treatment program to learn its methods for helping families with disturbed children, without hospitalization.
Mendota's program in forensic psychiatry has been recognized by the National Institute of Mental Health as one of the top ten such programs in the United States. Mendota's Geropsychiatric Treatment Unit is noted for its assessment and treatment of the elderly who suffer from emotional and neurological conditions which affect behavior, including Alzheimer's Disease. But those are only a few of Mendota's programs; in all, there are 17 treatment units serving the needs of children, adolescents, adults, and the elderly as well as special forensic populations. Each has a distinguished record of achievement.
Mendota is the only facility in Wisconsin, public or private, which ever received the Gold Achievement Award of the American Psychiatric Association, the highest award possible for mental health programs in America.
Mendota was one of the first mental hospitals in the country to receive accreditation by the Joint Commission on the Accreditation of Hospitals, which continues to accredit Mendota today. Mendota has been the ""cradle"" for the clinical education of hundreds of mental health professionals in Wisconsin and beyond. And Mendota provides for their continued education by offering regular seminars and workshops attended by about 7000 people each year.
When Mendota opened in 1860 it was the first mental hospital in Wisconsin. It held a promise of something better than this state had ever had before. It has not failed to keep that promise.
Main Image Gallery: Mendota Mental Health Institute",,"Madison, WI",,"2,528 in 1950"
Wisconsin,Creating Sand Ridge Secure Treatment Center,https://www.asylumprojects.org/index.php?title=Sand_Ridge_Secure_Treatment_Center&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the navigation menu to the left what is the second word of the fourth link from the top?",,,,
Wisconsin,Winnebago State Hospital,https://www.asylumprojects.org/index.php?title=Winnebago_State_Hospital,,1871,1873,Active,Kirkbride Plan (Demolished),Stephen Vaughn Shipman,Winnebago Mental Health Institute | Northern Asylum for the Insane,"On the west central shore of Lake Winnebago, just north of the city of Oshkosh, lies a promontory called Asylum Point. Its surrounding waters are identified as Asylum Bay. For 125 years, the Bay has sheltered the facility which has been known as the Northern Asylum for the Insane; the Winnebago State Hospital; and Winnebago Mental Health Institute. Although its waters have been by no means always tranquil, the Institute has, throughout its history, provided many troubled individuals with a sanctuary, a refuge, and a safe place to prepare for re-entry into a turbulent world.
Winnebago Mental Health Institute (WMHI) is located on the scenic west shore of Lake Winnebago, four miles north of Oshkosh. The purchase price for the original 338 acres of land was $26,000. Construction of the Northern Hospital for the Insane (now WMHI) began in 1871. The first patient was admitted on April 21, 1873. The original building was completed on November 11, 1875, with the capacity of 500 beds.
The Kirkbride was demolished in 1966/67 to make way for newer buildings.
Main Image Gallery: Winnebago State Hospital
The J. Farrow Museum is dedicated to Mrs. Julaine Farrow (1917-1991), who was a Registered Nurse at Winnebago Mental Health Institute for 36 years...What started as a two room exhibit has grown to ten rooms.  The Museum chronicles the contributions of the early pioneers in the treatment of the mentally ill; it has pictures dating to 1875 as well as furniture and a variety of displays.
4150 Sherman Road
Oshkosh, WI  54901
(920) 235-4910
February thru October
(Thursdays) 1pm – 3:30pm",,"Oshkosh, WI",,
Wisconsin,Wisconsin Central State Hospital,https://www.asylumprojects.org/index.php?title=Wisconsin_Central_State_Hospital,1900,1909,1914,Active,Pavilion Plan,Foeller & Schober,Central State Hospital for the Criminally Insane | Dodge Correctional Institution,"In 1900, the State Board of Control (the successor to the State Board of Charities and Reform) declared that ""the time has come when it should be pressed upon the attention of the Executive and Legislature that some additional facilities for the care and safekeeping of violent, dangerous and criminal insane should be provided"". At that time, the Board felt
that this could best be accomplished by erecting a building for those classes at one of the already existing state mental hospitals. The new institution could be connected with the heating, lighting, water and sewerage systems of the hospital, but be located far enough away to prevent its inmates from mingling with, or disturbing those in other buildings. These recommendations were not heeded, however, and the Board of Control had to continue to press this need for many years.
Finally, in 1909, the Wisconsin State Legislature appropriated $100,000.00 for a hospital for the criminal insane to be erected at the Northern Hospital for the Insane at Winnebago. A study was made of similar institution in other states and plans were prepared and adopted for the construction of a building to provide for present and future needs. The Board of Control discovered, however, that the amount appropriated was insufficient to contract for construction of the buildings required to meet their present needs, so no work was done. The project was delayed even further in 1911 when the Legislature decided that it was inadvisable to locate the criminal and violent insane at the same site as the general hospital for the insane at Winnebago. Provisions were made, however, for money to purchase a site for a new facility near Waupun. This facility was to be under the
jurisdiction of the Board of Control, but for the purpose of day-to-day management, it was to be considered a component part of the Wisconsin State Prison (WSP) at Waupun. The location was considered advantageous for the same reasons that it was selected for the prison: its central location to the population centers of the state, close proximity to
major railroad lines, and high quality farm lands.
On July 1, 1913, Dr. Rock Sleyster, up to that point the prison physician at the WSP, was appointed as the hospital's first director. He transferred to the facility soon after and began to equip and organize the new facility. As superintendent, Dr. Sleyster then visited and studied several other hospitals for the criminal insane in other states. At that time, only New York (which established the first two), Michigan, Illinois, Pennsylvania and Ohio had established such specialized facilities. Dr. Sleyster specifically wanted to ""avoid the mistakes so frankly admitted by them and benefit by their experience"". To serve these purposes several steps were taken. Rooms were painted in soft shades of pink, green or blue, bars on the windows ran horizontally rather than vertically, and trees, shrubs, vines and perennials were planted to make the grounds pleasant. Also, a 18 foot concrete wall enclosing the recreation grounds at the rear of the institution was built, but in such a way as to eliminate the psychic effect of a prison wall. To accomplish this, a drained moat, approximately 15 feet deep was dug on either side of the wall (the by-product of which provided enough crushed stone for the concrete foundations of 4 or five future buildings), so that it rose only three feet above ground level.
On July 12, 1914, the first patients were admitted. The precise number is unclear, but the first ward (ward B; ward A being the administration building) appears to have had a capacity of between 35-60, each patient having his own private room. Regardless, the new facility was filled beyond capacity within one week after opening. 26 This rapid
overcrowding elicited a quick response from the State Legislature, which appropriated funds for a new ward to be constructed. Contracts were let, and a new wing was quickly constructed and occupied on January 26, 1915. This wing too, was filled within ten days by transfers from other institutions. Construction was fairly constant at CSH until the mid-1930s when the Depression, and later World War Two prevented further expansion.
Overcrowding was a persistent problem at CSH. As new wards were erected they were rapidly filled beyond capacity, with many more patients awaiting transfer from other state and county institutions. Superintendents of CSH continuously over the years asked for further appropriations to expand the facility and alleviate some of the problems. Generally, these were slow in coming and the patient population reached as much as 75% over the rate bed capacity. Under these circumstances, two patients were kept in rooms meant for one,
basements and storerooms were used as dormitories, and patients were kept in beds placed in corridors. Another problem caused by chronic overcrowding was that it prevented
proper segregation of the different grades of patients. As it was, no attempt was made to care for any of the violent or dangerous insane women that were housed in other institutions. Only male patients were accepted at CSH, as gender segregation would have been impossible, and the potential sexual contact that might have resulted between male and
female patients was unacceptable.
Upon admission to the hospital, patients were given a physical and mental exam and put under observation before a diagnosis was made. Once this was done, the patients' work capabilities were evaluated and they were assigned the job for which they were best qualified. At CSH all the farm and garden work was done by patients, as was landscape and
dormitory work. Also, patients unloaded coal from the trains and worked in the kitchen/dining room. In the carpenter shop and workshop some toys were made and then sold to visitors; the income from the sales went to the patients who made them.
The difference between this institution and those for the civil insane were supposed to be structural changes for maximum security, not treatment oriented changes. The treatment and therapy at CSH was to be similar to that of any other state mental hospital. Historically, this meant an emphasis on moral treatment. The goal was to place the patient
in a smaller hospital where he/she could receive kind and specialized care. Activities were to include occupational therapy, religious exercises, amusements and recreation. Essentially, it was ""milieu"" treatment where the patient could be re-educated in a proper moral atmosphere. Another important component was medical treatment the patients were
given. Before the evolution of the field of modern psychiatry, beliefs supported a ""sound body=sound mind"" theory; it was important to strengthen the physical condition in order to improve the mental condition. Tonics and laxatives were used frequently and a good diet was stressed. Most doctors also advocated the use of drugs, especially where behavior was particularly active or violent. Narcotics were often used to quiet patients, make them more manageable, avoid fatal exhaustion, minimized use of restraints, and prevent them from harming themselves, other patients and staff. Hydrotherapy was also usually popular in mental institutions because of its calming abilities. In 1935, the medical staff of CSH consisted of three doctors—including the medical superintendent and zero nurses.
Poor conditions and treatment at CSH continued into the 1950s and 1960s. In 1958, the Joint Commission on Accreditation of Hospitals recommended against accreditation for CSH, largely on the grounds of a lack of medical personnel. The hospital did continue in operation, however, and in the late 1960s there was an attempt to change the emphasis from
custody to a more effective overall treatment program. In 1972, a committee was appointed to do a study of CSH and make recommendations. Many, including Dr. Marvin Chapman who was the Clinical Director of the facility at that time, felt that the institution should be closed down due to the massive disparities in staffing and programming, between CSH and the other state mental hospitals. It was their contention that the facility failed completely as a hospital and was simply a penal institution in every way. An influential member of the committee, however, was the Assemblyman from the local Waupun area and he lobbied strongly against closing the facility because of the large number of jobs that would be lost.
In 1983, the hospital function of the institution closed completely and the buildings became a reception facility for the Division of Corrections. Now named the Dodge Correctional Facility, all prisoners convicted in Wisconsin courts are sent there for evaluation and processing to determine which state facility they should be sent to. All remaining CSH patients were sent to either Winnebago or Mendota at that time, where special high security wards have been built. According to the Wisconsin Department of Corrections website, DCI was doubled in size in 1993. In 1996, the facility accepted its first female inmate, which made it the only facility in Wisconsin that took both male and female inmates. Though it still remains the central medical center for both males and females, the female reception center was moved to Taycheedah Correctional Institution in 2004.
Ed Gein was housed at Wisconsin Central State Hospital before being transferred to Mendota Mental Hospital. Attempted presidential assassin John Schrank was also a patient at Central State Hospital from 1912-1943 for his attempt to kill Theodore Roosevelt.
Located outside Waupun in the Township of Chester, this cemetery was the final resting place for unclaimed inmates from the Wisconsin State Prison (now Waupun Correctional Institution) and patients from Central State Hospital. It was used from 1871 to 1975. Originally, each grave had a marker bearing the grave number. In the 1980s, metal markers were installed bearing the name, number, institution, and date of death of each individual. Unfortunately, those markers have since been replaced with one large sign bearing the names and dates of death of those buried here. (The sign does not include deaths before 1898.) There are no individual markers today.
Main Image Gallery: Wisconsin Central State Hospital",1983 (as a State Hospital),"Waupun, WI",,
Wisconsin,Wisconsin Memorial Hospital,https://www.asylumprojects.org/index.php?title=Wisconsin_Memorial_Hospital,,1921,1923,Closed,Cottage Plan,,"VA Hospital, Farwell Point","Construction began on the Wisconsin Memorial Hospital in the fall of 1921 with the two story, brick main hospital building finished in early 1923. The facility was created for the treatment of mental illnesses of World War I veterans. Wisconsin ran the Memorial Hospital until 1937 and was reimbursed by the federal government for operations. Starting in 1937, the Veterans Administration leased Memorial hospital for $1 a year for treatment of mentally ill veterans. The VA returned the facility to Wisconsin in July 1948. Veteran patients were transferred to a new VA facility, Tomah Memorial Hospital, in Tomah, Wisconsin.It was known as Veterans Administration hospital, Farwell's Point during the period it was operated by the VA.
Originally, the State Memorial Hospital was not administratively part of Mendota State Hospital. The Memorial Hospital buildings came under the control of the Mendota State Hospital after the VA moved patients to Tomah and returned the facility to the state in July 1948. This was the only expansion of Mendota State Hospital from 1904 to 1952. Regaining control of the Memorial Hospital from the VA allowed the state to move patients out of the 90-year-old main building and out of upper floors while replacement facilities were constructed in the 1950s.",,"Mendota, WI",,
Wisconsin,Creating Wisconsin Resource Center,https://www.asylumprojects.org/index.php?title=Wisconsin_Resource_Center&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the navigation menu to the left what is the second word of the fourth link from the top?",,,,
Wisconsin,Central Wisconsin Center for the Developmentally Disabled,https://www.asylumprojects.org/index.php?title=Central_Wisconsin_Center_for_the_Developmentally_Disabled,1953,,1959,Active,Cottage Plan,,Central Wisconsin Center (current),"Central Wisconsin Center for the Developmentally Disabled (CWC) at Madison, one of three residential facilities operated by the Wisconsin Department of Health and Social Services to serve the developmentally disabled, was authorized by the State Legislature in 1953. Its first individual was accepted in 1959 when two of the present ten buildings became operational. Central Center's staff of approximately 850 persons serve approximately 270 individuals of all ages who require extensive care, treatment, and training.
Central Wisconsin Center supports individuals with intellectual disabilities.  Services are provided to assist individuals in acquiring the personal skills needed to reach their highest potential. Central Wisconsin Center offers residential and short term care services to individuals who are eligible for service as defined in the ICF-MR regulations.",,"Madison, WI",,
Wisconsin,Northern Wisconsin Center for the Developmentally Disabled,https://www.asylumprojects.org/index.php?title=Northern_Wisconsin_Center_for_the_Developmentally_Disabled,1895,,1897,Active,Cottage Plan,,Northern Wisconsin Home for the Feeble-minded and Epileptics |  Northern Wisconsin Colony and Training School |  Northern Wisconsin Center (current),"The first attempt to establish a residential facility for the developmentally disabled in the State of Wisconsin dates back to 1867, when the state legislature passed a bill to provide an institution for ""imbecile and idiotic"" children. Because the presiding officers failed to sign it before adjournment, the bill did not become law. Various organizations continued to call attention to the need for such an institution which resulted in a bill in 1887 that passed both houses, but was vetoed by the governor. When re-introduced in 1891, the bill failed to pass both houses of the legislature. Finally, in 1895, twenty eight years after it was first introduced, the bill for a ""Wisconsin Home for the Feeble Minded"" became a law.
The name of the institution changed several times, including in 1922, when it was renamed the Northern Wisconsin Colony and Training School. As of 1976, it is known as the Northern Wisconsin Center for the Developmentally Disabled and is still used for the care of patients with developmental disabilities.",,"Chippewa Falls, WI",,"2,203 (1962)"
Wisconsin,Southern Wisconsin Center for the Developmentally Disabled,https://www.asylumprojects.org/index.php?title=Southern_Wisconsin_Center_for_the_Developmentally_Disabled,1916,1918,1919,Active,Cottage Plan,,Southern Wisconsin Home for the Feeble-minded and Epileptics |  Southern Wisconsin Colony and Training School |  Southern Wisconsin Center,"In 1913, the legislature appropriated $300,000 for the purchase of a site and the initial construction of buildings. The Board of Controls again visited various sites, and settled on the $53,937.50 purchase of 519 acres located two miles northwest of the village of Union Grove. They chose this site due to its location in the southeastern part of the state near the cities of Milwaukee, Racine, Kenosha and Burlington. The land for Southern Wisconsin Center was initially purchased in 1916. Construction of the first buildings for the institution, which by law was known as Southern Wisconsin Home for the Feeble-minded and Epileptics, was begun in 1918.
With some help from prisoners, housed in barracks on the grounds, building construction was carried on with much difficulty. Due to the swampy conditions of the building site, roads were almost impassable, horses and equipment were mired, and the contractor was unable to obtain building materials. Quicksand, potholes, ravines and water all contributed to the difficulties and delays.
Finally on February 14, 1919, the institution was officially opened. The first buildings included Washington Cottage (later known as Cottage 2), a residential building for girls; Roosevelt Cottage (later known as Cottage 14), originally a building for employees; the superintendent's residence (now part of Southern Oaks School for Girls); Hoard Cottage, a farm cottage for boys; a barn, and two silos. These buildings formed the nucleus from which the institution began to operate.
Washington Cottage, in addition to housing the female patients, included the Administration offices, the laundry, the bakery, the sewing room, the hospital and the school. The institution power plant and water system were located in the farm cottage. Dr. H. C. Werner, the first Superintendent, lived in the residence until 1923 at which time he was succeeded by Dr. C. C. Atherton.
Early in 1922, the building program began to expand. Adams Cottage (Cottage 4), Jefferson Cottage (Cottage 5), Madison Cottage (Cottage 6), a refectory (dining hall) and a power plant were under construction at this time. These buildings were completed but not occupied for quite some time due to the lack of heat, light and power. As a temporary expedient two large boilers, one located east of Cottage 4 and one between Cottages 5 and 6, were installed outside. Tar paper shacks were built over the boilers to protect them from the elements. These temporary boilers were connected to the heating equipment in the new buildings, to supply heat to keep them from freezing and deteriorating until permanent boilers and engines could be installed in the new power plant. By August 1924 the new power plant was completed and heat, light and power was connected by steam conduit to the new buildings, allowing occupancy. Wooden sidewalks were constructed and laid between the new residential buildings and the refectory.
In 1921 the legal name of the institution was changed from ""The Southern Wisconsin Home for the Feeble Minded and Epileptics"", suggestive of an asylum or almshouse, to ""Southern Wisconsin Colony and Training School"". This reflected the changing attitude regarding the developmentally disabled. For many years the accepted philosophy of social workers was based on the belief that the most that could be done for people with developmental disabilities was to provide them with comfortable quarters and train them to adjust to institution living. Gradually it was realized that the developmentally disabled could be educated and trained to do useful work, and become contributing members of society. Acceptance of this philosophy created a realization that the function of the institution was to educate and train rather than just provide food, clothing, shelter and little more.
Once the power plant was finished in 1924, other buildings were constructed at a rapid pace. A new employees' building was opened for occupancy in spring of 1925. This building was constructed in a lowland which was filled with approximately 3 to 3 1/2 feet of field rocks, covered by approximately a foot and a half of dirt. A new laundry and a horse barn were also completed in 1925. The horses were moved into the new barn from the east wing of the dairy barn, which allowed for the installation of calf pens in the area vacated. Patient labor was utilized in the operation of both the farm and the dairy facilities. The use of patient labor served a dual purpose; primarily it provided a form of training in tasks which would prepare the patient for eventual discharge and secondly, the labor was badly needed in the planting, tending and harvesting of crops and production of dairy products which were used extensively in the kitchen throughout the institution. In 1925, after Buildings 4, 5, 6, the laundry, and the refectory were opened and occupied, the bakery was moved from Building 2 to the new refectory and laundry equipment was moved to the new laundry.
The Depression era brought about many efforts to cut expenditures to a bare minimum, without sacrificing essential patient services. Stories were related by former employees at the time of using pencils down to a 1"" stub, which then needed to be turned in before a new pencil would be issued. Stationary costs were reduced by the use of the back sides of memoranda and letters for the reply, or even for the issuance of new communications. But the building expansion continued.
During 1928 the greenhouse was built, complete with a heating unit. The hog house was enlarged to contain twelve more pens and a slaughter house was added on the west end. At this same time a new Hospital and Infirmary (later renamed Cottages 12 and 13), and Building 1 (Lincoln Cottage) were under construction. In the construction of the Hospital and Infirmary, just enough black dirt was taken off the surface to get down to hard solid soil for foundation footings. After the concrete foundations were poured, they were 9' out of the ground on the west side and 9 ½' on the east side. After the completion of these buildings it required 44,000 yards of dirt to complete the filling to its present grade. These buildings were opened for occupancy in early 1930.
The following progress was made in 1932: a complete telephone system was installed with a central on-grounds switchboard; nine garages were built to house the institution trucks and cars; a bull house with an exercise yard was completed; the north and south gate pillars were erected; and the service building, housing a carpenter shop and a machine shop, was completed. In 1933 a dairy building , machine shed, and a blacksmith shop were constructed with the aid of C.W.A. workers. Construction on the new granary was started in the fall of 1934, and completed with the help of W.P.A. in 1935.
In the spring of 1936 construction was started on Building 3 (Grant Cottage) with a connecting link to Building Four (Adams Cottage), which housed a central kitchen. A kitchen and dining room between Building 5 (Jefferson Cottage) and Building 6 (Madison Cottage) was also under construction at this time. Prior to the new dining rooms and kitchens, patients had to walk to their meals in all kinds of weather. The patients who could not walk had to have their meals carried from the central refectory back to the wards, where it usually arrived in a less than palatable condition. The new kitchens and dining facilities were completed, equipped, and occupied in the early spring of 1938.
The lack of manpower created by World War II caused many difficulties in the operation of the institution. These difficulties were eased considerably by the hiring of ""conscientious objectors"". Many of these individuals objected to military duty on religious grounds, and very few of them had any training in the care of people with developmental disabilities. The lack of training was overcome by the devotion to duty of the workers and their willingness to work long hours.
In January, 1944, the institution employees living in the employee building were moved out so it could be used for tubercular patients. The Hotel Shepard in Union Grove (now known as the Hotel Chartier) was leased for three years by the State and redecorated to be occupied by a large number of the vacated employees. Construction of a T.B. building was completed by the end of the year, but it was at first used as a new employee building. At the expiration of the Hotel lease, the T.B. patients were moved into the new building and the employees were all moved back into the original employees buildin
Construction of additional facilities was suspended during the war, however a great deal of planning for the future was done during this period. In 1950 Wilson Cottage (Cottage 7) was opened as a temporary facility for educable boys. In 1951 construction was started on ""Central Building"". This building, consisting of Jackson Cottage (Cottage 8), McKinley Cottage (Cottage 9), Cleveland Cottage (Cottage 10), and Taft Cottage (Cottage 11), was completed in 1954. Cottages 8 and 9 were occupied by totally dependent boys, while Cottages 10 and 11 were occupied by totally dependent girls.
Atherton Hall, named after the deceased superintendent, was completed in 1954. This building (currently The Robert E. Ellsworth Southeastern Women's Center) was designed to house 250 employees. In 1957, the west wing of Atherton was converted to be used by the Administrative Offices. Many other projects were either completed, started or planned during the mid 50's. Plans were made for the school building (CRSP) in 1954, and construction was completed in 1957. Contracts were awarded for a 100,000 gallon water tower and the institution roads were surfaced during this period.
During the winter of 1961-1962 an outbreak of Shigella Dysentary occurred which attracted nationwide attention. Numerous reporters, representing newspapers throughout the country, and representatives of the major press services descended on the institution. Thousands of words regarding the epidemic were written and broadcast on both radio and television. Plans for the new 120 bed hospital were accelerated and ground was broken for the new building in the Fall of 1962. Wallace Hospital initially consisted of a reception center, an intensive care unit, a sub-acute unit, a chronic care unit, an isolation unit, and a physical medicine and rehabilitation unit. The services provided included medical, surgical and pathology services; nursing services; radiology; EEG-EKG; pharmacy; clinical laboratory; occupational therapy; physical therapy; nursing education; medical records and dental services.[1]",,"Union Grove, WI",,
Wisconsin,Wisconsin School for the Blind,https://www.asylumprojects.org/index.php?title=Wisconsin_School_for_the_Blind,,,,,,,,,,,,
