State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population
Louisiana,Central Louisiana State Hospital,https://www.asylumprojects.org/index.php?title=Central_Louisiana_State_Hospital,1902,,1906,Active,Cottage Plan,,Louisiana Hospital for the Insane | Insane Asylum at Alexandria,"In 1902, the Louisiana Legislature created a facility to house and treat the mentally ill. The facility operated under several names since its opening in January 1906, but was later known as Central Louisiana State Hospital. The name of Louisiana Hospital for the Insane of Louisiana is changed to Central Louisiana State Hospital in 1924. At its peak in 1959, the hospital housed over 3,000 patients, but in recent years, patient numbers at Central dwindled to 246 in 1995 to 120 being cared for today. The hospital campus is over 400 acres. The hospital grounds also include the Civil War-era Fort Randolph.
Just one building from a century ago remains, offering a glimpse into a very different version of Central State: the stucco, Renaissance-style Rose Cottage built in 1917. Fittingly, it's become a depository for staff when they find historical photos and items related to Central State, according to administration. The dairy barn (built in 1923) and administration building (built in 1927) are among a few buildings constructed between 75 and 95 years ago.
Today, Central Louisiana State Hospital is a free standing, full service psychiatric hospital licensed by the State of Louisiana, fully accredited by the Joint Commission on the Accreditation of Healthcare Organizations (JCAHO) and certified by the Centers for Medicare/Medicaid Services (CMS).
Plans were announced by the state in February, 2012, to relocate the hospital to a new facility on land adjacent to Pinecrest Supports and Services Center in Pineville. The hospital will retain its name, identity and function to maintain accreditation. The new building will cost $6 million and will be funded through State of Louisiana Capital Outlay funds. Construction will take 12 to 18 months.
One provision of the original legislation required the hospital board to furnish 
the legislature at each session a detailed report of the annual receipts and 
expenditures, a statistical breakdown of new and current enrollment, and a list 
of those deceased during the previous period.  The first superintendent, Dr. 
George A.B. Hays, immediately set up a morgue and selected a site for a hospital 
cemetery in order to comply with these requirements.
Given the social conditions of the times, the stigma of mental illness, plus the 
difficulty of contacting relatives and arranging transportation of the bodies, it 
was not surprising that many of the deceased patients were buried on the hospital 
grounds in the cemetery.  Until such time as the hospital could obtain the services 
of a Chaplin, the superintendent or some of the staff physicians handled the burial 
services, using the simple and beautiful service of the Methodist Church.
These early funeral services were handled entirely by the hospital, with the body 
being transported to the gravesite in a wheelbarrow until 1933 when a hand-drawn 
hearse was constructed.  This hearse was used until 1950, and was pushed by 
pallbearers to the gravesite.  Deceased female patients were draped in pink or 
blue shrouds made by the workers in the sewing room, and the carpenter shop probably 
furnished coffins (although this is not reflected in their individual reports).
Hospital records indicate there are approximately 3,000 people buried in this 
cemetery, and it was last used in June 1985. A large wooden cross, constructed in the hospital's carpenter shop, was placed 
on the hill in the early 1960's.  A large white solid concrete cross has since 
replaced it.  Hospital workers poured a large concrete slab near the street for 
the placing of grave markers by relatives of the deceased.
1909
1914
1921
1928/1953",,"Pineville, LA",,"3,128 in 1959"
Louisiana,East Louisiana State Hospital,https://www.asylumprojects.org/index.php?title=East_Louisiana_State_Hospital,1847,1848,1848,Active,Pre-1854 Plans,C.N Gibbens,East Louisiana State Hospital for the Insane | Jackson State Hospital | Eastern Louisiana Mental Health System,"An act of the legislative session of 1847 established ""The Insane Asylum of the State of Louisiana"" in Jackson and provided, among other things, for the construction of the Asylum's physical plant. The Asylum's Board of Administrators appointed an architect, a Mr. Gibbens. to draw up the plans. He was specifically told not to design something that would look like a prison. Gibbens came up with the design of the Center Building with its wings. The Board of Administrators purchased a 250-acre tract known as ""Flowery Hill"" a short distance from the business section of Jackson, separated from the town by a small stream.
On July 5, 1847, Robert Perry signed a contract with the Board for the building of the Asylum, and President David Shattuck of Centenary College signed as security for Perry. The Board requested that the West Wing be completed by December 1, 1847, but there were delays due to bad weather and the building was not ready for occupancy until the fall of 1848. The East Wing was
not finished until 1849. Center Building was ready for use in 1854, but it was never completed according to Gibbens' plans. The rear of the building was to have extended another hundred feet and to have contained a central kitchen, storerooms, and other facilities. Although the Asylum's early superintendents frequently asked the Legislature for funds to complete Center Building, they were never provided.
The Asylum began accepting patients in 1848. These first patients came from the Insane Department of New Orleans' Charity Hospital and from local jails across the state. The initial staff at the Insane Asylum consisted of twelve people. From 1848 to 1850 there were 130 admissions. By 1898 there were over a thousand patients in residence at the Asylum. In 1922 its name was
changed to East Louisiana State Hospital. Today it has a staff of over a thousand employees, and almost seven hundred patients reside there. The latter figure would be much higher if the hospital's functions had not been divided among several new independent agencies in recent years.
Considered to be one of the largest and most significant Greek Revival buildings in Louisiana, it has been placed on the National Register. The institution was one of the first mental hospitals in the South.
Main Image Gallery: East Louisiana State Hospital
Over 4,000 graves are within the cemetery on the hospital property and until recently was not maintained.",,"Jackson, LA",Greek Revival,"4,100 in 1940[1]"
Louisiana,Creating Fairview Treatment Center,https://www.asylumprojects.org/index.php?title=Fairview_Treatment_Center&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the popular pages menu to the left, what is the word the follows Website?",,,,
Louisiana,Creating Feliciana Forensic Facility,https://www.asylumprojects.org/index.php?title=Feliciana_Forensic_Facility&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
What is the second word in our logo?",,,,
Louisiana,New Orleans Adolescent Hospital,https://www.asylumprojects.org/index.php?title=New_Orleans_Adolescent_Hospital,1798,,1883,Closed,,,Sedgewich Military Hospital | United States Marine Hospital of New Orleans | Public Health and Marine Hospital Service | United States Public Health Service Hospital | State Drug Addiction Center,"The United States Marine Hospital of New Orleans was part of the Marine-Hospital Service, a group of Marine Hospitals dedicated to caring for ill and disabled seamen in the United States Merchant Marine, United States Coast Guard, and other federal beneficiaries. The Service was created by an act of the 5th United States Congress and signed into law by President John Adams in 1798. It was the first publicly-funded health care and disease prevention federal agency in the country. In New Orleans the federal government created a marine hospital before the United States officially assumed control of the Louisiana Purchase. A flood inundated the hospital's original building on the river's western shore near Algiers, so it was moved to the Jackson Barracks, where it stayed until 1858. A new location on Tchoupitoulas near Children's Hospital was eventually chosen.
Improvements were made on the hospital grounds in 1931, when seven new buildings were constructed, as well as a stable, a laundry, and a service center. Over time, the scope of the hospital's duties expanded and it was renamed the Public Health and Marine Hospital Service and later the Public Health Service. By 1954 the facility became known simply as the United States Public Health Service Hospital. Eventually, federal funding was cut, and in 1981 the state acquired the property. The following year, the site became the State Drug Addiction Center and, in 1983, the New Orleans Adolescent Hospital. In 2009, the hospital was closed to a decline in population for the city of New Orleans and decreased budget.",2009,"New Orleans, LA",,
Louisiana,Creating River Oaks Psychiatric Center,https://www.asylumprojects.org/index.php?title=River_Oaks_Psychiatric_Center&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
What is the primary background color of the circle in our logo?",,,,
Louisiana,Southeast Louisiana State Hospital,https://www.asylumprojects.org/index.php?title=Southeast_Louisiana_State_Hospital,1948,1950,1952,Active,Cottage Plan,,Northlake Behavioral Health System (Current),"Planning for the third psychiatric treatment facility for the State, to be located in the New Orleans area, began in the 1940's. Originally, plans were made to develop the Third Floor of Charity Hospital in New Orleans into a 500-bed psychiatric unit. However, it was felt that a large number of beds were required and space was not available at Charity Hospital. Therefore, the decision was made to build a 2,700 bed hospital, which was thought to be the number of beds required, in Mandeville, LA. Construction of a 400-bed hospital was initiated which would be the first phase of construction. Sometime later, however, with the introduction of Chlorpromazine and the Therapeutic Community Concept, plans to expand the hospital to 2,700 beds were dropped.
In 1948, Senate Bill No. 272 was entered by Messrs. Richardson and Gardiner to create the third hospital of the State of Louisiana for the mentally ill. The bill passed and Southeast Louisiana Hospital was created by Act No. 238 approved by the Governor, July 1, 1948.
Construction of the Adult Services Building, three individual employee residences, a four unit apartment complex and the Boiler Room were begun in 1950 and completed in 1952. The Admission and Diagnostic Building, currently the Administration Building, was also constructed by 1952 complete with an operating room. Only one surgery, a lobotomy, was performed here before the surgery suite was permanently closed.
Hospital opened to employees on October 6, 1952 and received its first client on December 8, 1952; a 22 year old white female admitted on a court commitment from Orleans Parish, with a diagnosis of Schizophrenic Reaction, Chronic Undifferentiated. Additional employee housing was constructed in 1954, 1960 and 1962. In 1955 the Laundry building was added; in 1956 Automotive Maintenance building and in 1961 Warehouse and Maintenance Offices.
The Receiving Building and Adolescent Units were constructed in 1955. In 1959 the Adolescent Services opened with 84 beds which included a school operated under the Department of Education, Special School District #1. That same year, children ages 5 to 14 years were admitted to a small 25 bed unit. The children also received services from Special School District #1. In 1955 construction began on the Alcoholism Treatment Service and opened to received patients in 1960 with a bed capacity of 60.
In 1970/71 a new children's complex was opened, increasing bed capacity to 83. The complex includes a Recreation Building and Gymnasium. In 1970, a volunteer program, the Thomas L. Young Auxiliary, was organized and continues to provide a variety of services to the people the hospital serves as well as funds for various projects and activities which are not funded through SELH budget appropriation.
In 1972, a Vocational Rehabilitation Unit was added, a joint venture of the Vocational Rehabilitation Department and the hospital. The hospital provided 30 inpatient beds, formerly the 25-bed children's unit, and staff, while V.R. provided personnel and equipment for the education, desensitization and placement of patients in work or training situations.
In 1982 a new seventy-four bed adolescent complex was opened which included a new Adolescent School and School Administration Building. The old Adolescent Unit was closed and not used for several years until renovation was completed in 1986/87. On June 24, 1992 a portion of the old adolescent unit was opened as a twenty bed brief stay adolescent unit named New Hope. The average length of stay was 41 days. But, in March of 1997 the New Hope program was converted to an acute care adolescent unit with a length of stay under twenty-one (21) days.
In July of 1992 the Alcohol and Drug Unit (formerly ATS, Alcoholism Treatment Services) was transferred to the management of DHH, Office of Alcohol and Drug Abuse, but remains housed at SELH. October of 1992, an eighteen (18) bed Adult Acute Psychiatric Unit, staffed and managed by SELH, opened at Washington/St. Tammany Regional Medical Center in Bogalusa, LA. Serving the residents of Region IX, it is a tri-agency partnership, e.g., SELH, Region IX Community Mental Health Services and LSU/HCSD.
On March 29, 1993, SELH converted two of the five adolescent wards into a twenty-five bed Developmental Neuropsychiatric Program (DNP) for adolescent patients with a dual diagnosis of mental illness and developmental disability. The remaining three adolescent wards served forty eight adolescent patients. The thirty (30) adult Vocational Rehabilitation inpatient beds were transferred to the management of Louisiana Rehabilitation Services (LRS) on December 12, 1994. Included in the transfer were the twelve (12) positions assigned to the thirty bed unit.[1]
Under new ownership Southeast Louisiana State Hospital has become what is known today as, Northlake Behavioral Health System.
Today, Northlake Behavioral Health System remains the largest behavioral health institution in Louisiana. In 2016, Northlake became a 501(c)(3) not for profit hospital with a mission to provide quality services to individuals with mental and behavioral concerns. The hospital and its caring team of professionals are valued members of the community, who prioritize giving back through different partnerships and organizations. Northlake is a teaching hospital that provides Louisiana medical and clinical professionals an active and supportive teaching environment. Northlake Behavioral Health System is involved with NAMI (National Alliance on Mental Illness), Louisiana State University, and is accredited by The Joint Commission.",,"Mandeville, LA",,
Louisiana,Creating Belle Chasse State School,https://www.asylumprojects.org/index.php?title=Belle_Chasse_State_School&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
What is the primary background color of the circle in our logo?",,,,
Louisiana,Creating Columbia State School,https://www.asylumprojects.org/index.php?title=Columbia_State_School&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the locations menu to the left, what is the sixth country up from the bottom?",,,,
Louisiana,Hammond State School,https://www.asylumprojects.org/index.php?title=Hammond_State_School,1960,,1961,Active,Cottage Plan,,South Louisiana Training School | Hammond Developmental Center | North Lake Supports and Services Center (Current),"North Lake Supports and Services Center was created in 1960 by Louisiana Act 347. Initially named the  the South Louisiana Training School, it was conceived as a place offering treatment, training, and rehabilitation to people with developmental disabilities. The first buildings were constructed on 100 acres donated to the state by W. L. ""Buddie"" Billups. On June 17, 1961, the doors opened to serve the first 45 men and women.
In 1962, the name of the facility changed to Hammond State School (HSS), growing in importance in the surrounding community and offering  a wide array of educational and health-related services through clinics, a school district located on its grounds, and day programs open to people in the community . Education and training received at HSS allowed people with developmental disabilities to enter into the work force and pursue personal goals.
In 1991, Hammond State School’s name changed to Hammond Developmental Center, and in 2007 again changed to North Lake Supports and Services Centers  to reflect its mission to enable people to select services and supports they need to attain their personal goals.",,"Hammond, LA",,
