State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population
Minnesota,Anoka State Hospital,https://www.asylumprojects.org/index.php?title=Anoka_State_Hospital,,,1900,Preserved,Cottage Plan,,Anoka State Asylum | Anoka-Metro Regional Treatment Center,"Anoka-Metro Regional Treatment Center is the current name of what was originally the First State Asylum for the Insane (1900-1919), Anoka State Asylum (1919-1937), and Anoka State Hospital (1937-1985). The first 100 patients arrived at the newly opened Anoka Asylum in March 1900. The group of men who traveled by train from the St. Peter hospital were classified as “incurables.” The asylum was not built originally as a place for treatment. Rather it was where most of these men would live out their days. According to historical records, 86 of those first 100 patients died there and many were buried in numbered graves at the cemetery on the grounds.
By 1906, 115 female patients had been transferred to the hospital from the facility in St. Peter. In 1909, it was decided that Anoka would admit only female transfer patients and that the state hospital in Hastings would admit the male transfer patients. However, construction of an additional building in 1925 allowed the hospital once again to admit male patients.
As treatment of the mentally ill evolved, so did conditions and treatment at Anoka. Among the procedures performed in the 1940s and ’50s were lobotomies, some done at the University of Minnesota. In the 1950s, treatments included electroshock therapy and hydrotherapy. In 1948, Gov. Luther Youngdahl allowed a reporter and a photographer from the Minneapolis Tribune to tour the state’s seven hospitals, including Anoka. The articles that followed exposed harsh conditions. In 1949, Youngdahl visited the Anoka hospital on Halloween night and, using a torch, burned hundreds of leather restraints and straitjackets in front of a crowd of more than 1,000. In a speech, the governor said the burning “liberated patients from barbarous devices and the approach which these devices symbolized,” according to historical accounts. Youngdahl moved to improve funding and conditions in the state’s hospitals.
An infirmary and clinic are provided for the physical health care of all residents at the hospital. Any previous programs, a treatment center for the mentally ill with tuberculosis (1948-1967) as well as programs for emotionally disturbed children and adolescents (1970s), have been discontinued. “Deinstitutionalization” of the mentally ill starting in the 1960s also ushered in an era of change across the nation. At the Anoka center, the number of patients dropped from 1,085 in 1960 to 476 by 1970 as the state invested in community-based care.
A shocking event occurred in 1976, when a patient escaped hospital grounds, broke into a nearby home and killed homeowner Mary Galbraith. At packed community meetings, there were demands ranging from better security at the hospital to closing it. Compromises were reached and the hospital remained open. City police took over security in 1986. After the hospital was closed in 1999, the state gave the historic campus to Anoka County, which now uses several of the buildings to house human services offices and the county workhouse. Several of the older buildings are mothballed. The current facility, Anoka-Metro Regional Treatment Center, is located to the original Anoka State Hospital campus.  Volunteers renovated three of the empty cottages into housing for veterans in 2017, and a fourth in 2019. As of 2020, the Anoka County department of corrections continues to use the remaining buildings.
The following thirty-minute video on the history of Anoka State Hospital was created by QCTV and Matt Overstreet.
Through the efforts of the advocacy group, a large number of headstones were initially placed which included the person's name. The hospital records indicate 400 people were buried in the cemetery from the time it opened in 1900 until the last burial in 1965. In October 2008 the advocacy group Remembering With Dignity and the Anoka Metro Regional Treatment Center hosted a special service at the cemetery site. The project was completed in 2009 and now each person has a proper marker and dignified place of rest.",1999 (Original campus),"Anoka, MN",,
Minnesota,Fergus Falls State Hospital,https://www.asylumprojects.org/index.php?title=Fergus_Falls_State_Hospital,1887,1888,"July 29, 1890",Preserved,Kirkbride Plan,Warren B. Dunnell,Third Minnesota State Hospital for the Insane | Fergus Falls Regional Treatment Center (RTC),"In 1885, the two existing state hospitals for the insane of Minnesota being overcrowded with patients, it became necessary to take steps for the erection of a third institution. Consequently the Legislature of 1885 passed an act to establish a commission to locate a third hospital for the insane and prepare plans for its construction. This act authorized and required the Governor to appoint a commission to consist of five persons, who should locate a site for said hospital at some point in the northern part of the state, cause plans to be made, and present an estimate of the cost under said plans. The act was approved by the Governor, Lucius F. Hubbard, on March 2, and shortly afterwards he appointed R. B. Langdon, of Minneapolis; C. K. Bartlett, superintendent of the St. Peter Hospital; H. H. Hart, of St. Paul, secretary of the Board By G. O. Welch, M. D., superintendent of Corrections and Charities; H. G. Stordeck, of Breckenridge, and F. S. Christensen, of Rush City, as members of the commission. The commission looked over the various sites suggested and finally selected one in the northern part of the City of Fergus Falls. An estimate was prepared covering the cost of land and the erection of ward buildings for 300 patients, with boiler house, laundry, etc. The report and recommendations of the commission were laid before the Legislature of 1887 and that body passed an act locating and establishing a third hospital for the insane at the City of Fergus Falls and placing the institution under the charge and control of the Board of Trustees for the insane of Minnesota. Later in the session an appropriation of $24,280 was made for the purchase of 596 acres of land, and $70,000 for the buildings recommended by the commission.
As soon as it was known that a new institution for the insane was contemplated the homeopathic physicians of the state, believing that their school deserved some recognition, took active steps to secure the proposed hospital. As a result of their efforts the Legislature of 1887 passed the following act:
That the superintendent and corps of physicians appointed for the third hospital for the insane, located at Fergus Falls, shall be of the school of homoeopathy, and the Board of Trustees of the hospitals for the insane of Minnesota are hereby directed to make appointments in accordance herewith as soon as the hospital is ready for patients.
Shortly after the Board of Trustees took control of the affairs of the new hospital Warren B. Dunnell, of Minneapolis, was appointed architect. During the fall of 1887 he visited many of the Eastern hospitals and on his return plans were prepared for the new institution, upon which work was begun in 1888. The ward buildings are of the congregate plan, with a main wing 430 feet long, and a detached wing 200 feet long for each sex. The buildings are three stories high, with a finished attic; they are built of cream brick with sandstone trimmings and a slate roof; are of fireproof construction, and are of pleasing and artistic appearance.
There was considerable delay in completing the first buildings contracted for, as the money appropriated was not sufficient for the purpose. The Legislature of 1889 made an additional appropriation of $65,000 and the first ward building was at length ready for occupancy. On July 29, 1890, the hospital was declared open and on the 30th 90 men were transferred thereto from the St. Peter State Hospital.
Since the opening of the hospital each succeeding Legislature, realizing the necessity of relieving the overcrowded condition of the other institutions for the insane, has been very generous in its appropriations. The ward buildings proper and all the outside buildings as contemplated in the original plans were completed in 1899. Since then the farm acreage has been largely increased, several new buildings have been erected, some of the older ones have been enlarged in order that they may be better adapted to the purposes for which they were intended, and many improvements have been made in various parts of the plant in order to bring it up to the highest state of efficiency.
The total cost of the plant up to the present time has been approximately $1,252,000, divided as follows: Land (1075.61 acres), $51,365; ward buildings, $750,000; administration building, $57,000; kitchen and storeroom buildings, $91,000; heating and lighting plant, $90,000; barns and live stock, $30,500; laundry, $32,000; water supply, $12,000; nurses' home, $80,000; amusement hall and congregate dining room, $32,000; shops, $8500; library, $1000; subways, $5000; improvement of grounds, $4500; electric and surgical apparatus, $5000; fire alarm system, $2000.
In September, 1887, the Board of Trustees appointed Captain O. C. Chase, of Fergus Falls, as general overseer of the work. In February, 1890, Captain Chase was appointed to the position of steward, which office he has held since that time, having proved himself a faithful and efficient officer.
During the spring of 1890 the Board of Trustees selected Dr. Alonza P. Williamson as superintendent, and he took charge of the institution on the 4th of May. Dr. Williamson was a graduate of the Hahnemann Medical College of Philadelphia. After graduation he served for a time at Ward's Island, New York, and afterwards accepted a position at the Middletown State Hospital, New York, where he served for a number of years as assistant superintendent. Coming to the new hospital in Minnesota in its infancy, he was instrumental in establishing the work upon a solid foundation, to which much of its future success was due. Dr. Williamson resigned his position on November 9, 1892, and opened an office in Minneapolis, devoting himself to special work in mental and nervous diseases. On the day of his resignation Dr. George O. Welch was appointed superintendent. Dr. Welch was a native of Massachusetts and a graduate of the Boston University. In June, 1887, he was appointed to a position on the staff of the Westborough State Hospital of Massachusetts and resigned that position in February, 1892, to take a post-graduate course in mental and nervous diseases in Europe. While abroad he was appointed to the position of superintendent at the Fergus Falls State Hospital, which position he has held since that time.
As soon as the institution was ready for patients the Board of Trustees divided the state into three hospital districts. The Fergus Falls district includes practically all of the state north of the City of Minneapolis, a much larger area than the other two districts combined, but not nearly so thickly populated. As the state is growing fast, the hospital is beginning to suffer from the usual overcrowded condition, having now (1912) a population of 1650 patients, with a normal capacity of 1500. Since the opening of the hospital over 8000 patients have been admitted. The results of treatment have been very satisfactory, a large proportion of the recently admitted cases being sent out each year in a normal mental condition.
A training school for nurses was organized in 1894. The two years' course at first required by the school was later changed to three. The school has always been open to both sexes, but entrance therein has never been obligatory. Since the opening of the school 103 men and 114 women have been graduated. The school has helped materially to raise the standard of efficiency among the nursing force, and many of the graduates now hold responsible hospital positions elsewhere.
The following named gentlemen served upon the Board of Trustees from the opening of the hospital until 1901, when all institutions were placed under the Board of Control: A. L. Sackett, J. F. Meagher, A. Barto, M. R. Tyler, C. D. Wright, A. T. Stebbins, Dr. J. F. Fulton, John Peterson, J. W. Mason, T. H. Titus, Dr. W. A. Jones, R. A. Smith, J. H. Block, Dr. C. L. Wells, T. D. O'Brien, Dr. D. N. Jones, Dr. A. W. Daniels, J. H. Wagoner, J. A. Coleman, John Heinen, C. J. Hanson.[1]
SUPERINTENDENTS
ASSISTANT SUPERINTENDENTS
ASSISTANT PHYSICIANS
STEWARD
The institution served 17 counties in northwestern and west central Minnesota with the patient census reaching an all-time high of 2,078 in 1937. The regional treatment center was one of the first multipurpose campuses, serving those with developmental disabilities, chemical dependency as well as psychiatric illnesses.[4] The kirkbride building was placed on the National Register of Historic Places in 1986.[5] During the 1980s, 90s, and into 2000 the hospital population decreased as patients were placed in smaller community based facilities. In 2007 the campus buildings were sold to the City of Fergus Falls.[6] In 2009 a lighting strike on the administration section cause a fire to break out in the center steeple. Fire crews responded and prevented the fire from spreading further down into the admin but were criticized by some for their slow response time.[7] The city has since placed a ""cap"" on top of the steeple. On August 30th, 2010 the city listed the former hospital campus for sale on Craigslist for $1. The ad stated that any potential buyers must have ""a plan for development and proof of private development capital"".[8] In the first half of 2011 the city of Fergus Falls proposed a phased demolition of many of the non-historical structures. In the initial version of this plan the Kirkbride building would not be demolished, only the cafeteria, gymnasium, administrative building, and some other outbuildings behind the Kirkbride, as well as several tunnels connecting the buildings would be demolished. The demolition plan has a tentative start date of summer 2012 unless a developer steps in and purchases the property.[9]",2007,"Fergus Falls, MN",,"2,078 in 1937"
Minnesota,Hastings State Hospital,https://www.asylumprojects.org/index.php?title=Hastings_State_Hospital,1899,1900,1901,Preserved,Cottage Plan,,Hastings Asylum for the Insane | Second State Asylum for the Insane | Hastings State Asylum,"Hastings State Hospital was established by an act of the legislature (Laws 1899 c230) as the Second State Asylum for the Insane. The site of Hastings, Minnesota was chosen. At its opening in 1900, it served as a transfer asylum, admitting patients from other state hospitals. It did not admit women until 1944 except for four years staring in 1905. The hospital's name was changed to Hastings State Asylum in 1919 and to Hastings State Hospital in 1937. Hastings State Hospital was closed on May 1st, 1978. All patients were either transferred or discharged to homes or other state hospitals or facilities. The second state veterans home was established on the site of the hospital.
Hastings State Hospital was the first in the state to discontinue use of physical restraints fro mentally ill patients, to implement regional coordination, and to open a regional service for drug dependency. It was also one of the leading hospitals in terms of developing partial hospitalization, adolescent treatment services, and education programs. At its closing, it was also one of the first hospitals to offer benefits for its' workers. All employees were offered employment in the Department of Public Welfare or other state agencies with no loss of salary or benefits. Hastings State Hospital was closed on May 1st, 1978. All patients were either transferred or discharged to homes or other state hospitals or facilities. The second state veterans home was established on the site of the hospital.
Hastings State Hospital was one of the two original state asylums in Minnesota. Its architectural organization was according to the cottage plan, which allowed for a cozier, more ""home-like"" atmosphere for the patients. Many of these buildings are examples of the Tudor Revival style and are more ornate than the plain brick buildings at Anoka.
Main Image Gallery: Hastings State Hospital
Hastings has 2 cemeteries, the first was used from the hospital's opening through 1944. A second cemetery was used from then until 1964. A total of about 900 graves are within both cemeteries.",1978,"Hastings, Minnesota",,
Minnesota,Minnesota Security Hospital,https://www.asylumprojects.org/index.php?title=Minnesota_Security_Hospital,1907,,1911,Active,Cottage Plan,,Asylum for Dangerous Insane,"Located on the campus of St. Peter State Hospital, however it is operated separately from that hospital. In 1907 the legislature authorized establishment of an asylum for the dangerous insane, to be operated in conjunction with the St. Peter State Hospital. It opened in 1911 in a small ward separate from the other hospital buildings and by 1950, had a Y shaped wing to extend it. By 1982 it was demolished and the hospital moved to it's own campus adjacent to the main hospital.",,"St. Peter, MN",,
Minnesota,Moose Lake State Hospital,https://www.asylumprojects.org/index.php?title=Moose_Lake_State_Hospital,1935,1936,1938,Active,Rambling Plan,,Fourth State Hospital for the Insane | Minnesota Correctional Facility/Moose Lake(current),"In 1935 the Minnesota legislature established a commission of five members appointed by the governor to locate a fourth state hospital in the northeastern section of the state (Laws 1935 c383). The commission selected land adjacent to the village of Moose Lake in Carlton County. The legislature, at its special session of 1935-1936, confirmed the location and directed the State Board of Control to purchase the land and proceed with construction of building (Laws Ex. Sess. 1935, c5, sl-12).
Construction began in November 1936, and the hospital accepted its first patients, transfers from the Fergus Falls and St. Peter state hospitals, on May 2, 1938. The formal opening was held on June 11. The first patients directly admitted from the probate courts arrived at the hospital on August 15, 1938. In 1949 two buildings for male and female geriatric patients and a combination auditorium, library, and occupational therapy building were constructed.
Moose Lake State Hospital, the fourth hospital for the insane in Minnesota, was built as a public works administration project in 1936-1938. Massive brick buildings created a rather somber interpretation of the Colonial Revival style which was certainly affected by the Depression. The hospital was designed to be an independent community, with administration, medical center, receiving wards for men and women, kitchen, bakery, laundry, powerhouse and sewage disposal units, four dormitories for patients, a nurses’ home, and a superintendent’s residence. Early treatments used at the hospital included insulin and electroshock, hydrotherapy, and physiotherapy. In the 1950s lobotomies were used on some patients. In 1959, when the Sandstone State Hospital closed, its alcoholic program was transferred to Moose Lake. By 1961, treatment of alcoholism was a specialization of Moose Lake. In 1966 a program for adolescents was begun, in which some of the participants attended public school and gained high school credits. Also in 1966 all of the hospital’s medical/surgical wards were closed. In 1972 the hospital began a long term chemical dependency program and in 1984 implemented a collaborative inpatient/outpatient chemical dependency program in conjunction with the Northland Mental Health Center in Grand Rapids.
With the closing of the Rochester State Hospital in 1982, Moose Lake received fifty patients, and began development of a specialized geriatric (psycho-geriatric) program.
By the 1980s the hospital had four active programs serving either all of or parts of thirteen counties: St. Louis, Cook, Lake, Koochiching, Itasca, Ramsey, Washington, Chisago, Isanti, Kanabec, Mille Lacs, and Pine. The four programs were mental retardation service, which served only St. Louis, Carlton, Cook, and Lake counties; chemical dependency service, which served all thirteen counties; mental illness service, which served all thirteen counties except Ramsey and Washington; and psycho-geriatric service, which provided service statewide.
The hospital closed as a psychiatric facility in 1995. It has since been owned and operated by the Minnesota Department of Corrections and is now called the Minnesota Correctional Facility - Moose Lake. Since becoming a prison, two living units and an industry building have been added to the campus, and the facility maintains a small treatment unit for drug/alcohol problems, as well as a sex offender treatment program. There are currently around 1000 inmates incarcerated at MCF-Moose Lake.",1995 (as psychiatric facility),"Moose Lake, MN",,"1,290 in 1955"
Minnesota,Rochester State Hospital,https://www.asylumprojects.org/index.php?title=Rochester_State_Hospital,1878,1877,January 1879,Closed,Kirkbride Plan,,Second Minnesota Hospital for the Insane,"By a special law passed by the Legislature of 1873 and amended in 1874 a tax of $10 on all liquor dealers was assessed to raise a fund for the establishment of a state inebriate asylum which, when completed, was to be maintained by a continuation of the same tax. As soon as a sufficient fund was accumulated the Inebriate Asylum Board purchased a farm of 160 acres, within a mile and a half of the City of Rochester, for $9000, secured plans and began building in 1877. Strong opposition was raised by liquor dealers against this tax as discriminating and unjust. Test cases were tried in the courts and the constitutionality of the law was sustained. At the same time it became apparent and was admitted generally that additional room was much more urgently needed for the care of the rapidly increasing insane of the state than for the care of inebriates. The Legislature of 1878, in view of this and of the determined opposition to an inebriate asylum to be built and maintained on such a plan, repealed the act levying the tax and changed the inebriate asylum to the Second Minnesota Hospital for Insane, which title was later changed to the Rochester State Hospital (in 1883), with the proviso, however, that inebriates should be admitted and cared for and treated at the expense of the state on the same basis as the insane. Accordingly a separate ward was maintained for inebriates until the department was abolished by the Legislature in 1897.
The building was in an unfinished condition, and consisted of a center and small east wing, then only under roof, without inside finish, and without outbuildings, such as laundry and engine house. When the trustees examined the property they recognized its unfitness for the purposes of an insane hospital and the fact that it would necessarily require many changes to adapt it to this new use. Owing to these objections they hesitated to accept the transfer; but the urgency for room was so great they reluctantly concluded to do the best they could with it. An appropriation of $15,000 accompanied the transfer as a fund to be used to prepare the building for the accommodation of patients. This was in the summer of 1878.
Dr. J. E. Bowers, with over 10 years' experience as first assistant physician at St. Peter, was elected superintendent, and the Rev. A. H. Kerr, who had been a trustee from the beginning of the St. Peter Hospital, was chosen steward. On January 1, 1879, the institution was opened for the reception of patients. Transfers were made from St. Peter and new cases were admitted, and accommodations for 100 men were soon filled.
The Legislature of 1880 granted $20,000 for the erection of a wing on the west side for women. This was erected in the summer of 1880, and was ready for the furniture and heating apparatus when a disastrous fire occurred at St. Peter. Money for furnishing and heating was immediately provided. The building was hastily completed, and furnished room for over 100 women, who were transferred to relieve the crowded condition of the first hospital. In 1882 a large extension was built on the men's side, accommodating 200 patients, and costing when furnished $76,000. In 1883 and 1884 a similar wing was built on the west side for women, costing when furnished $83,000, thus completing the original design of the main structure, with a capacity for 600 patients. The building of a detached ward for women, authorized by the Legislature of 1887, was completed and accepted for occupancy on the 12th of February, 1890.
A modern power plant was constructed in 1916. Within the past few years a home for women nurses has been built and a club house for the men nurses is planned. The Legislature of 1909 appropriated $55,000 for the detention hospital and at the same time passed a voluntary commitment act. Into this building all the new patients are received. The hospital estate contains 1720 acres. The total number of inmates remaining in the hospital in January, 1914, was 602 men and 519 women.[1]
Treatment of mental diseases at the hospital before the 1920s consisted mainly of keeping patients occupied with work and recreation, and restraining violent patients. Many patients worked on the hospital’s 500-acre farm. Plays, concerts, and dances were put on for recreational purposes. In the late 1940s insulin and electroshock treatments were common, and in the 1950s lobotomies were used on some patients. Throughout the hospital’s history the use of drugs became more extensive. The hospital served as a surgical center for many of the other state institutions, as well as for Rochester State Hospital. The Mayo Clinic provided doctors free of charge, and the hospital absorbed the cost of supplies.
A major reconstruction program, begun in 1948, included the construction of two geriatric buildings, a powerhouse, and eleven staff houses.[2] The hospital’s campus continued to change as well. After World War II, there was an influx of geriatric patients. From 100 patients in 1879 the hospital grew to over 1,000 patients by 1900, and there were over 1,700 patients in 1955. With the old Kirkbride building unable to accommodate them, a major construction program began in 1948. By 1964, newer buildings served most of the patients and the Kirkbride structures were torn down. In 1965, the City of Rochester purchased 212 acres of the hospital’s farm land and turned it into Quarry Hill Park.
In the late 1970s, as the economy declined, the treatment of mental illness moved from state institutions to community-based facilities. In 1981, the Minnesota Legislature ordered Rochester to close as a cost-saving measure, triggering a state-wide controversy. Hospital staff and community members expressed concern that the closure would traumatize patients and damage the local economy. Unlike other state hospitals, which received patients through court orders, Rochester admitted a majority of its patients voluntarily. Patient advocates feared that closing the hospital would hurt those who sought help willingly. Despite these objections, the hospital closed in June 1982.
The Federal Medical Center, a prison for inmates with medical problems, was built on the hospital’s grounds in 1984. The prison used some of the detached hospital buildings but demolished others to allow for new construction. The center provides specialized and long-term physical and mental health medical care to male offenders.
Main Image Gallery: Rochester State Hospital
Just north of the former State Hospital, 2,019 residents of the State Hospital were laid to rest between 1886 and 1965 in unmarked graves or graves only indicated by numbers stamped into concrete markers molded from coffee cans. After the hospital closure in 1982 a portion of the state hospital land was acquired by the city of Rochester and is now Quarry Hill Nature Center. When the city became responsible for mowing the old cemetery grounds, the cement grave markers wreaked havoc on their mowers and many of the markers were thrown into the nearby woods. The cemetery is now part of the Quarry Hills Nature Center.
Website with cemetery info & names",June 1982,"Rochester, MN",,"1,700 in 1955"
Minnesota,St. Peter State Hospital,https://www.asylumprojects.org/index.php?title=St._Peter_State_Hospital,,1866,1866,Active,Kirkbride Plan (Mostly Demolished),,Minnesota Asylum for the Insane | St. Peter Regional Treatment Center,"The St. Peter State Hospital began in March 1866 when the Minnesota State Legislature responded to the need for an asylum by passing ""an act for the establishment and location of a hospital for the insane in the state of Minnesota, and to provide for the regulation of the same."" The act also created a board of trustees and appointed six commissioners responsible for recommending a permanent location for the state's hospital. A number of Minnesota communities vied for the facility and each claimed to be the most attractive village. However, on 1 July 1866, the commissioners made their recommendation. They opted for St. Peter as the permanent site. Citizens of that community purchased a 210 acre farm for $7,000 which was given to the state for the purpose. Shortly after the commission's report was filed, the board of trustees purchased the Ewing house in St. Peter for temporary use until construction was completed on the permanent hospital. The board of trustees estimated that the refurbished Ewing house with accommodations for fifty patients would exceed the state's demands for years.
The Minnesota State Hospital for Insane accepted its first patient on 6 December 1866 and received more patients from Iowa on 28 December. In its first annual report to the governor, the board referred to the problem that would reoccur in the hospital's history for over the next 100 years. The original estimates of the board had proven incorrect as overcrowding had become the foremost problem two months after the hospital opened. In the spring of 1867, after a reorganization of the board of trustees, construction began on a temporary frame building adjacent to the Ewing property and when completed would house an additional fifty patients. In 1867, the board adopted the ""Linear Plan"" for the permanent hospital consisting of a center building with attached sections.
During the following ten years, construction proceeded on the permanent hospital while the board reluctantly expanded the accommodations of the temporary hospital to relieve the problem related to the increasing patient population. By 1876, construction ended. The new facility was capable of accommodating 500 patients and the valuation of the property was placed at $563,251.69. Because of the increasing number of patients, the hospital needed to continue operating the temporary buildings even though they needed extensive remodeling.
The problem of overcrowding was exacerbated in by a disaster on 15 November 1880 when fire destroyed the hospital's north wing before being contained. There was no insurance to cover the loss, and officials voiced concern over the possibility of another disaster. In response, the board recommended fireproofing the entire complex by replacing gas lights for electric lights and abandoning the temporary wood buildings.
Throughout the 1880s the hospital expanded. The north wing was rebuilt, two detached structures were erected to the north and south of the main facility, tunnels were built beneath the complex for the distribution of food, and a piggery, corn crib, and greenhouse were built. By 1892, the hospital's farm had expanded from the initial size to 810 acres, and numerous patients helped work the land. Besides providing food and employment opportunities, the farm was an economic necessity. Produce raised by patients and staff lowered the institution's food costs. However, the building projects had little effect in abating the institution's overcrowding by 1896. In response to similar conditions at the State Hospitals in Rochester and Fergus Falls, two new hospitals opened in Hastings and Anoka, Minnesota.
In 1906, the Board of Control, the new body of directors, recommended that patients considered dangerous or criminally insane be placed in a separate building located near one of the mental institutions where they could be given proper care. Legislators agreed and appropriated funds for a facility in St. Peter. By the spring of 1911, four separate institutions existed on the St. Peter campus: the mental hospital, the detention hospital, the hospital for tuberculosis insane, and the newly completed hospital for the criminally insane.
World War I necessitated stringent economic measures. Reductions in food, clothing, and other supplies mean that only the immediate needs of the patients could be satisfied. Inflation and a shortage of labor also affected the hospital, and in 1918, the influenza epidemic caused the death of thirty-two patients and one employee severely impacted the institution's population.
The postwar period brought prosperity, expansion, and new methods of treatment. Even the Great Depression had little negative impact on the institution because the Works Progress Administration provided funds for construction of a needed addition to the hospital's facilities. By the summer of 1939, the Board of Control was abolished and the Division of Public Institutions was created. This division within the Department of Social Security was responsible for the administration of the state's institutions while the remaining duties of the Board of Control were transferred to the Department of Social Welfare. After World War II, the institution continued to expand its facilities and enlarge its staff. By 1972, the St. Peter State Hospital consisted of over sixty buildings.[1]
Main Image Gallery: St. Peter State Hospital
The location of the earliest cemetery at the St. Peter State Hospital is not known. The cemetery had wooden crosses for markers and a prairie fire erased all landmarks in a large area and the location of the cemetery was never found. The second hospital cemetery was in what is now Resurrection Cemetery, the cemetery & land on this side of the highway was later sold by the state but the cemetery continued as a Lutheran cemetery named Resurrection Cemetery. The third cemetery is located on the grounds of the current hospital but up on top of the hill from the hospital campus. All of these graves now have monuments with names as well as their original markers with numbers.
If you are looking to visit the St. Peter State Hospital Museum, please call 507-985-2249 to schedule a tour. It is located in the administration building of what remains of the Kirkbride. Facebook page is located HERE
The following video was shot by the Minnesota Historical Society.  It shows the inside of the museum and also give a view of some of the un-restored sections of the hospital.",,"St. Peter, Minnesota",,
Minnesota,Sandstone State Hospital,https://www.asylumprojects.org/index.php?title=Sandstone_State_Hospital,,1945,1950 (as a state run facility),Active,Cottage Plan,,Federal Correctional Institution (FCI) in Sandstone,"The Sandstone State Hospital was operated from 1950 to 1959 in a facility leased from the Federal Bureau of Prisons, which had vacated it in 1948. The hospital had programs for the mentally ill, mentally retarded, and alcoholic. The patient population was all male, most of whom were transferred to Sandstone from other institutions in the state.
On June 30, 1959, the Department of Public Welfare discontinued the operation of a state hospital at Sandstone, and the facility was turned back to the Federal Bureau of Prisons. Today it is a low security facility for male offenders.",1959,"Sandstone, MN",,
Minnesota,Willmar State Hospital,https://www.asylumprojects.org/index.php?title=Willmar_State_Hospital,1907,,1912,Preserved,Cottage Plan,"Clarence H. Johnston, Sr.",Hospital for Inebriates | Willmar State Asylum | Willmar Regional Treatment Center,"Built on an open farm field north of town, the Willmar Hospital Farm for Inebriates opened in 1912 with just 37 patients. Their treatment included working on the self sustaining farm where oats, barley, corn, timothy, vegetables and livestock where raised. During the hospital’s first 18 months, 84 inmates escaped, which “did little to alleviate the skepticism and stigma that had surrounded the new institution from the beginning.” The Willmar Hospital Farm for Inebriates was established by the state legislature in
1907 as Minnesota's second state hospital for alcoholics. (The first had been established in Rochester in 1873) The hospital was financed through a state tax of 2% on all liquor
license fees, and opened in December of 1912 with 2 major buildings and a 500 acre farm site. Two years later, in July of 1914, there were 314 patients at Willmar.
In March of 1917, the hospital was renamed the Willmar State Asylum and “so-called hopeless or custodial care cases” who were destined to become lifelong wards of the state” were housed at the facility.
From 1919 through the early 1930s, buildings were added to the campus in a steady schedule of new construction in an attempt to keep pace with the increasing population. New cottages for men and women, an administration building and auditorium were built. Mentally-ill patients arrived in rail coaches from other hospitals in Minnesota, increasing the population to 1,471. In 1937 the name was changed to Willmar State Hospital. During and after World War Two, shortages of staff and money resulted in deteriorating conditions at the hospital. Reports said patients were “forgotten people” who were “crowded like animals” and slept in “dingy attics.”
Improvements were made, and in the 1950s, doctors at the Willmar State Hospital developed a “holistic approach” to treating alcohol addiction that was later called the “Minnesota Model.” During that time, the hospital had a population of 1,483 and employed about 320 staff. A movie called “the Human Side” that addressed the nature and treatment of mental illness, was filmed primarily at the Willmar State Hospital and had a premier showing in Willmar on July 11, 1957, with Gov. Orville Freeman in attendance. A crowd of 1500 people attended the showing of the film, which received the Silver Award from the American Psychiatric Association.
By 1962, community mental health centers were opening in Minnesota and the population at the Willmar State Hospital shrank to 851. In 1969 the livestock and farm equipment at the hospital was sold and farm buildings were demolished.
In 1985, the hospital was given a new name,the Willmar Regional Treatment Center. In 2002, plans were initiated to close it. Today, most of the sprawling campus is owned by a private conglomerate of companies called Minn-West Technology that bought the site as part of a collaborative effort to save and reuse the buildings. Adolescent treatment programs are still done at one of the original cottages and outpatient services are provided at several offsite facilities.  360 degree images of the campus on the grounds of the hospital can be found on the Minn-West Tech site here [1].
Main Image Gallery: Willmar State Hospital Image Gallery
The Willmar State Hospital Cemetery, now known as Oak Knoll Cemetery, was opened in December of 1926. The cemetery was divided into an area primarily for those of the Catholic (194) faith and the balance for Protestant (675) faith in general. The cemetery itself was expanded in about 1962 for the third addition.",2008,"Willmar, MN",Mediterranean & Spanish Colonial,"1,483"
Minnesota,Brainerd State School and Hospital,https://www.asylumprojects.org/index.php?title=Brainerd_State_School_and_Hospital,,,1958,Demolished,Cottage Plan,,Brainerd State Hospital | Minnesota Learning Center,"In the beginning, nearly all of the residents to what was then the Brainerd State School and Hospital were from Cambridge State School and Hospital. The month of October, 1965, saw the largest number of patients in residence. There were 1,330 patients with 230 employees. The institution had to train all of its own psychiatric technicians with Miss Mabyl K. Johnston, R. N., who had her master of arts degree in nursing education, taking the responsibility for this training. Until her retirement in 1970, she trained 34 classes of psychiatric technicians.  In the beginning, nearly all of the residents to what was then the Brainerd State School and Hospital were from Cambridge State School and Hospital. The official name change to Brainerd State Hospital was made in 1971.
The Minnesota Learning Center was established in July, 1970, with the closing down of Owatonna State School. The Center, under the leadership of Warren Bock, program director, deals with educable retarded children with emotional problems which make it difficult for them to get along at home or in their community. This program serves all 87 counties of Minnesota and has 62 personnel assigned to it. There is a set limit of 85 students in this program. For most of its history, Brainerd State Hospital has served the 28 counties which constitute the northern half of Minnesota",2003,,,"1,500 in 1971"
