State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population
Missouri,Farmington State Hospital,https://www.asylumprojects.org/index.php?title=Farmington_State_Hospital,,1901,1903/1987,Active,Cottage Plan,,State Hospital Number 4  | Southeast Missouri Mental Health Center (Current) | Farmington Correctional Center (Old facility location),"Received its first patients in 1903. The state budgeted $150,000 to build the hospital itself and in 1901, an additional $120,000 went for new buildings and equipment. Five cottages were built for patients and from 1901 to 1902 a dining room, kitchen, power house, barns, laundry, ice plant, the folk building (set aside for nurses, attendants and recreation), an administration building, the Hall building, the superintendents' residences and the Harrison Building, a receiving building and acute care hospital, were constructed. Dr. William Hall admitted the first three patients in 1903 and by 1904, the population stood at 332. By 1907, 795 patients were housed at the hospital. By 1922, the hospital was so crowded the superintendent's home was converted to housing for women patients. In 1925, the Hyde Building was built and the Folk Building was converted to house female patients. Another milestone was marked in 1925 when Dr. Emmett Hoctor took over as superintendent of Farmington State Hospital, then known as State hospital Number 4.
In 1931, the diathermy machine was introduced to treat paresis, a form of paralysis. Before, physicians had induced a high fever in paretic patients by injecting them with malaria germs. While the malarial fever did help some patients, the danger of dying of malaria outweighed the benefits. When penicillin was discovered, it replaced the diathermy machine, chiefly because it was dramatically effective for treating syphillis, the major cause of paresis. In 1932, the hospital established its first community-based treatment center when it set up a clinic for mental health education and consultation in the New Madrid County Courthouse. Other clinics were set up in Mississippi and Scott Counties and today clinics can be found in Sikeston, Cape Girardeau, Kennett and West Plains. On June 6, 1940, Dr. Paul Schrader performed the first lobotomy. In the first months of 1940, 64 major lobotomies were performed at the hospital. All told, 200 lobotomies were performed at the hospital, the last in 1943. Electroshock therapy was introduced in 1942. During the 1930s and '40s, several WPA projects were completed on the hospital grounds, including utility tunnels, storm sewers and a new dairy barn. The 1950s and '60s were a period of overcrowding for the hospital. In 1954, the average daily patient population was 1,879. The recommended capacity was 1,600. By 1970, the hospital was serving 25 counties and the Alcoholism Treatment Center had been expanded to handle drug abuse patients. Treatments in practice included recreation, music and occupational therapy.
In 1972, the Blair Building, the last of the new buildings, was opened as a psychiatric medical facility. By 1975, the average daily population had fallen to 521 patients at the state hospital, but an average of 600 people were treated monthly on an outpatient basis. In 1978, Dr. Hoctor retired after a 53-year career with Farmington State Hospital, and the institution marked its 75th anniversary. By 1982, the population had fallen to 320 on the hospital grounds, the level stipulated under the conversion plan. The majority of the original grounds, and buildings for State Hospital Number 4 became part of the Missouri Department of Corrections.[1] In 1987 the facility was renamed Southeast Missouri Mental Health Center and the non-forensic patients were moved into the new building which is now known as the Danny Staples building, where Adult Psychiatric Services are provided. The Hoctor building, named after Dr. Hoctor, is now used along with the Blair building to house the SORTS program-Sexual Offender Rehabilitation Services.
Main Image Gallery: Farmington State Hospital
The first patient was buried in the cemetery on December 29, 1903, the year the hospital opened. The last person buried there died December 29, 1960, just 57 years later. Between those dates over 1100 individuals were buried there. Records of each grave and burial are maintained by the Southeast Missouri Mental Health Center (SMMHC). After 1960, the cemetery fell into disrepair. In 1978 a group of concerned citizens restored the cemetery, removing weeds and brush and resetting stones as needed. Since that time, the cemetery has been maintained by the SMMHC. Though some of the stones have deteriorated due to age, the cemetery is well maintained and reflects its historic significance as a cemetery associated with a state-run asylum and hospital.",,"Farmington, MO",,"1,879 in 1954"
Missouri,Fulton State Hospital,https://www.asylumprojects.org/index.php?title=Fulton_State_Hospital,1847,,1851,Active,Kirkbride Plan (Demolished),Solomon Jenkins (Original Building) & Morris Frederick Bell (Later modifications),Missouri Asylum for the Insane | Missouri State Hospital #1,"In 1847, the Missouri General Assembly enacted legislation to establish an asylum for the insane in the central area of the state. This institution was to provide physical care for societal ""lunatics."" Several counties were encouraged to bid for this institution. Callaway County was able to produce $11,500 and 500 acres of land, thus winning the bid. Fulton State Hospital, the first public mental institution west of the Mississippi River in 1851, admitted its first 67 patients in December.
The original building was three stories high, excluding the basement and attic. It contained 72 rooms and housed the same number of patients. The center of the building was reserved for a patient dining area, and lodging rooms for officers, attendants, and laborers. All employees of the hospital were required to live on the grounds, and had to obtain special permission from the Superintendent in order to leave. The hospital was almost totally self-sufficient at this time. By maintaining sewing rooms, vegetable and straw houses, raising their own food, pumping water from underground wells and streams, and making their own soap, the hospital was similar to a small city, requiring few resources from outside its grounds.
According to State Biennial Reports, several probable causes of mental illness were determined in the first cases admitted. Among the more unusual causes were indigestion, religious anxiety, disappointed love, intense study, and jealousy. Epilepsy and tuberculosis were the two most common causes. As psychiatry was virtually an unexplored field, primary emphasis was placed on the physical needs of the individuals and maintaining a system of order within the hospital. The majority of individuals at this time were aged 20 to 40, and ranged in occupation from broom makers to lawyers. Early methods of calming these individuals included the use of hydrotherapy (running cool water over individuals' wrists and ankles to reduce metabolic rate), sensory deprivation chairs (chairs with straps and a hood to be lowered over the individual's head, depriving the person of his senses), twirling chairs (devised to spin individuals in rapid circles in order to separate the ""humors"" of the brain), and needle cabinets (steel boxes in which individuals sat in while high pressure water was pumped directly onto their skin). Strain jackets and shackles were used to restrain individuals. All of these seemingly cruel tactics served the purpose of preventing individuals from causing physical harm to themselves or others during their psychotic episodes.
As technology advanced, these early strategies were abandoned and a more curative approach was adopted. The hospital developed a motto that required its employees to treat patients as friends and brothers as opposed to inferiors. According to Pinel, it was believed that ""goodness is the most effective of remedies, and justice the most impressive of authorities."" Any employee not abiding by this motto was released from duty.
In 1852, the idea that religious instinct survives the wreck of the intellect initiated the construction of the first chapel for individuals' use. Music played during religious services seemed beneficial to these individuals and served as a rudimentary form of what was later to become music therapy. In 1859, Dorothea Lynde Dix visited the hospital. Through her, the hospital received a large number of amusement items as well as cash donations. Dix was a pioneer in the movement to establish mental health facilities. She thought it unnecessary to keep mentally disturbed persons in jail because of their burden on society. She appealed to lawmakers to establish a facility for these individuals where they could receive proper care. A period of local disorder brought about by the Civil War forced the hospital to close in 1861, and a large number of individuals from the St. Louis area were returned home. The hospital building was used as a barracks to house Federal troops. Due to the sudden influx of these persons back into the St. Louis community, St. Louis County built an asylum in 1948 that became the St. Louis State Hospital. Fulton individuals were transported by steamboat to this new hospital.
The Fulton hospital reopened in 1863 with approximately 125 individuals. Two years later the first black individuals were admitted to the hospital and cared for on a separate ""colored"" ward. By the early 1870s individuals engaged in work as well as recreational amusements on the hospital grounds. These activities kept patients' minds and bodies active while increasing their self esteem. Eventually, these activities evolved into what is today called recreational and occupational therapy.
By the turn of the century, many changes had taken place within the hospital. In 1910, the patient census had passed the 1,000 mark. Over time, crowding produced expansion of facilities. The original building now included two new large wings on either side. Twenty-nine wards were established and a special unit was built to house the criminally insane. Elevators were installed in various areas to aid disabled patients and alleviate confinement to rooms. Other facilities in operation on hospital grounds included an infirmary, kitchen, bakery, chapel, and museum. Stephens Park provided a place for patient recreation. Technological advancements aided in the maintenance needs of the hospital. Marsh pumps were installed pumping 35,000 gallons of water per day throughout the institution. Dynamos were purchased providing electric lights, a telephone system was setup, and a fire brigade was organized to further ensure patient safety.
Treatment approaches in the mid-1900s advanced to keep up with the rapidly growing hospital. Electrotherapy, insulin and metrozol shock treatment, and prefrontal lobotomies were all performed with the more serious patients. Emphasis in treatment of patients began to shift from merely physical maintenance to encompass mental demands as well. Patients engaged in occupational and recreational therapy, lessening the need for restraining techniques. As the use of restraints declined, an ""open door"" system was implemented with individual clothes lockers to encourage cleanliness. Holidays and special activities were planned to boost morale. Patient interaction became further possible with the building of a canteen. Finally, patient classifications on wards were designed. Epileptics, dangerous patients, tubercular patients, and prisoners were all separated.
By the early 1930s, physical ailments of patients were treated on hospital grounds. Physicians, dentists, and pathologists were employed in this task. Unfortunately, due to the vast number of patients, the doctor-patient ratio was approximately 1 to 543. In 1934, programs to educate the community about the prevention and treatment of mental diseases evolved. The medical staff aided in the task by speaking on several topics such as ""modern treatment and methods of mental diseases"" and ""value of recreational therapy in mental hospitals."" A result of this community education was the development of a volunteer program. The volunteer program provided social interaction for the individuals, as well as a chance for lay people to see and understand firsthand the disease of mental illness. Its overwhelming success is still apparent today, as volunteer interaction remains an important part of an individual's treatment.
The maximum-security Biggs Building was completed in 1940. It housed eight wards, with a kitchen and dining room, hydrotherapy facility, and a hospital ward. Individuals admitted into the Biggs unit were those found not guilty by reason of insanity, criminal sexual psychopaths, those awaiting pre-trial evaluation, and individuals incompetent to stand trial. Today, the Biggs Building has been expanded to include a female forensic unit. Prior to its establishment, women were sent to prison for murder and other serious crimes, or were placed elsewhere in the mental health system.
On March 15, 1956, a disastrous fire destroyed the administration building and the two adjoining wings which housed nearly 250 individuals. Fortunately, no lives were lost; however, many patient and hospital records were destroyed. Students from Westminster College, along with Fulton, Jefferson City, Columbia, and Mexico fire fighters, attempted to salvage whatever possible. The cost for wrecking fire damaged buildings exceeded $1,014,000, and the hospital had to suspend admissions for a few months. Appropriations made afterward allowed for rebuilding as well as the addition of a Geriatrics unit.
In the last half of the 1960s, the Hearnes Unit was built for the purpose of treating children. The main goal of the unit was to simulate normal life and convert maladjusted children into normal citizens. Children were accepted on a limited basis, with the highest census being 170. This facility was the first juvenile treatment center of the Mental Health Division. The 1970s were a time of implementing innovative outpatient treatment programs for problems resulting from specific needs. The average caseload in the early '70s was around 1,199. Outpatient programs provided aid to those afflicted by mental retardation, personality disorders, social maladjustment, and many other neurotic problems. In 1975, approximately 5,300 individuals appeared on the rolls of the hospital. Of these, however, only about 1,180 were physically present. Some 1,000 elderly individuals were placed in nursing homes, where their care and supervision could be attended to. In addition, hospital-based and satellite community clinics served some 2,600 outpatients, and several hundred individuals were on convalescent leave status to determine their readiness to resume community living.
Near the close of the 1970s, Fulton State Hospital applied for Medicaid funding of Geriatric individuals. This was the first time Medicaid funds were used for a psychiatric facility in the Division of Mental Health. Throughout the 1980s, the primary diagnoses of individuals hospitalized at Fulton State Hospital were schizophrenia and manic-depression. A new emphasis was placed on the reintegration of recovering individuals into the social setting. Treatment was expanded to include individual and group therapy, drug therapy, vocational rehabilitation, physical and psychological testing, speech and hearing services, education, and employment-preparedness projects.[1]
Five years after former Gov. Jay Nixon won legislative approval for the $211 million project, the Missouri Department of Mental Health opened the new Nixon Forensic Center in early July 2019. The new building is shaped like a backward “S” with wide hallways, high ceilings and ample use of natural light. The 500,000-square-foot complex features 300 beds separated into 12 living groups of 25 each. Fulton State Hospital consists of treatment units for high and intermediate security patients (Nixon Forensic Center, 300 beds), individuals with developmental disabilities (Hearnes Forensic Center), and the Sexual Offender Rehabilitation and Treatment Services (SORTS) program (Guhleman Forensic Center).
Main Image Gallery: Fulton State Hospital",,,,
Missouri,Missouri State School and Hospital,https://www.asylumprojects.org/index.php?title=Marshall_State_Hospital,1899,1900,1901,Active,Cottage Plan,,Missouri State Colony for Feeble-Minded and Epileptic | Marshall State Hospital | Marshall Habilitation Center (Current),"The Missouri State School was established by an act of the 40th General Assembly in 1899 and opened in 1901, with three buildings and sixty male patients. The city of Marshall gave 288 acres of land for the institution which, until 1925, was known as the Missouri State Colony for Feeble-minded and Epileptic. The 69th General Assembly authorized the purchase of 82 additional acres. Through the more than half-century of its existence, the institution has expanded until it is now comprised of three units at Marshall, Carrollton and Higginsville. The 70th General Assembly in 1959 designated the three units as the Marshall State School and Hospital, the Carrollton State School and Hospital, and the Higginsville State School and Hospital, with all three units operating under one superintendent.
Main Image Gallery: Missouri State School and Hospital",,"Marshall, MO",,
Missouri,Nevada State Hospital,https://www.asylumprojects.org/index.php?title=Nevada_State_Hospital,1885,,1887,Demolished,Kirkbride Plan,Morris Frederick Bell,State Hospital for the Insane No. 3  | Southwest Missouri Mental Health Center,"Nevada State Hospital was established in 1885; it was the third asylum in Missouri. The first building to be built was the distinctive Kirkbride main building. Over the years the building lost most of its distinctive features and ornamentation. Originally called Lunatic Asylum Number 3, the State Hospital's first building opened on October 17,
1889. The Second Empire style main building was the single largest public building in Missouri at the time of its construction. The asylum was physically self-sufficient from the beginning. Spread out across 520 acres, it had its own water supply, laundry facilities, power plant, and telephone systems, as well as gardens, a lake, greenhouses, a dairy, a hennery, and a hog farm, all of which aided in the production of food stuffs and provided occupational therapy for inmates. In addition to the main building, the complex
contained numerous support buildings, structures, and outbuildings, including an ice plant, power plant, cannery, fire engine house, carpenter shop, barns, and silos.
During the late 1930s, the Missouri State Hospital Number 3 facilities expanded with the construction of new buildings to address overcrowded conditions. Concurrent with the construction of the Infirmary Building for acute care patients, the state built a Clinic Building to the north of the Infirmary Building to house diagnostic intake facilities and donnitory and treatment space for non-acute/chronic care patients. Another new facility on the hospital grounds was an employee dormitory. These improvements marked the most significant physical growth of the institution in the twentieth century.
In 1973, the Missouri Division of Mental Health divided the institution into the Nevada State Hospital and the Nevada State School and Hospital. The Nevada State Hospital treated mentally ill patients, while the Nevada State School and Hospital became a treatment, training, and habilitation center for mentally retarded and developmentally disabled patients. The latter was renamed Nevada Habilitation Center in 1983.
By 1991 Nevada State Hospital closed and transitioned its operations to a Community Psychiatric Rehabilitation Program known as Southwest Missouri Mental Health Center. The center continued these operations until 1997 when it relocated to a new inpatient facility in ElDorado Springs, Missouri. In conjunction with this move, the facility received an official title change to Southwest Missouri Psychiatric Rehabilitation Center and currently continues services under this title. All that remains is the former Infirmary Building, now renovated as a retirement home.
Nevada State Hospital #3, A History of Change, 1885 - 2013
There are about 1,500 patients buried at the hospital cemetery. Records pertaining to it were lost in 1991 during the hospital's closure. List of known burials
Main Image Gallery: Nevada State Hospital",1991,"Nevada, MO",Second Empire,
Missouri,St. Joseph State Hospital,https://www.asylumprojects.org/index.php?title=St._Joseph_State_Hospital,1872,1874,1874,Active,Kirkbride Plan (Mostly demolished),,"State Lunatic Asylum #2 | Missouri State Hospital for the Insane  | Northwest Missouri Psychiatric Rehabilitation (Current @ new campus) | Western Reception, Diagnostic & Correctional Center (Current @ old campus)","The story begins in 1872 when Missouri’s State Legislature approved $200,000 for the building of a Lunatic Asylum and St. Joseph citizens convinced the legislature to locate it just east of their city. Opening its doors on November 9, 1874, the hospital was called the State Hospital for the Insane No.2, or more familiarly named the Lunatic Asylum #2. Beginning with 25 patients, the first hospital superintendent described the institution as ""the noble work of reviving hope in the human heart and dispelling the portentous clouds that penetrate the intellects of minds diseased.” And so it was for the next 127 years.
In no time at all the hospital’s 275 beds filled when relatives could no longer handle the special needs of family members with mental illness. Soon, an additional 120 beds were added, then another 250, then more and more over the years, as the hopelessly mental ill poured through their doors. In the hospital’s early years, the asylum was a self-sufficient institution where the patients worked on a farm, raising crops and livestock, to provide food for the facility. Allegedly, the hospital needed only to purchase salt and sugar to supplement their food provisions.
The hospital continued to be referred to as the State Lunatic Asylum #2 until 1899, when it gained the name the St. Joseph State Hospital. By the early 1950s, the facility had grown to nearly 3,000 beds and housed some of the most criminally insane individuals in the state, as well as those that could be rehabilitated, and others who were merely depressed. According to the museum, a few of these patients were just mildly depressed individuals who were dumped there by annoyed relatives. With modern medications, more and more patients began to return to society. Throughout its history, the hospital underwent a series of experimental treatments for its patients, some of which sound more like a cause rather than a cure for insanity.
In 1967, a museum was started in a ward of the St. Joseph State Hospital by a man named George Glore, a lifetime employee of the Missouri Department of Mental Health. Beginning with several full-sized replicas of 16th, 17th and 18th century treatment devices that were created for a mental health awareness exhibit, he soon began to look for other items that would illustrate how the treatment of mental illness had progressed over the years. George Glore spent the larger part of his 41 year career with the Missouri Department of Mental Health in developing the largest collection of exhibits featuring the evolution of mental health care in the United States. Glore retired from government service in the 1990s.
By the early 1990’s the majority of the patients of the asylum had been released back into society with the help of modern medications. In August, 1994, the state of Missouri approved a bond that allowed for the large asylum campus and hospital to be converted into a correctional facility. By July, 1997 a new state-of-the-art building was completed across the street from the original campus and the new Northwest Missouri Psychiatric Rehabilitation opened with 108 beds.
It was also in 1997 that Glore’s Psychiatric Museum was forced to move from the campus and soon relocated to a 1968 building that once served as a clinic for patients at the mental hospital, which now sits right outside the prison fence. The Western Reception Diagnostic and Correctional Center opened on the old asylum campus in 1999, now confining over 1,800 inmates.[1]
Main Image Gallery: St. Joseph State Hospital
In 1997, a new mental hospital, the Northwest Missouri Psychiatric Rehabilitation Center was built across the street from the original hospital campus.  The Glore Psychiatric Museum, which had approximately 3,300 items, was moved into a building that had been constructed in 1968 as the medical, surgical, and admitting building for the mental hospital. Museum website",,"St. Joseph, MO",,"3,000 in the 1950s"
Missouri,St. Louis State Hospital,https://www.asylumprojects.org/index.php?title=St._Louis_State_Hospital,1864,1864,1869,Active,Echelon Plan,William Rumbold,St. Louis County Insane Asylum | St. Louis Insane Asylum | City Sanitarium  | Missouri State Hospital | St. Louis Psychiatric Rehabilitation Center,"On April 23, 1869 outside the City of St. Louis, ""St. Louis County Lunatic Asylum"" opened its doors to 150 mentally ill people on what is now 53 acres in southwest St. Louis. Designed and built by architect William Rumbold, it is the second governmental facility in the state to serve this population. Rumbold also designed the dome on the Old Courthouse, site of the famous Dred Scott trials and now part of the Gateway Arch National Park. (It is believed he went on to consult on the design of the dome on the Capitol Building in Washington, D.C.) The building's bricks were made on site and cost overruns made it the most expensive facility of its kind west of the Mississippi, $750,000 in a time when annual income was $150-$200.
In 1876 the City of St. Louis separates from St. Louis County, so the facility name changes to ""The St. Louis City Insane Asylum"". Thirty-five years later, it was renamed ""City Sanitarium"". Regarded as a showpiece, a model of the western world's ability to take care of its more vulnerable, the Dome Building became a ""must see"" for foreign dignitaries and tourists. The elevation of its city view made it the premier lookout point prior to the 630 ft. Gateway Arch. Graffiti inside the dome attests to its many visitors. Periodically, civic and social leaders dressed up to dance with patients in the ballroom below the dome. Later, debutante parties were common in the Dome Building lobby.
By 1907, construction on wings and annexes (known as buildings B, C, D, E, G, H, I, J, and separate K building) to the original building commences to accommodate the 2000 patients and 300 staff members. More and more people are admitted to the hospital because roads and transportation improved. The next overflow crisis occurred in the early 1920s which precipitated a separate building being erected for attendants' quarters.  This freed space in the hospital into which patients could be moved. By 1940, the hospital had 3,844 patients.
Dr. Louis Kohler took over the hospital when was 120 percent overcrowded.  He established an out-patient clinic and a three-year residency program for psychiatrists.  On October 22, 1962,  the Louis H. Kohler Building was erected.  It included 4 floors with wings on each side. In 1968, a contract was awarded to add two additional floors on the Kohler Building, which would make the building six floors.
In October 1997, St. Louis State Hospital moved into its new quarters at 5300 Arsenal. To reflect the new philosophy of treating psychiatric illness, the facility was renamed to St. Louis Psychiatric Rehabilitation Center.  This new psychiatric and rehabilitation facility is constructed to accommodate 212 clients, housed in a series of 14 cottages and 4 wards. The West wing annex (buildings B, C, D, and E) of the original Dome Building and the Kohler Building were demolished. This demolition accomplished two goals, the first being the removal of the Kohler Building which blocked the view of the historical Dome Building. And secondly, leveling the remaining West wing returned the Dome's structure to Rumbold's original design.
Main Image Gallery: St. Louis State Hospital",,"St. Louis, MO",,"3,900 in 1953"
Missouri,Southwest Missouri Psychiatric Rehabilitation Center,https://www.asylumprojects.org/index.php?title=Southwest_Missouri_Psychiatric_Rehabilitation_Center,,,1997,Active,Single Building,,,"Southwest Missouri Psychiatric Rehabilitation Center's mission is to assist persons in service to increase successful function and satisfaction, in the development of behaviors and skills, allowing them to live as independently as possible in the community of their choice.
Southwest Missouri Psychiatric Rehabilitation Center was formerly known as Nevada State Hospital. Nevada State Hospital No. 3 admitted its first client in 1887 and once operated its own School of Nursing. The hospital continued as an inpatient psychiatric facility for 104 years.
In 1991 Nevada State Hospital closed and transitioned its operations to a Community Psychiatric Rehabilitation Program known as Southwest Missouri Mental Health Center. The center continued these operations until 1997 when it relocated to a new inpatient facility in El Dorado Springs Missouri. In conjunction with this move, the facility received an official title change to Southwest Missouri Psychiatric Rehabilitation Center and currently continues services under this title.
Southwest Missouri Psychiatric Rehabilitation Center now operates a 4 bed Medicare certified Distinct Part Hospital devoted to acute care and a 12 bed Psychosocial Rehabilitation Program. The facility is designed as a State Backup Program for the Southwest Region of Missouri including an area of 21 counties. Southwest Missouri Psychiatric Rehabilitation Center is an adult inpatient program connected to Service Areas 8, 9 and 10 within the 21 county region.
Administrative Agents serve as the entry and exits points for Southwest Missouri Psychiatric Rehabilitation Center (S.W.M.P.R.C.) beds. Bed assignments based upon percapita population exist for the Administrative Agents. With this process, each Administrative Agent manages admissions, continuity of treatment and discharge for individuals admitted to SWMPRC beds. A Regional Clinical Review Team made up of SWMPRC treatment staff, a Pharm D Consultant, clients, client supports and clinical leadership from each Administrative Agent meets monthly to accomplish intensive service planning to assure that individuals return to community living with success and satisfaction. [1]",,"El Dorado Springs, MO",,
Missouri,Western Missouri Mental Health Center,https://www.asylumprojects.org/index.php?title=Western_Missouri_Mental_Health_Center,,,1954,Active,Single Building,,Psychiatric Receiving Center | Center for Behavioral Medicine (Current),"The history of CBM/WMMHC dates back to 1954 when the greater Kansas City Mental Health Foundation opened the Psychiatric Receiving Center.  The PRC was the first racially integrated psychiatric facility in Kansas City.  Its purpose was to provide mental health services to indigent Kansas City residents in their community.  Serving as the psychiatric section of the city’s General Hospital system, the PRC was one of the pioneers in community mental health using the new psychotropic drugs and treatment therapies.  It was the recipient of the Gold Medal Award of the American Psychiatric Association. Its two inpatient wards, an admissions unit and a discharge unit, emphasized community oriented treatment and its outpatient program maintained patients while they continued to function in their community.
In May of 1963, the Kansas City General Hospital and Medical Center took over the administration of the PRC with the foundation remaining in an advisory role and moving into new areas of mental health research and programming.
In 1963, the Missouri Legislature upgraded the State’s psychiatric services by authorizing the Division of Mental Diseases (Now the Department of Mental Health) to develop three intensive treatment centers across the state.  In addition to WM in Kansas City, Malcolm Bliss Mental Health Center in St. Louis and Mid-Missouri Mental Health Center in Columbia were set up to work with established programs in their respective areas.
General Hospital #2, formerly for African American patients, was purchased from the city, remodeled and enlarged.  Directly adjacent to the PRC WM opened on March 11, 1966, and the two facilities worked together to continue and expand services to the indigent and extended these services to the residents of the 31 western counties of Missouri.  A total assimilation of the Psychiatric Receiving Center by DMH was March 1, 1970.
The Center also maintains close relationships with a wide array of community agencies that assist persons suffering from mental illness or other psychiatric conditions.
The new facility was designed to replace the existing Western Missouri Mental Health Center, encompassing the Center, East, West, South and Old KC Regional Annex Buildings, all of which has been negatively impacted by the proposed widening of 22nd Street in Kansas City. The new construction allowed for an integrated facility, and provides easy access and parking. It is occupied primarily by the Division of Comprehensive Psychiatric Services, with some space allotted to the Division of Alcohol and Drug Abuse. There was originally a total of 115 beds, including 12 beds in Emergency Services and 15 beds to serve the adolescent population.
This new (approximately 230,000 sf) multi-story acute care psychiatric hospital building comprises five wards with private courtyards, outdoor recreation areas, a combination gymnasium/multi-purpose room, a full service kitchen and dining room, a main ""mall"" or circulation corridor with access to patient occupational activity areas, a library, and the hospital clinic. The building was originally designed to house a forensic unit and a methadone clinic, each strategically isolated from one another and the main facility. Major site construction will include extensive grading and drainage, retaining walls, drilled pier foundations, new and relocated utilities, and driveway and parking lot pavements.",,"Kansas City, MO",,
Missouri,Emmaus Asylum,https://www.asylumprojects.org/index.php?title=Emmaus_Asylum,1892,,1893/1901,Active,Single Building,,Emmaus Asylum for Epileptics and Idiots | Emmaus Home for Epileptics and the Mentally Retarded | Emmaus Homes (Current),"Established and operated to this day by the United Church of Christ. They had 2 separate facilities at different locations, both using the same name however.
In 1892, the Deutsche Evangelische Synode von Nord-Amerika (German Evangelical Synod of North America) voted to set aside its former seminary property as a home for epileptics to be called the Emmaus Asyl für Epileptiker und Idioten (Emmaus Asylum for Epileptics and Idiots) for persons with mental retardation and epilepsy. Pastor Carl Schnake became the first superintendent of the home when it opened on July 4, 1893. The first resident arrived on July 5th, coming from New Orleans. Emmaus was the first institution of its kind west of the Mississippi.
In the 1900 book by William Pryor Letchworth entitled Care and Treatment of Epileptics, the author describes the Emmaus Asylum near Marthasville, Missouri. 
The charity was organized by Rev. C. Schnake. Two buildings of stone, spacious, well lighted, and well ventilated, afford accommodations for fifty patients, and, together with the residence of the Superintendent and a small chapel, comprise the buildings of the colony. The estate contains 240 acres, the greater part of which has not been cleared and fitted for field use.
The Emmaus Asylum for Epileptics and Idiots was also known as the Emmaus Asylum for Epileptics and Feeble-Minded, and later was called the Emmaus Home for Epileptics and the Mentally Retarded. As society came to better understand developmental disabilities and the contributions people with disabilities could make to the community, Emmaus’ programs changed and grew. While some individuals still reside on the Emmaus campuses, many now live in homes in the community. Today, Emmaus serves clients in nearly 50 homes throughout the St. Charles, St. Louis, Warren and Franklin counties and St. Louis City. Emmaus works with each client to help them live as independently as possible.
This separate campus was opened in 1901 and for female patients only. The original hospital buildings there have been demolished.",,"Marthasville & St. Charles, MO",,
Missouri,Creating Glenwood Sanitarium,https://www.asylumprojects.org/index.php?title=Glenwood_Sanitarium&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the toolbox menu to the left what is the second word in the third link from top?",,,,
