State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population
South Carolina,Creating Anderson-Oconee-Pickens Mental Health Center,https://www.asylumprojects.org/index.php?title=Anderson-Oconee-Pickens_Mental_Health_Center&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the popular pages menu to the left, what is the word the follows Website?",,,,
South Carolina,G. Werber Bryan Psychiatric Hospital,https://www.asylumprojects.org/index.php?title=G._Werber_Bryan_Psychiatric_Hospital,,,1978,Active,Cottage Plan,,,"Bryan Psychiatric Hospital is licensed by the state of South Carolina as a Specialized Hospital and is accredited by The Joint Commission. Bryan Hospital provides inpatient psychiatric services to adults. Patients in the hospital's Civil Division are admitted primarily from the 33 counties comprising the Midlands region, the Pee Dee region and the Low Country region of South Carolina. The majority of patients treated in the Adult Services Division are involuntary admissions. Patients in the hospital's Forensics Division are primarily referred by jails and criminal courts from throughout the state, and are housed separately from patients in the Adult Services Division in a more secure area of the hospital. This facility is located on property next to the former Palmetto State Hospital.",,"Columbia, SC",,
South Carolina,Gilliam Psychiatric Hospital,https://www.asylumprojects.org/index.php?title=Gilliam_Psychiatric_Hospital,,,1984,Active,Cottage Plan,,,"Gilliam Psychiatric Hospital (GPH) is an eighty-seven (87) bed, single-celled, licensed psychiatric hospital, which serves as the South Carolina Department of Correction's (SCDC's) inpatient psychiatric care facility for the male inmate population. GPH is located at SCDC's Kirkland Reception and Evaluation Center in Columbia, South Carolina. Gilliam's mission is to provide twenty-four (24) hour psychiatric care and monitoring of its mentally ill inmates. This care includes psychiatric evaluations, psychological evaluation, group therapy, individual therapy, case management, medication management, and discharge planning. GPH also provides services to individuals who manifest symptoms of severe psychiatric disorders that require acute care, complex treatment management, or stabilization prior to referral to another level of care. It may also house individuals who exhibit chronic treatment needs that cannot be managed better at an alternate level of care. In addition, GPH also houses a small cadre of inmate workers who are non-mentally ill inmates that assist in housekeeping, food service, cleaning, and clerical support (prepare daily rosters, etc.). These inmates earn work credits for the jobs they perform at GPH.",,"Columbia, SC",,
South Carolina,Palmetto State Hospital,https://www.asylumprojects.org/index.php?title=Palmetto_State_Hospital,1910,,1913,Active,Cottage Plan,,Crafts-Farrow State Hospital |  Manning Correctional Institution (Current),"In 1910, after years of legislative debate, South Carolina finally approved funding to purchase land for an annex to house African American patients. Development of the State Park site moved slowly and was plagued with building and funding problems. The first African American patients were moved to the State Park division in 1914. The monthly superintendent’s report from 1915 underscores the impact of the niacin deficiency disease, pellagra, on admissions to the state hospital, especially among African American patients. Pellagra was the leading cause of discharge by death for African Americans patients.
South Carolina appears to have instituted social services fairly early in its operations, The June 1924 monthly report provides a summary of the work of field worker, Ethel Sharpe. She provided pre-and post-discharge community visits, special investigations, social histories and follow-up work for clinicians. In that month, she provided these services to 98 patients, of whom only 3 were African American. This racially disparate trend continued for some time. Community visits were a crucial step toward discharge from the hospital, so it is not surprising that it may have been more difficult for African American patients to secure their return to their communities. As could be expected, conditions at the State Farm site continued to deteriorate with frequent complaints regarding patient care and employee rights. In 1963, the State Park site was reorganized as a separate entity and renamed Palmetto State Hospital. The stated reason for the change was a move toward a decentralized regional system. The primary benefit of the move was to facilitate the improvement of the white facility in order to qualify for Joint Commission on Accreditation of Healthcare Organizations certification and retain its residency program.
South Carolina eventually developed an acceptable plan, which included the opening of an integrated admissions building at the Columbia facility in February 1966. In 1996, the State Hospital and Crafts-Farrow State Hospital consolidated their services and moved patients from Crafts-Farrow to the State Hospital campus, which resulted in the organization of the Division of Psychiatric Rehabilitation Services.  As of 2001, CFSH is the site of the Intermediate Care Facility for the treatment of patients with the dual diagnosis of mental illness and mental retardation.  This program is operated in cooperation with the Department of Disabilities and Special Needs.",1996,,,
South Carolina,Patrick B. Harris Psychiatric Hospital,https://www.asylumprojects.org/index.php?title=Patrick_B._Harris_Psychiatric_Hospital,,,1985,Active,Single Building,,,"Patrick B. Harris Psychiatric Hospital is a 200 bed, regional acute care inpatient facility of the South Carolina Department of Mental Health (SCDMH) which serves 13 counties of the upstate of South Carolina.  The hospital  provides intensive, short-term, psychiatric diagnostic and treatment services on a 24 hour, emergency voluntary and involuntary basis.  The SCDMH mental health centers screen admissions and are actively involved in discharge planning.",,"Anderson, SC",,
South Carolina,Creating Richland Springs Psychiatric Hospital,https://www.asylumprojects.org/index.php?title=Richland_Springs_Psychiatric_Hospital&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
What is the second word in our logo?",,,,
South Carolina,South Carolina State Hospital,https://www.asylumprojects.org/index.php?title=South_Carolina_State_Hospital,,1828 Kirkbride Built in 1858,1828,Closed,Pre-1854 Plans & Kirkbride Plan,Robert Mills,South Carolina Lunatic Asylum | Columbia State Hospital | Columbia Area Mental Health Center,"From the establishment of the South Carolina State Hospital over 175 years ago, to the beginning of community mental health services in the 1920's, to the evolution of a complex mental health care delivery system, South Carolina has achieved an impressive record in its efforts to meet the needs of its mentally ill citizens.
As far back as 1694 the Lord Proprietors of the Carolinas decreed that the indigent mentally ill should be cared for locally at public expense.  In 1751 the colonial government similarly recognized the mental health needs of slaves.  In 1762 the Fellowship Society of Charleston established an infirmary for the mentally ill.  But it was not until the 1800s that the mental health movement received legislative attention at the state level.
According to legend, when Colonel Samuel Farrow, a member of the House of Representatives from Spartanburg County, traveled to Columbia to attend sessions of the legislature, he noticed a woman who was mentally distressed and apparently without adequate care.  Her poor condition made an impact on him and spurred him on to engage the support of Major William Crafts, a brilliant orator and a member of the Senate from Charleston County.
The two men worked zealously to sensitize their fellow lawmakers to the needs of the mentally ill, and on December 20, 1821, the South Carolina State Legislature passed a statute-at-large approving $30,000 to build the S.C. Lunatic Asylum and school for the deaf and dumb. This legislation made South Carolina the second state in the nation (after Virginia) to provide funds for the care and treatment of people with mental illnesses.
Original drawing of the S.C. Lunatic Asylum, Robert Mills a renowned architect, was chosen to design the new S.C. Lunatic Asylum.  In 1822 the cornerstone was laid for the Mills Building, which took six years to complete.  The building's many innovations included fire-proof ceilings, a central heating system, and one of the country's first roof gardens.  South Carolina's asylum was one of the first in the nation built expressly for the mentally ill and funded by a state government.
Citizens were wary of sending their loved ones to the asylum, and so, it was not until December 12, 1828, that the first patient was admitted. A young woman from Barnwell County, she was accompanied by her mother who worked as a matron while her daughter was a patient at the hospital.
The hospital admitted patients wealthy enough to pay for their own care, as well as the middle class and paupers. Although a few blacks, mostly slaves, were admitted during the first 20 years, they were not officially permitted until 1848. Despite its innovative architecture, many problems arose within a few years after the asylum opened. Complaints ranged from narrow halls and staircases and small activity rooms to flooding on the ground floor.  Another issue was expansion of the asylum grounds.
By the 1850s, the average patient paid $250 annually. A separate room and eating area cost another $100. Paupers were admitted for an annual fee of $135, which was billed to the patient's home district. As more paupers were admitted, it became harder to collect fees, and the asylum grew more dependent on state funding.  Due to the large number of people being admitted land was needed for new buildings and for patient recreation and gardens.  Some asylum leaders believed the institution should be moved to the country.  Largely because the legislature was unwilling to fund a new complex, it remained at the original location.  Land was purchased next to the complex, and more buildings were erected.  The headquarters for the South Carolina Department of Mental Health remain on these grounds even today.
Men and women were housed separately, originally on different floors, but later in separate buildings. When a new building was completed in 1858, male patients moved into it, and the women remained in the Mills Building. Despite the new building, the asylum reached its capacity of 192 by 1860. Many families preferred to care for their mentally ill relatives at home, while others wanted them closer to home even if it were in the county jail or the poor house. Only after the state assumed direct responsibility for all mentally ill in 1871 did county jails readily give up their patients.
During the Civil War, funding problems grew worse. Dr. John W. Parker, the superintendent, opposed a plan to turn his complex into a prisoner-of-war camp. Although the Confederate Army did not get the asylum, the grounds were used as a prison camp for Union officers from October 1864 to February 1865. Despite worsening conditions late in the war, the asylum became a refuge for many Columbia residents when the city burned during Union General William T. Sherman's occupation in February 1865. With dwindling provisions, Parker did his best to provide for his patients and for the destitute citizens. Like the rest of the South, the asylum struggled to survive in the aftermath of the war. Despite the lack of funds, the superintendent accepted more patients and often used his own money to provide them with food and other necessities.
J.F. Ensor, a Maryland native and former Union Army surgeon, became superintendent in 1870 and tried hard to find adequate funds for the institution. Several citizens from around the state contributed, and he received a $10,000 subscription from some Philadelphia Quakers, which helped repair the buildings. More than once, when local businesses could no longer give him credit, Ensor supplemented the institution's meager budgets with his own funds.
As the population grew, it became virtually impossible to treat patients.  The asylum became largely a dormitory to house the mentally ill. In 1870 Ensor reported that the rundown asylum rooms ""were mere cells of chink in the wall, dark and illy ventilated"" and that there was not an adequate means of diagnosing patients.  These problems were solved to the best of his ability.  By 1874 Ensor had added central heating, plumbing, new furniture, pianos and books. While Ensor made some strides in providing for patient's physical needs, overcrowding remained a problem. This accelerated when the state government assumed the cost of patient care from the counties in 1871.
With slavery abolished, African-Americans became a larger part of the asylum's population. The admission of blacks not only added to the patient population, but led to another problem-providing separate facilities for the races. Temporary structures built before 1860 for blacks desperately needed replacement. Facilities for whites also were overcrowded. While trying to accommodate this population increase, Ensor was forced to cut staff to have funds to buy food and meet other needs.  Sometimes this was not enough.   Even though the state was now required to pay for patient care, some asylum residents were sent home if they had no money to pay for their care.  Nevertheless, the population increased from 245 in 1870 to more than 300 by the time Ensor resigned seven years later.
Notable changes before 1900 included the founding in 1892 of a nursing school, which did not close until 1950, and changing the hospital's name in 1896 to the S.C. State Hospital for the Insane. Although hospital finances became more stable in the 1880s, the legislature instructed the superintendent to economize wherever he could.  While most states were increasing their annual per capita spending, South Carolina was reducing hers.  The cost for each patient in 1877 had been $202.  It was reduced to $140 by 1888.  Nine years later, the per capita rate had fallen to $107.80, one of the lowest in the nation.
By 1900 the State Hospital had 1,040 patients. More than 30 percent of them died annually, due in part to poor living conditions and inadequate supervision.  More facilities were built in the 1870s and 1880s, including two major additions to the buildings constructed in the 1850s northeast of the original Mills Building.   However, the population outgrew these by 1900. By 1910, after a legislative committee reported the asylum was too small, land was purchased north of Columbia, and plans were submitted for a new complex that became known as ""State Park."" When it opened in 1913, it was for black patients only. This hospital, named Palmetto State Hospital in 1963, was renamed Crafts-Farrow State Hospital in 1965 when it became a geriatric facility.
A legislative study of the asylum in 1909 found many problems, ranging from poor sanitation and dilapidated buildings to situations in which patients lived in unclean quarters or were forced to sleep in corridors.  Many of the problems at the state hospital were common to facilities nationwide. Dr. C. Fred Williams, superintendent of the S.C. State Hospital from 1915 to 1945, realized the need for community mental health clinics. He encouraged a program to educate the public about mental illness, its causes and methods of prevention. The first clinic to provide services for the mentally ill who did not need hospitalization was opened at S.C. State Hospital in 1920. The first permanent outpatient clinic opened in Columbia in 1923. The success of this clinic inspired the opening of traveling clinics in Greenville and Spartanburg in 1924. By 1927 clinics were established in Florence, Orangeburg, and Anderson. In 1928 a clinic opened in Charleston with plans for one in Rock Hill.
World War II came, and doctors, nurses, and social workers went war. The State Hospital staff was depleted, the clinics began to suffer. In early 1943, the Orangeburg and Rock Hill clinics closed for the duration, and on Nov. 1, 1943, Dr. Williams informed all of the clinics that they would be closed for the remainder of the war. Reopening of the clinics was delayed until late 1947 because of a lack of adequately trained personnel.   As clinics continued to grow over the state, the need for state and federal funding increased. Help came in 1946 with the passage of Public Law 487 and in 1952 with the passage the Mental Health Act.
Public Law 487 provided federal funds from the Surgeon General, U.S. Public Health Service, for adequate mental hygiene clinics. The Mental Health Act provided for a Mental Health Commission to be in charge of all mental health facilities. Communities were required to contribute one third of the cost of clinic or center operation and the state would furnish the remaining two thirds. In the mid-1950s, the discovery of phenothiazines, ""miracle drugs"" that controlled many severe symptoms of mental illness, made it possible to ""unlock"" wards.
By 1957 clinics were in operation in Charleston, Greenville, Richland, Spartanburg, Darlington, and Florence counties. Major functions of theses clinics included: cooperation and consultation with other agencies and professional people in the community; evaluation and treatment of emotional disturbances in adults and children; public education; and training psychiatric and pediatric resident doctors from the Medical College Hospital. In addition to self-referrals, patient referrals to the centers came from physicians, ministers, lawyers, vocational rehabilitation, juvenile and domestic relations courts, and the Department of Public Welfare.
Two national events in the 1960s helped spur a large-scale relocation of patients with chronic mental illness to communities in South Carolina. First, the introduction of Medicaid and other improvements in the social welfare system underwrote the treatment of patients in their own communities. In 1963, the Federal Community Mental Health Centers Act provided matching federal funds for constructing community mental health centers. In 1964, the S.C. Department of Mental Health was created as an independent agency of state government to develop a more comprehensive system, which combined medical care and treatment with expanded community services, mental health education, consultation, professional training, and research.
1967 the Columbia Area Mental Health Center became the first comprehensive community mental health center in the Southeast. William S. Hall, M.D., became the first State Commissioner of Mental Health in South Carolina. Under Dr. Hall's enlightened guidance from 1964 to 1985, the agency made significant advances in community care. A comprehensive, statewide mental health care delivery system emerged and grew to encompass 10 major inpatient facilities and 17 community mental health centers providing services in all of the state's 46 counties with more than 6,000 employees.
During the 1970s, South Carolina experienced a number of firsts. They included the establishment of a transitional living project to help patients return to the community after long hospital stays, a facility for psychiatric patients who need long-term care, a program for autistic children, and an alcohol and drug addiction treatment center. Patient's rights became an issue in the 1970s. The department embraced the movement by creating the position of ombudsman and a system of advocates to protect the rights and privileges of the patients and to serve as an intermediary between patients and the department.
By the end of the 1970s, the time had come for a renewed emphasis on the care of the chronically mentally ill. A report by The President's Commission of Mental Health in 1978 jump-started the effort. The commission, headed by then-First Lady Rosalyn Carter, for the first time put the care of people with serious mental illnesses on the front burner of federal concerns. Although the 1980s began with great promise for people with mental illnesses, those hopes were short-lived. The 1980 Mental Health Systems Act, which promised new resources and refocused federal support of the care of persons with severe mental illnesses, was effectively repealed by the Omnibus Budget Reconciliation Act of 1981. The result-federal resources, available as block grants, shrank dramatically.
In 1983 the S.C. Department of Mental Health adopted a plan calling for the development of community-based services, the decentralization of hospital services, and a significant decrease in the population of its psychiatric facilities in Columbia. Funds were made available through an emergency stabilization plan to any locale that could develop programs to reduce admissions to the central facilities.
Fiscal restraints led to frustrations on the state level, particularly in funding proper care for patients in the state hospitals.  In 1985 a U.S. Justice Department's critique of the S.C. State Hospital said conditions there were ""flagrantly unconstitutional."" The Justice Department entered into a four-year consent decree with the state of South Carolina in 1986 to provide increased services for all patients.
Joseph J. Bevilacqua, Ph.D., became the state commissioner of mental health in 1985. Under his leadership, the department supported the view that patients treated in the community do much better clinically. People with mental illnesses need and require close family and community support. They get better faster and stay better longer when they receive services in their community, if such programs are reasonably funded, well organized and easily available.
In February 1989 the S.C. Department of Mental Health, with support from the National Institute of Mental Health, hosted a national conference entitled ""The Role of the Public Mental Hospital in a Community-Based System of Care.""  The purpose was to explore how other states shifted to community-based services, how they defined priority populations, and how they planned and located services.
An outcome of this conference was the initiation of the Transition Leadership Council.  An unprecedented collaboration between mental health professionals, government, mental health advocates, and consumer representatives, was formed to spearhead the movement of South Carolina's mental health delivery system Towards Local Care.
The council determined that the services necessary for the successful transition of patients into the state's communities did not exist and needed to be developed. It was also clear that some patients could not be safely discharged into the community and would continue to be cared for in S.C. Department of Mental Health facilities until appropriate services could be created.
Some communities are struggling to develop community-care programs. They have a shortage of appropriate residences and sometimes face opposition to these from neighborhood residents, have no crisis-care center to handle short-term acute situations, lack employment opportunities, and, particularly in rural areas, lack good basic medical services. However, many areas are successfully developing mental health services. An example of the success of the program occurred between May and November 1993 when 127 patients from the S.C. State Hospital and Crafts-Farrow State Hospital moved into seven creative, customized programs in Aiken, Charleston, Columbia, Lexington, Orangeburg, and Sumter. These patients were provided with appropriate residences, medication monitoring, psychiatric and medical services, supportive community services, meaningful activity, and employment assistance.
In two separate waves of programs from 1992 to 1995, 265 patients were discharged from inpatient facilities to Toward Local Care projects that have a total budget of $4 million. In the first Toward Local Care wave, 193 clients entered the community from hospitals to nine community mental health center programs. In a second wave, 44 clients were discharged to programs in six community mental health centers (Anderson, Charleston/ Dorchester, Columbia, Greenville, Pee Dee and Piedmont).
Moving more people with mental illness to community treatment has meant reducing the population of the psychiatric hospitals in Columbia. In 1996 the S.C. State Hospital and Crafts-Farrow State Hospital consolidated their services and moved patients from Crafts-Farrow State Hospital to the S.C. State Hospital campus. This consolidation resulted in the organization of the Division of Psychiatric Rehabilitation Services comprised of 410 beds. Today entire floors, wards, and cottages on the Columbia campus are closed or are used for administrative offices. In 1995 the S.C. Department of Mental Health served 90,492 clients in its 17 community mental health centers and 13,422 in its five psychiatric hospitals. This brief account of the S.C. Department of Mental Health's illustrious history has only skimmed the surface of a deep and abiding commitment to provide quality services to people with mental illnesses. Others have expressed our commitment and direction more eloquently.
At a banquet on the occasion of the laying of the Mills Building cornerstone, Col. Levy, vice president of the Lunatic Asylum, offered a toast setting the direction for the state's concern about mental health care, saying, ""The Lunatic Asylum-may it long flourish as an asylum for the afflicted and a monument of the humanity and munificence of the people of South Carolina.""
Dr. William S. Hall made the following statements during the 150th anniversary of the S.C. Department of Mental Health, ""From a plateau of better understanding and broader knowledge we can look back on early treatment programs with chagrin, but we must remember that, in many cases, such was the extent of knowledge in those times. We honor those men of integrity who first gave us guidance. From them we have accepted the torch of responsibility. I wonder how history will treat us 150 years from now? I hope we will be treated as kindly, with as much compassion, as we view those who preceded us.""
In summary, John A. Morris, interim director, said in 1996, ""As mandated in our agency's mission statement, we have formed partnerships with consumers, families and other diverse communities to make sure that all clients who need our services receive them, that they receive state-of-the-art services, and that we provide services in the most efficient and effective manner possible. As you see from this brief history of our agency, there's nothing new to the Department of Mental Health about those concepts. It is our hope that the next century will see continued development of local mental health care and that greater acceptance will allow people with mental illnesses to live with dignity in communities of their choosing."" [1]
Main Image Gallery: South Carolina State Hospital",2015,"Columbia, SC",,
South Carolina,William S. Hall Psychiatric Institute,https://www.asylumprojects.org/index.php?title=William_S._Hall_Psychiatric_Institute,,,1964,Demolished,Single Building,,Hall Institute | William S. Hall Child and Adolescent Services at Bryan Psychiatric Hospital (Current),"William S. Hall Psychiatric Institute (Hall Institute) opened its doors in 1964, as a result of the dedicated efforts of William S. Hall, M.D., DMH’s first state commissioner of Mental Health. Legislation in 1965 amended the SC Code of Laws to make a special provision for Hall Institute to be maintained as a teaching hospital for the primary purposes of training mental health personnel and conducting psychiatric research. The Institute has trained more than 250 psychiatry and 180 psychology interns since it opened.
This hospital is licensed by the state of South Carolina as a Specialized Hospital with a separately-licensed 37 bed Residential Treatment Facility for Children and Adolescents. It provides in-patient psychiatric services, treatment for alcoholism and drug abuse or addiction, and residential treatment for adolescents. Patients are admitted from throughout the state with referrals from community mental health centers, juvenile parole boards, Department of Social Services, the family court system and the Department of Juvenile Justice. The majority of patients are admitted through probate court, family court, or are voluntary admissions. Outpatient services include the Assessment and Resource Center. The facility was located on the property of the former South Carolina State Hospital, it has moved to the campus of the Werber Bryan Psychiatric Hospital.",,"Columbia, SC",,
South Carolina,Pineland State Training School and Hospital,https://www.asylumprojects.org/index.php?title=Pineland_State_Training_School_and_Hospital,1952,,1953,Active,Cottage Plan,,Midlands Center,"Pineland State Training School and Hospital for the ""mentally retarded of the Negro race"" was established by Act No. 836 of S.C. Acts, 1952.  The name Pineland was officially designated by Act No. 680 of S.C. Acts, 1954.  The school opened in July 1953, in temporary quarters on the campus of the State Park unit of the State Hospital.  The permanent buildings were completed in fiscal year 1955-1956 and occupied on February 14, 1956. Pineland was transferred from the Dept. of Mental Health (DMR) to the newly-created Dept. of Mental Retardation in 1968.  With a name change to Midlands Center in 1970, the institution became one of DMR's regional centers.  With the 1993 re-organization of state government, Midlands Center became a part of the Department of Disabilities and Special Needs.",,"Columbia, SC",,
South Carolina,Whitten Village,https://www.asylumprojects.org/index.php?title=Whitten_Village,1918,,1920,Active,Cottage Plan,,State Training School for the Feeble-minded | Whitten Center,"Whitten Village was founded in 1918 as the State Training School for the Feeble-Minded and was initially administered by the Board of Regents for the State Hospital for the Insane.  In 1920, before the first dormitory was completed in Clinton, S.C., the institution was placed under the State Board of Public Welfare.  In 1923 its name was shortened to the State Training School.  The Board of Public Welfare was abolished in 1939, and the school was placed back under the board of regents of the State Hospital.  A separate board of trustees for Whitten Village was established by the legislature in 1957, but in 1967 it was placed under the new Department of Mental Retardation, which is now the Dept. of Disabilities and Special Needs. The school was named Whitten Village in 1952 in honor of its superintendent, Dr. B. O. Whitten.
The facility was renamed Whitten Village in 1952 and became Whitten Center in 1972. By the 1950s, with improved funding on the state level and the influx of federal funds, Whitten’s facilities and population increased dramatically. In 1965 Whitten Village served more than 2,500 residents. However, as society moved to a different understanding of mental retardation, the number of patients began to decline. With federal funding going toward public school special education and parents increasingly caring for their children at home, Whitten Center’s population continues to both decline and age. As of January 2002 Whitten Center, under the auspices of the South Carolina Department of Disabilities and Special Needs, housed 372 residents.",,"Clinton, SC",,
