State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population
Tennessee,Bolivar State Hospital,https://www.asylumprojects.org/index.php?title=Bolivar_State_Hospital,1885,,1889,Active,Kirkbride Plan,Harry P. MacDonald/Adolphus Heiman,Western Hospital For the Insane | Western State Mental Hospital | Western Mental Health Institute,"Opened to receive patients on November 22, 1889, the then denoted ""West Tennessee Hospital for the Insane"" was designed by architect Harry P. MacDonald of Louisville, Kentucky, and Memphis, Tennessee. The MacDonald firm was responsible for many fine, large public buildings in the South, such as the Sevier County Courthouse in Sevierville, Tennessee
(1896). The institution was intended not only to meet the mental health needs of the Western Section of the State, but also to complete Tennessee's first efforts at implementing a social policy initiated before the Civil War. Tennessee initiated its public policy regarding the institutionalization of the mentally-ill in the 1840s. The ""lunatic asylum"" in Nashville soon proved inadequate and architect Adolphus Heiman produced a Gothic Revival design following the advice of Thomas S. Kirkbride.
By 1892, 319 patients were living in the mental hospital. Entertainment, work, diet, and discipline were still considered the main types of therapy. In 1900 the hospital was overcrowded with 594 patients. It was continually being modernized and around 1910 a new wing was built. When weather allowed, the unfinished wing was used as sleeping quarters for several patients. Other additions to the facility were constructed in the 1920s. These included a tubercular hospital or ward and a congregate dining room. In 1927 the two story brick Doctors' Apartment Building was constructed, while an adjacent frame cottage was built by the family of a former patient. These structures emphasize the growth of professional medical staff as well as changes in therapies in treating the mentally ill.
Therapy in the 1920s and 1930s ""tended to be highly eclectic."" This was true at Western as well, under the administration of Dr. Edwin W. Cocke. ""He was author of the 1919 Tennessee State Law which dealt with the legal aspects of psychiatric patients' treatment, and he was co-producer of the first diathermy to produce artificial fever in the treatment of syphilis of the brain and allied diseases."" These new treatments included fever therapy, prefrontal lobotomy, metrazol and insulin shock, while occupational therapy was also still relied upon. Dr.Cocke was likewise a pioneer in the use of the then novel insulin shock therapy devised by Viennese physician Manfred Sakel. Sakel had observed mental changes in diabetic drug addicts who were treated with insulin. ""The injection of a sufficiently large dose of insulin drastically lowered the sugar content of the blood and ... induced a hypoglycemic state. In this state of 'shock,' the patient went into a deep coma which could be relieved by. ..sugar. After the process was over the patient's mental condition appeared to improve."" Dr. Sakel's visits to the United States in the 1930s helped popularize this therapy, although it was abandoned by most American mental institutions in the 1950s. Along with insulin shock therapy, metrazol therapy swept across the country from 1937 to 1940.
The institution's patient population grew from a few hundred in the 1890s to over 2,000 in the 1960s as patients remained hospitalized for decades. Many were crowded into large dormitories and had little privacy. With a limited number of doctors and attendants and a large patient population, many were simply ""warehoused."" Patients at Western received the treatments available in their period of institutionalization. These treatments ranged from hydrotherapy and insulin shock therapy to lobotomies and electric shock therapy. With the severe staff limitations, however, patients were fortunate to receive ten minutes per week with a psychiatrist.
The system for securing financing for patient care limited the operating budget. In Tennessee, there were three classes of patients: the state-pay patients, the county-pay patients, and the private-pay patients. State agencies agreed to pay for one patient out of a population of one thousand. Once this portion of the payment had been satisfied, the county was responsible for additional costs. The county payments consistently lagged behind, and superintendents had to engage in deficit spending to keep the hospital operating. The two most influential superintendents, Dr. Edwin Cocke and Dr. Edwin Levy, often faced political pressure from state officials, but both managed to make some improvements in the care offered at Western.
In modern times, ""deinstitutionalization"" produced a marked decrease in the patient population as mental health experts called for treatment of the mentally ill in local mental health clinics. Although there have been indications that this treatment has not been successful, it continues to the present time, and the indigent mentally ill continue to pose a major problem for society.
Main Image Gallery: Bolivar State Hospital
There are two cemetery sites; the earlier one on the west side of the hospital grounds and the more recent one .22 miles north on Stevens Road, which runs off of Hwy 64 about 1/2 mile east of the hospital. These cemeteries contain hundreds of interments of patients whose remains were not claimed by family members. The graves were originally marked with small white numbered markers, most of which are now missing or damaged and unreadable. A few of the graves are marked with larger tombstones, placed there by family members.
Grains of Sand : A History of Western Mental Health Institute - 1886-1986",,"Bolivar, TN",Gothic Revival,"2,300 in 1961"
Tennessee,East Tennessee Hospital for the Insane,https://www.asylumprojects.org/index.php?title=East_Tennessee_Hospital_for_the_Insane,1875,,1886,Demolished,Kirkbride Plan,,Lyons View | Eastern State Hospital | Eastern State Psychiatric Hospital | Lakeshore Mental Health Institute,"The East Tennessee Hospital for the Insane was built on land previously owned by Capt. William Lyon, after more than a dozen years of funding stops and starts and political infighting. The East Tennessee Hospital for the Insane opened in 1886 with 99 patients transferred from the older Tennessee Lunatic Asylum in Nashville. In 1920, the facility's name was changed to Eastern State Hospital as part of a program to rename all of the asylums in the state.
In 1956, Gov. Frank Clement tours Eastern State, calls what he saw — including 984 patients sleeping on floor pallets because of lack of beds — sad but not surprising. Following the 1955 invention of the tranquilizer, the hospital adopted a new form of treatment. In 1960, they introduced the $2 million Therapeutic Village, which included cottages, a store, a clinic, a coffee bar, a chapel and a pool. Gov. Winfield Dunn appointed a committee to investigate conditions after Rep. Richard Krieg leads unannounced post-midnight visit to overcrowded wards in 1971. The Committee found too little staff, too little training, and unsanitary and inhumane conditions in aging buildings.
By 1977, the hospital's name was changed to Lakeshore Mental Institute. Shortly thereafter, in 1980, the state began their plan to shift the patients at Lakeshore to community. State revenue shortfall in 1990 forced reduction of staff, beds; long-term patients released into community. More than half of new admissions denied. State ""census"" of mentally ill among homeless suggests figure jumped from 12 percent in 1986 to 47 percent.  On June 30, 2012 after 126 years of operation, Lakeshore Mental Health Institute officially closed as part of a $25 million budget reduction measure. Not much later, in the spring of 2013, a former employee found patients' records laying in one the buildings, which contained case numbers, dates of birth and Social Security numbers. All buildings have been demolished, except for the administration building of the Kirkbride. The property is now a city park.
Main Image Gallery: East Tennessee State Hospital
The cemetery is located on Lyons View Drive in West Knoxville.  The cemetery at present lies adjacent to Tennessee State Veterans Cemetery at the intersection of Lyons View Drive and Northshore Drive.  It is located behind the Episcopal Church of the Ascension.  The cemetery, which was first used in the late 1880's, has over 4,000 interments with most being unmarked.  Number markers were erected by the Hospital at one time, but these records have long since been destroyed as a result of the privacy act.  A few graves have markers that were erected by family members.  It later became the custom after the 1960's to send unclaimed bodies to the Memphis State Medical Facility for use in classroom studies.  Legible markers were copied by Robert McGinnis in February 1983, and the cemetery was rechecked and photographed in March 2000.",2012,"Knoxville, TN",,"2,560 in 1956"
Tennessee,Gailor Memorial Psychiatric Hospital,https://www.asylumprojects.org/index.php?title=Gailor_Memorial_Psychiatric_Hospital,,,1942,Demolished,Single Building,,,"In 1942, the Gailor Memorial Psychiatric Hospital, located on Dunlap, was opened as the first mental hospital for Memphis by UT psychiatric staff.  Ten years later it was already too small for its demand and the Memphis Mental Health Institute was opened along Poplar in 1962.",1960,"Memphis, TN",,
Tennessee,Moccasin Bend Psychiatric Hospital and Institute,https://www.asylumprojects.org/index.php?title=Moccasin_Bend_Psychiatric_Hospital_and_Institute,,,1961,Active,Single Building,,MBMHI,"Moccasin Bend Mental Health Institute was established by the Tennessee State Legislature as one of five regional inpatient psychiatric facilities operated by the Tennessee Department of Mental Health. Opened in 1961, the facility now serves a 23 county area in Upper Cumberland and southeast regions of Tennessee, with an estimated population of over 750,000 people.
MBMHI was built on land donated by Hamilton County and the City of Chattanooga. The grounds, nestled at the foot of scenic Lookout Mountain and next to the Tennessee River, provide a private, rural setting close to a metropolitan area.
The land on which the complex is located is of historical importance, having once been part of the Cherokee Nation, and the site of a Civil War battle. The remains of an ancient Native American village were recently discovered and portions of the Moccasin Bend area are now part of the Chattanooga/Chickamauga National Park.
MBMHI currently offers 100 adult acute care and 50 adult sub-acute care beds. All emergency involuntary admissions are prescreened by a mandatory pre-screening agent from one of the four regional private, non-profit community mental health centers (or by a physician or psychologist, if a mandatory pre-screening agent is not available within 2 hours), and are referred to the institute if inpatient treatment is necessary. The community mental health centers have crisis response teams, which work closely with the institute's admissions office to assure appropriateness of referrals, an efficient and compassionate admissions process, and compliance with managed care requirements for admission certification.",,"Chattanooga, TN",,
Tennessee,Nashville State Hospital,https://www.asylumprojects.org/index.php?title=Nashville_State_Hospital,,1832,1840/1852,Demolished,Pre-1854 Plan,,Tennessee Hospital for the Insane | Central State Hospital for the Insane | Middle Tennessee State Insane Asylum   | Middle Tennessee Mental Health Institute,"Tennessee’s first facility for the mentally ill, Tennessee Lunatic Asylum, opened in 1840 Nashville as the eleventh institution for mentally ill in United States. Dorothea Dix, American activist on behalf of the indigent insane, visited Tennessee in 1847 and found Nashville asylum deficient. She implored the Legislature to purchase a larger site for a new hospital. The next year Legislature appropriated $40,000 for new hospital for insane. A site was purchased on Murfreesboro Road and Donelson Pike, southeast of Nashville. Tennessee Hospital for the Insane (now Middle Tennessee Mental Health Institute) opened with 60 patients transferred from old asylum. William A. Cheatham was the hospital's first superintendent.
In 1995, the hospital moved to new facilities on Stewarts Ferry Pike. The original hospital buildings were demolished in 1999 to make way for Dell to build a customer support center and large computer assembly plant.
Main Image Gallery: Nashville State Hospital",1995,,,
Tennessee,Tennessee Psychiatric Hospital and Institute,https://www.asylumprojects.org/index.php?title=Tennessee_Psychiatric_Hospital_and_Institute,1960,,1962,Active,Single Building,,Memphis Mental Health Institute,"Memphis Mental Health Institute (MMHI) is a psychiatric hospital that has been serving the Memphis community since 1962. Hospitalizations are on a voluntary or involuntary basis, or patients can also be referred by the court system for pre-trial evaluations. The hospital  offers 2 short-term care units for a total of 55 beds. [1]",,"Memphis, TN",,
Tennessee,Arlington Hospital and School,https://www.asylumprojects.org/index.php?title=Arlington_Hospital_and_School,,,1968,Closed,Cottage Plan,,,,2010,"Arlington, TN",,
Tennessee,Clover Bottom Developmental Center,https://www.asylumprojects.org/index.php?title=Clover_Bottom_Developmental_Center,1919,,1923,Closed,Cottage Plan,,State Home and Training School for Feeble-Minded Persons | Clover Bottom Hospital and School,"Tennessee's history with institutional care began in 1923 when Clover Bottom opened its doors.  Originally called the Tennessee Home and Training School for Feeble-Minded Persons, CBDC admitted 248 people in the first nine months of operation.  The institution's census peaked in 1963 at 1,563.
A cemetery was opened soon after the institution was established.  There were 250 pre-planned grave plots. During November 2012, archaeologist Dan S. Allen, IV., performed a survey and mapping project at the Clover Bottom Development Center Cemetery in the Donelson community.  The project was undertaken at the request of Steve Rick, Principal of Street Dixon Rick Architecture, for the benefit of the Tennessee Department of Intellectual and Developmental Disabilities.  The survey revealed a minimum of 185 burial locations. The names of those buried in the Clover Bottom Cemetery are confidential and have not been released by the State of Tennessee.",2015,"Donelson, TN",,"1,563"
Tennessee,Greene Valley Hospital and School,https://www.asylumprojects.org/index.php?title=Greene_Valley_Hospital_and_School,1957,,1960,Closed,Cottage Plan,,Greene Valley Developmental Center,"Opened in 1960 and originally named Greene Valley Hospital and School, GVDC was the first and only state institution for people with intellectual disabilities in East Tennessee.  At its height, 1100 people lived there.  As options for community care grew, including the introduction of Tennessee’s home and community based waivers, the census at the institution declined.
In 1995, Greene Valley, Clover Bottom and Nat. T Winston Developmental Centers were the subject of an investigation by the U.S. Department of Justice and lawsuit brought by advocates for people with disabilities over conditions at the three institutions.  After two decades of work to improve the state’s service delivery system, all parties agreed to an Exit Plan in January 2015, which included the closure of GVDC.",2017,"Greeneville, TN",,
Tennessee,Creating Nat T. Winston Developmental Center,https://www.asylumprojects.org/index.php?title=Nat_T._Winston_Developmental_Center&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
What is the second word in our logo?",,,,
