State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population
Washington,Eastern Washington State Hospital,https://www.asylumprojects.org/index.php?title=Eastern_Washington_State_Hospital,,1890,May 1891,Active,Kirkbride Plan (Demolished),,Eastern State Hospital for the Insane | Eastern State Hospital,"The great distance in transporting patients to the Western Hospital for the Insane at Fort Steilacoom, which is situated in the extreme western part of the state, led to the erection of the Eastern State Hospital.
The first buildings were erected in 1890 and consisted of a central administration building, with a wing on each side and a rear wing for the kitchen, engine room and laundry. The entire plant was made of brick, with a granite foundation, lathed and plastered inside. Each wing was three stories high and accommodated 150 patients. The buildings were of the old Kirkbride plan. The building commissioners were D. M. Drumheller, B. B. Glasscock and Stanley Hallett. The first Board of Trustees, consisting of D. F. Percival, Dr. Wilson Lockhart and Charles McDouall, were appointed in 1890. In 1892 W. J. Dwyer was appointed in place of Dr. Wilson Lockhart, whose term had expired. This local board continued in office until 1897, when it was abolished and the State Board of Audit and Control assumed power.
In May, 1891, 20 patients were received from the Western Washington Hospital and in July, the same year, 102 more. These patients had been committed from counties east of the Cascade Mountains, the territory which thereafter was designated as the district especially belonging to this hospital. As the patient population quickly rose additional room became necessary. A second wing was erected for men in 1894. It was, like the two original wings, three stories high and accommodated 150 patients. While not fireproof, it was an improvement over the older wings, having all partitions made of brick and tile, with hard plaster finish. It had no rooms or dormitories in the front of the building, so the wards were exceedingly well lighted. The flooring was of maple and each ward had two fireplaces—one at each end.
Further growth of the hospital population made it necessary to erect additional wards for women. In 1903 a three-story wing, accommodating 105 patients, was built for women. It was somewhat similar in construction to Wing Two South, but the wards were not so well lighted, as there were four rooms in the front of the building on each ward. The floors were of fir instead of maple. Wing Three South was built in 1907 and accommodates 150 men patients. It is as nearly fireproof as can be made.
Wings Four South and Three North were completed about July, 1912. They are, like Wing Three South, practically fireproof, with many modern conveniences. Wing Four South was erected especially in view of caring for the convict insane. The number of convict insane is steadily increasing with the increase of the general population and they are too dangerous to keep in ordinary wards This wing is as light, airy and cheerful as any of the others, but specially prepared window guards and doors are installed.
Other additional improvements consisted of large dairy and stock barns, separate buildings for the carpenter and blacksmith shop, laundry, paint shop and bakery. A new farm house, with accommodations for the farmer, cook and 15 patients, has been erected on a detached farm. Improvements made and in course of construction consist of additions built to enlarge the congregate dining rooms, water closets, lavatories, bath rooms remodeled, floors and walls covered with white vitrified tiling, and modern sanitary plumbing installed in nine of the older wards.
Hydrotherapeutic apparatus was installed in 1912; and a modern equipped surgery centrally located, with dressing rooms on the wards. Six of the older wards were re-floored with white maple. A cold storage plant, with five large cooling boxes, each 8 feet by 20 feet by 8 feet, and granite and concrete root cellar, 120 feet by 36 feet, have been built, as well as a hay and straw barn. A modern dairy barn to accommodate 61 cows with milking machines; an aseptic milk-cooling room, and a cutting room, with electric-driven machinery. An entirely new poultry plant has been rebuilt to accommodate 1000 laying hens and the piggery remodeled on modern lines to accommodate 500 pigs There is also a fruit house 20 feet by 40 feet by 10 feet. A granite addition was made to the boiler room, doubling its capacity; also a new concrete coal bunker, with a capacity of 2000 tons.
At the end of 1914 The hospital owns 833 acres of land, about 400 of which are in cultivation. The population in 1914 consisted of 719 men and 337 women, a total of 1056.[1]
The Custodial Care phase represents the first five decades of the hospital’s operations. The main emphasis of this phase was the isolation or “asylum” of patients, separating them physically from the world to simplify patient lives and to protect those in the community. It also protected them from the community, as mental illness was heavily ostracized and stigmatized in those days; though there is still a significant stigma today, it is much less than at the turn of the century. At this point in history there was little to no understanding of the nature of mental illness; considered causes of illness at the time were “age, tobacco, constipation, whiskey, and morphia[sic],” and any person seen as problematic (alcoholics, the mentally retarded, those suffering depression, criminals) were placed in the hospital.
This disrespect and lack of understanding of patients can even be seen in the original name of the hospital, which from its 1891 opening until 1918 was called “Eastern State Hospital for the Insane.” Treatments were targeted at symptoms, and many of those treatments were completely ineffective. Such treatments included religious actions (prayer, exorcisms, forced religious study, etc.), physical restraint, and other punishments. The hospital suffered severe overcrowding and was very understaffed in this period, with a single attendant being responsible for 40-50 patients, working in 12 hour shifts, with a total of 800 patients in the original building. Over time, 22 new buildings would be added to the hospital complex and the population peaked at 2,274 in 1954. Many of these new buildings were the result of Works Project Administration spending during the Depression, which sought to both create jobs and to ease the overcrowding.
A significant development in therapy came in the 1930s. Daisy Lewis, an attendant, gave an insulin shot to a woman who didn’t recognize her husband nor daughter and was “completely oblivious to reality.” The effects wore off shortly and treatment was repeated, but it gave hope that there was something that could be done for patients. Despite the positive results such treatments had for some, they had numerous negative effects on patient health. Different kinds of convulsive therapies, or “shock therapies” (insulin shock, metrazol shock, electroshock), were used for all manner of patients, as these were the only treatments with any consistent efficacy yet discovered (though they were only truly effective on a small number). The overuse is clear in the hospital’s statement: “During a two year period in the early 1950s, over 1,100 patients received one of the convulsive therapies; altogether, about 15,000 treatments were administered.”
In World War II, treatments turned into “work therapy” for all those not residing in locked wards, or roughly 80% of the total patient population. Patients worked between two and eight hours a day on a variety of tasks, including baking, farming, sewing, gardening, cobbling, landscaping, housekeeping, cooking, and many others. After a day’s work, patients received either group or individual counseling; this counseling focused on correcting perceived moral or religious deficiencies, which were seen as the cause of a “demented” condition.
This period of hospital history (as in many other mental health facilities) is regarded as a low point, and even hospital officials have stated that it “must have been a frightening place through [those] decades.” Through the first five decades of the hospital’s history, the number of patients rose steadily, and most of them never left the hospital. Concerns were raised when so many patients were being admitted, and so few were being reintegrated into the community; the effectiveness of any treatment was cast into severe doubt.
Such concerns over the hospital’s retention rates of patients led to the next phase of treatment styles at the hospital, the “patient-is-problem” phase, from 1941 to 1954. Treatment began to incorporate Freudian theory of the causes of mental illness, and focused on an individual patient’s thought processes, formative experiences, and genetic factors. A significant factor in this approach came from returning WWII soldiers and medics, who had front line experience of mental trauma caused by war. On the front lines, these groups developed methods for first-response, short-term crisis therapy for those in distress to allow them to return to the battlefield. This interest in understanding mental illnesses increased as group therapies were found to be effective, and research by military medical personnel and social workers increased through both WWII and the Korean War (1951–1954).
The third reworking of hospital treatment policies began in the mid-1950s, ushered in by the new availability of psychotropic drugs. While some saw the new use of pills to treat mental illness as little more than “chemical strait jackets,” they allowed a large number of patients to be released and being their reintegration into the community. As the hospital’s 12th superintendent Dr. G. Lee Sandritter stated, “as long as we hang on to a patient, he won’t get well.” Thus, the new policy was for patients to be kept in the hospital only as long as medically necessary before being released and reintegrated. Sandritter was fired in his 2nd year amidst much controversy. The Spokesman Review had run a number of articles alleging misconduct at the hospital under his supervision, including runaways and sexual misconduct between staff and patients. It is unclear how much of these allegations were based in fact, and how many were generated by the hysteria over Sandritter’s loosening of hospital policies confining patients; the primary sources of the accusations were “disgruntled employees,” according to official hospital literature.
These liberalizing policies were continued by Sandritter’s successor, Dr. Harris Bunnell. A volunteer program was started to help integrate the hospital with the public, and in 1965 over 2400 visitors came to the hospital, helping to lessen the “asylum” stigma that had plagued it for so long. The patient population was also falling dramatically; by 1970, the hospital was at a quarter of its peak 1950s numbers at around 500 patients, a number not seen by the hospital since 1907. Treatment responsibilities for released patients were delegated to Community Mental Health centers, which were established locally under guidelines established by federal legislation.
This phase, which continues today, was catalyzed by new legislation in Congress. The Mental Health Study Act, passed by Congress in 1955, established the Joint Commission on Mental Illness and Mental Health to evaluate mental health treatment in the United States. The commission’s recommendations for reforms were incorporated, in large part into the 1963 Community Mental Health Act. This act provided federal grants to state and municipal governments to establish community mental health centers to deal with outpatient treatment of the mentally ill.
Many were not accepting of the newly released mentally ill in their communities, and discrimination was fairly common and institutional: released patients could not vote nor hold driver’s licenses, despite having been declared “sane.” This changed in 1974, when the Washington State Legislature passed laws guaranteeing equal constitutional rights for patients. Treatment of the mentally ill today is increasingly done on an outpatient basis, and ESH focuses predominantly on more severe cases, as well as providing a space for group therapy and workshops. The hospital today has room for 312 patients, and has roughly 700 staff; nearly 100 patients are admitted on a monthly basis.[2]
Main Image Gallery: Eastern Washington State Hospital
Medical Lake, WA
Phone: (509) 565-4000
Individual or group tours to the hospital and museum can be arranged by calling the volunteer coordinator (509) 565-4280",,"Medical Lake, WA",,
Washington,Northern State Hospital,https://www.asylumprojects.org/index.php?title=Northern_State_Hospital,1909,1911,"April 1, 1911",Closed,Cottage Plan,,Northern State Hospital for the Insane | Northern State Hospital for the Criminally Insane,"The institution was established in 1909 on a tract of land at Sedro-Woolley and was originally a farm for harmless patients under the direction of the superintendent of the Western Hospital at Fort Steilacoom. In 1911 the hospital was separated from the Western Hospital and quickly became the largest in the state. The new hospital opened April 1, 1911. Dr. A. H. McLeish was the first superintendent. He served until August 5, 1913 when he resigned and was succeeded by Dr. W. E. Cass. On February 1, 1914, Dr. Cass was succeeded by superintendent, Dr. J. W. Doughty, who was promoted from the position of first assistant physician at the Western Hospital for the Insane.
The hospital consisted of four cottages or ward buildings. They are two stories in height, with basement, of concrete construction, with tile roofs; strictly fireproof and arranged in accordance with the most modern and approved plans for hospital buildings of the time. Special attention was given to heating, lighting and ventilation, in order to afford the greatest degree of comfort to the patients. The kitchen building was of comprises several departments, including attendants' dining room, bakery, kitchen, refrigerating and store rooms.
A reinforced concrete tunnel, 5 feet 6 inches inside measurement, carried steam and electric lines from the power house to the patient buildings. A large amount of work was put into cleaning and cultivating additional land, building roads, grading, laying drains and sewers, cutting wood and repairing barns. Much of the construction work done up to 1914 was done with the assistance of patient labor. 
The population of the hospital on September 31, 1914, was 287, of which 94 were housed in temporary buildings.
The Legislature of 1913 appropriated $463,000 for additional buildings and land. Some of the new construction included an auditorium, commissary building, farm building, laundry, refrigeration plant, reservoir, sewage system, pathological laboratory, library, and construction of roads.[1]
Dr. James Winfield Doughty took charge on Jan. 13, 1914. At age 40 he had an impeccable medical record along with a reputation as a champion archer and a musician. While at Northern State, Doughty succeeded in implementing new ideas that were changing the often misguided and exploitative care of mental patients nationwide. During World War I he was chosen to serve on Governor Lister's state Medical Advisory Board along with legendary Dr. H.E. Cleveland of Burlington. Security became a concern during his term when the first murder of one patient by another occurred in February 1922.
During the '20s Doughty became a local fixture and, after the death of his wife in 1924, he became very active in Rotary, the Masonic lodge, the Odd Fellows lodge and the American Medical Association. He had grand plans for the hospital but they came to a screeching halt after the Crash of 1929. After Republican governor Roland Hartley was reelected in 1928 he decided to clean house at state institutions. Dr. Doughty finally got the ax in 1930 and he moved to King County where he set up private practice again.
Democrat Clarence D. Martin took office as governor in 1933 and in September of the next year Doughty was re-appointed at Northern State. He oversaw construction that had started and stopped in 1933 after building new wards, the last housing construction for 20 years. In 1936, as Washington began recovering from the Great Depression, he successfully pushed a program whereby voters authorized $200,000 in bonds for a clinical center. He maintained Northern State as the most modern of the three state institutions and instituted student nurse training on campus.
In a series of articles in 1953, the Courier-Times newspaper described the hospital in detail. At that time there were 2,200 patients; 415 employees, including 200 attendants; and 12 graduate nurses. The patients were housed in 33 wards and Jones was already telling the legislature that the buildings were filled to capacity. There were 13 other buildings in all. Patients were sent there from the eight northwestern counties: Skagit, Whatcom, Snohomish, King, Jefferson, San Juan, Clallam and Island.
Hospital closed in 1973 and now parts of the facility are used for Job Corps & also a Drug Rehab. The active buildings at Northern State are off-limits to members of the public, but much of the former property is now a part of Northern State Recreation Area.
Main Image Gallery: Northern State Hospital
Approximately 1,500 people are buried in the Northern State Cemetery while there is only one tombstone. Since the hospital closed, the grounds fell in to disrepair and many of the grave markers that identified the deceased patients by initials and number were removed or stolen. In recent years the grounds were funded for maintenance and some restoration, and around 100 of the original grave markers can be viewed at the site, including some of the oldest ones. A memorial plaque for those who died at Northern State Hospital was erected. Most records pertaining to burials were lost when the hospital closed. Cremated remains were buried at the cemetery, but they were not given grave markers.
A Mortuary / Crematorium was constructed in 1925 and was in use until about 1950, after which the hospital contracted with a local crematorium. The Mortuary / Crematorium at the hospital was left unused until is was demolished in the early 1990s.[2]
When NSH was closed, there were 204 containers of cremated remains stored in the attic of the Mortuary / Crematorium.  The unclaimed ashes were buried at Hawthorne cemetery in Mount Vernon.",1973,"Sedro-Woolley, WA",,
Washington,Tacoma State Hospital,https://www.asylumprojects.org/index.php?title=Tacoma_State_Hospital,1869,1870,1871,Active,Cottage Plan,,Western State Hospital | Fort Steilacoom Asylum | Tacoma State Insane Asylum | Insane Asylum of Washington Territory,"Western State Hospital is a psychiatric hospital located in Lakewood, Washington, which is a suburb of Tacoma. Administered by the Washington Department of Social and Health Services (DSHS), it is the largest mental facility west of the Mississippi River, with 806 beds, and the second oldest state-owned enterprise, after the University of Washington. One of two currently active, state-owned adult psychiatric hospitals, the other being Eastern State Hospital in Medical Lake. The hospital currently treats patients using psychiatric medications, mental health counseling, group therapy, drug and alcohol education, psychiatric rehabilitation and behavior modification therapies. It provides evaluation and inpatient treatment for individuals with serious or long-term mental illness that have been referred to the hospital through the Regional Support Network system and serves the needs of Western Washington for people who have been committed as a result of criminal proceedings.[1]
In accordance with an act of the Territorial Legislature, entitled ""An Act to Authorize the Purchase of the Government Buildings at Fort Steilacoom for an Insane Asylum,"" approved December 2. 1869, a Board of Commissioners, consisting of the Governor, Territorial Secretary and Territorial Auditor, purchased the buildings from the federal government on the 15th of January, 1870, for the sum of $850. Section 4 of this act provided that the buildings should be turned over to the commissioners for the care and custody of insane and idiotic persons, to be prepared and used by them as an insane asylum, at the expiration of the contract with Huntington & Sons on July 15, 1871.
In the meantime a contract was made by the territorial authorities with Hill Harmon, of Olympia, to clothe and to keep the insane for a period of five years, dating from August 19, 1871, at 91 cents per diem. After the necessary alterations of the buildings to adapt them to the purpose intended had been made 21 patients were transferred from Monticello on August 19, 1871, and Fort Steilacoom was formally opened as an insane asylum. Dr. Stacy Hemenway was appointed by the commissioners as resident physician.
From a report of the contractor to the Governor of Washington Territory, dated September 30, 1871, it was learned that the asylum building was 152 feet long and 54 feet wide, and was divided into two wards, one for males and one for females. The male ward was 96 feet long and 44 feet wide, containing a central hall and 20 rooms, 10 on each side. Under the same roof was a bathroom supplied with hot and cold water, a water closet and wardrobe. The central hall was 96 feet long and 14 feet wide, having one large window at each end and two skylights. On each side of this hall were 10 rooms, each 18 feet in length by 9 feet in width. These rooms, together with the central hall, accommodated about 40 patients.
The female ward was 56 feet long and 44 feet wide, with a central hall and 10 rooms, five on each side. Attached to it was a bathroom similar to that on the male ward. The central hall was 56 feet long and 14 feet wide, having five rooms on each side, 18 feet in length by 9 feet in width. These rooms, together with the central hall, accommodated about 20 patients.
All windows in the building were secured by iron rods. On the north side was a porch 128 feet long and 10 feet wide, enclosed by lattice-work. At the east end of the building was an airing court, containing about two-thirds of an acre and enclosed by a board fence 14 feet high. The building was heated by two large box stoves, with sheet-iron drums attached, one in the male ward and one in the female ward. The building containing the kitchen and dining room was 60 feet long and 32 feet wide, and was joined to the central building, forming a south wing. There were separate dining rooms for male and female patients, respectively, and a small room for the superintendent and employees. The water supply was obtained from a spring 2000 feet distant from the asylum, being forced by a ram to a brick tank with a capacity of 6000 gallons. The total number of patients on October 1, 1871, was 23.
According to the terms of his contract the contractor was required simply to clothe and keep the insane, and the physician was supposed to have full supervision and control over the medical, moral and sanitary management of the establishment. This dual system soon led to trouble during Dr. Hemenway's term of service, and his successor, Dr. H. C. Willison, was compelled to resign in turn by reason of the deplorable conditions he found prevailing, and which, under the terms of his contract, he was powerless to remedy. He was succeeded by Dr. Ballard, of Oregon.
Conditions finally became such that the members of the Medical Society of Washington Territory undertook, in 1875, to remedy affairs and appointed an investigating committee to look into the charges of ill treatment and report their findings. The committee's report was published in pamphlet form in Olympia in 1875.
Dr. Ballard was succeeded as superintendent by Dr. F. S. Sparling, who served until June 1, 1877, when he was succeeded by Dr. Rufus Willard. From Dr. Willard's report, dated October 1, 1877, it seems that the old system of awarding the contract for the keeping of the insane of the territory had at last been done away with, and that the medical superintendent was in complete charge of the institution, with territorial appropriations for its maintenance. At that time there were 93 patients under treatment.
The report for 1883 of Dr. John W. Waughop, superintendent, shows 129 patients in the asylum, at a per capita cost per week of $4-34. Various improvements are noted, among them being an assembly room and chapel, 30 feet by 40 feet; a turbine wheel and two force pumps to increase the water supply; new drainage; a number of trees planted, and a flower garden for the female ward. The farm consisted of 600 acres, and the institution was supplied with milk by its own herd of cows. A number of hogs and chickens were raised each year. Patients assisted in the farm and garden work, in the wards, laundry, kitchen, bakery, carpenter shop, tin shop, blacksmith's shop, etc.
On April 1, 1897, Dr. F. L. Goddard was appointed superintendent, succeeding Dr. J. W. Waughop. In 1900 the number of patients had risen to 694, and the hospital had become, by successive additions, a large and progressive institution. The old buildings had been replaced by brick buildings of an up-to-date character, with the necessary appurtenances of a modern hospital for the insane. An additional wing, with accommodations for about 100 male patients, was erected, and occupied on March 1, 1900, at a cost of $40,000. A new ice machine was installed, and the boiler plant and bathing apparatus remodeled.
In March, 1902, Dr. F. L. Goddard was succeeded as superintendent by Dr. C. M. Parks. He in turn was succeeded in 1904 by Dr. A. H. McLeish. In 1904 the Legislature appropriated $101,000 for two separate ward buildings, with a capacity of 140 patients each. They are of brick, fireproof, well ventilated and sanitary in every respect. In 1905 the board purchased 93 acres of land adjoining the hospital grounds on the west to be used as additional pasture land.
In 1907 Dr. A. P. Calhoun was superintendent in place of Dr. A. H. McLeish. In 1913 the average daily population was 1440 patients, and the cost of their maintenance was 45 cents per day per capita. The state appropriation for the ensuing biennial period amounted to $577,690.
The hospital has a complete hydrotherapeutic plant and separate cottages for tubercular patients. Patients are employed as much as possible and amusements are many and varied, such as baseball, dancing, amateur theatricals, band music, walks, drives and indoor games. The main buildings are on the congregate plan, with extended wings: are built of brick, and are pleasing in appearance.[2]
In 2009 the patient population was 809.[3]
Main Image Gallery: Tacoma State Hospital
The cemetery contains 3,200 people, all patients of Western State Hospital between 1876 and 1953. Grave Concerns Association is a group handling the on-going restoration process since 2000.
Searchable database of burials",,"Lakewood, Washington",,
Washington,Eastern State Custodial School,https://www.asylumprojects.org/index.php?title=Eastern_State_Custodial_School,,,1905,Active,Cottage Plan,,State Institution for the Feeble Minded | Lakeland Village,"In January of 1915, Lakeland Village, known then as the ""School for the Feeble Minded,"" was opened at its present site. 252 males moved by horse-drawn wagon from the old site on the grounds of Eastern Washington Hospital for the Insane (Eastern State Hospital) where they has been housed since 1906. Prior to 1906 the only facility for the ""feeble minded"" was the School for Defective Youth in Vancouver, established in 1892.
Female residents moved to the new site in February 1917. The Population increased to 620 by 1918 and reached an all-time high of 1654 in 1938. The farm operation produced all vegetables, grain and ensilage used by the institution, 60% of the eggs, all pork, all  milk and cream.
In 1939 Western State Custodial School was built on the west side of Washington. The state was then divided geographically and Lakeland was renamed Eastern State Custodial School. The change in name to Lakeland Village occurred in 1947.
The facility has undergone many changes both physically and philosophically through the years.  Old dormitory style buildings were remodeled several times and then finally replaced with smaller cottage style homes. The population has decreased to 259 (February 2001). The purpose of the facility has changed from care and custody for the ""the happiness of children"" to providing active treatment for habilitation to an adult population.",,"Medical Lake, WA",,
Washington,Western State Custodial School,https://www.asylumprojects.org/index.php?title=Western_State_Custodial_School,1937,,1939,Active,Cottage Plan,,Rainier State School | Rainier School,"Rainier School is a residential facility for about 370 adults with developmentally disabilities located within the city limits of Buckley, Washington about a mile-and-a-half from downtown. The campus is situated in a peaceful country setting with a unique and prominent view of Mount Rainier.
In 1939, Washington State opened the Western State Custodial School in the small town of Buckley. The site provided 1,265 acres, ample land for the housing and self-sufficient dairy farm to come. Promise of spacious grounds drew many needy families to the new facility. The public image of the institution was a departure from large-scale hospital ward life, promising outdoor activities, exercises and classes. Rainier School's first residents arrived in October 1939 from what is now known as Lakeland Village. Then named Western State Custodial School, Rainier School was the only such facility in Western Washington. The facility was renamed Rainier State School in 1947 and then Rainier School in 1956. Resident population peaked in 1958 at 1,918.
Today, Rainier School's population is about 370 adults with a wide variety of abilities and needs. 24-hour residential care and specialized care or teaching is provided in the areas of work or vocational training, leisure activities, social relationships, and everyday life tasks. Programs and services are individualized and designed to enhance self-determination and maximize independence.
Main Image Gallery: Western State Custodial School",,"Buckley, WA",,"1,918 in 1958"
Washington,Central Washington Tuberculosis Hospital,https://www.asylumprojects.org/index.php?title=Yakima_Valley_School,,,1950,Active,Cottage Plan,,Yakima Valley School,"In 1958, the six county Central Washington Tuberculosis Hospital in Selah was converted to a residential facility for individuals with developmental disabilities. At that time, the facility was renamed Yakima Valley School (YVS). In 1978 the facility was accredited as an Intermediate Care Facility for Individuals with Intellectual Disabilities and programming was expanded to include education and pre-employment vocational training programs.
Yakima Valley School was designated a Nursing Facility in 1994. Currently, about 260 direct care and support staff provide 24-hour nursing care, a full spectrum of clinical and therapeutic programs, and recreation/activities to about 108 individuals who reside in 15 separate homes on campus.",,"Selah, WA",,
Washington,Veterans Hospital American Lake,https://www.asylumprojects.org/index.php?title=Veterans_Hospital_American_Lake,1923,,1924,Active,Cottage Plan,,,"The American Lake campus began in 1923 as the 94th Veterans Hospital to be built by the War Department for the provision of care to World War I Veterans. The Secretary of the Army authorized, under a revocable license, the Veteran Bureau's use of 377 acres of the 87,000 acre Fort Lewis property. The Hurley-Mason Company was awarded contracts for the construction of the facility and work was soon started on Veterans Hospital Number 94.
A site chosen on the western shores of American Lake soon became home for the new buildings of Spanish American architecture. Many of the stucco and terra cotta buildings are listed on the National Register of Historical Buildings, and are still enjoyed by both patients and staff for their esthetic beauty.
The medical center was dedicated in 1924 and chartered with a single mission - neuro-psychiatric treatment. On March 15, 1924, the first 50 patients were admitted to the hospital, by transfer, from Western State Hospital at Fort Steilacoom.
Over the years, American Lake grew from its original mission of a neuro-psychiatric facility, to a multi-care facility. In the 1960's and 1970's Ambulatory Surgical Services, a 76-bed Nursing Home Unit, Blind Rehabilitation Services, a Substance Abuse Treatment Program, and a 60-bed homeless Domiciliary were added to expand the scope of care to Veterans.
In the 1980's and 1990's, additional special programs such as Vocational Rehabilitation, a Residential Care Program, and a Post Traumatic Stress Treatment Program were added. In 1998, Building 81 was renovated and an addition added that allowed for relocation and expansion of Primary Care Services and a Women's Health Clinic.",,"Tacoma, WA",,
Washington,Creating Aldercrest Sanatorium,https://www.asylumprojects.org/index.php?title=Aldercrest_Sanatorium&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
What is the second word in our logo?",,,,
Washington,Creating Blue Mountain Sanatorium,https://www.asylumprojects.org/index.php?title=Blue_Mountain_Sanatorium&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
What is the second word in our logo?",,,,
Washington,Central Washington Tuberculosis Hospital,https://www.asylumprojects.org/index.php?title=Central_Washington_Tuberculosis_Hospital,,,1950,Active,Cottage Plan,,Yakima Valley School,"In 1958, the six county Central Washington Tuberculosis Hospital in Selah was converted to a residential facility for individuals with developmental disabilities. At that time, the facility was renamed Yakima Valley School (YVS). In 1978 the facility was accredited as an Intermediate Care Facility for Individuals with Intellectual Disabilities and programming was expanded to include education and pre-employment vocational training programs.
Yakima Valley School was designated a Nursing Facility in 1994. Currently, about 260 direct care and support staff provide 24-hour nursing care, a full spectrum of clinical and therapeutic programs, and recreation/activities to about 108 individuals who reside in 15 separate homes on campus.",,"Selah, WA",,
