State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population,year_opened_LLM,year_closed_LLM,number_of_beds_LLM,number_of_patients_LLM,peak_patient_population_LLM,hand_check_flag_LLM
Florida,G. Pierce Wood Memorial Hospital,https://www.asylumprojects.org/index.php?title=Carlstrom_Field_State_Hospital,,,1947.0,Closed,Single Building,,Carlstrom Field State Hospital | DeSoto County Juvenile Detention Facility (Current),"Once known as Carlstrom Field, and it was established in 1917 to train military pilots for World War I. Carlstrom Field turned out the last of its cadets in 1945, and it closed later that year. The complex was converted into a mental health facility named the G. Pierce Wood Memorial Hospital. In 2002, the mental hospital closed, but it soon became the DeSoto County Juvenile Correctional Complex.",2002.0,"Arcadia, FL",,,[1945],[2002],[None],[None],[None],0
Florida,Florida State Hospital,https://www.asylumprojects.org/index.php?title=Florida_State_Hospital,,1876.0,,Active,Cottage Plan,,Florida Asylum for the Insane | Florida Asylum for the Indigent Insane | Asylum for Indigent Lunatics,"From the Hospital's Official web page:
The Florida State Hospital, established in 1876, is located at Chattahoochee in the panhandle of Northwest Florida. It is on the site of an old United States Arsenal, which was built in 1834, just below the junction of the Flint and the Chattahoochee River, to command the ships on the Apalachicola River.
Florida State Hospital was originally a Federal Arsenal, built by the U.S. Army to be used as an arms depot during the second Seminole Indian War. It was used by the Freedman's Bureau from 1865 to 1868, and then served as the state's first penitentiary. Two of the original buildings still remain; the Officer's Quarters, which now serves as the Florida State Hospital Administration Building, and a Powder Magazine, which is currently being restored for eventual use as a museum and conference center.
The facility remained Florida's only state mental institution until 1947 and continues today to be the largest of a statewide system of treatment centers for individuals with mental and physical disabilities. It is listed on the National Historic Registry.
Main Image Gallery: Florida State Hospital
The following page located on Florida Memory, the State of Florida Archives, contains a ten minute video shot on the grounds and inside Florida State Hospital in 1970.",,"Chattahoochee, FL",,"7,000 in 1955",1876,,,,,0
Florida,G. Pierce Wood Memorial Hospital,https://www.asylumprojects.org/index.php?title=G._Pierce_Wood_Memorial_Hospital,,,1947.0,Closed,Single Building,,Carlstrom Field State Hospital | DeSoto County Juvenile Detention Facility (Current),"Once known as Carlstrom Field, and it was established in 1917 to train military pilots for World War I. Carlstrom Field turned out the last of its cadets in 1945, and it closed later that year. The complex was converted into a mental health facility named the G. Pierce Wood Memorial Hospital. In 2002, the mental hospital closed, but it soon became the DeSoto County Juvenile Correctional Complex.",2002.0,"Arcadia, FL",,,[1945],[2002],[None],[None],[None],0
Florida,Northeast Florida State Hospital,https://www.asylumprojects.org/index.php?title=Northeast_Florida_State_Hospital,,,1959.0,Active,Cottage Plan,,,"The hospital opened in 1959 to relieve overcrowding at Florida State Hospital. It treats mentally ill adults who are suicidal and need long-term care, along with incompetent criminal defendants. Defendants are not segregated from other patients and often are free to move about the campus. NEFSH has provided continuous service to persons with severe and persistent mental illness has been available since 1959. The facility operates 613 beds and is the largest state owned provider of psychiatric care and treatment to civilly committed individuals in Florida. Referrals are based upon community and district priorities for admission. Current bed utilization rate is at 100%, with a total of 814 persons served in fiscal year 2006-07. With a daily bed cost of $233 per day, NEFSH provides 24-hour residential care at one of the lowest per diem rates in the country.",,,,,1959,,613,814,,0
Florida,Florida State Hospital,https://www.asylumprojects.org/index.php?title=North_Florida_Evaluation_and_Treatment_Center,,1876.0,,Active,Cottage Plan,,Florida Asylum for the Insane | Florida Asylum for the Indigent Insane | Asylum for Indigent Lunatics,"From the Hospital's Official web page:
The Florida State Hospital, established in 1876, is located at Chattahoochee in the panhandle of Northwest Florida. It is on the site of an old United States Arsenal, which was built in 1834, just below the junction of the Flint and the Chattahoochee River, to command the ships on the Apalachicola River.
Florida State Hospital was originally a Federal Arsenal, built by the U.S. Army to be used as an arms depot during the second Seminole Indian War. It was used by the Freedman's Bureau from 1865 to 1868, and then served as the state's first penitentiary. Two of the original buildings still remain; the Officer's Quarters, which now serves as the Florida State Hospital Administration Building, and a Powder Magazine, which is currently being restored for eventual use as a museum and conference center.
The facility remained Florida's only state mental institution until 1947 and continues today to be the largest of a statewide system of treatment centers for individuals with mental and physical disabilities. It is listed on the National Historic Registry.
Main Image Gallery: Florida State Hospital
The following page located on Florida Memory, the State of Florida Archives, contains a ten minute video shot on the grounds and inside Florida State Hospital in 1970.",,"Chattahoochee, FL",,"7,000 in 1955",1876,,,,,1
Florida,South Florida State Hospital,https://www.asylumprojects.org/index.php?title=South_Florida_State_Hospital,1947.0,,1951.0,Active,Cottage Plan,,,"GEO Care was selected by the Department of Children and Families in 1998 to operate South Florida State Hospital, the first in the nation to be completely privatized. GEO Care designed, constructed and financed a completely new facility of 335 beds on the same state-owned property. When the new complex was completed in December 2000, the whole hospital was moved to the new site, the only new state civil psychiatric hospital to have been built in the state in the last 40 years.[1]",,"Pembroke Pines, FL",,,2000,,335,,,0
Florida,South Florida Evaluation and Treatment Center,https://www.asylumprojects.org/index.php?title=South_Florida_Evaluation_and_Treatment_Center,,,1986.0,Active,Cottage Plan,,,"Opened in 1986, the hospital serves mentally ill men and women charged with crimes. Originally a state-run facility, it is now operated privately, under contract with the state.",,"Florida City, FL",,,1986,,,,,0
Florida,Treasure Coast Forensic Treatment Center,https://www.asylumprojects.org/index.php?title=Treasure_Coast_Forensic_Treatment_Center,,,2007.0,Active,Cottage Plan,,,"Opened in April 2007, it is one of the state’s most modern maximum security hospitals. It caters exclusively to mentally ill men charged with a crime. In 2014, it was bought by Correct Care Recovery Solutions, a private prison management company based in Nashville, Tenn. Patients are housed in single rooms and have less freedom of movement than in older, state-run facilities.",,"Indiantown, FL",,,2007,,,,,0
Florida,Florida Farm Colony,https://www.asylumprojects.org/index.php?title=Florida_Farm_Colony,1915.0,1919.0,1921.0,Active,Cottage Plan,,Florida Farm Colony for the Feeble Minded and Epileptic | Sunland Training Center  | Tacachale DDC (Current),"The Florida Farm Colony began in 1915 with the establishment of a legislative commission to study the needs of persons who were ""feeble-minded"" and epileptic. This resulted in November 1921 with the opening of the Florida Farm Colony for the Feeble-Minded and Epileptic in Gainesville, Florida on a 3000-acre tract. This was the first state-funded program for residents with developmental challenges. It began with three buildings and 240 residents. During the New Deal in the 1930s, the PWA built several more buildings. The Florida Farm Colony had a capacity of 550 patients by 1939, when the name of the institute was slightly altered to reflect new nomenclature (Dell, 1939). It became The Florida Farm Colony for Epileptic and Mentally Deficient Children. Thus established, it remained the only public facility for mentally retarded children in Florida for over 30 years.
In 1957, it became the state-run Sunland Training Center, soon followed by other Sunland hospitals across the state. By 1959, the Gainesville Sunland had 1400 children, with a waiting list of 800 more, and a typical wait time of 18 months for admission.  In the 1960s, Sunland centers and hospitals were opened in five other Florida cities. Today it operates under the name of Tacachale DDC.
Main Image Gallery: Florida Farm Colony",,"Gainesville, FL",,,1921,,,1400,1400,0
Florida,Gulf Coast Center,https://www.asylumprojects.org/index.php?title=Gulf_Coast_Center,,,1960.0,Closed,Cottage Plan,,"Sunland Training Center, Fort Myers","In 1960, the second Sunland Training Center opened in Fort Myers, thereby giving Florida institutes at both the north and south ends of the state (Nourse, 2010). Despite the growing awareness of and attitudes toward the shortcomings of large institutional settings, the state Division of Retardation was primed for a rapid expansion of facilities for the mentally retarded.",2010.0,"Fort Myers, FL",,,,,,,,1
