State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population,year_opened_LLM,year_closed_LLM,number_of_beds_LLM,number_of_patients_LLM,peak_patient_population_LLM,hand_check_flag_LLM
Georgia,Battey State Hospital,https://www.asylumprojects.org/index.php?title=Battey_State_Hospital,,1943.0,1946,Closed,Cottage Plan,,Battey General Hospital | Northwest Georgia Regional Hospital,"Battey State Hospital was first established in 1943 as a temporary Army General Hospital to deal with the large number of wounded soldiers. It was named after Dr. Robert Battey, a physician who built a successful practice and was key in advancing medical treatment in Rome Georgia. However, in 1946, the state negotiated and took over the hospital from the federal government.
Georgia turned the facility into a 2000 bed tuberculosis sanitorium. During this period, the state was experiencing a surge of TB cases. Locally around the hospital, there had been 2,534 newly reported cases. The site was renamed to Battey State Hospital
By 1967, the state looked at the site for more health services. Then in 1971 construction had been started on a mental health unit. That same year, mentally disabled residents at Gracewood State School and Hospital were transferred to Battey.
In 1973 Bettey was renamed Northwest Georgia Regional Hospital at Rome. However, the state was looking to move more services onto the property. Afterward, in 1975, the first psychiatric and alcohol and drug abuse patients were admitted.
As the TB crisis abated, the tuberculosis grew smaller and in the 1990s the unit closed.  Each year afterward saw less people being admitted causing the remaining patients being moved into more local and private settings. Finally in 2011 the hospital closed. [1]",2011,"Rome, GA",,,1943,2011,2000,,,0
Georgia,Bainbridge State Hospital,https://www.asylumprojects.org/index.php?title=Bainbridge_State_Hospital,,1947.0,,Active,Cottage Plan,,Bainbridge Substance Abuse Center,"During World War II (1941-45) an airport was built in Bainbridge to train pilots. Toward the end of the war, the facility became a camp for German prisoners of war. In the early 1960s Bainbridge State Hospital, a residential facility for the developmentally challenged, took over the property. Today, it is a low-security drug treatment facility.",,"Bainbridge, GA",,,[1960],[None],[None],[None],[None],0
Georgia,Central State Hospital,https://www.asylumprojects.org/index.php?title=Central_State_Hospital,1834.0,1837.0,1843,Active,Rambling Plan,,"Milledgeville State Lunatic, Idiot, and Epileptic Asylum | Milledgeville State Hospital | Georgia State Sanitarium","Chartered in 1837, Central State Hospital was a product of the nineteenth century's social reform movement. Since its founding, the hospital not only has cared for thousands of patients but also has been the focus of political discussions in Georgia regarding the role of government and public health. By the 1960s Central State Hospital had become the largest mental health institution in the United States.
Movements to reform prisons, create public schools, and establish state-run hospitals for the mentally ill swept across the nation during the first decades of the nineteenth century. In 1837 Georgia politicians responded by passing a bill calling for the creation of a ""State Lunatic, Idiot, and Epileptic Asylum."" Located in Milledgeville, the state capital at that time, construction of the facility was completed in October 1842, and the hospital admitted its first patient later that year.
Care of patients was based on the ""institution as family"" model, which asserted that hospitals were best organized when they resembled extended families. This model met with great success at Milledgeville, particularly under the leadership of Dr. Thomas A. Green, who served at the hospital from 1845 to 1879. Green ate with staff and patients daily and abolished such physical restraints as chains and ropes. The hospital also became increasingly custodial as the population evolved from the acutely disturbed to the chronically ill and organically disabled, many of whom were veterans of the Civil War (1861-65) with little chance of achieving a successful return to their families.
In 1872 the hospital possessed a ratio of 112 patients per physician, a number that would not improve for almost a century. Central State underwent a dramatic increase in patient population during the second half of the century, when local communities began sending unwanted or problematic residents to the asylum, regardless of their diagnoses. The institution adjusted to this practice by developing increasingly more accurate methods of diagnosis and implementing differentiated ward placements under Superintendent Dr. Theophilus O. Powell, a noted scholar of psychiatry, who served from 1879 to 1907. In 1897 the hospital changed its name to the Georgia State Sanitarium.
The patient population grew steadily throughout the twentieth century. The increase in numbers meant a concurrent decrease in the quality of care. Part of the extensive hospital grounds had been reserved for the planting of crops, and administrators had patients undertake the strenuous work of farming these acres. The work entailed little treatment on the part of the staff but often proved beneficial to patients who would return to farm life when discharged. The overwhelming number of patients also led to a pattern of conscious neglect, whereby hospital staff met the basic daily needs of their charges but were unable to provide appropriate treatment for their illnesses. Such brute-force interventions as insulin shock and electro-convulsive therapy occurred in massive numbers until the coming of chemical intervention, which in lieu of staff increases helped reduce the patient load of nearly 12,000 during the early 1960s. By this time the institution contended with New York's Pilgrim State Hospital as the nation's largest mental hospital. In 1967 the facility was renamed to its current title of Central State Hospital.
The advent of psychotropic drugs reduced the length of stay and made home return more feasible for acute patients, but the ultimate goal of reducing the patient population clashed with the institution's political self-interest. Memoirs and newspaper accounts from the 1950s and 1960s accused several Georgia politicians, including ex-Speaker of the House Roy V. Harris and state senator Culver Kidd, of coercing hospital administrators into hiring political patrons to fill jobs that would be endangered by a reduction in the patient population. The intense political pressure felt by all superintendents during the twentieth century was reflected in the words of Superintendent Dr. Y. H. Yarbrough, who, upon departing the hospital in 1948, said: ""This is one of the happiest days of my life. In the hundred year history of this building, I am the only superintendent who hasn't been kicked out, or carried out feet first in a casket.""
Since the 1960s the hospital has encountered increasing pressure to shift from the medical to the mixed-therapy model, a move notably supported by Georgia governors Ernest Vandiver Jr. and Jimmy Carter. Today Central State Hospital is no longer the state's only mental health facility. The construction of regional facilities has reduced Central State's population while helping to improve its level of care and expanding the variety of its client services, which today range from adult and adolescent mental health care to the provision of secure facilities for the state's criminal-justice system.[1]
Main Image Gallery: Central State Hospital
But for the Grace of God: The Inside Story of the World's Largest Insane Asylum, Milledgeville, by Peter G. Cranford
30,000 people are buried on the grounds of Central State Hospital. Patients were buried in segregated cemeteries for white males, white females, ""colored"" males, and ""colored"" females.1 Numbered stakes without names or other identifying information marked graves. Groundskeepers charged with cemetery upkeep often pulled up the grave markers, leaving them in piles in order to make lawn mowing less tedious. Restoration efforts began in 1997 & continue today.
Payne, David H. ""Central State Hospital."" New Georgia Encyclopedia. 03 September 2014. Web. 04 June 2019.",2013 (Original campus),"Milledgeville, GA",,"12,000 est in 1959",1842,,,12000,12000,0
Georgia,Creating Southwestern Georgia State Hospital,https://www.asylumprojects.org/index.php?title=Southwestern_Georgia_State_Hospital&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
What is the primary background color of the circle in our logo?",,,,,,,,,,1
Georgia,Creating Hillside Treatment Center,https://www.asylumprojects.org/index.php?title=Hillside_Treatment_Center&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the locations menu to the left, what is the sixth country up from the bottom?",,,,,,,,,,1
Georgia,Gracewood State Hospital,https://www.asylumprojects.org/index.php?title=Gracewood_State_Hospital,1918.0,,1921,Active,Cottage Plan,,"Georgia Training School for Mental Defectives | Gracewood State School and Hospital | Gracewood Center | East Central Regional Hospital, Gracewood Campus","In 1918, the Georgia Legislature authorized Governor Hugh M. Dorsey to appoint a committee to investigate, report, and make recommendations to relieve the state of the uncared for “feebleminded.” One year later, an Act was established to open training schools for “mental defectives;” an old orphanage with 325 acres in a small community called Gracewood was then purchase by the state.
The superintendent’s report dated January 25, 1922 describes the formation of the Training School for Mental Deficiencies in 1919 with a $100,000 appropriation to erect a suitable institution and the purchase of the necessary land. One year later in 1920, te State of Georgia purchased the Tuttle-Newton Orphanage property for $75,000 with 325 acres of land. There were 8 existing buildings constructed of reinforced concrete and several frame structures. The buildings were described as 3 dormitories, a cottage for employees, an administration building, a school building, a dairy barn, and a cold storage building.
The City of Augusta appropriated $25,000 for the school to operate for the first year. The school was officially opened on July 5, 1921 and by the end of the year had 52 residents. In 1951, Dr. Norman Pursley became the 8th Superintendent of the school, and in 1952 the State of Georgia purchased additional land to begin an institutional farming operation. In the 1950s, the campus included a school building, an infirmary, a hospital, and 8 dormitories. In 1961, the name of the school was changed to Gracewood State School and Hospital. Improvements during the 1960s included an auditorium, gymnasium, Olympic-sized swimming pool, and a chapel. In the 1966 census, Gracewood State School and Hospital had 1,902 clients. The Gracewood State School and Hospital Archives was opened in 1996 in collaboration with the 75th Anniversary of the opening of the facility in 1921.
ECRH currently employs approximately 1,400 staff and is owned and governed by DBHDD. It is accredited by The Joint Commission on the Accreditation of Healthcare Organizations under standards for Hospital, Behavioral Health, Laboratory, and Long Term Care.",,"Gracewood, GA",,,1921,,,,1902,0
Georgia,Georgia State Training School for Boys,https://www.asylumprojects.org/index.php?title=Georgia_State_Training_School_for_Boys,,,1905,Closed,Cottage Plan,,Georgia State Reformatory | Georgia Training School for Boys | William E. Ireland Youth Development Campus,"The Georgia State Reformatory, for the detention and punishment of youthful delinquents, was established in 1905 under the management of the Georgia Prison Commission . Any prisoner, black or white, confined in the state prison farm or chain gangs in the state who were 16 years old or under at the time it opened and not sentenced for life were to be sent here.""  Any person committed to the Georgia State Reformatory for an offense punishable by imprisonment in the penitentiary may be held in said reformatory for a term not exceeding five years, or, if committed for a longer term than five years, may be held for such longer term; and any person committed to said reformatory for an offense that is punishable as for a misdemeanor, may be held in said reformatory for a term not exceeding two years; provided, however, that no person shall he held in said reformatory after he or she has arrived at the age of twenty-one years."" The general supervision, control and government was ""vested in the Prison Commission of Georgia, and said commission shall have power to make all rules and regulations necessary and proper for the employment, discipline, instruction and education of the inmates detained in said reformatory, and shall also have power to determine in their discretion as to what character or kind of work any particular inmate shall be required at any time to perform.""
The prison commission had the "" power to appoint, with the approval of the Governor, a fit and proper person as superintendent of said reformatory, at a salary not exceeding twelve hundred dollars per year. The said superintendent shall reside at said reformatory and his lodging and board shall be furnished at the expense of the State. The duties of said superintendent shall be prescribed by the commission, and he shall be under its direction and control, and subject to removal by the commission at any time. The said commission shall also appoint such teachers, guards and other employees as are necessary to the proper conducting of said reformatory, and shall prescribe their duties and fix their salaries, but the amounts of such salaries before allowed shall be approved by the Governor.""
The inmates were to be ""employed in agricultural, domestic and mechanical work, and shall be given a reasonable amount of instruction in the elementary branches of an English education. The commission, if it deem best, is empowered to establish and maintain in connection with said institution a system of manual training and instruction in trades, and create such industries, productive or otherwise, as are, in their opinion, to the best interests of the inmates of said reformatory.""
The discipline to be observed in said institution shall be reformatory, and the commission shall have power to use such means of reformation as is consistent with the improvement of the inmates as it may deem best and expedient; but a method of discipline shall be used as will, as far as possible, reform the characters of the inmates, preserve their health, promote regular improvement in their studies and employment, and secure in them fixed habits in religion, morality and industry; and the commission shall maintain such control over said inmates as will prevent them from committing crime, best secure their self-support, accomplish their reformation, and that will tend to make of them good and law-abiding citizens.
The reformatory opened in December 1906 and started out with a two story brick building containing offices for officials, sleeping quarters for more than a hundred boys, dining room, recitation room and chapel. It was  located on a site containing 200 acres of farm land belonging to the state, a short distance from the state prison farm. Preparations were made for caring for thirty inmates when opened. The first superintendent and matron was Mr. and Mrs. Benjamin T. Bethune, of Milledgeville.
In 1912 Joseph E. Lovvorn of Cedartown became the superintendent and Mrs. Lovvorn, his wife, matron. By 1913 nearly 200 boys were inmates here. There was a separate schools for white and blacks.  School sessions in the mornings, farm and other work in the afternoon. There were 7 grades with one teacher. Agricultural  training such as raising and storing forage and feed stuffs for farm mules and her of milk cows was done by all the boys as well as other farm work . An Industrial trade shop was started by Supernatant Lovvorn. Trades such as shoe repair, sign lettering, painting, barber work, tanning hides, blacksmithing,  and bottoming chairs were taught.
About 1912 an attorney named John Sibley organized a Sunday school here, aided by teachers, prominent business men and faculty members of both colleges in Milledgeville. Also the boys frequently attend church services in Milledgeville
Entertainment was provided by the manager of the moving picture theatre im Milledgeville and the boys saw one selected picture show each month.  Superintendent Lovvorn resigned in June 1917 and was succeeded by J.L. Smith, of Green County. When Smith resigned in 1919 Charles E. Bonner of Milledgeville was appointed to succeed him.
The name of the facility was changed to Georgia Training School for Boys in 1919 and placed under a board of managers ""consisting of the State School Commission of Georgia, the Secretary of the Board of Health of the State of Georgia (both of whom shall be ex-official members of said Board of Managers, and five other persons, citizens of said state, two of whom may be women, to be appointed by the Governor.""   E.B. Cochran was appointed temporary superintendent, replacing  Charles .E. Bonner. 1921 Mrs. Orian Wood Manson, a native of Irwinton Ga,  and the first female member of the board, was elected and she was superintendent until her death in July 1925.
Also In 1921, it had become a self-supporting  farm and some of the  produce sold purchased a gasoline engine, wood saw, gristmill, farm wagon, Ford car. 200 trees and shrubs were planted. 1,000 privet hedge plants, 60 roses and flower beds. Tennis court and basketball court was donated by F. J. Pason, of Atlanta, chairman of the board of the training school, Ogden Persons, of Forsyth sent large collection of books. Effective January 1, 1932 it was managed by the Board of Control of Eleemosynary Institutions which was changed to State Department of Public Welfare of Georgia in 1937. Currently it is under the Georgia Department of Juvenile Justice.
William E. ""Bill"" Ireland, a former inmate and employee since 1921  was elected superintendent after the death of Mrs Manson. He was  in this position from 1925 - 1947 and  1949-1964. In 1985 the facility was named in his honor William E.  ""Bill"" Ireland Youth Development Campus.
Due to budget cuts, all the inmates of YDC were transferred out as of Oct. 11, 2009. This state institution, after 104 years in the community,  is no more.",2009,"Milledgeville, GA",,,1906,2009,,,200,0
Georgia,Creating Georgia Training School for Girls,https://www.asylumprojects.org/index.php?title=Georgia_Training_School_for_Girls&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the toolbox menu to the left what is the second word in the third link from top?",,,,,,,,,,1
Georgia,Allens Invalid Home,https://www.asylumprojects.org/index.php?title=Allens_Invalid_Home,,,1890,Demolished,Single Building,,Allen’s Invalid Home for the Treatment of Nervous Diseases,"1916 Description; This institution was opened by Dr. H.D. Allen in 1890, on the site of the old Oglethorpe University, which comprised 40 acres of land and a three-story brick building with 17 room and a large hall on the third floor. In 1891 a large house and 46 acres of land, about 150 yards distant from the original building, were purchased by Dr. Allen. This gave the institution two separate buildings, one for men and one for women, and this complete separation of the sexes has continued to the present time.
There have been built since 1891 an additional cottage for men and two buildings for women. Two hundred and fifty-three acres of land have been added to the original holdings, on which are grown a great variety of vegetables, etc., for the use of the institution.
At first only chronic incurable cases were received; the first two patients received in the early part of 1891, being still in the institution(1915). Afterwards acute cases were accepted, and this practice continues to the present time. Its is the endeavor of the Home to have a nurse with every acute casem and to give such cases every possible diversion that their physical condition warrants. There are no attempt made to employ patients other than what they themselves are inclined to do for their own occupation and amusement.
A training school under a charter was started in 1908, and three years later the first class graduated. Every year since then a similar class has graduated, and, with the exception of one nurse, all those graduated have continued in the service of the institution. The men nurses have never taken an interest in the training school. The men patients are attended by men nurses exclusively, and the women patients by women nurses. There are no women in the men's building. The average population in 50 patients, although as many as 65 have been in residence. Dr. H.D. Allen is superintendent and the assistant physician is Dr. W.A. Ellison.[1]
At its peak in 1920, a census showed 240 patients. Allen’s Sanitarium expanded to encompass 16 buildings, and it gradually acquired extensive tracts of the surrounding land, amassing a total of 120 acres. The property was neatly divided into North and South sections by a main road, effectively separating the Male and Female areas. In November of 1958, a group of physicians from central Georgia acquired Allen’s Invalid Home intending to repurpose it as a nursing home. They named the new establishment “Green Acres Health & Rehabilitation.” Over time, they began to divest portions of the former Sanitarium property, eventually constructing a modern nursing home behind the women’s building in 1962. By 1997, only the Administration building, which had also been Dr. Allen’s residence, remained on the site. Today, this historic property has been transformed and now houses two nursing homes, two trailer parks, a fire station, an apartment complex, and residences from the Midway community.",,"Milledgeville, GA",,,1890,,,,240,0
Georgia,Creating Blackman-Walton Sanitarium,https://www.asylumprojects.org/index.php?title=Blackman-Walton_Sanitarium&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the locations menu to the left, what is the sixth country up from the bottom?",,,,,,,,,,1
