State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population,year_opened_LLM,year_closed_LLM,number_of_beds_LLM,number_of_patients_LLM,peak_patient_population_LLM,hand_check_flag_LLM
Indiana,Central Indiana State Hospital,https://www.asylumprojects.org/index.php?title=Central_Indiana_State_Hospital,,1846,1848,Demolished (Mostly),"Kirkbride Plan
Cottage Plan",,Indiana Hospital for the Insane | Central Indiana Hospital for the Insane | Central State Hospital,"Central State Hospital was brought into existence by an Act of the 1844-1845 Indiana General Assembly which provided for ""the procuring of a suitable site for the erection of a State Lunatic Asylum."" The property, consisting of 160 acres of farmland belonging to N. Bolton, was selected due to its proximity to the State Capitol. Purchased at the rate of $33.125 per acre, the property passed to the State of Indiana on August 29, 1845.
An Act approved on January 19, 1846 provided ""That the Commissioners of the Indiana Lunatic Asylum are hereby authorized to cause to be erected upon the grounds heretofore purchased for that purpose, suitable buildings for the use and accommodation of said institution, which shall hereafter be called and known by the name of the Indiana Hospital for the Insane, and also to make such improvements upon and about said grounds as they may think expedient and proper."" To fund the construction, an appropriate of $15,000 was approved ""for the purpose of defraying the expenses incurred under the provisions of this act.""
On May 5, 1846 a contract to begin the construction of ""Old Main"" (Men's Department Building, razed in 1941) was authorized and on November 21, 1848 the first five patients were admitted. Thus Central State Hospital was born. The hospital served the entire state until 1905, by which time additional hospitals had been constructed in Evansville, Logansport, Madison, and Richmond leaving Central State with patients from 38 counties in central Indiana.
The hospital grew to include the massive Seven Steeples building (Women's Department), a farm colony, a Pathology Building for the study and teaching of mental illnesses, and well manicured gardens and fountains. At its peak, the hospital accommodated over 2,500 patients.
With the construction of other mental health facilities the official hospital name changed around 1889 to Central Indiana State Hospital for the Insane to reflect its geographic location in relation to the others. This period is marked by positive change brought about by Superintendent George Edenharter. One of the first pathology laboratories in the nation opened under his leadership in 1896. This state of the art teaching and research facility included a lecture amphitheater, autopsy room, photography room, library, anatomical museum, and research laboratories.
Criminology also made significant strides at the hospital under the direction of Dr. Max Bahr. Bahr’s research focused on the link between crime and mental illness. He developed some of the first forensic psychiatry courses for American lawyers. During his tenure the name of the hospital changed to Central State Hospital (CSH) in 1926.
The pathology department would gain international renown in 1931 when Dr. Walter Bruetsch made significant discoveries in the treatment of syphilis. He discovered that malaria triggered the production of white blood cells that consumed both syphilis and malaria. Prior to his discovery, syphilis had been the largest cause of mental illness. This major breakthrough made significant headway in treating syphilis until the advent of penicillin.
Allegations of abuse & poor living condition concluded that “Over time the abuse cited included unclean rooms, physical and verbal abuse of patients, patient suicides, inadequate nursing staff, too few psychiatrists, beatings, poor administration, patients dying in accidents, rapes, infestation of rats, and patients lying naked amongst their excrement.” In a 1949 Indianapolis Times article entitled “Legislators Walk Among the Living Dead at Central State,” state representatives toured the hospital, describing patients as “skeletonic. Some lie in shapeless lumps under thin, dirty blankets.” The newspaper reported gruesomely that “Some on the tour suggested the infirmaries smelled worse than the Dachau concentration camp near Munich, but having smelled Dachau, too, I can point out one principal difference. The inmates of Dachau were liberated.”
In 1968, the Indianapolis News published a series of articles detailing the hospital’s unsanitary conditions, inspiring multiple former patients and their relatives to report neglect. They claimed they were unable to see a doctor for as long as six months due to personnel shortage. Incidents of neglect occurred into the 1990s, when the drowning of a patient contributed to the hospital’s eventual closing.
By the early 1970s, mоst оf the hospital's ostentatious, Victorian-era buildings were declared unsound аnd razed. The Men's Department Building (a Kirkbride) hаd been demolished іn 1941. Іn theіr place, the state constructed brick buildings оf а nondescript, institutional genre. These modern buildings аnd the medical staff therein continued tо serve the state's mentally ill, until allegations оf patient abuse аnd funding troubles sparked аn effort tо forge new alternatives tо institutionalization which, іn turn, led tо the hospital's closure.
On June 30, 1994 Central State Hospital officially closed its doors after 148 years of service. The State used the land for a variety of purposes for the next decade, including a location for the American Red Cross and the State motor vehicle pool. The old Pathology building was restored and is used as the Indiana Medical History Museum, while a new fire station was constructed along Washington Street. In 2003, the City of Indianapolis purchased the site from the State. The Kirkbrides were demolished many years ago.
As of October, 2015 all of the patient buildings that remained have been demolished and only a handful of older buildings on the westside of the property remain. The administration building is being refurbished for housing and the medical museum remains as well.
As of September 2020 The Unmarked graves on the northwest corner of the property are currently being mapped,through a joint effort between the Indiana Medical History Museum and archaeology students from Ball state university. This effort is a challenge due to a lack of any known burial records.
Main Image Gallery: Central Indiana State Hospital
Indiana Medical History Museum
(Former Pathology Building)
3270 Kirkbride Way
Indianapolis, IN 46222
(317)635-7329
Museum website
The cemetery is on the hospital grounds, and is in 4 sections in the northwest section of the property. Burials dating back to the 1st burial on September 1855, and the last in September 1947. The number of graves is estimated to be around 4,000. There are no markers & records are incomplete. There is currently an effort between The Indiana Medical History Museum and Archaeology students from Ball State University to map and mark all the graves at the cemetery site.
Central State:Asylum for the Insane (2006)",1994,"Indianapolis, IN",,"2,528 in 1950",1848,1994,,,2500,0
Indiana,Central State Hospital Farm Colony,https://www.asylumprojects.org/index.php?title=Central_State_Hospital_Farm_Colony,,,1938 (State Operated),Demolished,Cottage Plan,,Marion County Poor Farm,"In the early 1930’s efforts were made to transfer the Marion County poor farm to the state as part of a deal which involved the Julietta County Insane Hospital. The legislation to make this plan a reality was initially proposed in 1931, although political maneuvering and other delays prevented the transfer until a law was finally passed in 1937, and the 21st and Tibbs Marion County Poor Farm was transferred to the state in 1938. The now former Marion County Poor Farm location continued to be operated by Central State under the designation of the Central State Farm Colony.
An investigation by the Indianapolis News revealed the terrible conditions at the farm colony, in addition to the main Central State campus in early 1968. Reporter Skip Hess visited both locations and reported that rats and cockroaches were infesting both Central State locations, with these creatures roaming the kitchen and wards, both during the day and night. 1968 proved to be a significant year for the former poor farm, now farm colony, as the state moved to close the facility, and deeded the land back to Marion County on October 7, 1968.",1968,"Indianapolis, IN",,,[1938],[1968],[None],[None],[None],0
Indiana,Evansville State Hospital,https://www.asylumprojects.org/index.php?title=Evansville_State_Hospital,,1888,1890,Demolished (Original)Active,Pavilion Plan (Radial),,Woodmere Asylum | Southern Indiana Hospital for the Insane,"In 1883, Indiana's Legislature authorized funding for the construction of a new facility in Evansville to treat mentally ill patients. A secluded, densely wooded farm on Newburgh Road (now Lincoln Avenue), then three miles outside of the city, was selected as the site, and on Oct. 30, 1890, the new hospital admitted its first two patients. Known in its early years as Woodmere (""tranquility in the forest"") The hospital was built on 160 acres of land on Newburgh Road, now known as Lincoln Avenue, between Evansville and Newburgh. The campus quickly expanded, eventually holding nearly 900 acres of what is now the East Side of Evansville, including the land eventually repurposed for Robert Stadium, St. Mary’s Medical Center and Wesselman’s Woods Nature Preserve. Using patient labor, the hospital staffed a working farm, including dairy cows, poultry and an orchard.
A general treatment facility with a long, rich history. Also referred to as ""Woodmere"", Evansville provided solitude and peace for mentally-ill patients. While Central State Hospital was a progressive force in scientific medicine in the early 20th century, Evansville remained largely a custodial institution. On February 9, 1943, a fire set by an attendant destroyed much of the original building, leaving at least two staff members dead and six patients missing. It was replaced later that year by a ""U"" shaped building, referred to as the Continuing Treatment Unit. By the late 1990s a new facility was being built & all the old structures were demolished by 2008. The hospital continues to serve southwestern Indiana in it's new facility.
Main Image Gallery: Evansville State Hospital",,"Evansville, IN",Gothic Revival,"1,500 est. in 1954",1890,,,,,0
Indiana,Hospital for Insane Criminals,https://www.asylumprojects.org/index.php?title=Hospital_for_Insane_Criminals,1909.0,1910,1912,Demolished,Single Building,,Indiana Hospital for Insane Criminals,"The Indiana Hospital for Insane Criminals was built in the year 1910, entirely by prison labor. It is located in a plot of ground comprising four acres adjacent to the Indiana State Prison. It is surrounded by a brick wall twenty-four feet in height. The building is three stories high, built in the form of a Y. There are thirty-two private rooms on each floor. This particular model of architecture was carried out so that the supervisor on each floor could at all times have
a view of two day rooms, halls, dormitories and dining rooms, from any front location. It is at once apparent to the visitor that the institution partakes of the character of a hospital and a prison. It is equipped with offices, a hydrotherapy, a surgery, a drug room, and a psychological laboratory. All the windows have. bars of the outside basket variety. It was constructed with a view in mind to prevent escapes of the patients. The interior of the building is furnished entirely in terrazzo and this finish makes it very easy for the institution to be kept scrupulously clean.
The institution is under the same Board of Control and Management as the prison, but it is an entirely separate institution. Its medical administration is governed by a medical director who conducts its internal affairs. The attendants of this hospital are men who have had experience as prison guards and as attendants in hospitals for the insane. The wages they receive are about twice the amount of remuneration ordinarily paid this class of help in hospitals for the insane. This enables the administration to secure a better class of attendants than usual.
Discipline is entirely different from that of the prison and conforms to the ordinary ideals of hospital government. Owing to the fact that the majority of the patients have served sentences in prison, their conduct in many respects is more orderly and regular than in civilian hospitals; kindness, gentleness and firmness is the triad of qualifications that make for discipline. An endeavor is made to have the patients understand that they are in a hospital and not a prison. In the day rooms they are allowed books from the library; they have games and musical instruments for their entertainment. They are afforded recreation"" outside the building in the form of ordinary field sports, as baseball, basketball and intensive gardening.
Paul E. Bowers, Dangerous Insane, 12 J. Am. Inst. Crim. L. & Criminology 369 (May 1921 to February 1922)
The prison in Michigan City was established in 1860, but in 1909 the state decided it need separate housing for those ""criminally insane"" at Logansport & Central State Hospitals. In 1910 a new building was opened to house those inmates, it could house up to 180 inmates/patients. The inmates were transferred in 1954 to the newly opened Maximum Security Division of the Dr. Norman M. Beatty Memorial Hospital at Westville. The buildings have since been demolished but remains a prison today.
Main Image Gallery: Hospital for Insane Criminals",1945,"Michigan City, IN",,,1910,1954,,,180,0
Indiana,Larue D. Carter Memorial Hospital,https://www.asylumprojects.org/index.php?title=Larue_D._Carter_Memorial_Hospital,,1948,1952,Demolished,Single Building,,,"After World War 2, the state of Indiana decided it needed a separate facility for with children with psychological illnesses. The hospital was built at the Indiana University School of Medicine near downtown Indianapolis at 1350 West 10th Street for $4,700,000. Construction began in January 1948, with the first patients admitted in July 1952. In later years also housed adults to ease overcrowding at Central State Hospital several miles away. Through the late 1970's the hospital came under scrutiny for patient abuse complaints, it remained open however.  During its tenure, the hospital saw the advent of many new drugs that completely changed the way the mentally ill were medically treated. Soon after the facility opened, thorazine and reserpine came into use. Other aspects of mental health emerged and staff at Larue Carter participated in pioneering research projects that studied autism.
The hospital moved from its previous location in 1996 to the now former Veterans Administration building on Cold Spring Rd. Indiana University demolished the building to make way for the new Sidney & Lois Eskenazi Hospital. As of December 2020 the Cold Spring location is now closed, having its patients transferred to the new ""Neuro-Diagnostic Institute"" on the East side of Indianapolis in spring of 2019.",2020,"Indianapolis, IN",,,1952,2020,,,,0
Indiana,Logansport State Hospital,https://www.asylumprojects.org/index.php?title=Logansport_State_Hospital,,1884,1888,Active,Cottage Plan,,Longcliffe Asylum | Northern Indiana State Hospital for the Insane,"In 1883 discussions were made concerning opening a state hospital since the state's only mental facility in Indianapolis had become overcrowded. A 160 acre farm was purchased in October 1883 and an additional 121 adjoining acres were donated by the citizens of Cass County. Plans & specifications were submitted May 26, 1884. In the next year the Administration building, a 3-story structure of Victorian architecture was built at the center of the ridge (cliff) in the maple grove. For the next 70 years east & west from the Administration building were to be erected 5 pavilions (wards) arranged in a straight line with fifty feet separation. In the rear of the center buildings was a building to be known as Rear Center. It was designed for offices, assembly room & employees' quarters. Still father to the south was the boiler house, pump house & laundry. A spur of the Terre Haute & Logansport Railroad entered the grounds for rail deliveries.
Only four ward buildings were built on either side of the Administration building. To the east 1-2, 5, 6 & 8-9 for women; A-B, E, F-G, & H-I to the west for men.
Joseph G. Rogers, M.D., was employed by the Board of Commissioners as Medical Superintendent. Dr. Rogers designed the ward buildings and their location. The Rogers family lived on the 2nd floor of the Administration building. The asylum opened its doors to the first patients on July 1, 1888. By the end of the year 309 patients were admitted, 17 of whom were released or died, patient census was 292.
In the 1890s, new admissions averaged 190 persons per year, with 109 discharges & 44 deaths. New ward & service buildings, maintenance repairs, remodeling & ground work were needed. An assembly hall (later chapel) was completed in 1893 at a cost of $10,000. Activities & church services were held there until the 1950s. Within the original Rear Center buildings, the assembly & sewing rooms were combined into the central dining rooms. As the census rose, the need for more beds became more critical. An annex was built to the 2 terminal buildings known as 8-9 & H-I. Ward buildings 3-4 & C-D were finished in 1900.
Medical superintendents Rogers, Terflinger, Dodds & Williams were the administrative officers covering 45 years. Their leadership guided the hospital through some difficult times. Some problems were: inadequate funding, high admission rate & low discharge rate, need for new wards, deteriorated conditions of existing buildings & equipment, new therapies, World War 1, & in the 1930s the depression.
Census in 1910 was 1,001 present; 1,105 enrolled; up 360 from the decade before. Wards 3-4, C-D, the ""tent colony"", ward 10-11 & K were completed.
Throughout the years, farming, livestock & gardening were most important. Cattle, pigs, chickens, turkeys, rabbits & ducks were sources of meat. In early years the ice house was filled each winter with ice cut from the pond on the hospital grounds. A cannery, using patient labor, preserved fruits & vegetables. A root house held potatoes.
The 1910s began with the hospital being overcrowded (2 beds in 1 bed rooms) & caused suspended admission applications. The hospital needed the following: pathology building, open air colony, more land, surgical addition, spiral fire escapes, better phone system & cover for water reservoirs.
Admissions averaging 250 patients per year balanced out discharges & deaths. 89 patients were transferred to Richmond State Hospital in 1911. The assembly Hall was unsafe, the Pathology building was completed & wings were added to the Rear Center building.
Records indicate there were 270 employees in the 1910s. The records also show: the great flood of 1913 caused limited damage to the hospital, Wasserman test developed & used at the hospital, hospital still overcrowded, water being pumped from the Wabash River instead of contaminated wells, fire damaged Ward 4, 25th anniversary of the hospital, eugenics study began.
World War 1 years were difficult for employees and employees. Treatment programs, medical care & everyday services were reduced as male attendants & officers went into military service.
The 1925 statistical reports indicate 1,196 patients present, 217 admissions, 87 discharges & 100 deaths. Additions included a new root cellar, southwest road & stone bridge. Additions to the 6th & 7th wards, radiators placed in attendants' rooms, new operating room in addtion to the 3rd ward.
Building construction in the late 1920s included: Men's infirmary & Officer's cottages in 1926 & the women's infirmary in 1928. Total acreage was 807 after the purchase of 2 farms. The first canteen was opened in 1928. Occupational Therapy for females, radios were installed throughout the hospital created L ward in the basement of the men's infirmary & created hydro & electro-therapy departments in 1929.
By an act of the State Legislature of Indiana in 1927, the name of the hospital was changed from Northern Indiana Hospital for the Insane to Logansport State Hospital. The decade ended with 1,389 patients and 166 employees.
The 1930s began with: overcrowding, ward building construction urgent repairs needed, dependence on farm & dairy for supplies & depressed economy. Dr. C.L. Williams began his superintendency in 1933 & completed it in 1945. Emphasis in the '30s was on rehabilitation of water lines; medical research; improving patient services; updating heating, plumbing, electrical & telephone systems; and starting a social work department. In the mid-1930s the Works Progress Administration (WPA) allocated federal funds for re-roofing, opening a quarry, reconstruction of the stone driveways & concrete work.
A women's treatment ward building, known as 14-15, later as inactive TB, then Gray 5 & 8 (Isaac Ray after 1979) was completed in 1932 for $189,000. A series of buildings was financed 55% state, 45% federal. These buildings in the late 1930's were: Men's treatment ward known as M-O & camp, later female treatment on M, Violet & Orange (adolescents and mentally retarded) opened at a cost of $250,000. The Camp ward barracks, housing working male patients since 1907, was razed soon after and the men moved into the lower floor of M-O. this building was located on the far west end of the original line of buildings on the ridge. M-s (medical-surgical) valued at $450,000, was located northeast of the Administration building and opened in 1939. M-S has housed new admissions, TB & geriatric patients, hospital wards, psychology, social service, doctor's offices, X-ray, EEG & EKG, dental, central supply, medical records, hydrotherapy & the morgue.
The same funding formula was used to construct 3 buildings, 2 as wards & 1 for personnel. Wards 16-17 (known as old person's ward, inactive TB then Gray 6-7) opened in 1940 as did wards R-S (later known as Admissions-Treatment). Those buildings were nearly identical in design & total cost for each was $225,000. Several services were reconstructed. Laboratory progressed from being a rodent-proof morgue in 1891 to a more well-equipped lab in 1939 in the new M-S building. Hydrotherapy was conducted in its own department rather then on the wards and photographing of patients began in 1934. The 50th Anniversary on July 1, 1938 observed 5 decades of services to the needs of mentally ill.
Dr. C.L. Williams was responsible for guiding the hospital through the depression and war years. His administration was marked by a total approach since he recognized that no one service was more important than another. A Department of Nursing was organized in 1940 with Miss Roth as director. The first consideration was the mental & physical care and comfort of the patient. Music & work therapy positions were new specialties to the psychiatric setting. Special programs for the alcoholic and sexual deviant were initiated. Several specialists in psycho-surgery were added to staff. Use of the farms was increased and put into full production.
In the early 1940s, personnel problems were created by the National Defense Program. In the all out war effort before & into the World War 2 years, the increase of wages and the creation of new positions in industry resulted in large numbers of employees leaving state employment. The hospital was not fully staffed for several years. War economy resulted in less maintenance & repair parts were not available.
In 1941 the Hilltop Herald, the hospital newspaper, began publication. A new canning plant was built in 1942. The nursing Service had 57 women attendants & 61 male attendants. The Assembly Hall built in 1893 was now 50 years old and despite having been condemned in 1918, was still in constant use. On February 10, 1943 400 patients from Evansville State Hospital arrived by train after a 5 day trip. They were held at Logansport due to a large fire at Evansville.
In the mid-1940's annual reports always included superintendents' recommendation for a new northern Indiana state hospital to lessen the overcrowding at Logansport. Beatty Memorial Hospital (Westville State Hospital) opened in 1952. One report states 2 physicians were on duty when the census was 2,229 patients. Occasionally for 2 to 7 wards, there were no night attendants. Selected female patients would watch over those wards when needed.
The 1940s ended with these recommendations: tuberculosis cases need to be segregated; improved fire protection; new building & refrigeration units were needed; 1919 boilers; Assembly Hall & all 1887 ward buildings should be replaced; and new employee cottages were needed.
John A. Larson, M.D. was superintendent as the 1950s began. The challenge was to turn the hospital from a custodial institution into a psychiatric center using an active treatment program. In revolutionizing policy, he reorganized wards into treatment centers. Screening, identifying type & stage of disease, surgical services, consulting services, hydrotherapy, trained volunteers assigned to wards to relieve staff for patient therapy, dental surveys and a nurses training center were innovative for his day.
Life magazine in 1951 alleged ""Longcliff's use of cuffs, muff, camisoles and straight jackets without authorization; confinement meant, for most patients, a life sentence until malnutrition, TB, abuse and neglect finished the inmate off."" Backed by the governor and an emergency grant of funds, the turnaround was indicated by 10 full-time physicians, consulting specialists, student nurse program, an 8-hour shift & 50% more attendants. In 1951 the hospital was awarded second place by the American Psychiatric Association for the progress made.
During the 1950s changes included Insulin therapy, enlarged alcoholic treatment program, increased use of ECT, new Red Cross volunteer program & a new ward for TB patients. The hospital also received funds for a 40-hour work week. The First annual carnival in 1952 was an employee-sponsored event for patients. Horse shows were enjoyed in the mid-1950s as were the annual flower shows & occupational therapy exhibits.
Construction projects in this decade were refrigeration & storage building in 1952, Rogers Hall and the 180' power plant chimney both in 1956. Contracts were approved for 4 additional cottages. The hospital reached its peak patient population in 1954 with 2,448 patients present, 100 were transferred that year to Beatty Memorial. WLCF, the hospital TV station, began limited televising in 1959.
Priorities into the 1960s included: chapel with recreational & occupational therapy; receiving building for acute, intensive treatment, medical services. One 1960 editorial read ""Logansport State Hospital for years has been recognized as Indiana's leading mental hospital, not because it has had the largest number of patients, but because it has had progressive leadership and a capable, dedicated staff."" The 1960s began with a census of 2,200 patients and ended the decade at less then 1,400.
The 1913 outdoor swimming pool was located in 1960 after 45 years under weeds and debris. The pool was reconstructed and continued to be used until the late 1980s. The Activity Therapy building opened in June 1963 and Ward Building 1-2 reconstruction was completed in 1965. Institutional workers had a salary range from $175 to $215 per month in 1963. Psychiatric attendants were paid $205 a month.
Admissions in 1962 were at 1,400 but dropped to 800 8 years later. The number of children however increased from 30 in 1962 to 86 in 1966 showing a need for a children's unit. Nearing the end of the 1960s two developments occurred. First, Superintendent Fogel was notified that the hospital's 920 acre farming operation was to be terminated by March 1968. The second development was the hospital's reorganization into the Unit System. By April 1968 all patients from the same county were assigned to the same unit or grouping of wards. The movement was away from the assignment by diagnosis or custody.
The 1970s began with administration stressing ""management by objectives."" Individual employees and supervisors planned, agreed upon and wrote the results to be accomplished by a given date. Patient census was to be reduced to 1,360 by 1973. Ten year (1973-1983) objectives guided the hospital, employees and patient care programs. The role of the hospital was changing with the coming of several comprehensive mental health centers. Logansport was no longer the center of the catchment area. Redistricting occurred later in the 1970s. A new laundry facility was completed in 1977 & Gray 5-8 was converted into a forensic unit in 1979. Beatty Memorial Hospital (Westville State Hospital) changed over to a prison in 1979, this resulted in the new forensic unit and an increase in admissions from northwest Indiana.
A new food service facility began to take shape in 1980 on site of the former men's infirmary & L ward. Centralized food preparation, 2 cafeterias & service to 9 satellite kitchens provided better conditions. On June 14, 1980, a fire destroyed the kitchen area that had been used for many years and was about to be closed. Throughout the 1980s several wards buildings were renamed & upgraded.
In 1994 Central State Hospital in Indianapolis was closed, this led to an increase of patients and funds being allocated for more upgrades. Demolition of older unused ward buildings started around 200 and continued after the new Isaac Ray Treatment Center opened. Today only a few of the older buildings, including the original Administration Building still stand.
Main Image Gallery: Logansport State Hospital
The Old Longcliff Cemetery was to the south near the hospital, but now can not be located being abandoned in 1891. The cemetery moved to its present location after 1891 and contained burials through the 1950's. It is not in use today.
Logansport State Hospital Museum
1098 S. State Road 25
Logansport, Indiana
Group tours by appointment
Website",,"Logansport, IN",,"2,558 in 1954",1888,,,,2448,0
Indiana,Madison State Hospital,https://www.asylumprojects.org/index.php?title=Madison_State_Hospital,,1907,1910,Active,Cottage Plan,,Southeastern Indiana Hospital for the Insane | Southeast Regional Treatment Center,"On Feb. 21, 1905, the Indiana legislature passed a bill to construct a mental institution in southeastern Indiana. A commission named for the purpose chose Madison as the site of the institution. It was built mostly on land purchased from Henry and Ford Hitz at $100 per acre, atop the hills overlooking the Ohio River. The first patients were accepted at the new Southeastern Indiana Hospital for the Insane on Aug. 23, 1910. The approximately 600 patients were transported here from Central State Hospital in Indianapolis by train. Guards who stood watch over them carried shotguns loaded with rock salt.
There were 30 two-story buildings with 20 to 70 beds each to house the patients, with the buildings being placed in a symmetrical pattern with administration and service buildings in between. Men’s buildings were on one side of the grounds, women’s buildings on the other. Heretofore, mental patients had been “warehoused” in huge buildings. But the new, enlightened view of “moral treatment” current in the early 20th century was that disturbed minds could be restored to sanity in a beautiful, peaceful and accepting environment such as the new state hospital offered, with its breathtaking view of the Ohio River Valley. The breaking up of the patients’ housing into smaller buildings, known as the cottage plan, also was aimed at more humane treatment of the mentally ill and at trying to restore them to sanity.
The name of the new institution was changed to Madison State Hospital in 1927. But from its earliest days, the institution came to be known locally as “Cragmont,” a nickname that died out only in recent years. Brains of long-deceased patients, which were studied after the patients’ deaths as part of the research into the disease, are preserved at the museum. Other studies were done of criminal sexual psychopaths, and of the results of the abuse of drugs and alcohol. Involved in the various studies were such physicians as Dr. George Zirkle, Dr. Peter King and Dr. Ott B. McAtee, who was the superintendent for many years. Among the buildings that pre-date the establishment of the state hospital, the gatehouse is one of the very few that have survived. The stone portion in front dates to the 1840s; the rear part, to 1926.
Shortages of money became a problem in the 1930s during the Great Depression. The staff-to-patient ratio suffered a tremendous imbalance, with 110 attendants caring for 1,585 patients. As a result, some treatments, such as shock and hydro therapy, could not be given because of high costs. Many patients were staying at the hospital longer than necessary as a way of keeping it operating to meet state funding requirements. Administrative changes also had an impact on the facility. During the 1940s, the hospital saw five different superintendents. By the late 1950s, the patient population began to decline rapidly, partly due to new medications & treatments. Today, there are  approximately 100 patients, divided into 8 different units.
Main Image Gallery: Madison State Hospital
There is a small cemetery on the property that holds 300-400 graves, only 17 have markers with names.",,"Madison, IN",,"2,000 est. in 1955",1910,,,1585,1585,0
Indiana,NeuroDiagnostic Institute,https://www.asylumprojects.org/index.php?title=NeuroDiagnostic_Institute,,,2019,Active,Single Building,,,"The NeuroDiagnostic Institute and Advanced Treatment Center opened on March 15, 2019, as the newest addition to the Indiana state psychiatric hospital network. Co-located on the campus of Community Hospital East, the NDI is a cutting-edge institute that delivers expert neuro-diagnostic evaluations and treatment for patients upon their arrival and move them more efficiently and effectively into the most appropriate treatment settings within the state’s mental health system.",,"Indianapolis, IN",,,2019,,,,,0
Indiana,Norman Beatty Mental Hospital,https://www.asylumprojects.org/index.php?title=Norman_Beatty_Mental_Hospital,1945.0,1946,1951,Active,Cottage Plan,,Northern Indiana Hospital | Westville Correctional Facility (current),"Dedicated in 1949 at Westville, LaPorte County, the hospital’s civil division began admitting patients from 17 counties in northern Indiana in 1951.  The maximum security division opened in 1954, replacing the old Hospital for Insane Criminals at the Indiana State Prison.  This division served the criminally insane from the entire state. At one point, the mental sanitarium housed as many as 1,750 patients spanning from age 6 to 80 and included both minimum and maximum security units. The property boasted a school, as well as prior amenities such as a bowling alley, beauty shop and solarium.
Beatty Hospital was converted in 1979 into the Westville Correctional Center.  Patients from the civil division were transferred to other mental health hospitals.  A total of 18,799 patients were admitted between 1951 and 1979. It is in the process of conversion to high security facilities for prisoners needing psychiatric help.",,"Westville, IN",,,1949,1979,,18799,1750,0
Indiana,Richmond State Hospital,https://www.asylumprojects.org/index.php?title=Richmond_State_Hospital,,1884,1890,Active,Cottage Plan,,East Haven Asylum | Eastern Indiana State Hospital for the Insane,"The site for the Eastern Indiana Hospital for the Insane, now known as Richmond State Hospital, of approximately 307 acres, was purchased in 1878. Construction started in 1884 and was completed in 1890. While the Indiana legislature had authorized the establishment of a ""hospital for the insane"" as early as 1827, the doors of the Indiana Hospital for the Insane (later re-named Central State Hospital) did not open until 1848.
At Richmond, between 1887 and 1890, three of the completed buildings were occupied by ""The School for Feeble Minded Youth."" In 1890, these patients were transferred to what is now known as the Fort Wayne Developmental Center. The buildings were refurbished and the hospital formally opened on July 29, 1890, with the first patient admitted on August 4, 1890.
The hospital buildings were constructed on the cottage plan in order to prevent any ""disastrous conflagration,"" and provide for immediate evacuation of a small number of persons in case of fire. There are many interesting architectural details in the older buildings, including exterior cupolas, interior detailing such as intricate railings and stained glass.
Although the general layout followed the cottage plan, the main administration building with adjacent buildings extending like wings is very similar to the Kirkbride plan which was the model for many asylums constructed during this era. The Hospital has had a number of names through the years, including East Indiana Asylum for the Insane, East Indiana Hospital for the Insane and finally Richmond State Hospital. Although it was never an official name, it was long referred to as ""East Haven.""
In 1911, the Colony Act was passed and additional acreage was purchased to allow patients to work the farmlands. Richmond was selected to be the parent institution for this type of treatment. The five farms acquired were christened ""Wayne Farms."" The local arboretum furnished the names: Cedar, Maple, Pine, etc. Male patients with a agricultural background were placed in the colonies. Their productive efforts were realized in many ways, but specifically through ribbons and prizes received from the exhibits of cattle and farm products at the Wayne County Fair as well as the Indiana State Fair. On May 16, 1927, the hospital's name was changed from Eastern Indiana Hospital for the Insane to Richmond State Hospital.
Located on the grounds is the Klepfer All Faiths Chapel. Financed entirely by donations from the community, the chapel was named in honor of Dr. Jefferson Klepfer, M.D., who served as superintendent from 1953 to 1976.
To better serve the patients who require continued treatment the hospital has programs geared to the needs of individuals with persistent and severe mental disorders and the older person with mental illness. Richmond State Hospital provides services to patients from the Community Mental Health Centers in East Central and Northeast Indiana. Many patients come from larger urban settings, but many of the patients continue to be from small rural communities.
Two of the newer buildings that comprise Richmond State Hospital are the 192-bed Residential Treatment Center and the food Preparation Center. Both were completed in 1991. all of the hospital building are on a 120-acre campus that has been developed into a park-like setting with beautiful trees, shrubs, copious flower beds and a pond. After more than 100 years of providing mental health services, Richmond State Hospital continues the commitment to meet the needs of our changing population. The primary goal of the hospital continues to be to plan for and, in cooperation with other care providers, develop and deliver a comprehensive and integrated system of mental health services of superior quality.
Main Image Gallery: Richmond State Hospital
Tours are offered January thourgh October. To schedule a tour call Community Relations at:
765-935-9218
498 Northwest 18th Street
Richmond, IN 47374
Hospital website",,"Richmond, IN",,"2,200 in 1955",1890,,192,,,0
