State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population,year_opened_LLM,year_closed_LLM,number_of_beds_LLM,number_of_patients_LLM,peak_patient_population_LLM,hand_check_flag_LLM
Maine,Augusta State Hospital,https://www.asylumprojects.org/index.php?title=Augusta_State_Hospital,1830.0,1835.0,1840.0,Preserved,Corridor Plan/Pre-1854 Plans,John D. Lord (main building),Maine Insane Hospital | Augusta Mental Health Institute,"Mrs. Catherine Winslow, the first woman employed at the Maine Insane Hospital, was appointed matron when the asylum opened in 1840. The asylum was the product of a collaborative effort between the state and two private citizens, Reuel Williams of Augusta (married to Sarah Cony) and Benjamin Brown of Vassalborough. While early mental health institutions may fall far short of present-day standards for treatment for mental illness, the establishment of such places in the early nineteenth century was based, in part, on reforming care for the mentally ill.
Prior to mental health hospitals, the mentally ill were the responsibility of their families, and if their families could not cope, they were either put in poor houses, put out on the streets, or locked away in jail. Mental health reformer Dorothea Dix (1802-1887), a native of Hampden, Maine, worked closely with the second superintendent of the Augusta asylum, Issac Ray (appointed in 1841). The building was state-of-the-art when constructed. All parts had ventilation, lighting, heating, and water. Men and women had separate wings.
Over its 162 years of service, the hospital has carried a number of names and today it is called the Augusta Mental Health Institute. Many buildings on the campus now serve as state offices. A new hospital,Riverview Psychiatric Center, was opened in 2004 to replace the facility.
1830: Ten years after Maine becomes a state, Gov. Jonathan Hunton calls for care of ""numerous cases of lunacy""; survey by Dr. Tobias Purinton of Danville finds 562 mentally ill people in Maine, or about one in every 300 residents.
1834: Legislature appropriates $20,000 to establish state's first insane hospital; Reuel Williams of Augusta, a future U.S. senator, and Benjamin Brown Jr. of Vassalboro each donate $10,000 to the effort; both have mentally ill family members.
1835: State buys 35-acre site for hospital on Kennebec River in Augusta, directly across from the State House; it's modeled after State Lunatic Hospital in Worcester, Mass., and built of Hallowell granite; famed Mainer Dorothea Dix, an early mental health advocate, consults on the project.
1840: Maine Insane Hospital opens in Augusta to serve 120 patients; they come from across Maine, brought by family members and overseers of poorhouses, where some were kept in chains or cages; symptoms include mania, melancholy, masturbation and ""faked voices.""
1850: Fire guts half of hospital, killing 27 patients and one staff member; new wings, buildings and parcels of land are added through the 1980s, growing the campus to more than 800 acres, including 600 acres of farmland that produced tons of food and employed hundreds of patients.
1901: Eastern Maine Insane Hospital -- today's Dorothea Dix Psychiatric Center -- opens in Bangor, immediately taking 145 patients from Maine Insane Hospital; in 1913, both are renamed, becoming Augusta State Hospital and Bangor State Hospital.
1930s: Hydro and radiant-heat therapies are introduced, followed by electroconvulsive and insulin-shock treatments in the 1940s, Thorazine therapy in the 1950s and lithium therapy in the 1960s.
1940s/50s: Patient population peaks at 1,837 and stays 30 percent beyond capacity despite construction of several new buildings; staff introduces group therapy; hospital opens first community mental health center in Lewiston.
1960s: Hospital begins treating substance abuse and addiction; patients become eligible for Medicaid and Social Security benefits.
1970s: Consent decree eliminates unpaid patient labor at what is now Augusta Mental Health Institute; adolescent unit opens; growing emphasis on ""deinstitutionalization"" and community mental health services; average daily population drops from 1,500 to 350.
1988: Five patients at AMHI die during summer heat wave; mental health advocates bring class-action lawsuit against hospital and state.
1990: Consent decree orders state to address crowding and care problems at AMHI and improve community mental health programs by 1995; lack of funding and controversy lead to continued delays and repeated contempt orders through 2001.
2000: Legislature appropriates $33 million to build new hospital; four years later, 92-bed Riverview Psychiatric Center opens on hospital grounds and AMHI closes; court lifts active supervision of Riverview in 2011.
Main Image Gallery: Augusta State Hospital
Researchers found 11,647 names of patients who died on the premises. In the early days, hospital staff would simply note in a daily journal that a certain patient had ""passed away in the night."" Of the estimated 45,000 people who were admitted to AMHI from 1840 to 2004, nearly one-quarter died at the hospital, according to a Maine Cemetery Project report. Some of the 11,647 patients who died at AMHI were returned to their families and buried in hometown cemetery plots. However, the lack of records leaves open the possibility that some were buried in unmarked graves on the hospital campus or in paupers' graves across Maine.",2004.0,"Augusta, ME",Greek Revival & Italianate,"1,837",1840,2004,92,45000,1837,0
Maine,Bangor State Hospital,https://www.asylumprojects.org/index.php?title=Bangor_State_Hospital,,1895.0,,Active,Pavilion Plan,,Eastern Maine Insane Hospital | Bangor Mental Health Institute | Dorothea Dix Psychiatric Center,"From the hospital's official state web page:
The Eastern Maine Insane Hospital was opened on July 1, 1901. It was built on a pastoral hill named 'Hepatica Hill' for its flowers overlooking the city of Bangor and the Penobscot River. Pine trees were planted around all of the driveways on the campus and have since grown to enormous sizes.
Within five days of opening in 1901, 145 patients were transferred from the Maine Insane Hospital in Augusta to the Bangor location. Patients were generally committed to the hospital by their community peers, such as town selectmen, family, etc.
Patients worked the fields, raised livestock, manned the laundry, sewing room and kitchen as part of their ""treatment."" This made the hospital self-sufficient and any excesses were sold at market to pay additional costs, until 1973 when the case of Sonder vs. Brennan went to court and it was determined that patients in public institutions could not work without being paid.
The name of the hospital changed in 1913 to Bangor State Hospital and then eventually to Bangor Mental Health Institute in the early 70's. The highest patient census was in 1970 with 1,200 patients; however, with a concerted downsizing effort in the 70's, the census fell to 470 in 1974. There were approximately 300 patients through much of the 80's.
Treatment for patients ranged from 'family' type care in the early 1900's to hydrotherapy and electrical therapies in the 1930's. The hydrotherapy and electrical therapies, however, were only used for a small number of patients. Most patients, who were thought to be incurable, received little specific treatment for their problems. New effective medications for mental illness became available in the mid 50's.
On August 26, 2005 BMHI name was changed to Dorothea Dix Psychiatric Center.
Main Image Gallery: Bangor State Hospital Image Gallery",,,,"1,200 in 1970",1901,,,,1200,0
Maine,Augusta State Hospital,https://www.asylumprojects.org/index.php?title=Riverview_Psychiatric_Center,1830.0,1835.0,1840.0,Preserved,Corridor Plan/Pre-1854 Plans,John D. Lord (main building),Maine Insane Hospital | Augusta Mental Health Institute,"Mrs. Catherine Winslow, the first woman employed at the Maine Insane Hospital, was appointed matron when the asylum opened in 1840. The asylum was the product of a collaborative effort between the state and two private citizens, Reuel Williams of Augusta (married to Sarah Cony) and Benjamin Brown of Vassalborough. While early mental health institutions may fall far short of present-day standards for treatment for mental illness, the establishment of such places in the early nineteenth century was based, in part, on reforming care for the mentally ill.
Prior to mental health hospitals, the mentally ill were the responsibility of their families, and if their families could not cope, they were either put in poor houses, put out on the streets, or locked away in jail. Mental health reformer Dorothea Dix (1802-1887), a native of Hampden, Maine, worked closely with the second superintendent of the Augusta asylum, Issac Ray (appointed in 1841). The building was state-of-the-art when constructed. All parts had ventilation, lighting, heating, and water. Men and women had separate wings.
Over its 162 years of service, the hospital has carried a number of names and today it is called the Augusta Mental Health Institute. Many buildings on the campus now serve as state offices. A new hospital,Riverview Psychiatric Center, was opened in 2004 to replace the facility.
1830: Ten years after Maine becomes a state, Gov. Jonathan Hunton calls for care of ""numerous cases of lunacy""; survey by Dr. Tobias Purinton of Danville finds 562 mentally ill people in Maine, or about one in every 300 residents.
1834: Legislature appropriates $20,000 to establish state's first insane hospital; Reuel Williams of Augusta, a future U.S. senator, and Benjamin Brown Jr. of Vassalboro each donate $10,000 to the effort; both have mentally ill family members.
1835: State buys 35-acre site for hospital on Kennebec River in Augusta, directly across from the State House; it's modeled after State Lunatic Hospital in Worcester, Mass., and built of Hallowell granite; famed Mainer Dorothea Dix, an early mental health advocate, consults on the project.
1840: Maine Insane Hospital opens in Augusta to serve 120 patients; they come from across Maine, brought by family members and overseers of poorhouses, where some were kept in chains or cages; symptoms include mania, melancholy, masturbation and ""faked voices.""
1850: Fire guts half of hospital, killing 27 patients and one staff member; new wings, buildings and parcels of land are added through the 1980s, growing the campus to more than 800 acres, including 600 acres of farmland that produced tons of food and employed hundreds of patients.
1901: Eastern Maine Insane Hospital -- today's Dorothea Dix Psychiatric Center -- opens in Bangor, immediately taking 145 patients from Maine Insane Hospital; in 1913, both are renamed, becoming Augusta State Hospital and Bangor State Hospital.
1930s: Hydro and radiant-heat therapies are introduced, followed by electroconvulsive and insulin-shock treatments in the 1940s, Thorazine therapy in the 1950s and lithium therapy in the 1960s.
1940s/50s: Patient population peaks at 1,837 and stays 30 percent beyond capacity despite construction of several new buildings; staff introduces group therapy; hospital opens first community mental health center in Lewiston.
1960s: Hospital begins treating substance abuse and addiction; patients become eligible for Medicaid and Social Security benefits.
1970s: Consent decree eliminates unpaid patient labor at what is now Augusta Mental Health Institute; adolescent unit opens; growing emphasis on ""deinstitutionalization"" and community mental health services; average daily population drops from 1,500 to 350.
1988: Five patients at AMHI die during summer heat wave; mental health advocates bring class-action lawsuit against hospital and state.
1990: Consent decree orders state to address crowding and care problems at AMHI and improve community mental health programs by 1995; lack of funding and controversy lead to continued delays and repeated contempt orders through 2001.
2000: Legislature appropriates $33 million to build new hospital; four years later, 92-bed Riverview Psychiatric Center opens on hospital grounds and AMHI closes; court lifts active supervision of Riverview in 2011.
Main Image Gallery: Augusta State Hospital
Researchers found 11,647 names of patients who died on the premises. In the early days, hospital staff would simply note in a daily journal that a certain patient had ""passed away in the night."" Of the estimated 45,000 people who were admitted to AMHI from 1840 to 2004, nearly one-quarter died at the hospital, according to a Maine Cemetery Project report. Some of the 11,647 patients who died at AMHI were returned to their families and buried in hometown cemetery plots. However, the lack of records leaves open the possibility that some were buried in unmarked graves on the hospital campus or in paupers' graves across Maine.",2004.0,"Augusta, ME",Greek Revival & Italianate,"1,837",1840,2004,92,45000,1837,0
Maine,Maine School for Feeble Minded,https://www.asylumprojects.org/index.php?title=Maine_School_for_Feeble_Minded,1907.0,,1908.0,Closed,Cottage Plan,,Pownal State School | Pineland Hospital and Training Center | The Pineland Center,"From 1907 when the Maine Legislature decided to establish a school for ""idiotic and feeble-minded"" children until 1996 when that institution closed its doors, doctors, social workers, parents, legislators and community advocates discussed and debated the nature of the problem of developmental disabilities in children and adults and the best way for the state to care for those individuals. The enabling legislation passed in 1907 specified that the residents of the new facility would be between ages 3 and 21. When the Maine School for the Feeble-Minded opened, the ""patients"" lived at Hill Farm on the New Gloucester property. As the population of the facility grew rapidly, so did the building of large dormitories. Gray and Staples halls were the first dorms. Planners had thought residents would live in small units, but that was not practical due to the ever-growing number of residents.
The population grew rapidly for several reasons. First, some medical personnel and caregivers had a goal of sending all developmentally disabled persons to institutions. Also, judges sometimes send people to the facility because they were poor or orphans with no one to care for them. In one well-known case, the state removed residents of Malaga Island off Phippsburg from the island in 1912. Many of the residents were mixed race and some, when removed from the island, were sent to the Maine School for the Feeble-Minded. Graves in the cemetery at Malaga were dug up and reinterred at the Maine School for the Feeble-Minded cemetery.
At times the residents of the institution were largely forgotten by most people in Maine. At other times, they and the facility were closely scrutinized. The history of Pineland offers insights into Maine's treatment of persons with disabilities and a window into national movements and beliefs about such care over nearly a century. Further, the institution never kept to the original legislation specifying that it would serve those ages 3-21. Older persons were residents and few people left at any age, at least legally. Over the years, many residents escaped from the facility, some permanently.
The post World War I era changed ideas about care for persons with developmental issues -- in Maine and elsewhere. At the New Gloucester facility, a new superintendent, Dr. Stephen Vosburg, arrived in 1919. He brought with him new ideas about the facility's population and appropriate treatments. America viewed persons with developmental problems as potential criminals and dangerous to society. These ideas affected how communities and institutions dealt with persons with developmental disabilities. For example, many professionals believed that retardation was hereditary. The method to stop the ""spread"" of mental retardation was sterilization. It was an era of a belief in eugenics: selective human reproduction to ensure that the ""best"" people with the ""best"" genes reproduced -- and those with ""defective"" traits would not reproduce. Vosburg argued in favor of sterilization for what he called the ""subnormal"" population in Maine.
In 1925, a state law permitted sterilizations of persons deemed to be mentally deficient. Also in 1925, the facility Vosburg headed changed its name to the Pownal State School, dropping what had become an out-of-date term, ""feeble-minded."" Along with eugenics, the post World War I era brought the use of intelligence testing. The tests differentiated levels of disability and hence, suggested different care options. Still, most doctors urged parents of children born with developmental problems to place them in institutions immediately after birth.
In the 1930s, while institutions like Pownal State School continued to grow, many began to realize that changes were needed. First, it was too expensive and impractical to think of institutionalizing everyone who had developmental disabilities. Some professionals began considering the benefits of community-based care for those with less severe disabilities. This included the idea of ""special education"" in public schools for those children who could function in the community. In addition, education was stressed more for some residents of Pownal State School. The institution provided elementary level academic training as well as training in many skills: residents worked on one of the two farms, in the kitchen, the laundry and the hospital. Girls and women learned sewing and other crafts and boys and men learned a variety of manual skills -- all tailored to the ability of the person. The school had a woodshop and print shop and some students learned how to repair machinery of various types.
Pownal also had Boy Scout and Girl Scout troops that participated in parades and other events outside of the institution, as well as giving members opportunities within the school. While the stigma of developmental problems would remain for many years, these activities suggested to residents and the community outside of Pownal State School that developmental problems did not equate with ""criminal"" or ""dangerous"" behavior. A new era of care had begun as a new term, ""mental deficiency,"" was being used.
Funding was tight, but the population of the school continued to grow, reaching about 1,100 by the end of the 1930s. The growth was fueled, in part, by the use of Pownal State School to house people without economic means, problem youths and others who did not meet the intent of the facility. Dr. Nessib S. Kupelian, who served as superintendent of Pownal from 1938 to 1953, envisioned Pownal State School growing to serve more than 7,000 residents. In 1939, there were 51 buildings and some 200 employees. The facility was like a small city with its own water system, farms and power plant.
In the post-World War II era, Pownal State School, like many other institutions was increasingly in the public's awareness as commissions, interested citizen groups, former patients and former employees criticized conditions within the facility or raised questions about its method or effectiveness. Gov. Frederick Payne, at the suggestion of the Maine Federation of Women's Clubs, appointed a visitation committee that reported on Pownal State School in January 1951. The report was quite critical. It cited instances of abuse of residents and a lack of constructive work on their behalf. Kupelian and other staff defended their institution and the Maine Legislature appropriated funds for staff increases and other changes.
New buildings were built, including Bliss and Kupelian halls, which opened in 1949, and housed hundred of children in open wards. In later years, Kupelian would come under fire for poor conditions ""warehousing"" residents. In 1957, the facility became the Pineland Hospital and Training Center. The name suggested the new focus: Bowman, like his predecessors, was a medical doctor, and believed in a medical model of treatment. He added a dentist and psychiatric employees. The name of the facility became ""Pineland Hospital and Training Center."" All reference or labels about the ""condition"" of the residents was gone.
By 1970, Pineland had lost its accreditation and, in 1971, Bowman lost his job as superintendent. In 1973, the facility's name was changed yet again. ""Pineland Center"" as it was now known had dropped any reference to ""medical"" as well as to ""disability."" The national trend of deinstitutionalization and community-based care affected Pineland. The patient population decreased to fewer than 500 by the mid-1970s. Pineland stayed in the public eye. Again, national trends played out in Maine as Pine Tree Legal Assistance filed a class action suit in 1975 alleging that Pineland did not provide adequate care. The suit resulted in a consent decree in 1978 that created care standards and set a goal for a smaller institution. The institution's progress was monitored by the courts until 1981. Criticisms of poor care continued, however, and, along with continuing changes in philosophies of care for developmentally handicapped persons and rising costs, led to a state decision in 1991 to close Pineland. It closed in 1996.
Source: Candace Kanes,""Pownal State School and the Issue of Institutionalization"".  Accessed June 29, 2012. https://www.mainememory.net/sitebuilder/site/301/page/567/display
Main Image Gallery: Maine School for Feeble Minded",1996.0,"New Gloucester,ME",,"1,700 in 1957",1907,1996,,,1100,0
Maine,Maine Industrial School for Girls,https://www.asylumprojects.org/index.php?title=Maine_Industrial_School_for_Girls,1873.0,,1875.0,Preserved,Single Building,,State School for Girls | Stevens School,"Mrs. Mary H. Flagg of Hallowell was moved to provide for vagrant and outcast girls, and discussed this with friends in April 1872. She interested Mrs. Almira C. Dummer of Hallowell, and in December of that year, they offered to the Governor $10,000 from Mrs. Flagg, and a building site in Hallowell valued at $2,000 from Mrs. Dummer. In 1872 the corporation accepted the proposals.
The school opened for the reception of pupils January 20, 1875. Thirty-two were received during that year, two were placed outside the institution and the thirty remaining filled the school to its full capacity.
The complex became the State School for Girls in 1915 and continued housing girls until the early 1970s. In 2010 the site contained a Maine State Prison pre-release center and state offices.
As of 2014, only one building remained in use as offices for the State. All others have been shuttered.",,"Hallowell, ME",,,1875,,30,,32,0
Maine,State Reform School for Boys,https://www.asylumprojects.org/index.php?title=State_Reform_School_for_Boys,1853.0,,,Preserved,Cottage Plan,,State School for Boys,"The State Reform School for Boys, later named the State School for Boys, was established in 1853 ""for the instruction, employment, and reform of juvenile offenders"" ages 8 to 16. Residents were put to farming and brick making in an effort to make them useful and productive citizens.",,"South Portland, ME",,,1853,,,,,1
Maine,Creating Dr. Westcott's Sanatorium,https://www.asylumprojects.org/index.php?title=Dr._Westcott%27s_Sanatorium&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the toolbox menu to the left what is the second word in the third link from top?",,,,,,,,,,1
Maine,Healey Asylum,https://www.asylumprojects.org/index.php?title=Healey_Asylum,,1892.0,1893.0,Preserved,Single Building,Jefferson Coburn,,"The Healey Asylum opened in Lewiston Maine in 1983 under the Les Soeur de la Charite. The French-Canadian Sisters of Charity was a group of nuns who traveled from Montreal to Lewiston Maine to provide health and social support for the French-Canadian population in the area. Healey Asylum began as an orphanage and housed approximately 100 children, most of whom were in 5-7 years old. [1] Historical records suggest that it was debatable as to whether the facility cared specifically for children with mental health diseases.
Restoration efforts began in the new millennium to turn the asylum into affordable income housing. The project, now called Intown Manor, was lead by Sutherland Conservation and Consulting in Augusta Maine, worked with the National Park Service to design housing that maintained the building's historic character, while modernizing the facility into specialized housing. An informational portfolio from Sutherland explians:
""The rehabilitation project created 22 apartments with community rooms utilizing existing spaces in the main building and adjacent boiler and former laundry building, giving each unit a unique floor plan. The former chapel on the second floor was rehabilitated into two units while maintaining the decorative moldings and restoring those that had been nearly lost in previous renovations. The boiler house and former laundry building on the site now contains two apartments and offices for a non-profit community organization. The rehabilitation work meets Maine State Housing’s Green Building energy efficiency standards, with upgraded systems, new insulation, and solar panels.""[2]
According to Bagala Window Works, a company based in Falmouth, ME working on the restoration:
""Bagala Window works is restoring original window sash as part of the transformation of this former children’s orphanage into 32 affordable elderly apartment units. The building has been listed on the National Register of Historic Places since 1979 and will be rehabilitated, in part, with tax credit equity from Historic Tax Credit (HTC) programs. All restoration work is being performed under the guidance of National Park Service standards."" [3]",1959.0,"Ash Street, Lewiston, Maine",,,1983,,,100,,0
Maine,Creating Jones Private Sanatorium,https://www.asylumprojects.org/index.php?title=Jones_Private_Sanatorium&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the locations menu to the left, what is the sixth country up from the bottom?",,,,,,,,,,1
Maine,Central Maine Sanatorium,https://www.asylumprojects.org/index.php?title=Central_Maine_Sanitarium,1909.0,,1914.0,Closed,Cottage Plan,,Chase Memorial Sanatorium |  Central Maine Sanatarium,"The Chase Memorial Sanatorium opened in 1910 on Atwood Mountain in Fairfield, Maine as a hospital for the treatment of tuberculosis patients. What began as little more than a tent city, the treatment center constructed wooden buildings in 1912 which were destroyed by fire in 1913. In time with new construction the hospital grew to include a children's section and a surgical wing.
In 1915, the state took over both the Chase Memorial Sanatorium and the Maine State Sanatorium in Hebron, Maine renaming them the Central Maine Sanatorium and Western Maine Sanatorium. Patients who were the sickest went to Central Maine. Those for whom a cure was deemed probable were assigned to the Hebron hospital.  A third tuberculosis hospital was also authorized at this time in Presque Isle and named the Northern Maine Sanatorium.
The Central Maine Sanatorium closed in 1970 and was the state’s last TB sanatorium. A portion of it later became the Pleasant Height Nursing Home, closed since 2001.",1970.0,"Fairfield, ME",,,[1915],[1970],[None],[None],[None],0
