State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population,year_opened_LLM,year_closed_LLM,number_of_beds_LLM,number_of_patients_LLM,peak_patient_population_LLM,hand_check_flag_LLM
Ohio,Creating Appalachian Behavioral Healthcare Hospital,https://www.asylumprojects.org/index.php?title=Appalachian_Behavioral_Healthcare_Hospital&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the popular pages menu to the left, what is the word the follows Website?",,,,,,,,,,1
Ohio,Apple Creek State Hospital,https://www.asylumprojects.org/index.php?title=Apple_Creek_State_Hospital,,,1931,Closed,Cottage Plan,Joseph A. Gattozzi,Apple Creek State Institute | Apple Creek Developmental Center,"It began Feb. 14, 1931, Valentine’s Day, when the Apple Creek State School opened in what had been a tuberculosis hospital. It was the third such center in the state. The others were in Columbus and Gallipolis. While most patients in the early days were “feeble-minded,’ as they were labeled, the place held a mixture of the mentally retarded and mentally ill, alcoholics, cerebral palsy sufferers, unwed mothers. By 1947, the institution had blossomed into a small city covering more than 2,100 acres, much of it dedicated to raising crops, chickens, cattle and hogs. It had its own power and sewage-treatment plants, along with cemeteries where 128 people are buried.
Closed in 2006 due to lack of maintenance funds. Most of the buildings have been demolished, only a few remain. The site is expected to be turned over to Ohio State University’s Agricultural Technical Institute, which already uses nearby land that was once part of the Apple Creek campus.
This video is from 1965 when a reporter visited the hospital with a hidden camera.
Located adjacent to the Apple Creek Presbyterian Cemetery. This cemetery serves as a ""potter's plot"" for those who were wards of the State that died while committed to the Apple Creek Developmental Center. It contains the graves of around 130 patients.",2006,"Apple Creek, OH",,"2,300 in 1958",1931,2006,,,,0
Ohio,Athens State Hospital,https://www.asylumprojects.org/index.php?title=Athens_State_Hospital,1867,1868,1874,Preserved,Kirkbride Plan,Levi T. Scofield,Athens Lunatic Asylum  | Athens Asylum for the Insane  | Athens Mental Health and Retardation Center | Southeast Ohio State Hospital | Athens Mental Health Center  | The Ridges / Lin Hall (Current),"In 1867 the Ohio Legislature appointed a commission to find a site for an asylum in south-eastern Ohio. A site in Athens was found suitable. Construction began in 1867 and the Athens Lunatic Asylum was completed during 1874. Levi T. Scofield was the architect. The Athens Mental Health Center opened on January 9, 1874 on land purchased from the Coate's farm. The asylum itself was built from bricks which were fired on-site from clay dug on-site. Herman Haerlin, a student of Frederick Law Olmstead (the designer of Central Park), was responsible for the design of the hospital and its grounds. By the turn of the twentieth century, orchards and farmland were maintained on the property, tended to by hospital residents and employees. This made the hospital nearly self-sufficient. Nevertheless, at the time of its construction it was a major boon to the economy of the city of Athens, which was able to supply milk, eggs, linens, and other necessities. Local citizens made use of Haerlin's extensive grounds, which included landscaped hills and trees, a pond, a spring, and a creek with a falls.
The Administration building housed offices of the Superintendent, assistant physicians, steward, and a general reception room for visitors. Two wings added to the building were used for patients. The second floor contained apartments of the medical superintendent. The third and fourth floors were used for administrative offices.
Over the years the buildings and grounds at the Athens Mental Health Center underwent many changes. In the 1920s a fire destroyed the grand ballroom. In 1924 a building was erected on the grounds for the treatment of mentally ill patients with tuberculosis. In 1928 the dairy barn went in, making the hospital almost self-sufficient. Later, in 1960, part of the farmland belonging to the hospital was acquired by Ohio University for the construction of the Convocation Center. Between 1968 and 1972 the Hocking River and State Route 682 were rerouted, eliminating the reservoir as well as four of the decorative lakes on the property.
In 1977 multiple personality rapist Billy Milligan was sent by a Franklin County judge to Athens for treatment after his insanity plea was accepted by prosecutors--a first in American history. Milligan had kidnapped and raped three women on campus at Ohio State but had been suffering from mutliple personality disorder from early childhood. His story was told in the book The Minds of Billy Milligan by Daniel Keyes (the author of Flowers for Algernon). Billy Milligan's stay at the Ridges was among the last ever. In 1972 the last patients were buried in the asylum cemetery; by 1981 the hospital housed fewer than 300 patients. 344 acres of land were transferred to Ohio University. The final patients left the Athens Center in 1993, when they were bused to a new, much smaller hospital across town. The building stood vacant for several years while Ohio University prepared to renovate it into museum, office, and classroom space.
In 2001 renovation work was completed on the main building, which today is known as Lin Hall and houses music, geology, and biotechnology offices, as well as the Kennedy Museum of Art. Nearly all of the dozens of hospital buildings have been remodeled and put to use by the University.[1]  Although the main administration building and some sections of the patient wings have been renovated, much of the Kirkbride is still empty and awaiting reuse.
Like many other Kirkbrides, the building sits on top of a hill. It faces the nearby Hocking River looking toward the center of Athens and the main campus of Ohio University. The building appears to be in exceptionally good condition, although the cupolas which used to crown parts of the roof are now missing. The ward interiors don't have much in terms of remaining nineteenth-century architectural details either.[2]
Main Image Gallery: Athens State Hospital
Three cemeteries are on the grounds of the hospital, maintained by the Ohio Dept. of Mental Health. About 2,000 former patients are buried in the 3 cemeteries, most are marked with only a number.
Asylum on the Hill: History of a Healing Landscape, Katherine Ziff. Athens, Ohio : Ohio University Press, 2012.  Search WorldCat for library copy
The 1900 : voices from the Athens Asylum WOUB Television station : Athens, Ohio. Athens, Ohio : WOUB Center for Public Media, 2013. Search WorldCat for library copy
Athens Mental Health Center Collections Mahn Center for Archives and Special Collections, Ohio University Libraries. Athens Mental Health Center Policies",1993,"Athens, Ohio",,"1,749 in 1953",1874,1993,,,,1
Ohio,Broadview Developmental Center,https://www.asylumprojects.org/index.php?title=Broadview_Developmental_Center,,,1939,Demolished,Single Building,,Broadview Veterans Administration Hospital,"In the 1930s, a grand hospital was built by the Federal Government. It opened in 1939 and was called the Broadview VA hospital. It provided general medical and surgical services to veterans. After the war, all patients were moved to Crile Hospital and the building was used for Tuberculosis patients. In the late 1940s the building became too small for TB patients. Another wing was built east off the back of the original building.
August of 1961, Brecksville VA Hospital opened on Miller Road and Route 21. It was associated with Wade Park VA Hospital which opened in June 1964, taking in all patients from Crile Hospital which was sold to Cuyahoga Community College. A mixture of patients in the old building were relocated.
In 1965 the property was sold to the State of Ohio for $1 to be used for mentally handicapped patients. Several additional buildings were constructed on the property for housing. In 1972 the Thorin Building (now known as the Community Building) opened for offices, classrooms, and recreation.
In 1987 the State closed the old hospital building and all clients were housed in cottages. Then in 1992 the State moved out of the Broadview Developmental Center altogether. Several of the outlying buildings continued to house patients through a private operator.
In 1995 the General Assembly voted to sell Broadview Developmental Center to the City of Broadview Heights; it became official in 1996 when the City purchased the 68-acre property for $750,000. In 1998 the Recreation and Human Services Departments moved into the Thorin Building at the newly-renamed ""Broadview Center"". The Thorin Building underwent extensive renovation, and in 1999 City Hall moved into what is now called ""The Community Building"".
One of the outlying cottages was renovated for the Police Department which moved to the Broadview Center in 2000. The Service Department renovated and moved into the former Dietary Building and the steam power house was demolished. Buildings 9, 10, and 11 were also renovated for use by the Service Department. A new service garage and salt bin were constructed in 2003, then a skatepark in 2004. Other outlying buildings soon housed various organizations including the community theater, photo club, garden club, historical society, Lend-a-Hand, etc.
The old hospital was demolished in 2006. A playground was built in 2007, football field in 2009, and a pavilion in 2011. The grounds of the Broadview Center continue to change with the needs of the community.",1966 (VA)/1993,"Broadview Heights, OH",,,1939,1992,,,,0
Ohio,Cleveland State Hospital,https://www.asylumprojects.org/index.php?title=Cleveland_State_Hospital,,1852,1855,Demolished,Kirkbride Plan,,Northern Ohio Lunatic Asylum | Newburgh State Hospital | Cleveland Development Center,"The Cleveland State Hospital was a state-supported psychiatric facility for long-term care. Originally known as the Northern Ohio Lunatic Asylum, it was the second of 6 public asylums established in Ohio during the 1850s. It was later known as Newburgh State Hospital. The Northern Ohio Lunatic Asylum was authorized by an act of the Ohio legislature. The main building, containing 100 beds, was completed in 1855 on land in Newburgh donated by the family of James A. Garfield, later U.S. president. Previously, many of those considered insane had been kept in jails or almshouses. The asylum was to provide a quiet place outside the city where healthy, moral living habits could be learned (although management of disturbed patients then also included seclusion, cuffs, straps, strait-jackets, and cribs). The hospital was run by a 5-member Board of Trustees appointed by the governor, with Dr. Horace Ackley the first chair and superintendent. In its first 100 years, the hospital had 21 different superintendents; the last, Dr. William Grover, served for 18 years.
In its early years, the hospital had a homelike atmosphere; patients and staff usually dined together. An ""open"" facility, most patients were free to make use of the grounds. After a fire in 1872, a more substantial structure was built, with capacity for 650 patients. But by 1874 there were reports of overcrowding, a persistent problem. By 1900 the hospital had cared for over 10,000 patients. At this time it began to treat mainly poorer patients, including an increasing number admitted by the courts, further adding to patient numbers (2,000 by 1920). Although Cleveland State Hospital kept pace with progress in medicine, conditions continued to decline in the 1920s and 1930s because of overcrowding and irregular state support. In 1946 investigations by the Cleveland Press and the newly formed Cleveland Mental Health Assn. revealed brutality and criminal neglect, and often squalid conditions.
Conditions improved with the development of social services, psychology, group work, occupational therapy, volunteer services, and out-patient clinics, but budget cutbacks in 1961 eliminated 29 activity programs. In 1962, for 2,700 patients there were 12 ward doctors and 10 registered nurses to supervise 250 attendants. During the 1960s, the patient population dropped from 3,000 to 1,800, closer to the intended capacity of 1,500. The state began phasing out the Cleveland State Hospital in 1972; in 1975 it became the Cleveland Development Center, a care facility for the mentally retarded. The Cleveland Developmental Center was a short-lived care center for the mentally retarded. The old main building on Turney Rd. was demolished in 1977.[1]
Main Image Gallery: Cleveland State Hospital",1976,"Cleveland, OH",,"3,000 est",1855,1975,100,10000,3000,0
Ohio,Cleveland Receiving Hospital,https://www.asylumprojects.org/index.php?title=Cleveland_Receiving_Hospital,,,1945,Closed,Single Building,,Cleveland Psychiatric Institute (CPI),"CPI was established when the Ohio legislature approved the creation of a statewide system of receiving hospitals, including one in Cuyahoga County. State officials entered into an agreement with Cleveland City Hospital (Metropolitan General) to assume control of the acute-care facility at Hoover Pavilion (built in 1922) on 1 Nov. 1946. The name CPI has been in use since the early 1960s. Poor state management practices and bureaucratic red tape demoralized the early hospital's staff and delayed improvements as did crowded conditions. Doctors resigned because of low pay and regulations banning private patients. Western Reserve Univ. temporarily withdrew its affiliation in 1949. Program and physical-plant improvements have been slowly made since the 1950s; an out-patient clinic opened in 1952 and a therapy wing was added to Hoover Pavilion in 1957. In 1981 CPI combined its operations with the Fairhill Mental Health Center; the Fairhill Center closed its doors in 1983. Cleveland State Receiving Hospital, is a short-term psychiatric-care hospital for the observation, care, and treatment of the mentally ill, especially those patients with mild conditions in the early stages and possibly of short duration.",2009,"Cleveland, OH",,,,,,,,1
Ohio,Columbus State Hospital,https://www.asylumprojects.org/index.php?title=Columbus_State_Hospital,,1835/ Rebuilt 1870,1838/ Reopened 1877,Demolished,Kirkbride Plan,,Lunatic Asylum of Ohio | Ohio Lunatic Asylum | Central Ohio Psychiatric Hospital,"The ""Lunatic Asylum of Ohio"" was organized by Act of the Thirty-fourth General Assembly, passed March 5, 1835, and Samuel Parsons, William M. Awl and Samuel F. Maccracken were appointed directors. These Directors selected a tract of land about one mile east and north of the State House, in Columbus, comprising thirty acres. This tract fronted south on what is now East Broad street, and the western boundary was near what is now Washington avenue. During the next three years they erected a building on these grounds, at a cost of about sixty-one thousand ($61,000) dollars. The institution accommodated one hundred and twenty patients, and was the first institution for the treatment of the insane organized west of the Alleghenies. On May 21, 1838, William M. Awl, M. D., of Columbus, was elected Medical Superintendent by the Trustees, and the first patient was received on November 30 of that year.
The building was two hundred and ninety-five feet in length and contained one hundred and fifty-three single rooms. The Directors apologized for the apparently extravagant size by saying that it would be required in a few years. Yet it was the only asylum the state then had. Now—1900-1—the state has accommodations for more than seven thousand five hundred patients in the several ""State Hospitals"" at Cleveland, Columbus, Dayton, Longview, Massillon and Toledo, and every institution is crowded to its full capacity. Dr. Awl was in charge as Superintendent until 1850, a period of twelve years, when he was succeeded by Samuel H. Smith, M. D. He was succeeded in 1852 by E. Kendrick, M. D., and he by George E. Eels, M. D., in June 1854. On August 1, 1855, Dr. Richard Gundry, who later became so prominent in the care of the insane in Ohio and the United States, was appointed Assistant Physician. In July, 1856, Dr. R. Hills, of Delaware, was appointed Superintendent. He held the position for several years, and was succeeded by Dr. William L. Peck.
On the evening of November 18, 1868, the asylum caught fire and was almost completely destroyed. There were three hundred and fourteen patients in the asylum, and six were suffocated by the smoke before they could be rescued. The others were removed to the the asylums at Cleveland, Dayton, and Cincinnati, which had been built since this one was organized. On April 23, 1869, an Act was passed by the Legislature authorizing the re-building of the asylum on the old grounds, and contracts were let September 23, 1869, and work was begun on the foundation October 24, of that year. Winter soon stopped the work, however, and during the ensuing session of the Legislature, on the 18th of April, 1870, a bill was passed authorizing the sale of the old tract and the purchase of a new site to contain three hundred acres of land. Governor R. B. Hayes, State Treasurer S. S. Warner, and Attorney General F. B. Pond were appointed a Commission to sell the old site and to purchase a new one. They were required to sell the old site at a price not less than $200,000, and to purchase a new site of not less than three hundred acres at a cost not to exceed $100,000. The Commission reported in favor of the purchase of three hundred acres from William S. Sullivant, on the high lands west of Columbus and across the Scioto valley, paying therefore two hundred and fifty dollars per acre. The Trustees took charge of this tract, which is the present site of the Hospital, on May 5, 1870. The site of the building was determined upon, work was begun under the old contracts, which had been transferred to the new site, and the corner-stone was laid on July 4 of that year. The institution was finally completed on July 4, 1877, just seven years from the laying of the corneer-stone on July 4, 1870. The total cost of construction at the time of the opening was $1,520,980.45—at the time of writing (1901) the cost of construction has exceeded $2,000,000.
The first patient was admitted into the new Hospital on August 23, 1877, and this patient is still an inmate of the Institution, twenty-years later. The Hospital, as completed, stands on an elevated plateau about three miles west of High street, on the north side of Broad street, facing almost directly east. It consists of a central Administration Building and two wings, of four sections each, and a rear wing. The lateral wings and the Administration Building have a lineal frontage of about 1200 feet, and the rear wing and Administration Building have a depth of about 800 feet. It is nearly all four stories in height, and the distance around the foundation walls is about one and one-quarter miles. The building when opened, accommodated eight hundred and fifty-two patients. In the wings for the patients there were four hundred single rooms and one hundred and sixteen associated dormitories for the us of patients. There were twenty-eight wards from 120 to 180 feet in length, and each ward contained bath, lavatory, water-closet, clothing room and two rooms for attendants.[1]
The hospital remained in service until the late 1980s, despite falling into severe disrepair. It was demolished in 1997 and new Ohio Department of Transportation and Ohio Department of Public Safety facilities were built near its former location. Four patient cemeteries of the Columbus State Hospital still exist.
Main Image Gallery: Columbus State Hospital",1985,"Columbus, OH",,,1838,1980,852,,314,0
Ohio,Dayton State Hospital,https://www.asylumprojects.org/index.php?title=Dayton_State_Hospital,,,1855,Closed and Preserved,Kirkbride Plan,,Southern Ohio Lunatic Asylum (1855) | Western Ohio Hospital for the Insane (1875) | Dayton Hospital for the Insane (1877) | Dayton Asylum for the Insane (1878) | Dayton State Hospital (1894) | Dayton Mental Health Center  | Twin Valley Behavioral Healthcare,"The Dayton State Hospital was first occupied September, 1855, with a capacity of 162, known as the Southern Ohio Lunatic Asylum. In the year 1875, it was changed to Western Ohio Hospital for the Insane; in 1877, to the Dayton Hospital for the Insane; in 1878, to the Dayton Asylum for the Insane; and in 1894, to the Dayton State Hospital and was located on a hill southeast of the city of Dayton.
The main building was built to the Kirkbride plan, consisting of the administration building, four stories in height, and the wards on either side three stories in height. The original building contained six wards, three on either side of the administration building, with a capacity of 164 patients. In 1861, the capacity of the Hospital was increased to 600 by the addition of six wards on each side. In 1891, it was again enlarged by the addition of congregate dining rooms, one on each side, which increased the capacity 170, giving a total capacity of 770. The Hospital had a frontage of 940 feet, and is uniformly three stories in height, except the administration building, which is four stories and surmounted by a cupola.
The Dayton State Hospital stood empty for many years, replaced by more modern facilities. While, in the mid-1980s, plans were being made to renovate the buildings and convert them into apartments for retirees, there was a fire in the old administration building and the cupola was destroyed. The damage to the rest of the administration building was comparatively minor and the plans to convert the buildings became a reality. But many mourned the loss of the cupola, a Dayton landmark for more than a century.
The Dayton State Hospital survives to this day as one of only a small handful of surviving Kirkbride Plan institutions in the state of Ohio. Of those remaining institutions, it is perhaps the only one in continued usage to this day. After the fire damage was repaired the building was successfully renovated into a now large retirement community called 10 Wilmington Place, and has served the Dayton area for the past 29 years.[1]
After the main hospital was closed in 1977, part of complex continued to operate as Twin Valley Behavioral Hospital, until it to was closed June 30, 2008. The property was sold in 2012 to a private Ohio based organization and reopened as Access Hospital and Access Outpatient.
Main Image Gallery: Dayton State Hospital
The Dayton State Hospital Cemetery is actually located on the backside of Woodland Cemetery on undeveloped land and is not accessible to the public. There are no grave markers in this section, only concrete circles with the grave number. Burial records are maintained by Woodland Cemetery.",1977,"Dayton, OH",,,1855,1977,770,,,0
Ohio,Fairhill Psychiatric Hospital,https://www.asylumprojects.org/index.php?title=Fairhill_Psychiatric_Hospital,,,1956,Preserved,Single Building,,Fairhill Mental Health Center | Fairhill Center for Aging (Current),"The Fairhill Campus has served the Greater Cleveland community for over 78 years. In 1837 the Medical Board of Marine Hospitals designated Cleveland as the site of a hospital to benefit sick seamen, boatmen, and other navigators. By 1916, with a capacity of just 85 beds, the hospital’s original location was deemed too small, and Congress took steps toward relocating the hospital to Fairhill.
On June 28, 1930, with a staff of 15 doctors, 42 nurses and 72 attendants, the US Marine Hospital was opened. By 1953, that number decreased significantly, and Congress voted to close the hospital. The Marine Hospital closed on June 30, 1953. The hospital was reopened as the Fairhill Psychiatric Hospital in 1956. In 1973, the main building was remodeled and a new two-story addition was added to the front of the original structure.[1]
The Fairhill Mental Health Center was a state psychiatric facility in Cleveland dedicated to intensive, short-term care. It opened as one of 5 state psychiatric facilities in Cleveland in the former U.S. Marine Hospital on Fairhill Road. Although Fairhill originally had a capacity of 200 beds, by 1960 only 70 were in use because of staffing problems. With the enactment of the Community Mental Health Centers Act by Congress in 1963, the name changed to the Fairhill Mental Health Center. Its overall purpose was slightly revised, ""to provide comprehensive psychiatric services to all residents of a given geographical area, regardless of socioeconomic status,"" but it's emphasis remained on short-term care. (Its service area consisted primarily of Cleveland's east side and eastern suburbs.) Fairhill attempted to minimize many of the negative aspects of state mental hospitals, with a cheerful and bright interior and innovative therapeutic programs which encouraged patient involvement. In 1966 Fairhill became one of 3 ""open hospitals"" (no locked doors) in the country.
From the mid-1960s, Fairhill suffered from budgetary restrictions and changing state directives. One result was overcrowding: in 1966 admissions were limited to only 50%, because of delays in transferring patients to long-term hospitals. In 1975 a budget crisis resulted in the transfer of 38 employees to institutions for the mentally retarded; two years later, the hospital's out-patient clinic closed. Despite a $3 million renovation in 1980, overcrowded conditions persisted; the hospital was criticized for early discharges. By 1983, not meeting federal standards, it was in danger of being decertified for Medicare and Medicaid. As the Cleveland Psychiatric Institute was in a similar situation, the Ohio Department of Mental Hygiene & Correction consolidated the two and closed the Fairhill Mental Health Center.  In 1987 the process of developing the Fairhill collaborative campus began. In 1989, the property became the home of the Fairhill Center for Aging, a joint venture of the Benjamin Rose Institute and University Hospital Case Medical Center. In 1995, the site was named a Cleveland Historic Landmark, receiving more than 1,200 visitors a month as of 2002.[2]",1983,"Cleveland, OH",,,1956,1983,200,,70,0
Ohio,Hawthornden State Hospital,https://www.asylumprojects.org/index.php?title=Hawthornden_State_Hospital,,,1922,Active,Cottage Plan,,Western Reserve Psychiatric Habilitation Center | Northcoast Behavioral Healthcare,"Hawthornden State Hospital, later known as Western Reserve Psychiatric Habilitation Center, operated as a farm for Cleveland State Hospital from 1922 until 1938. In 1926, due to overcrowding at Cleveland State Hospital, a building was erected to house 150 patients. It was established as a separate facility in 1941. Over the years more land was acquired & about 30 buildings were constructed. The 1970s brought changes to the hospital. Many of the original buildings from the 1920s and '30s were demolished for newer facilities.
In 2011 the Cleveland campus for Northcoast was closed and consolidated here. Today the facility operates under the Northcoast Healthcare system.",,"Northfield, OH",,,1941,,,150,,0
