State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population,year_opened_LLM,year_closed_LLM,number_of_beds_LLM,number_of_patients_LLM,peak_patient_population_LLM,hand_check_flag_LLM
Oklahoma,Fort Supply State Hospital,https://www.asylumprojects.org/index.php?title=Fort_Supply_State_Hospital,1875,,1895,Active,Cottage Plan,,Fort Supply State Hospital | Western Hospital for Insane | Western State Psychiatric Center | Western Oklahoma Hospital | William S. Key Correctional Center (current) | Northwestern Center for Behavioral Health (current),"The first state hospital opened in Oklahoma was Western Oklahoma State Hospital, in Fort Supply. Opening in 1903, however it wasn't until May of 1908 that the first patients arrived from Norman's state hospital (Central State).The hospital used the old Army post's buildings and grounds as the state of Oklahoma's first mental health facility. The grounds were lent to the state by the Dept. of Interior, after the Headquarters of the Army closed Fort Supply. To bring the first patients from a private institution to the new hospital, a road was built from the old post to the railroad station south at Tangier, Oklahoma. Farmers and ranchers from the area furnished buggies and wagons to transport the two train loads of arriving patients to the new hospital.
The hospital and original buildings (left in disrepair by the Army, who had first voted to leave it abandoned) suffered 3 fires before 1916.
Western Oklahoma State Hospital cared for mentally ill people in or west of Kay, Noble, Garfield, Kingfisher, Canadian, Caddo, Comanche, and Cotton counties. In 1950, the hospital had an average daily resident population of 1,318; meaning they were operating 14% over capacity. There are reports of sterilization, mostly of women, being practiced at Western State; as at hospitals Norman, Vinita, Enid, and McAlister penitentiary.
Fort Supply was officially closed in September of 1894 and returned to the Department of the Interior on February 26, 1895.
The Fort Supply Historic District was placed on the National Register of Historic Places in 1971.  In 1988, the state legislature designated the remaining buildings at the old fort as the Fort Supply Historic District.The Oklahoma Historical Society currently administers five structures and a replica stockade as the Fort Supply Historic Site. Shortly after the 1988 ruling, the William S. Key Correctional Center (a privately owned correctional facility) was opened at the site. The grounds of the old post are also currently occupied by the Northwestern Center for Behavioral Health.
There are 961 persons buried here. The burial site contains graves of patients from a state-run mental hospital that took over the fort facilities. Plain, gray name markers date to 1908, the year Western State Hospital was established.
Sprinkled in among patient markers are older headstones of civilians affiliated with the military camp, opened in 1868 as a supply post for that year's winter campaign against the Plains Indians. Other graves may be those of squatters and homesteaders who moved in after the camp closed. Bodies of old soldiers formerly buried here were moved to Leavenworth, Kansas.
The most recent grave is that of former Western State Superintendent Dr. William Blyth, who died in 1982. The oldest represents Toch-e-me-ah, wife of Army scout Ben Clarke; Company B Indian Scout Bad Face, and three men believed to have been employees of the Quartermaster's Department.
Toch-e-me-ah's headstone, perhaps the tallest in the cemetery, indicates she died in 1875 at age 22.",,"Fort Supply, OK",,,1908,,,,1318,0
Oklahoma,Hissom Memorial Center,https://www.asylumprojects.org/index.php?title=Hissom_Memorial_Center,1959,,1964,Closed,Cottage Plan,,,"In 1959 the two schools for children with mental retardation, epilepsy, and other mental issues operated by state mental health officials at Enid and Pauls Valley had become antiquated and overcrowded and dated back almost to statehood. The 52nd legislature recognized the need for additional beds to serve this rapidly growing population and appropriated one million dollars for the construction of a third institution on land donated by successful oilman Mr. and Wiley Hissom and his wife, 5 mi NW of Sand Springs, Oklahoma (near Tulsa).
Later, in 1961, an additional 7 million dollars was appropriated to complete construction and fully equip the facility to be named The Hissom Memorial Center. It opened on March 7th, 1964 to 1200 patients. It was at this time the institution removed it's caged cribs, and began to refer to itself at ""The City of Hope"". Among it’s 24 buildings were medical facilities and dorm-like residences which were seen as an improvement over the old turn-of-the-century institutions. At some point after 1970, part of the campus was used to house juvenile delinquents. This part of the property sat directly next to some of the boys' dormitories.
In the mid-1980s a group called Homeward Bound brought a 6 million dollar lawsuit against the center after a 7 year old patient, Jason George, was found to have bruises and bite marks when picked up by his mother. In hopes of closing it down and placing patients into communities and integrating them into society as much as possible, they contended it was more humane and much cheaper than institutionalization. Indeed, court-appointed observers reported a “prison-like atmosphere” and considered Hissom a “human-development emergency” and an “educational disaster.” The hospital continued operation, and a local newspaper records 51 abuse cases investigated by DHS among clients still living at Hissom as of July 11, 1991. Tranquilizing drugs were reported by a local newspaper as given to children considered ""hyper"" or problems in general. A federal judge ordered the facility closed in 1987, but it was 1994 when the last patient left and the center was mothballed.
In 2009, Oklahoma’s governor signed legislation authorizing the Oklahoma Department of Central Services to spend $3 million to demolish the site.",1994,"Sand Springs, OK",,,1964,1994,,1200,,0
Oklahoma,Norman State Hospital,https://www.asylumprojects.org/index.php?title=Norman_State_Hospital,,,1895 (as a mental health facility),Active,Cottage Plan,,Norman Institution for Violent Insane (Privately Owned) | State Hospital for the Insane | Oklahoma State Hospital | Central State Hospital  | Griffin Memorial Hospital,"The first structure on the hospital site actually was a school for women opened in the late 1800s. High Gate Academy couldn't compete with the nearby University of Oklahoma, and in 1895 it was sold to the Oklahoma Sanitarium Co. Mental patients who until that time had been sent by train to a facility in Illinois could now be treated at the Norman institution “for violent insane,” as a description on the facility's front gate stated.
In 1899, sanitarium officials hired David W. Griffin, a psychiatrist from North Carolina.
Griffin would become superintendent in 1902, a position he would hold until 1950. The sanitarium was sold to the fledgling state of Oklahoma, and in 1915, the legislative “Lunacy Bill” created several state asylums, including facilities at Fort Supply, Vinita and Norman. The Norman site became known as Central State Hospital.
Patient populations at the Norman hospital grew, reaching 3,000 in the 1950s. At times, conditions reported there, as at many similar institutions of the era, were grim, with overcrowding, inadequate heating and cooling and use of electric and insulin shock therapy, sterilizations, lobotomies and other approaches now considered inhumane. Patients might remain there for months or years.
Beginning in the 1960s, medical approaches to treating the mentally ill evolved, and laws and standards of care with them. “Deinstitutionalization” began to wind down the era of huge residential mental facilities, taking much of the expansive Central State Griffin Memorial Hospital, as it was renamed in 1953, with it.
By 1990, only 245 patients remained at Griffin Memorial, which no longer needed the comprehensive and self-sustaining infrastructure it once had. Today, Griffin's patient capacity is only 120, and stays are measured in weeks or days.
The worst fire in Norman history, measured by the lives lost, killed 38 men and boys in the Oklahoma State Hospital for mental patients on April 13, 1918. That may have been the largest fire death toll in Oklahoma history. The State Hospital on East Main Street was a forerunner of l the Griffin Memorial Hospital. The fire broke out at 4 a.m. on a Saturday, destroying two large buildings, described by The Norman Transcript as ""old frame"" structures, and a new building used as the dining hall. All 38 victims were in a first-floor ward housing 48 boys 10 to 15 years old, the newspaper reported. Apparently some victims were attendants. All 36 patients in a second-floor ward were rescued, led down an outside stairway ""by most strenuous efforts.""
Eighty patients in the other destroyed ward building were evacuated safely. Firefighters were able to put out the flames in a third ward building, and patients who had been moved out were able to return. Others were covered with blankets on the grounds until they could be placed in other buildings. The Transcript reporter had high praise for both members of the Norman Fire Department and the hospital's fire department. “There were numerous instances of bravery in going into burning buildings,"" the story said, ""but none of them take any special credit to themselves"". There was speculation that either an electrical defect or spontaneous combustion started the fire. A coroner's jury said the cause was unknown. Property damage was estimated at $25,000).
All but one of the bodies were burned beyond recognition and were buried Monday in one big grave in the northeastern part of the IOOF Cemetery. ""Everybody was laid in a neat coffin and given every kindly consideration possible,"" The Transcript said. Although the story: put the deaths at 37, The World Almanac calls it 38. Probably an injured patient died later.
The night watchman smelled smoke in the linen room of Oklahoma State Hospital Ward 14 at 3:45 a.m. , on a spring Saturday morning in 1918. He quickly sounded the steam whistle at the hospital's power plant to wake the sleeping patients. Nurses, ward watchmen, and other employees fought the fire with hand-held extinguishers and a one-hose stream.
Night-shift attendants bravely began trying to evacuate the men and boys from the ward and the sleeping room above them. Dr. D.W. Griffin was on the scene within minutes, organizing rescuers.
The south wind was blowing fire debris and quickly caught the dining room on fire. Flames caught Ward 13 and 16 on fire but all 88 patients were safely evacuated and the flames beaten back. In all, about 1,000 patients were housed in the sanitarium that spring.
Some of the patients were violent and the fire excited them even more, making the rescue more difficult. A few were confused and ran back into the buildings. Sitting on the grounds, the attendants wrapped the patients with blankets and took a head count: Thirty eight men and boys out of 48 patients in Ward 14 were dead, mostly smothered in their beds. It is believed to be the highest number of deaths in a single Oklahoma fire, just outdistancing the 36 killed in the Babbs Switch school fire on Christmas Eve in 1924. [1]
At the northeast corner of the property of Central State Hospital is Rock Creek Road Cemetery, with rows of small concrete pads marking graves of many patients. In another nearby cemetery is a communal grave containing remains of 38 of the 39 people who died in a fire at the hospital in 1918.
The Norman IOOF Cemetery now houses the remains of the Fire Victims of 1918. The Victims were given a granite memorial with all 38 names listed see Findagrave.com for photos of memorial with full name list",,"Norman, OK",,,1895,,,1000,3000,0
Oklahoma,Taft State Hospital,https://www.asylumprojects.org/index.php?title=Taft_State_Hospital,1930,,1934,Active,Cottage Plan,,"Colored Deaf, Blind, and Orphan Institute | Taft State Hospital for the Negro Insane | Jess Dunn Correctional Center","In 1931, the Oklahoma Legislature approved the construction of a hospital for people who were both mentally ill and African American; prior to 1934 these patients were treated in separate wards at Central State Hospital in Norman, OK. An All-Black community previously known as Twine and later changed to Taft, 8 miles west of Muskogee was chosen as the building site.
Opened in 1934 to treat only African-American patients, and was unique in the country as it was run entirely by African American staff. Taft State Hospital is one of seven psychiatric facilities in the U.S. built ""exclusively to care for insane and idiotic negroes,” however the homeless, poor, and senile, were housed alongside the criminally insane and epileptic and mentally retarded; completely in violation of all state and national psychiatric standards.
As the only such hospital for African Americans in the state and one of only seven in the country, Taft State Hospital for the Negro Insane quickly overcrowded and understaffed by the 1940s.
The 1940 official report from the hospitals' medical superintendent claims 305 patients received during the year; 14% being over the age of 60, 16% for dementia, 5.9% for manic depressive psychosis and 16.7% having been admitted for Syphilis. The same report from 1940 claims 91 patients died at the hospital that year; 43% over the age of 60, 22% dying less than 1 month after being admitted. 
The institution housed 738 patients in 11 wards. The chief medical officer was Dr. E. P. Henry and was assisted by Dr. E. E. Bowser & Dr. C. E. Ford. In the same report the hospital is said to have employed 3 nurses and used treatments such as; X-Rays, hypoglycemic shock, metrazol shock, and fever therapy and in the report the medical superintendent asks the Governor for a hydrotherapy apparatus. Surgeries performed at the hospital included 10 major operations; numerous tonsillectomies and about 15 circumcisions in 1940 alone according to the medical superintendents report!
In 1940 the institutions housing was already overly full. 24 confirmed Tubercular patients were being housing in the regular wards along with other patients instead of in their own ward. Child patients with mental disabilities were not housed or treated separately from chronically ill children. Staff had just one room to live in (the Griffin Hospital superintendent had an entire house on the property, with nurses housed in their own apartments).
Meanwhile the larger institution had its own laundry on site, as well as a butcher, bakery, dairy, and farmland where most of the foods used were grown and cultivated by patients. Religious (mostly Christian) services were held on Sundays in the Dining Hall for patients. During warmer months outdoor activities consisted of baseball for the men, volleyball and handball for the females. Arguably most notably, the hospital boasted a chorus made up of over 30 patients.
In 1949 the State Government determined the consolidation of The Institute for Colored Blind, Deaf, and Orphans, The State Hospital for the Negro Insane, and The Training School for Negro Girls; (all had been located in or near Taft).
In 1964, state mental hospitals were desegregated and patients at Taft began to be moved to the state hospitals in Vinita and Norman, OK.
Closed in 1970 and converted into a correctional facility (the 3rd such state penitentiary to be placed in Taft by the state in the 100 years since it was founded as an All-African American town), which is still in operation today.",1970,"Taft, OK",,,1934,1970,,305,738,0
Oklahoma,Vinta State Hospital,https://www.asylumprojects.org/index.php?title=Vinta_State_Hospital,1909,,1913,Active,Cottage Plan,,Eastern Oklahoma Hospital for the Insane | Eastern State Hospital | Oklahoma Forensic Center  | Northeast Oklahoma Correctional Center (current),"Eastern State Hospital has been a major factor in the economy of Craig County since 1913, and its influence in mental health matters has extended well beyond its service area. When Oklahoma became a state in 1907, the mentally ill first were cared for through contract with private sanitariums. In Indian Territory, Cherokee Nation had maintained an asylum at Park Hill.
Eastern Oklahoma Hospital for the Insane was established by the Oklahoma State Legislature in 1909, to be located at Vinita, Craig County; on a 160 acre tract of land given to the State by the City of Vinita for this purpose. The land on which the hospital was established originally was owned by S.S. Cobb.
An appropriation was made to erect buildings, which were completed late in 1912. Dr. F.M. Adams was appointed August 12, 1912, by Governor Lee Croce as the hospital superintendent. His original four-year appointment stretched into a lifetime job. Dr. Adams served until his death in December 1955.
The first patients were received on January 28, 1913, when 300 people were transferred by special train from the Oklahoma Sanatorium at Norman. The special train was unloaded at a siding designated ""Asylum Spur,"" a little more than a mile south of the hospital. Wagons were sent to carry the women and a few older men, and the others walked to the new hospital.
During 1914 Building No. 3 was completed, and immediately 300 more patients were moved here from Norman. By 1954, the institution had a capacity of 2,600 patients and a capital investment of $6,541,050.
The hospital opened with two doctors, Dr. Adams and Dr. Edwin Williams, a physician from Philadelphia who had some experience with the mentally ill. He returned to the east about two years later, and Dr. P.I. Hays became assistant superintendent. Dr. Hays remained on the staff, succeeding Dr. Adams as superintendent and serving until October 1961. Both doctors were widely recognized for pioneering efforts in treatment of the mentally ill. The gradual expansion over the years, to the peak population of the mid-1950's, saw buildings steadily added, and more land acquired.
Facilities which were added included hospital wards for male and female patient, 1916; administration building, 1922; barn, implement sheds, greenhouse, new power house equipment in 1924; a fire station and sewage plant, 1930; a canning plant in 1938; central dining room, kitchen, a maximum restraint building for men, 1939; administration building, 1949; an employees' dormitory in 1953, named Adams Hall in honor of the long-time superintendent.
After Adams Hall was completed, a two-story house known as the ""Farm House"" was torn down. The house had been the home of Mr. and Mrs. S. S. Cobb before the hospital was established. For many years, most of the hospital employees were required to live on the grounds. Meals were provided as part of the salary. Some roomed in basements of ward buildings and others lived in two old barracks buildings, according to long-time employees. These buildings were moved in after World War Two.
During the years of peak patient population, the farm was an important economic factor. Swine, poultry, and dairy operations provided meat and milk, while garden produce was used fresh and also was canned for later use. Many farm-oriented patients worked alongside employees, and this provided valuable therapy.
The hospital's Holstein dairy herd was considered one of the best in the state, with some of the cattle setting production records and winning prizes at state fairs. The dairy was closed in 1968. Other farming operations were gradually phased out in the early 1970's. Through the first 40 years of the hospital's history, much of the patient care was custodial in nature. Staff was limited, but treatments, which were innovative at the time, were introduced.
Dr. Hays pioneered in many types of treatment, including luminal, sodium amytal, and various types of shock treatment. He was among the first to use malaria in treatment of syphilis. He was the first in the nation to use atropine sulphate as a treatment for Parkinsonian syndrome. In 1956, the ESH staff under Dr. Hays' direction took part in a research program to test the tranquilizing drugs Thorazine and serpasil.
Dr. Adams became recognized as one of the nation's foremost hospital administrators. Even with limited funds and staff, he pioneered in new types of treatment and psychotherapy. For his service in the field of mental illness, he was inducted into the Oklahoma Hall of Fame in November 1954.
In 1947, the Hospital was renamed Eastern State. From that time forward, the state saw increased awareness of the needs of the mentally ill and increased funding which made possible more intensive, specialized treatment.
The dining room burned in 1951; a new central kitchen with men and women's dining rooms was built about five years later. Dr. W.C. Reed, Vinita dentist who had served the hospital part-time for 20 years, closed his private practice and became full-time dentist at ESH.
In 1951, Sam Seabolt became director of the Recreation Department. He remained on the staff 33 years, serving as Director of Activity Services, comprising occupational, recreational, music, work therapies, and volunteer services. Until 1983 he also supervised the chaplain and adult education services. A new medical service building was opened in 1952; in 1960 the building was named Hays Treatment Center in honor of Dr. P.L. Hays.
During the 1950's, the Rev. Moody Nicholson, who had been pastor of Vinita's Pilgrim Presbyterian Church, became full-time chaplain at the hospital. Later, an All Faiths Chapel was provided. Dr. A.D. Barrett is head chaplain.
In 1956 the first Department of Nursing was established, with Dorothy Hall, RN, a professional nurse administrator, as director.
When she took the post, ESH had six professional nurses and nearly 400 non-professional workers in psychiatric nursing, responsible for 72 ward units. By contrast, at the end of February 1984, the nursing department had 460 employees of whom 64 were Registered Nurses and 58 Licensed Practical Nurses. In 1984 the hospital was operating 18 ward units with a daily census of less than 400. Although more than 3,500 admissions were recorded in 1983, average length of stay was 39.6 days.
Volunteers have played a vital role in the hospital. Red Cross volunteers from Miami, Vinita, Claremore, Nowata devoted much time to work with patients. The Bartlesville Gray Ladies, who began weekly trips to ESH in 1955 and Gray Men, continue to serve, as have some Vinitans.
After the resignation of Dr. Hays, Dr. Wayne J. Boyd was superintendent until 1963. He was succeeded by Dr. Ruth V. Annadown, 1963-64. Dr. B.F. Peterson then came from Tennessee in July 1964 and headed the hospital until his death in 1972. Dr. A. Lawrence White served 1972-73; Dr. D.W. Shupe 1973-74; Dr. Joe Tyler 1974-78. Dr. Robert O'Toole became superintendent from October 1979 until February 1983, then Dr. Mason W. Robison assumed administrative duties.
In 1964, state mental hospitals were desegregated and patients at Taft were moved to the state hospitals in Vinita and Norman. In 1971 the first floor of Adams Hall was remodeled for administrative offices.
A dining room was located in the east wing of the Food Services Building. The changes in Food Service were especially evident. Dr. Peterson had believed that food was a factor in therapy. When men and women started having meals together, a noticeable improvement in personal appearance took place.
Outpatient services were begun in the 1960's to provide aftercare for discharged patients.
As the patient population declined, patients needing surgery have been transported elsewhere for care. The Medical Services do include a medical clinic, laboratory, X-ray, dental clinic, and pharmacy. During Dr. O'Toole's administration, ESH was designated as the treatment center for all inmates of the Department of Corrections requiring mental health services, and the hospital also handles all Oklahoma court-ordered observation-evaluation. Building 12 was completely renovated as a maximum security facility in 1983.
In 2008, a new state of the art 100,000 square foot building opened & the original hospital was turned over to the department of corrections.
Main Image Gallery: Vinta State Hospital
Eastern Oklahoma Hospital Cemetery was associated with Eastern Oklahoma Hospital for the Insane which was established in 1909. The cemetery is part of 160 acres given to the State by the City of Vinita. In 2000 the cemetery was heavily vandalized, destroying and moving many grave markers. Only a couple hundred are left and most of those are not with the graves they marked, they were lifted up and flung about. Because records were kept badly by the hospital and most microfilm documentation has deteriorated beyond the ability to read it, it is now impossible to know who was buried where.",,"Vinita, OK",,"2,600 in 1954",1913,,,3500,2600,0
Oklahoma,Oklahoma Institution for Feeble Minded,https://www.asylumprojects.org/index.php?title=Oklahoma_Institution_for_Feeble_Minded,1909,,1910,Closed,Cottage Plan,,Enid State School |  Northern Oklahoma Hospital |  Northern Oklahoma Resource Center,"On Oct. 8, 1910, the first patient arrived at the facility. By the end of the first fiscal year, there were 10 patients at the institution. The admission age was designated to be between 5 and 16 years, and the institution was for built as the state's Epileptic Home for Whites. During the 1911-1912 fiscal year, the patient count jumped to 64. The population at the school rapidly increased over the next few decades. By 1927, there were 554 patients: 247 of them male and 307 female. Just one year later, the patient count was up to 656.
As the patient count at the institute increased, so too would the number of activities and programs there. The institute added a slaughterhouse in 1928 and a bakery in 1929. In 1931, the institute’s farm had 90 cows, 36 of which were giving milk. There were 125 pigs, 60 of which were ready to kill. The farm additionally had 13 chickens, 50 guineas, 35 geese and 25 ducks. Produce also was  grown, including cucumbers, carrots, tomatoes, turnips, watermelon and cantaloupes.
In 1935, Oklahoma Institute for the Feeble Minded was renamed Northern Oklahoma Hospital. By 1936, there were 1,049 patients at Northern Oklahoma Hospital. In 1945, the facility was up to 1,250 patients, but they were experiencing an overcrowding problem. Produce at the farm had increased to supply 8,880 pounds of tomatoes, 12,000 pounds of onions and 900 pounds of grapes, just to name a few crops. There there also was 3,694 pounds of hens, 1,875 pounds of turkey and 950 pounds of butchered beef.
Throughout the institution’s history, new buildings were built on campus and old ones were torn down. By 1954, there were eight female cottages and seven male cottages on campus. Boys and girls were made to live separately. The name of the institution was Northern Oklahoma Hospital until 1947, when it was renamed Enid State School. In 1985, it was renamed once again to become Northern Oklahoma Resource Center of Enid.
Plans to close the facility for the developmentally disabled were announced in 2012, and by 2014 it had been closed as a residential facility. The Robert M. Greer Center, which also is on the property, remains open. It houses several dozen patients and specializes in those with developmental disabilities and mental illness. Clients have moved in with family or into group homes with other developmentally disabled clients where available.
This cemetery is located at 30th Street and Breckenridge, on the grounds of NORCE. A tall metal arch at the entrance shows ""ENID STATE SCHOOL CEMETERY"" with the dates 1918-1985. There are approximately 135 burials here. This is a flat, grassed area with a handful of rather old trees. A concrete sidewalk leads to a small garden area with two concrete benches and a metal bench, as well as a small stone angel statue. The oldest burial here was in 1930, with forty internments in the 1940s, and a few in recent years, with the latest in 2010.",2014,"Enid, OK",,"1,444 in 1963",1910,2014,,,1250,0
Oklahoma,"Creating Cherokee Asylum for the Insane, Deaf, Dumb, and Blind","https://www.asylumprojects.org/index.php?title=Cherokee_Asylum_for_the_Insane,_Deaf,_Dumb,_and_Blind&action=edit&redlink=1",,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the locations menu to the left, what is the sixth country up from the bottom?",,,,,,,,,,1
Oklahoma,Pauls Valley State School,https://www.asylumprojects.org/index.php?title=Pauls_Valley_State_School,1907,,1908,Closed,Cottage Plan,,Pauls Valley State Hospital | Southern Oklahoma Resource Center,"The Pauls Valley State School was established in 1907 as a state training school for boys. A year later construction began on a dormitory building, farm, and classrooms. The school focused on white boys aged 10-18 and used military discipline to correct the boys' behavior. Manual labor was performed by the boys such as farming and raising chickens. Over the years the school housed an average of 200 boys, and they would spend half their day in the classroom and the other half working the farm or other skills such as shoe-repair, engineering, printing, and laundering. Military drills were practiced for 30-minutes a day by all students.
In 1945, $45,000 was approved and appropriated by the State for two more buildings at the school: a detention and an observation home that would include a small dormitory, classroom, and a clinic; and a large dormitory meant to house 40 boys. The new dormitory became known as the ""Honor Building"", where boys could move after completing 3-months at the school with good record.
Boys were sentenced to the state school via the court system and for a myriad of reasons, ranging from petty theft to murder. In 1938, Daniel Van Horn, 15, and his 12 y/o accomplice were sentenced to 5 years at the training school for stealing $1.80 and a bicycle. Another boy, LE Goddard, was 12 y/o when he was sentenced to the training school for shooting and killing his 8 y/o cousin. He was first evaluated at the Eastern State Hospital for the Insane where he told officals ""they were telling lies on me"", but was determined to be sane with anger issues.
The training school was operated as such until converted to a state hospital for people with epilepsy in 1945 called Pauls Valley State Hospital, and then to a state facility for people with mental retardation in 1953. In 1992 Enid State School and Pauls Valley State School underwent another name change, and the two were renamed the Northern and Southern Oklahoma Resource Centers.
The Southern Oklahoma Resource Center (SORC) in Pauls Valley is a residential and habilitative facility, also classified as an intermediate care facility for persons with mental retardation (ICF/MR). The majority of the persons who live at SORC have severe or profound mental retardation as well as other disabling conditions. The primary mission is to provide services that enhance the development of each individual and to provide opportunities that promote personal growth and independence. The Oklahoma Human Services Commission announced in November, 2012 the state’s plans to close the Southern Oklahoma Resource Center. It was closed July 2015.
There is a small cemetery on the grounds of the Pauls Valley State School holding an undetermined number of grave sites. There are 36 markers with names identified. It is currently overgrown with markers hardly visible.",2015,"Pauls Valley, OK",,,1907,2015,,,,0
Oklahoma,Oklahoma State Training School for Boys,https://www.asylumprojects.org/index.php?title=Oklahoma_State_Training_School_for_Boys,,,1945,Closed (As a juvenile facility),Single Building,,Helena State School for Boys | James Crabtree Correctional Center (Current),"The facility was originally established in 1904 in Pauls Valley, OK, and has served as a county high school, a junior college, an orphanage, and training school for boys ages 10-17. The school was moved to the vacant Orphans Home at Helena, Ok and the original building was then used as additional patient housing for the Pauls Valley State Hospital. During this time the school operated on the same grounds as the Western Oklahoma State School for White Children, an orphanage that occupied the former high school after 1923.
Reconfigured in July 1982 as James Crabtree Correctional Center, a medium-security prison, the complex has housed more than eight hundred adult men offenders and continued in that function at the end of the twentieth century. In the 1990s the facility operated a farm and also maintained a quail hatchery for the Oklahoma Department of Wildlife Conservation. During the 1990s the prison's wild horse training program annually brought mustang owners and buyers to Helena.",1982,"Helena, OK",,,,,,,,1
Oklahoma,Oklahoma State Training School for Incorrigible Negro Boys,https://www.asylumprojects.org/index.php?title=Oklahoma_State_Training_School_for_Incorrigible_Negro_Boys,,,1924,Active,Single Building,,John Lilley Correctional Center,"Built sometime around 1925 in the Freedman town of Boley, Okfuskee County, Oklahoma. Boley was established in 1903 on the land of the daughter of a Creek Freedman as a predominantly Black pioneer town with Native American ancestry among its citizens. Records show Caesar F. Simmons as Superintendent in 1934. Over the years, the school for incorrigible boys transitioned into a Department of Human Services facility before becoming what it is today: the John Lilley Correctional Center, a minimum security prison.",,"Boley, OK",,,1925,,,,,1
