State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population,year_opened_LLM,year_closed_LLM,number_of_beds_LLM,number_of_patients_LLM,peak_patient_population_LLM,hand_check_flag_LLM
South Dakota,Custer State Hospital,https://www.asylumprojects.org/index.php?title=Custer_State_Hospital,,,,Closed,Cottage Plan,Harry J. Manning,South Dakota Sanatorium for Tuberculosis  |  Custer State Hospital and School | South Dakota State Treatment and Rehabilitation Academy,"Originally operated as the state sanatorium for the state of South Dakota, then later converted and remodeled as the Custer State School. Most recently it was home to the STAR Academy for juvenile offenders which closed in April of 2016.",1996,"Custer, SD",,,,2016,,,,1
South Dakota,Redfield State Hospital,https://www.asylumprojects.org/index.php?title=Redfield_State_Hospital,1899.0,,1902,Active,Cottage Plan,,Northern Hospital for the Insane | South Dakota State School and Home for the Feeble Minded | South Dakota Developmental Center (Current),"The South Dakota Developmental Center was established by the state legislature in 1899. The facility opened in February 1902 as the Northern Hospital for the Insane with 45 people in a three story building made of Sioux Falls granite. All direct contact staff as well as administrative staff lived there. All legislation concerning establishment, admissions, and support indicates that these facilities were not intended to be used by people who had mental illness, but for those persons who had a developmental disability. In 1913, the name was changed to State School and Home for the Feeble Minded. It became known as The Redfield State Hospital and School in 1951 and in 1989 we took our current name.
Population at SDDC increased rapidly and by 1918, population had increased ten times its original number to 471 persons. This trend in population increase continued until 1963 when the population hit its all time high at 1199 persons. At that time, there were 11 large buildings on campus used for housing. The TB Sanatorium at Custer, SD was remodeled and reopened as The Custer State Hospital and School. Several people were transferred to Custer to ease the crowding at the Redfield facility. The Custer facility was closed in 1996 and the people were moved into the community.
By 1970, the population had dropped to 980 and with the passing of the Developmental Disabilities Act in 1970 which provided for the deinstitutionalization of inappropriately placed persons, the number of people living there dropped quickly. At present, they serve approximately 145 persons with Developmental Disabilities.
1904
1910
1916
1929",,"Redfield, SD",,1199 in 1963,1902,,,,1199,0
South Dakota,Yankton State Hospital,https://www.asylumprojects.org/index.php?title=Yankton_State_Hospital,1878.0,1879.0,1880,Active,Kirkbride Plan (Demolished),,Dakota Hospital for the Insane | South Dakota State Hospital | South Dakota Human Services Center,"The completion of the railway into Yankton in 1873 gave added impetus to immigration and by 1878 the effect of the gold rush was reflected in the number of Dakota patients at St. Peter Hospital, totaling 22. Governor William A. Howard was advised in June by Minnesota that no more patients could be accepted after July 1 because of crowded conditions at that hospital and all Dakota patients would have to be removed by October 1, 1878.
The Governor contacted Iowa hospitals without success, then traveled to Lincoln, Nebraska, and found that institution overcrowded but by completing some unfinished rooms, accommodations were arranged for five patients until the following February. Another contract with Minnesota resulted in an extension until February 1, 1879, for removal of the patients from St. Peter.
Governor Howard searched for a building to be used for a hospital in nearby towns of Vermillion, Elk Point and Canton with no success. In Yankton, he found two large wooden buildings--one belonging to the city and one to the Territory that were built to house German-Russian immigrants. The Governor secured the buildings and arranged to have them rebuilt on school lands north of Yankton at personal expense, a total of $2,286.85. The thirteenth session of the Dakota Territory Legislature met on January 14, 1879, and in the Governor’s message he advised the lawmakers of his action and the necessary laws were passed.
During the first six months there were five employees; and, 31 patients were cared for, five being discharged, fully recovered. The appropriation for the first two years was inadequate and citizens generally did not realize that patients needed much more than food and clothing so future legislatures were inclined to reduce recommended allowances for their care, treatment and support.
In 1880, Governor Howard was reimbursed for his personal contribution. At that time, there were 50 patients causing overcrowding and the hospital was understaffed. The population of Yankton was over 3,400, a remarkable increase from the less than 50 in 1859. In 1899, a devastating fire took the lives of seventeen women patients. The catastrophe prompted the state legislature to appropriate much-needed funds to the institution. Laws were enacted requiring fireproof buildings, defining fireproof structures, prescribing smallest area of floor space per patient and describing the minimum per capita amount of air in apartments where patients were kept.
In 1918, the name of the hospital was officially changed from Dakota Hospital for the Insane to the Yankton State Hospital. This was done because of complaints that the original name had a derogatory connotation and other types of patients such as alcoholics and epileptics were also housed there.
The patient population in the mid 1920’s was more diversified than in earlier years. In the late 1920’s and early 1930’s, the institution went through, as did the rest of the nation, a very difficult period. The situation at Yankton was almost impossible to handle; an increasing rate of admissions combined with a decreasing budget. Ironically, money was somehow found to build a nine-hole golf course at the institution during 1930-1931. Overcrowding was a serious problem in the mid and late 1930’s. With the advent of therapeutic treatments, however, incoming patients were released within a few months, thus helping to ease the overcrowding problem.
World War II disrupted the flow of progress. The Selective Service Act, then in effect, forced the hiring of youth too young for the draft or people too old for military service. In addition, wages at the institution were poor and with so many men gone to war, hospital employees left to take up better-paying jobs.
The 1950’s brought increased understanding of mental illness and relatives of patients were more willing to accept them, rather than wanting to hide them in Yankton. Medical work at Yankton in the early 1950’s became more varied and systematized than ever before. Changing attitudes toward the mentally ill contributed greatly to improving conditions at the hospital. Various forms of physical force, such as the use of strait-jackets, were discontinued. The development of antipsychotic medications also brought about a significant reduction in the hospital census.
The 1960’s saw a significant enlargement of the medical staff. The staff was also of better quality than at any previous time. The need was also seen at this time for a geriatric department. The intensive treatment program established in the early 1960’s showed results as the decade wore on, for the population at the hospital continuously decreased year after year.
From 1968-1973, a great deal of activity took place. Construction was started on a new central dietary building as well as a new recreational facility. In addition, Ordway, Herried, Mellette and Kyle Buildings were renovated. On July 1, 1974, the name of the facility was changed from Yankton State Hospital to the South Dakota Human Services Center. The change was enacted by session of the Legislature to more clearly reflect the services offered. The year 1979 marked HSC’s 100th anniversary. Centennial events were held in conjunction with the event.
The 1980’s saw further development in services and programs available to HSC patients. In 1989-1990 changes took place at HSC following reorganization of the state Board which previously coordinated the Center’s work. In 1988, voters abolished the Board of Charities and Corrections, which was created under the South Dakota Constitution to handle the state’s inmates and patients in need of various services. In place of the Board, two new cabinet-level departments were created which separated the responsibilities for inmates from those of patients. The Department of Human Services, one of the two newly-created Departments became the governing authority for HSC.
In 1991, Governor George S. Mickelson directed that a study of the existing HSC campus be conducted. This study found it would be more costly to upgrade existing buildings than construct new ones specifically designed for patient treatment. Governor Mickelson advanced bills proposing design and construction of a new psychiatric facility which passed by an overwhelming majority of the 1992 Legislature.
Dedication and Ground Breaking Ceremonies were held on April 28, 1994. Recognizing the efforts of Governor Mickelson, the new facility was dedicated ""George S. Mickelson Center for the Neurosciences."" The new facility was completed in the fall of 1996 and was occupied in October of that year. The Human Services Center is a state-of-the-art treatment center providing inpatient psychiatric and chemical dependency treatment services to South Dakota’s residents.[1]
Main Image Gallery: Yankton State Hospital
The cemetery on the grounds is still maintained by the facility & contains over 1,000 former patient burials.  The majority of the graves are marked only with the person's Patient Record Number on a small, concrete pillar. The few exceptions are a handful of graves where the family has replaced the concrete marker with a conventional headstone showing name, dates, etc. To obtain information about cemetery records or for procedures for adding a grave marker, please contact the South Dakota Human Services Center at 605-668-3100. The Medical Records staff can offer assistance.
List of burials including grave #",,"Yankton, SD",,,1879,,,,,0
South Dakota,Redfield State Hospital,https://www.asylumprojects.org/index.php?title=South_Dakota_Developmental_Center,1899.0,,1902,Active,Cottage Plan,,Northern Hospital for the Insane | South Dakota State School and Home for the Feeble Minded | South Dakota Developmental Center (Current),"The South Dakota Developmental Center was established by the state legislature in 1899. The facility opened in February 1902 as the Northern Hospital for the Insane with 45 people in a three story building made of Sioux Falls granite. All direct contact staff as well as administrative staff lived there. All legislation concerning establishment, admissions, and support indicates that these facilities were not intended to be used by people who had mental illness, but for those persons who had a developmental disability. In 1913, the name was changed to State School and Home for the Feeble Minded. It became known as The Redfield State Hospital and School in 1951 and in 1989 we took our current name.
Population at SDDC increased rapidly and by 1918, population had increased ten times its original number to 471 persons. This trend in population increase continued until 1963 when the population hit its all time high at 1199 persons. At that time, there were 11 large buildings on campus used for housing. The TB Sanatorium at Custer, SD was remodeled and reopened as The Custer State Hospital and School. Several people were transferred to Custer to ease the crowding at the Redfield facility. The Custer facility was closed in 1996 and the people were moved into the community.
By 1970, the population had dropped to 980 and with the passing of the Developmental Disabilities Act in 1970 which provided for the deinstitutionalization of inappropriately placed persons, the number of people living there dropped quickly. At present, they serve approximately 145 persons with Developmental Disabilities.
1904
1910
1916
1929",,"Redfield, SD",,1199 in 1963,1902,,,,1199,0
South Dakota,Creating Chamberlain Indian School,https://www.asylumprojects.org/index.php?title=Chamberlain_Indian_School&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
What is the second word in our logo?",,,,,,,,,,1
South Dakota,Creating Flandreau Indian School,https://www.asylumprojects.org/index.php?title=Flandreau_Indian_School&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
What is the primary background color of the circle in our logo?",,,,,,,,,,1
South Dakota,Creating Marty Indian School,https://www.asylumprojects.org/index.php?title=Marty_Indian_School&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
In the navigation menu to the left what is the second word of the fourth link from the top?",,,,,,,,,,1
South Dakota,South Dakota Training School,https://www.asylumprojects.org/index.php?title=South_Dakota_Training_School,1886.0,,1888,Active,Cottage Plan,,South Dakota Reform School | Plankinton Reform School | Aurora Plains Academy,,,"Plankinton, SD",,,,,,,,1
South Dakota,St. Joseph's Indian School,https://www.asylumprojects.org/index.php?title=St._Joseph%27s_Indian_School,,,,Active,Cottage Plan,,Chamberlain Indian School |  St. Joseph's School,"The school was founded as a Catholic mission school in 1927 by  Henry Hogebach, a Roman Catholic priest from Germany. School opened in the fall of 1927 with 53 Lakota (Sioux) boys and girls.
As a residential school, it provided dormitories for a range of Native American children, primarily from the Lakota and Sioux reservations on the Great Plains. The school was originally directed to assimilate Native American children to the majority United States culture, influenced by European traditions.
In November, 1929; Thanksgiving week, two government doctors and a nurse paid the school a visit to look after the health of the children. Six had their tonsils removed and five had their eyes operated on for Trachoma.
In early January, 1930 the laundry building was destroyed by fire and was rebuilt in the Spring. The original school was destroyed by fire in 1931, and was slowly rebuilt over the next few years before the Depression, with great help from Catholic donations.
During the Depression (1934-1935), many nurses and children fell ill and had little to eat, the pipes often froze, and the electricity was cut off. One nurse's journal from the time reports-- ""The depression is at its peak and times are hard.  In the spring Sr. Pauline took sick and had to be taken to the Pierre Hospital.  She recovered somewhat, but before the new school year opened the Lord called His faithful handmaid home.  Sister Cecilia and Helen Durkin were quarantined for several weeks after contracting scarlet fever. Many of the children were undernourished and sickly.  In November we sent one little girl away because her condition was a danger to the other children with whom she associated.  She had neither parents nor home.  An old Indian lady took her, but she was very poor and had not much herself.  We tried everything to get the child into a hospital or sanitarium.  We had no success the girl developed tuberculosis and died three months later.""
On January 7, 1941 Fr. Henry was killed in a car accident, leaving Sr. M. Raphael Superior to run the school the following year; with 160 children. In 1942 a huge number of seagulls came in to eat the growing grasshopper and pest problem; bringing good hay and fate livestock to the school. The ongoing war brought higher prices for everything the school produced. At the same time many of the older boys at the school were leaving for Military Camp with the US Army.
By 1950 the enrollment had grown to 230 children, many of them small. It was also during this time (1956) that the Our Lady of the Sioux Chapel was built. Yet the graduation class in 1953 numbered only 16. In 1960 the enrollment was up to 331 with a new Principal, Sr. Canicia; numbers the school was not built to hold. And in 1968 a new dormitory building (current Akta Lakota Musuem and Cultural Center) was built to relieve overcrowding.
In 1970 the present dining hall was completed, and in 1975 a swimming pool was added to the grounds. From 1980-1983 the conversion from dormitories to residential living units was completed. Each home houses 10-12 students and one houseparent.
The school continues to be owned and operated by the Priests of the Sacred Heart, non-Native Americans. In the 21st century, approximately 200 Native American children attend the residential school. Today students live in family-style group homes with other students. The school's campus expanded throughout the 1990's, and continues to expand breaking ground on a new health center in 2016.
In the 2010s, St. Joseph's School has been investigated for several issues related to its fundraising practices. In 2013 the school failed to meet the give.org standards for charity accountability. n 2014 it was the subject of investigative reports by CNN and Indian Country Today. The school sent out mass mailings featuring offers of made-in-China dreamcatchers and fictional, emotional letters from nonexistent students. The school has been criticized by the Better Business Bureau for sending out a letter claiming they had insufficient funds to heat the school. At the time of this claim, the school had millions of dollars free to spend.",,"Chamberlain, SD",,,[1927],[None],[None],[None],[331],1
South Dakota,Creating Pierre Indian School,https://www.asylumprojects.org/index.php?title=Pierre_Indian_School&action=edit&redlink=1,,,,,,,,"You have followed a link to a page that does not exist yet.
To create the page, start typing in the box below (see the help page for more info).
If you are here by mistake, click your browser's back button.
Warning: You are not logged in. Your IP address will be publicly visible if you make any edits. If you log in or create an account, your edits will be attributed to your username, along with other benefits.
Please note that all contributions to Asylum Projects may be edited, altered, or removed by other contributors.
If you do not want your writing to be edited mercilessly, then do not submit it here.
You are also promising us that you wrote this yourself, or copied it from a public domain or similar free resource (see Asylum Projects:Copyrights for details).
Do not submit copyrighted work without permission!
To edit this page, please answer the question that appears below (more info):
What is the second word in our logo?",,,,,,,,,,1
