State,Hospital Name,URL,Established,Construction Began,Opened,Current Status,Building Style,Architect(s),Alternate Names,Raw Text,Closed,Location,Architecture Style,Peak Patient Population,year_opened_LLM,year_closed_LLM,number_of_beds_LLM,number_of_patients_LLM,peak_patient_population_LLM,hand_check_flag_LLM
Texas,Austin State Hospital,https://www.asylumprojects.org/index.php?title=Austin_State_Hospital,1856.0,1857.0,,Active,Kirkbride Plan,,Texas State Lunatic Asylum,"Austin State Hospital was the first state facility of its kind built west of the Mississippi. In 1856, the governor of Texas signed a bill providing for the establishment of the Texas State Lunatic Asylum. Construction started in 1857, and the first patients were admitted in 1861. The facility was renamed the Austin State Hospital (ASH) in 1925.
Today, this original building serves as the administration building for a modern, innovative facility providing psychiatric care to a 38-county region in Central Texas. ASH admitted over 4400 patients in the fiscal year 2006, with about the same number of discharges, and has an average daily patient census of 292. The focus of treatment is stabilization of acute psychiatric illness and return to the community.
The old Texas State Lunatic Asylum, which now houses the administrative staff of the Austin State Hospital, is the third oldest standing public building our state. With its completion in 1861 in the lush countryside north of Austin, the hospital stood as a beacon of hope and tolerance for the treatment of the mentally ill.
The asylum movement in the United States and Europe reflected the belief that people recently diagnosed with mental ailments could regain their sanity in an idealized environment free from the stress of everyday life. Asylums strived to provide a healthy diet, exercise, fresh air, adequate rest, a strict daily routine, social contact, and a kind but firm approach. This humanitarian philosophy marked a vast leap forward from earlier theories that mental illness stemmed from demonic possession and proscribed treatments such as flogging and cold water to drive out the demons. Texas modeled its asylum after an innovative program developed in Philadelphia by Dr. Thomas Kirkbride. The Philadelphia maverick had pioneered new, progressive treatments for the mentally insane, including behavior modification, drug therapy and an unrestrictive environment.
The lunatic asylum, later renamed the Austin State Hospital in 1925, strived to offer patients the most modern treatments, including art, music, and recreational therapy. It also provided state-of-the-art medical care, such as psychiatric drugs, hydrotherapy, electroconvulsive shock treatment, and on rare occasions, surgical lobotomy. From 1904-1928, the asylum also housed the Pasteur Institute, which provided rabies shots to afflicted Texans. Visitors to the administration building can view intriguing medical artifacts.
The original building, which was dressed up with a classical portico in 1904, offered three stories and a basement for administrative offices and staff and patient quarters. Its thick, hard plaster walls could endure frequent scrubbing and the thick limestone walls and high ceilings offered relief from the Texas heat. Noisy patients were separated from quiet ones, and all patients lived above ground in rooms with at least one window. As the patient population grew from the initial 12 patients to nearly 700 by the late 1890's, additional wings and buildings sprang up. The asylum functioned as a self-supporting village with artesian wells, gardens, a dairy, ice factory, and a sewing/tailor shop. These other historic structures were eventually destroyed by fire or demolished to make way for newer buildings.
Early residents of Hyde Park were drawn to the expansive landscaped asylum grounds, taking carriage rides on the 700 yards of graveled drives and enjoying picnics under the live oak trees and along the banks of lily ponds. Children of the era explored the Japanese-style gardens and paddled small boats to the tiny islands dotting the large lake on the southeastern corner of the property.
While a sense of timelessness pervaded the beautiful fenced grounds, the hospital nonetheless felt the impact of the passing years. So many attendants fell ill or fled with fear during the devastating 1918 influenza epidemic that patients had to run the wards. World War II brought personnel and food shortages. Racial integration began in 1958, ending the practice of separating black patients into inferior quarters. The new emphasis on personal freedom championed by the civil rights movement helped fuel the community care movement, eventually emptying the beds of the Austin State Hospital and other institutions.
The Austin State Hospital, which once housed more than 3,000 patients during the 1960's, currently serves as an acute care facility for its 300 patients. Patients typically stay several days to a few weeks until their condition stabilizes and they can return to their communities. The focus of treatment is stabilization of acute psychiatric illnesses and return to the community where outpatient support services can be provided by the community centers that work with ASH.[1]
Main Image Gallery: Austin State Hospital
The current cemetery opened in 1882, making it 25 years “newer” than the state hospital, which dates to 1857. During those 25 years, deceased patients were buried in a small on-campus graveyard. Their remains have since been moved to the new cemetery. The current cemetery has about 3,000 patients buried within, most unmarked. The cemetery still is used today, serving both the Austin State Hospital and Austin State School.",,,,"3,665 in 1960",1861,,,3000,3000,0
Texas,Big Spring State Hospital,https://www.asylumprojects.org/index.php?title=Big_Spring_State_Hospital,1937.0,1938.0,1939.0,Active,Cottage Plan,,West Texas State Hospital for the Insane,"The 45th Texas Legislature authorized the construction of Big Spring State Hospital in 1937 to serve the people of the West Texas area. The city donated the 577 acres, which at the time was valued at $51,400 and philanthropist Dora Roberts guaranteed a permanent water supply. Governor James V Allred placed the facility in Big Spring because of the need for a psychiatric hospital in West Texas. Ground was broken in January 1938, and the hospital opened 18 months later in June 1939. Within six months, the hospital treated 402 patients, most of whom were transferred from other state facilities.
The original eight buildings designated as the general hospital were the administration building, including professional and administrative staff living quarters; the employees building, which included housing for direct care and clerical staff; the men's receiving hospital; the women's receiving hospital; the psychiatric hospital; the laundry; the power house; and the supply building. A railroad spur was located west of the supply building in order for the transportation and delivery of hospital supplies.
Five additional buildings were constructed on campus within the next 10 years at a cost of $778,000. Improvements to the grounds and the addition of equipment brought the total hospital investment to $1,060,571. Today, the hospital physical plant includes 25 buildings.
Big Spring State Hospital's staff also has grown since 1939. More than 100 employees originally tended to the needs of more than 400 patients. Two physicians, a social worker, psychologist, superintendent, clinical director, a storekeeper/accountant, four registered nurses, a dairyman, swinesman, yardman and about 500 attendants. Most of the employees lived on hospital property working 12-hour shifts. The pay was low, but was supplemented by free housing, meals and medical care. More than 640 employees currently work for Big Spring State Hospital, serving people in 58 counties through seven community mental health centers.
At the height of the hospital's population, more than 1,100 patients were cared for at the psychiatric hospital. During World War II, the hospital census fell to 211 patients, and buildings were closed for a short period of time. The development of active treatment programs, drug treatment, the addition of treatment modalities and the use of community-based outreach clinics, shortened hospitalization stays.
Patients attended dances, which were attended by employees, patients and Big Spring-area residents. These social events were held on the tennis courts during the summer. Movies were also shown for the patients' enjoyment, and the community provided a Christmas party each year. This tradition continues today, and is coordinated by the Community Relations Department.
The original methods of treatment for the patients were very innovative for their time and included hydrotherapy, ""fever"" therapy, insulin therapy, and custodial care. In 1947, electroconvulsive shock therapy (ECT) came into popular use and it was added to the treatment procedures used. In the middle 50s, the census of the hospital was increasing and the hospital began to participate in the clinical investigations of the use of tranquilizing medications. When tranquilizing medication was finally accepted into general practice, many patients before seen as chronic and incurable, were released to their home communities and families and other methods of treatment such as hydrotherapy, insulin therapy, etc., were declared antiquated and taken out of use.
Big Spring State Hospital was the first Texas mental hospital to have its doors unlocked during the daylight hours. In cooperation with the local school district, it was first in the state to pilot an on-campus educational program; in 1990 it had a fully accredited school program on campus. It was the first to have a public-awareness program, specialty units for the treatment of adolescents and alcoholics, and both male and female patients in the same unit. The hospital was a pioneer in developing aftercare programs for the mentally ill. It was one of the first in the state to have an organized volunteer program. Big Spring State Hospital is financed through the Texas Department of Mental Health and Mental Retardation and accredited by the Joint Commission of Accreditation of Health care Organizations and Medicare.[1]
Several hundred former patients are buried in a cemetery on the hospital grounds. It is open to the public, however signing in at the administration building first is required.",,"Big Springs, TX",,"1,100",1939,,,402,1100,0
Texas,El Paso Psychiatric Center,https://www.asylumprojects.org/index.php?title=El_Paso_Psychiatric_Center,1991.0,1994.0,1996.0,Active,Single Building,,,"In November 1991, a State Constitutional Amendment authorized the sale of $8.7 million in general obligation bonds to construct the El Paso Psychiatric Center (EPPC.) The Center was to be owned by the Texas Department of Mental Health and Mental Retardation and developed in conjunction with Thomason Hospital, Texas Tech University Health Sciences Center, Life Management Center for Mental Health and Mental Retardation Services, El Paso State Center and the El Paso County Drug and Alcohol Abuse Services, known collectively as the El Paso Psychiatric Center Coordinating Council (EPPCCC).
In October 1992, the Texas Department of Mental Health and Mental Retardation approved submission of bonds for sale for the cost of planning and design. Remaining bond funding was used for the construction of the Center. A groundbreaking ceremony was held on December 2, 1994 and construction was completed in May 1996, with an opening in August. This legislative session secured $ 22.2 million for operating funds for the biennium. Additional funding was appropriated for furniture and equipment.
The Center is located on property leased from the El Paso County Hospital District adjacent to the west end of Thomason Hospital, the county's district hospital. Center construction was coordinated with long range planning on the medical campus, which includes the Center and Texas Tech University Regional Academic Health Center and Texas Tech Medical Center educational facilities.
The El Paso Psychiatric Center was a coordinated effort to deliver accessible, comprehensive acute care through the collaboration of the institutions and agencies composing EPPCCC and other community agencies. The Center's purpose is to deliver high quality, coordinated individualized psychiatric patient care, to teach and train health care professionals and engage in research. The Center is a new approach to collaborative community efforts in the state and a model for other developmental projects for mental health care delivery.
From January 2001 through August 31, 2002, El Paso Psychiatric Center was under the oversight of the Texas Department of Mental Health Mental Retardation (TDMHMR). On September 1, 2002, EPPC became the tenth state mental hospital comprising TDMHMR. Since September 1, 2004, the center is under the oversight of the Department of State Health Services (DSHS.) [1]",,,,,1996,,,,,0
Texas,Galveston State Psychopathic Hospital,https://www.asylumprojects.org/index.php?title=Galveston_State_Psychopathic_Hospital,1929.0,,1931.0,Active,Single Building,,Texas State Psychopathic Hospital  | Marvin Graves Building,"The Marvin Graves Building was constructed in 1931 as the State Psychopathic Hospital and enlarged in 1936. Although located on the UTMB campus, it was administered independently of the school. Because of heavy damage from a 1943 hurricane, the state vacated the building. It sat unoccupied and unrepaired until 1945, when the state legislature gave it to UTMB. Reopened as a university psychiatric facility, the structure was extensively remodeled in 1959 and updated again in 1979. The building was renamed in memory of Dr. Marvin L. Graves, who served as UTMB professor of medicine from 1905 to 1926 and who introduced psychiatry into the university’s curriculum. It currently houses classrooms and administrative offices.",,"Galveston, TX",,,[1931],[1943],[None],[None],[None],0
Texas,Kerrville State Hospital,https://www.asylumprojects.org/index.php?title=Kerrville_State_Hospital,,1915.0,,Active,Cottage Plan,,Mountain Park Sanitarium | Thompson Sanitarium | Kerrville State Sanatorium for Negroes,"Kerrville State Hospital is on a hill overlooking the Guadalupe River in Kerrville, Texas. Around 1900 a dude ranch named My Ranch occupied this site. In 1915, 1,000 acres were sold to a group of San Antonio investors, who converted the ranch into the Mountain Park Sanatorium for patients with tuberculosis. In 1917 Dr. Sam E. Thompson purchased the property and operated his famed Thompson Sanatorium there until 1936, when it was acquired by the state of Texas for $80,000. The previous year the Forty-fourth Texas Legislature had appropriated $200,000 for the establishment of a tuberculosis hospital for black patients.
On June 1, 1937, the facility opened as the Kerrville State Sanatorium for Negroes; it was under the direction of Dr. H. V. Swayze. In 1949 the sanatorium was closed and all of its patients transferred to the East Texas State Tuberculosis Hospital in Tyler. The facility was reopened by the state in May 1951 as a branch of the San Antonio State Hospital, serving 119 geriatric women with mental illness. On September 1, 1952, it became a separate entity, known as Kerrville State Home.
By 1959 the hospital had grown to serve 1,200 resident patients; it had buildings located on 41 acres with an adjacent 258 acres that included a small lake. That same year the Texas legislature changed the name to Kerrville State Hospital. As the census at the hospital grew to more than 1,550 patients, the Fifty-eighth legislature appropriated funds to establish a Legion Annex as a branch of the Kerrville State Hospital. The annex, formerly operated as the Legion State Tuberculosis Hospital in buildings leased from the United States Veterans Administration Hospital at Legion, was remodeled to serve mentally ill patients.
It opened in 1964. In 1965 the Kerrville State Hospital census was 1,556, with 374 of these patients housed at the annex. By the early 1970s the hospital had begun changing its emphasis from providing custodial-type institutional care to instead providing individualized psychosocial treatment with an emphasis on the return of patients to the community. Kerrville State Hospital continues to provide facilities that meet standards of the Joint Commission on Accreditation of Healthcare Organizations and Medicare certification. In 1994 the patients moved from the thirteen individual residential buildings located across the campus to the new three-story, 200-bed Luther W. Ross Building; the new structure was named in honor of the Kerrville State Hospital superintendent from 1953 through 1992.
A major renovation and an addition were made to the psychiatric medical unit in 1991; this unit has a thirty-three-bed capacity. Patients could also reside in a psychosocial-rehabilitation living unit on campus. In 1994 the Kerrville State Hospital campus consisted of fifty-three buildings, thirty-nine of which were directly related to patient care. They included a central kitchen, a rehabilitation building (with a woodshop, an arts and crafts clinic, and an auditorium), a physical therapy building, and a psychosocial-classroom building. In 1994 Kerrville State Hospital was one of eight hospitals in the Texas Department of Mental Health and Mental Retardation system. It served a sixteen-county area and had an approximate capacity of 350 beds to treat individuals aged eighteen and over. The Community Services Division of Kerrville State Hospital had eight clinics spread throughout its service area. These clinics provided early treatment intervention to prevent the need for hospitalization, as well as comprehensive follow-up for clients returning to the community after hospital treatment.",,,,"1,556 in 1965",1937,,350,,1556,0
Texas,Lubbock Psychiatric Center,https://www.asylumprojects.org/index.php?title=Lubbock_Psychiatric_Center,,,,,,,,HHSC (Health and Human Services Commission) is planning to build a 50-bed maximum-security unit in Lubbock. Construction is anticipated to begin in 2025 with completion planned for 2027. $121 million approved by the 88th Texas Legislature.,,"Lubbock, TX",,,,,,,,1
Texas,Panhandle State Hospital,https://www.asylumprojects.org/index.php?title=Panhandle_State_Hospital,,,,,,,,HHSC (Health and Human Services Commission] is planning to build a 75-bed non-maximum-security hospital in Amarillo. Construction is anticipated to begin in 2025. $159 million approved by the 88th Texas Legislature.,,"Amarillo, TX",,,,,,,,1
Texas,Rio Grande State Center,https://www.asylumprojects.org/index.php?title=Rio_Grande_State_Center,,,1962.0,Active,Single Building,,Harlingen Adult Mental Health Clinic | Harlingen State Mental Health Clinic | Rio Grande State Center for Mental Health and Mental Retardation,"Rio Grande State Center (RGSC) opened in October, 1962 as the Harlingen Adult Mental Health Clinic in a line shack just off the runway of the Harlingen airbase.  Initially, there were six staff members who provided follow-up care to individuals released from San Antonio State Hospital.
In 1963, the center moved into the abandoned Harlingen airbase hospital building, and in 1965 the name was changed to Harlingen State Mental Health clinic.   By that time, the center had expanded to include day services for people up to 80 years old with a wide range of mental health and chemical addiction problems.
In-patient services with 20 mental health beds were included in 1968.  The center also began to offer alcoholism and drug abuse treatment services.  The following year, the center established outreach centers and clinics in key cities in the service area and the name was changed to Rio Grande State Center.
In 1972, the center added 130 beds for mental retardation residential services with the opening of two dorms on the campus of the South Texas Hospital.  Patients came from all over the state.  The residents participated in Adult Education and Independent Living Skills training on campus and Special Education in public schools.  Residents participated in the Special Olympics, Jaycees, Girls Scouts, and Boy Scouts of America.   Volunteer Services Council organized in 1964 donated a one-bedroom apartment building named after state representative Menton Murray, Sr., to RGSC so families from out-of-town could come visit and have a place to stay overnight.  The Menton Murray, Sr. Clubhouse is presently used by residents 55 years and over as the Retirement Program.  The Volunteer Services Council went on to later build a swimming pool, a nature park and a pavilion for all the residents.  Intellectual Disabilities Services presently offers 110 residential beds certified by Intermediate Care Facilities for Mental Retardation and Joint Commission for Accreditation of Healthcare Organizations.  Many of the residents after intensive independent living skills training graduated into group homes in the community.
In Sept. 1989, a 15-bed Transitional Living Unit was opened.  The unit provided extended service for adults prior to their transferred to group home or back into the community.  This unit primarily served adults with chemical dependency and was closed in 1994.
RGSC was responsible for Community Based Services in the five northern counties of our service area.  Satellite outpatient clinics were located in Kingsville, Alice, San Diego and Falfurrias.  These clinics were separated from RGSC in 1996; however, RGSC continues to provide services to those counties.
July 1991 found the facility opening a new building to provide in-patient mental health services, adjacent to South Texas Hospital. This building named ""Wayne Potter Memorial Building"" in 2004 now accommodates two in-patient treatment units for persons with mental health illness for adults, psychologists, social services, nursing services, and admission offices.  Art work from discharged patients decorates the conference room.
In 1998, RGSC converted 20 adult mental health services beds in Edinburg to a 15-bed adolescent unit for individuals age 12-17.  This unit was closed in 2001 due to lack of funding.
RGSC is one of nine state mental health facilities within the then TDMHMR system.  RGSC serves an 8 county area for inpatient mental health services, and provides long term residential care and active treatment to persons with intellectual disabilities in a 12-county area.  Admissions to the RGSC comply with the provisions of the Texas Mental Health Code and/or Mental Retardation Act, and as such, may be on a voluntary or involuntary basis.   RGSC is in the heart of one of the most economically depressed and medically under-served areas in the United States.  The 8-county area served by RGSC has a population that is 83% Hispanic, 16% Anglo, and 1% other ethnic groups.  The catchment area is approximately 10,000 square miles.   RGSC currently employs approximately 366 employees.
Texas Department of Mental Health and Mental Retardation came to an end August 31, 2004 as a result of HB 2292.  As a result, the facility consolidated services with South Texas Hospital, which was then the Texas Department of Health, and the name changed to Rio Grande State Center/South Texas Health Care System.",,"Harlingen, TX",,,1962,,130,,,0
Texas,Rusk State Hospital,https://www.asylumprojects.org/index.php?title=Rusk_State_Hospital,,1878.0,1919.0,Active,Cottage Plan,,Rusk Penitentiary | Rusk Hospital,"Rusk State Hospital for the mentally ill was opened in 1919 by the conversion of the Rusk Penitentiary building into a hospital for the care of the ""Negro insane."" During the first year of operation, some of the old penitentiary buildings were renovated, reconstructed, and converted into wards and hospital buildings, and 600 patients were admitted. Early in its history the institution included a general hospital for the care of the acutely sick, an infirmary for aged and decrepit cases, a tubercular hospital for the care of white men and women, and a tubercular hospital for black men and women. A chapel and recreational hall were later added. The institution operated its own garden, farms, hog ranch, and poultry farm, which supplied much of its needs.
Rusk Hospital had an enrollment of 2,426 patients in 1946. The average daily census of patients at Rusk State Hospital in 1964 was 1,942; by 1967, 1,886 patients were housed there, and a maximum-security unit for the criminally insane was a part of the facility. In 1970 Rusk State Hospital received accreditation by the Joint Commission on Hospital Accreditation and approval to receive Medicare and Medicaid benefits from the United States Department of Health, Education, and Welfare. More and better-trained professional workers were added, and a student practicum program was instituted with Stephen F. Austin State University and North Texas State University.
In 1970 the hospital served thirty counties in the East Texas Gulf Coast area through eight units. The average daily census for 1970 was 1,796. Since 1972-73, when the hospital had a population of 1,950 patients, different methods of treating the mentally ill, which emphasize outpatient programs and de-institutionalization, have resulted in reduced populations. In 1982-83 the hospital had 952 patients; in 1992, only 442.
A new three-story, 227,368 square-foot patient complex includes a 100-bed non-maximum-security unit and an expanded 100-bed maximum security unit was opened in 2023. The 200-bed unit will increase the number of maximum-security unit beds from 40 to 100. The hospital's overall capacity will stay the same. A new two-story administration building is 18,900 square feet and accommodates the administration department and IT staff. Construction on the building was completed in 2021.",,,,"2,426 in 1946",1919,,200,1950,2426,0
Texas,San Antonio State Hospital,https://www.asylumprojects.org/index.php?title=San_Antonio_State_Hospital,1889.0,1890.0,1892.0,Active,Cottage Plan,,Southwest State Hospital | Southwestern Insane Asylum,"In 1889 the Texas legislature passed a bill establishing a state mental institution to serve Southwest Texas. The new facility was to occupy at least 640 acres and be capable of housing 500 patients. It was to be known as the Southwestern Insane Asylum (not the Southwestern Lunatic Asylum, as it has sometimes been called). A site was selected five miles south of San Antonio and $200,000 was appropriated for the new hospital. The facility began operation on April 6, 1892 with a capacity of 200 patients.
In the first eight months of operation the patient population grew to 142. By August 23, 1894, there were 225 patients. Provisions for 300 more patients were authorized when $70,000 was appropriated in 1898, and in 1910, $100,000 was voted for expansion to accommodate an additional 300. This addition consisted of one wing each on the male and female departments and two buildings for tubercular. The improvements were completed in 1910 and the hospital could then accommodate 1,000 patients. In 1911 another appropriation of $45,000 was given to construct a building for 100 men, providing care to acute cases and all those who require extra attention. By 1912 the facilities could accommodate 1,140, and improvements were valued at $500,000. By 1915 the hospital's capacity was 1,800. In 1917 a training school for nurses in psychiatry was begun. This school, the only one of its kind in the state system, continued with a three-year course until 1942.
As of 1916 the hospitals buildings were all of the ordinary congregate type, except for the two psychopathic buildings, which each accommodate 100 patients. They were separate from them main building and included their own kitchen, dining room, etc. There were also two separate Tubercular pavilions which could accommodate 25 patients each and also had their own kitchens.
By 1925 the word ""hospital"" was substituted for ""asylum"" in state asylums, and such adjectives as ""insane"" and ""lunatic"" were dropped from their names; the Southwestern Insane Asylum then became the San Antonio State Hospital. In 1926 the average number of inmates stood at 2,103; the superintendent reported the hospital full and emphasized the need for additional facilities. A social service department was added in 1926, and occupational therapy was expanded. By 1932 the population had increased to 2,308, and crowded conditions were again reported in 1934. Five new buildings were completed by 1939; together with a nurses' home they enabled the hospital to provide complete modern treatment for patients.
By 1940 the population was 2,854, and the hospital was crowded to capacity. Patients had to be refused admission for lack of bed space, and a waiting list of over 700 occupied the jails of the state. The onset of World War II blocked a construction program, but the Board of Control was able to get all patients hospitalized by June 1943. The average daily population of the hospital in 1945 was 2,732; employees numbered 450. Only white patients were admitted.
Through the years the hospital grew at a steady pace, so that by 1960 the patient population was several thousand. By then the hospital was not only badly overcrowded but faced with the problems of low budgets, antiquated buildings, and an unacceptable staff-to-patient ratio. Some of the elderly patients were maintained in private nursing homes on a furlough basis. Daily census of hospital patients in 1967 averaged 2,700. Finally, as the result of a class-action suit originally filed against Terrell State Hospital, SASH came under federal court orders to reduce the patient population and increase the staff-to-patient ratio.
Racial desegregation at the hospital began in 1964 with the admission of the first black patient. The first black professional staff person was Helen Cloud Austin, who was unable to get a job at SASH in 1962 because of race but persisted in her efforts and became a case worker in 1964, opening the way for other black professionals.
In 1970 San Antonio State Hospital was accredited by the Joint Commission on Accreditation of Hospitals. The hospital also qualified for Medicare and Medicaid benefits from the United States Department of Health, Education, and Welfare by adding to the nursing staff. The average daily census was 1,836, and outreach clinics operated in Eagle Pass, Sinton, Beeville, and Bay City. SASH established a separate unit to treat drug addicts and expanded the alcohol treatment program. In the 1970s SASH was greatly improved by an extensive building program. The antiquated old main building and its adjoining wards were replaced by a modern administration building and a number of new ward buildings. Other improvements, which included new dining facilities and a media center, were funded partly by the state and partly by private individuals. Perhaps the most notable was the Transitional Living Unit, which was largely funded by the family of Mrs. Patric Sexton Dennis. Another was the All Faiths Chapel, which was financed by private funds and was strongly supported by Mrs. Enrico Liberto.
By 1990 the average number of patients had been reduced to 531 and the staff increased to 1,350. In 1992, 489 patients were served by 1,600 staff members. Centennial celebration events were held throughout April 1992. One of the highlights was the meeting of the American Board of Psychiatry and Neurology on April 6 to give board examinations to ninety-six psychiatrists, a significant honor for the institution. Dr. Steven B. Schnee, the superintendent in 1994, arrived in 1987. During his tenure the Texas legislature made a $2 million appropriation for SASH to establish a clinical research unit to seek new methods of diagnosis and treatment for chronically mentally ill persons. The program was a joint effort with the psychiatry and pharmacology departments of the University of Texas Health Science Center at San Antonio and the School of Pharmacy of the University of Texas at Austin. In the 1990s San Antonio State Hospital also operated acute care, extended care, multiple disability, psychiatric intensive care, adolescent, bi-cultural, geriatric care, and chemical dependency units.[1]
Main Image Gallery: San Antonio State Hospital",,"San Antonio, TX",,"2,824 in 1940",1892,,,,2854,0
