state,city,hospital_name,alt_name1,alt_name2,alt_name3,alt_name4,alt_name5,hospital_type,url,current_status,building_style,architecture_style,final_year_opened,final_year_closed,final_hospital_age,final_number_of_beds,final_number_of_patients,incomplete_page_flag,kirkbride_flag,hand_check_flag
Alabama,Tuscaloosa,Bryce Hospital,"Alabama Insane Hospital,","Bryce Hospital for the Insane,",Tuscaloosa State Hospital,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Bryce_Hospital,Preserved,Kirkbride Plan,,1861.0,,,,5200.0,0,1,0
Alabama,Selma,Cahaba Regional Mental Health Center,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Cahaba_Regional_Mental_Health_Center,Active,Single Building,,1973.0,,,,,0,0,0
Alabama,Montgomery,Greil Memorial Psychiatric Hospital,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Greil_Memorial_Psychiatric_Hospital,Closed,Single Building,,,2012.0,,,,0,0,0
Alabama,Northport,Jemison Center,"The Mental Hospital for African Americans,","State Farm Colony for Negroes,",Alabama State Hospital for the Negro Insane,Old Bryce Hospital,,State Hospitals,https://www.asylumprojects.org/index.php?title=Jemison_Center,Closed,Single Building Plan,,,1977.0,,,206.0,0,0,0
Alabama,Tuscaloosa,Mary Starke Harper Geriatric Psychiatry Center,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Mary_Starke_Harper_Geriatric_Psychiatry_Center,Active,Single Building,,1996.0,,,,,0,0,0
Alabama,Mobile,Mobile Mental Health Center,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Mobile_Mental_Health_Center,Active,Single Building,,1957.0,,,,,0,0,0
Alabama,Mt. Vernon,Mt. Vernon Insane Hospital,Mount Vernon Hospital for the Colored Insane,Searcy State Hospital,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Mt._Vernon_Insane_Hospital,Closed,Cottage Plan,,1902.0,2012.0,110.0,,,0,0,0
Alabama,Tuscaloosa,Taylor Hardin Secure Medical Facility,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Taylor_Hardin_Secure_Medical_Facility,Active,Single Building,,1981.0,,,,,0,0,0
Alabama,Mobile,Albert P Brewer Development Center,,,,,,State Schools,https://www.asylumprojects.org/index.php?title=Albert_P_Brewer_Development_Center,Demolished,Cottage Plan,,1973.0,2001.0,28.0,,,0,0,0
Alabama,Wetumpka,J.S. Tarwater Developmental Center,,,,,,State Schools,https://www.asylumprojects.org/index.php?title=J.S._Tarwater_Developmental_Center,Closed,Cottage Plan,,1976.0,2004.0,28.0,,,0,0,0
