state,city,hospital_name,alt_name1,alt_name2,alt_name3,alt_name4,alt_name5,hospital_type,url,current_status,building_style,architecture_style,final_year_opened,final_year_closed,final_hospital_age,final_number_of_beds,final_number_of_patients,incomplete_page_flag,kirkbride_flag,hand_check_flag
Arkansas,Little Rock,Arkansas State Hospital,"Arkansas Insane Asylum,","Arkansas Lunatic Asylum,",Arkansas State Hospital for Nervous Diseases,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Arkansas_State_Hospital,Active,Kirkbride Plan (Demolished),,1883.0,,,,4951.0,0,1,0
Arkansas,,Baptist State Hospital,,,,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Baptist_State_Hospital,,,,,,,,,0,0,1
Arkansas,,Benton State Hospital,"Benton Farm Colony,",Benton Services Center,Arkansas Health Center,,,State Hospitals,https://www.asylumprojects.org/index.php?title=Benton_State_Hospital,Active,Cottage Plan,,1936.0,1977.0,41.0,,,0,0,0
Arkansas,Conway,Arkansas Children's Colony,Conway Human Development Center,,,,,State Schools,https://www.asylumprojects.org/index.php?title=Arkansas_Children%27s_Colony,Active,Cottage Plan,,1959.0,,,,,0,0,0
Arkansas,Pine Bluff,Arkansas Boys Industrial School,Boys Industrial School of the State of Arkansas,Arkansas Boys' Reform School,Pine Bluff Youth Services Center,Arkansas Training School for Boys,,Reform Schools,https://www.asylumprojects.org/index.php?title=Arkansas_Boys_Industrial_School,Preserved,Single Building,,1917.0,1994.0,77.0,,,0,0,0
Arkansas,Wrightsville,Arkansas Boys Industrial School for Negroes,,,,,,Reform Schools,https://www.asylumprojects.org/index.php?title=Arkansas_Boys_Industrial_School_for_Negroes,Demolished,Single Building,,1931.0,1981.0,50.0,,,0,0,0
Arkansas,,Creating Arkansas Training School for Girls,,,,,,Reform Schools,https://www.asylumprojects.org/index.php?title=Arkansas_Training_School_for_Girls&action=edit&redlink=1,,,,,,,,,1,0,1
Arkansas,,Creating Resthaven Psychiatric Hospital,,,,,,Private Institutions,https://www.asylumprojects.org/index.php?title=Resthaven_Psychiatric_Hospital&action=edit&redlink=1,,,,,,,,,1,0,1
Arkansas,,Creating Searcy Female Institute,,,,,,Private Institutions,https://www.asylumprojects.org/index.php?title=Searcy_Female_Institute&action=edit&redlink=1,,,,,,,,,1,0,1
Arkansas,Booneville,Arkansas Tuberculosis Sanitorium,Booneville Human Development Center,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=Arkansas_Tuberculosis_Sanitorium,Active,Cottage Plan,Art Deco & Colonial Revival,1910.0,1973.0,63.0,,1017.0,0,0,0
Arkansas,Alexander,Salasco Sanitarium,Salasco Sanatorium,,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=Salasco_Sanitarium,Demolished,,,1873.0,,,,,0,0,0
Arkansas,Alexander,Thomas McRae Tuberculosis Home,Thomas C. McRae Memorial Sanatorium,Alexander Human Development Center,,,,Sanitariums,https://www.asylumprojects.org/index.php?title=Thomas_McRae_Tuberculosis_Home,Closed,Single Building,,1931.0,2011.0,80.0,,,0,0,0
Arkansas,Bentonville,Benton County Poor Farm,,,,,,County Institutions,https://www.asylumprojects.org/index.php?title=Benton_County_Poor_Farm,Demolished,,,1858.0,1951.0,93.0,,,0,0,0
Arkansas,Bentonville,Benton County Poor Farm,,,,,,County Asylums,https://www.asylumprojects.org/index.php?title=Benton_County_Poor_Farm,Demolished,,,1858.0,1951.0,93.0,,,0,0,0
